Name	version	spawnable	rare	level	maxlevel	levelreq	classspecific	class	classlevelreq	frequency	group	mod1code	mod1param	mod1min	mod1max	mod2code	mod2param	mod2min	mod2max	mod3code	mod3param	mod3min	mod3max	transform	transformcolor	itype1	itype2	itype3	itype4	itype5	itype6	itype7	etype1	etype2	etype3	etype4	etype5	divide	multiply	add
Meteoric	0	0	1	27	45	20				0	111	att	0	121	150									1	lgld	weap	ring						staf	wand				0	0	0
Sharp	0	0	1	5	15	3				0	112	att	0	31	40	dmg%	0	45	50							weap												0	0	0
Fine	0	0	1	9	20	6				0	112	att	0	41	50	dmg%	0	51	55							weap												0	0	0
Warrior's	0	0	1	15	25	11				0	112	att	0	51	60	dmg%	0	56	60							weap												0	0	0
Soldier's	0	0	1	21	30	15				0	112	att	0	61	80	dmg%	0	61	70							weap												0	0	0
Knight's	0	0	1	25	35	18				0	112	att	0	81	100	dmg%	0	71	80					1	dgld	weap												0	0	0
Lord's	0	0	1	30	40	22				0	112	att	0	101	120	dmg%	0	81	90					1	dgld	weap							staf	wand				0	0	0
King's	0	0	1	35	45	26				0	112	att	0	121	150	dmg%	0	91	100					1	dgld	weap							staf	wand				0	0	0
Howling	0	0	1	16		12				0	113	howl	0	128	128									1	oran	weap							miss					0	0	0
Fortuitous	0	0	1	5	45	3				0	114	mag%	0	7	10											ring	amul											0	0	0
																																						0	0	0
																																						0	0	0
																																						0	0	0
																																						0	0	0
																																						0	0	0
Glimmering	0	0	1	1		1				0	116	light	0	1	1											armo	wand	staf	ring	amul								0	0	0
Glowing	0	0	1	6		4				0	116	light	0	2	2									1	lyel	armo	wand	staf	ring	amul								0	0	0
																																						0	0	0
																																						0	0	0
Lizard's	0	0	1	3	45	2				0	118	mana	0	1	5											armo	ring	amul	rod				boot	glov				0	0	0
																																						0	0	0
Snake's	0	0	1	6	45	4				0	118	mana	0	5	10											shld	rod	belt	ring	amul								0	0	0
Serpent's	0	0	1	14	45	10				0	118	mana	0	11	20											shld	rod	belt	ring	amul								0	0	0
Serpent's	0	0	1	37	45	27				0	118	mana	0	11	20											tors	helm	boot	glov	mele			h2h	rod				0	0	0
Drake's	0	0	1	20	45	15				0	118	mana	0	21	30									1	cblu	rod	ring	amul	belt									0	0	0
Dragon's	0	0	1	24	45	18				0	118	mana	0	31	40									1	cblu	rod	ring	amul										0	0	0
Dragon's	0	0	1	52	45	39				0	118	mana	0	31	40									1	cblu	tors	helm	boot	glov									0	0	0
Wyrm's	0	0	1	30		22				0	118	mana	0	41	60									1	cblu	rod	ring	amul										0	0	0
																																						0	0	0
																																						0	0	0
Prismatic	0	0	1	27		20				0	120	res-all	0	15	25									1	lpur	amul												0	0	0
Prismatic	0	0	1	62		46				0	120	res-all	0	7	12									1	lpur	ring												0	0	0
Azure	0	0	1	5	45	3				0	121	res-cold	0	5	10											armo	rod	miss	ring	amul								0	0	0
Lapis	0	0	1	12	45	9				0	121	res-cold	0	11	20											armo	ring	amul	rod									0	0	0
Lapis	0	0	1	35	45	26				0	121	res-cold	0	11	20											weap	glov						rod					0	0	0
Cobalt	0	0	1	18		13				0	121	res-cold	0	21	30											armo	ring	amul	rod				glov					0	0	0
Cobalt	0	0	1	55		41				0	121	res-cold	0	21	30											weap	glov						rod					0	0	0
																																						0	0	0
Sapphire	0	0	1	25		18				0	121	res-cold	0	31	50									1	lblu	rod	boot	ring	amul	miss			scep					0	0	0
																																						0	0	0
																																						0	0	0
Crimson	0	0	1	5	45	3				0	122	res-fire	0	5	10											armo	rod	miss	ring	amul	amul							0	0	0
Burgundy	0	0	1	12	45	9				0	122	res-fire	0	11	20											armo	rod	ring	amul	amul								0	0	0
Burgundy	0	0	1	35	45	26				0	122	res-fire	0	11	20											weap							rod					0	0	0
Garnet	0	0	1	18		13				0	122	res-fire	0	21	30											armo	rod	ring	amul				glov					0	0	0
Garnet	0	0	1	55		41				0	122	res-fire	0	21	30											weap	glov						rod					0	0	0
																																						0	0	0
Ruby	0	0	1	25		18				0	122	res-fire	0	31	50									1	lred	wand	staf	boot	ring	amul								0	0	0
																																						0	0	0
																																						0	0	0
Ocher	0	0	1	5	45	3				0	123	res-ltng	0	5	10											armo	rod	ring	amul	miss								0	0	0
Tangerine	0	0	1	12	45	9				0	123	res-ltng	0	11	20											armo	ring	amul	rod									0	0	0
Tangerine	0	0	1	35	45	26				0	123	res-ltng	0	11	20											weap							rod					0	0	0
Coral	0	0	1	18		13				0	123	res-ltng	0	21	30											armo	ring	amul	rod				glov					0	0	0
Coral	0	0	1	55		41				0	123	res-ltng	0	21	30											weap	glov						rod					0	0	0
																																						0	0	0
Amber	0	0	1	25		18				0	123	res-ltng	0	31	50									1	lyel	armo	ring	amul	staf	wand			shld	glov				0	0	0
																																						0	0	0
																																						0	0	0
Beryl	0	0	1	5	45	3				0	124	res-pois	0	5	10											armo	ring	amul	scep	staf	miss							0	0	0
Jade	0	0	1	12	45	9				0	124	res-pois	0	11	20											armo	ring	amul	scep	staf								0	0	0
Jade	0	0	1	35	45	26				0	124	res-pois	0	11	20											weap	ring						staf	scep				0	0	0
Viridian	0	0	1	18		13				0	124	res-pois	0	21	30											tors	helm	shld	scep	staf	ring	amul						0	0	0
Viridian	0	0	1	55		41				0	124	res-pois	0	21	30											weap	boot	glov	belt				staf	scep				0	0	0
																																						0	0	0
Emerald	0	0	1	25		18				0	124	res-pois	0	31	50									1	lgrn	scep	ring	amul										0	0	0
																																						0	0	0
Fletcher's	0	0	1	30		22				0	125	ama	0	1	1											miss	amul											0	0	0
Archer's	0	0	1	40		30				0	125	ama	0	2	2									1	cgrn	miss												0	0	0
Archer's	0	0	1	90		67				0	125	ama	0	2	2									1	cgrn	amul												0	0	0
Monk's	0	0	1	30		22				0	126	pal	0	1	1											scep	amul											0	0	0
Priest's	0	0	1	40		30				0	126	pal	0	2	2									1	cgrn	scep												0	0	0
Priest's	0	0	1	90		67				0	126	pal	0	2	2									1	cgrn	amul												0	0	0
Summoner's	0	0	1	30		22				0	127	nec	0	1	1											wand	amul											0	0	0
Necromancer's	0	0	1	40		30				0	127	nec	0	2	2									1	cgrn	wand												0	0	0
Necromancer's	0	0	1	90		67				0	127	nec	0	2	2									1	cgrn	amul												0	0	0
Angel's	0	0	1	30		22				0	128	sor	0	1	1											staf	amul											0	0	0
Arch-Angel's	0	0	1	40		30				0	128	sor	0	2	2									1	cgrn	staf												0	0	0
Arch-Angel's	0	0	1	90		67				0	128	sor	0	2	2									1	cgrn	amul												0	0	0
Slayer's	0	0	1	30		22				0	129	bar	0	1	1											mele	amul						rod	h2h				0	0	0
Berserker's	0	0	1	40		30				0	129	bar	0	2	2									1	cgrn	mele							rod	h2h				0	0	0
Berserker's	0	0	1	90		67				0	129	bar	0	2	2									1	cgrn	amul												0	0	0
																																						0	0	0
																																						0	0	0
Triumphant	0	1	1	3		2				0	132	mana-kill	0	1	1											mele	ring											0	0	0
Expansion																																								
Stout	100		1	15	75	10				6	101	ac		45	60											lcha												0	0	0
Burly	100		1	45		35				6	101	ac		90	120											lcha												0	0	0
Stalwart	100		1	75		65				6	101	ac		135	180											lcha												0	0	0
Stout	100		1	15	75	10				4	101	ac		30	40											mcha												0	0	0
Burly	100		1	45		35				4	101	ac		60	80											mcha												0	0	0
Stalwart	100		1	75		65				4	101	ac		90	120											mcha												0	0	0
Stout	100		1	15	75	5				4	101	ac		15	20											scha												0	0	0
Burly	100		1	45		35				4	101	ac		30	40											scha												0	0	0
Stalwart	100		1	75		65				4	101	ac		45	60											scha												0	0	0
Blanched	100	1	1	1	45	1				4	101	ac		10	20									1	whit	jewl												0	0	0
Eburin	100	1	1	25	75	15				4	101	ac		30	40									1	whit	jewl												0	0	0
Bone	100	1	1	45		35				4	101	ac		90	100									1	whit	jewl												0	0	0
Ivory	100	1	1	75		65				4	101	ac		120	140									1	whit	jewl												0	0	0
Sturdy	100	1	1	1	20	1				4	101	ac%		80	120											armo							circ	bowq	xboq			0	0	0
Sturdy	100	1	1	7	30	1				4	101	ac%		120	160											armo							circ	bowq	xboq			0	0	0
Strong	100	1	1	15	40	5				4	101	ac%		160	200											armo							circ	bowq	xboq			0	0	0
Glorious	100	1	1	25	50	15				4	101	ac%		200	240											armo							circ	bowq	xboq			0	0	0
Blessed	100	1	1	35	60	25				4	101	ac%		240	280											armo							circ	bowq	xboq			0	0	0
Saintly	100	1	1	45	80	35				4	101	ac%		280	320									1	dgld	armo							circ	bowq	xboq			0	0	0
Holy	100	1	1	55		45				4	101	ac%		300	400									1	dgld	armo							circ	bowq	xboq			0	0	0
Holy	100	1	1	75		65				4	101	ac%		400	500									1	dgld	armo							circ	bowq	xboq			0	0	0
Sturdy	100	1	1	1	20	1				2	101	ac%		80	120	rep-dur	3									armo							circ	bowq	xboq			0	0	0
Sturdy	100	1	1	7	30	1				2	101	ac%		120	160	rep-dur	3									armo							circ	bowq	xboq			0	0	0
Strong	100	1	1	15	40	5				2	101	ac%		160	200	rep-dur	3									armo							circ	bowq	xboq			0	0	0
Glorious	100	1	1	25	50	15				2	101	ac%		200	240	rep-dur	3									armo							circ	bowq	xboq			0	0	0
Blessed	100	1	1	35	60	25				2	101	ac%		240	280	rep-dur	3									armo							circ	bowq	xboq			0	0	0
Saintly	100	1	1	45	80	35				2	101	ac%		280	320	rep-dur	3							1	dgld	armo							circ	bowq	xboq			0	0	0
Holy	100	1	1	55		45				2	101	ac%		300	400	rep-dur	3							1	dgld	armo							circ	bowq	xboq			0	0	0
Holy	100	1	1	75		65				2	101	ac%		400	500	rep-dur	3							1	dgld	armo							circ	bowq	xboq			0	0	0
Devious	100	1	1	10	50	1				4	102	red-mag		1	5											shld	circ	orb	wand	staf								0	0	0
Blank	100	1	1	30	70	20				4	102	red-mag		5	10											shld	circ	orb	wand	staf								0	0	0
Null	100	1	1	50		45				4	102	red-mag		10	15									1	dblu	shld	circ	orb	wand	staf								0	0	0
Antimagic	100	1	1	70		60				4	102	red-mag		15	20									1	dblu	shld	circ	orb	wand	staf								0	0	0
Red	100	1	1	10	40	10				4	103	dmg-min		1	3									1	dred	lcha	bowq	xboq										0	0	0
Red	100	1	1	20	60	20				4	103	dmg-min		3	6									1	dred	lcha	bowq	xboq										0	0	0
Sanguinary	100	1	1	40	80	40				4	103	dmg-min		6	9									1	dred	lcha	bowq	xboq										0	0	0
Sanguinary	100	1	1	60		60				4	103	dmg-min		9	12									1	dred	lcha	bowq	xboq										0	0	0
Bloody	100	1	1	80		80				4	103	dmg-min		12	15									1	dred	lcha	bowq	xboq										0	0	0
Red	100	1	1	10	60	10				4	103	dmg-min		1	2									1	dred	mcha												0	0	0
Sanguinary	100	1	1	30		30				4	103	dmg-min		2	4									1	dred	mcha												0	0	0
Bloody	100	1	1	60		60				4	103	dmg-min		4	6									1	dred	mcha												0	0	0
Red	100	1	1	20	80	20				4	103	dmg-min		1	2									1	dred	scha												0	0	0
Sanguinary	100	1	1	50		50				4	103	dmg-min		2	4									1	dred	scha												0	0	0
Bloody	100	1	1	80		80				4	103	dmg-min		3	5									1	dred	scha												0	0	0
Scarlet	100	1	1	20	50	20				4	103	dmg-min		3	5									1	dred	jewl												0	0	0
Crimson	100	1	1	60		60				4	103	dmg-min		5	10									1	dred	jewl												0	0	0
Jagged	100	1	1	5	35	5				4	104	dmg-max		1	3									1	blac	lcha	bowq	xboq										0	0	0
Jagged	100	1	1	20	50	20				4	104	dmg-max		3	6									1	blac	lcha	bowq	xboq										0	0	0
Jagged	100	1	1	35	65	35				4	104	dmg-max		6	9									1	blac	lcha	bowq	xboq										0	0	0
Forked	100	1	1	50	80	50				4	104	dmg-max		9	12									1	blac	lcha	bowq	xboq										0	0	0
Forked	100	1	1	65		65				4	104	dmg-max		12	15									1	blac	lcha	bowq	xboq										0	0	0
Serrated	100	1	1	80		80				4	104	dmg-max		15	18									1	blac	lcha	bowq	xboq										0	0	0
Serrated	100	1	1	95		95				4	104	dmg-max		18	21									1	blac	lcha	bowq	xboq										0	0	0
Jagged	100	1	1	10	30	10				4	104	dmg-max		1	2									1	blac	mcha												0	0	0
Jagged	100	1	1	30	50	30				4	104	dmg-max		3	4									1	blac	mcha												0	0	0
Forked	100	1	1	50	70	50				4	104	dmg-max		6	8									1	blac	mcha												0	0	0
Forked	100	1	1	70		70				4	104	dmg-max		9	12									1	blac	mcha												0	0	0
Serrated	100	1	1	90		90				4	104	dmg-max		12	15									1	blac	mcha												0	0	0
Jagged	100	1	1	20	80	20				4	104	dmg-max		1	2									1	blac	scha												0	0	0
Forked	100	1	1	50		50				4	104	dmg-max		3	4									1	blac	scha												0	0	0
Serrated	100	1	1	80		80				4	104	dmg-max		5	6									1	blac	scha												0	0	0
Carbuncle	100	1	1	20	80	20				4	104	dmg-max		4	8									1	dred	jewl												0	0	0
Carmine	100	1	1	50		50				4	104	dmg-max		8	12									1	dred	jewl												0	0	0
Vermillion	100	1	1	80		80				4	104	dmg-max		12	16									1	dred	jewl												0	0	0
Jagged	100	1	1	1	20	1				4	105	dmg%		100	120											weap							staf	wand	orb			0	0	0
Deadly	100	1	1	10	30	5				4	105	dmg%		120	150											weap							staf	wand	orb			0	0	0
Vicious	100	1	1	20	40	10				4	105	dmg%		150	170											weap							staf	wand	orb			0	0	0
Brutal	100	1	1	30	50	20				4	105	dmg%		170	180											weap							staf	wand	orb			0	0	0
Massive	100	1	1	40	60	30				4	105	dmg%		180	190									1	dgld	weap							staf	wand	orb			0	0	0
Savage	100	1	1	50	70	40				4	105	dmg%		190	210									1	dgld	weap							staf	wand	orb			0	0	0
Merciless	100	1	1	60		50				4	105	dmg%		210	240									1	dgld	weap							staf	wand	orb			0	0	0
Ferocious	100	1	1	70		60				4	105	dmg%		240	270									1	blac	weap							staf	wand	orb			0	0	0
Cruel	100	1	1	80		70				4	105	dmg%		270	300									1	blac	weap							staf	wand	orb			0	0	0
Cinnabar	100	1	1	10	45	10				1	105	dmg%		25	30									1	dred	jewl	helm	ring	bowq	xboq								0	0	0
Rusty	100	1	1	30	75	30				1	105	dmg%		30	40									1	dred	jewl	helm	ring	bowq	xboq								0	0	0
Realgar	100	1	1	50		50				1	105	dmg%		40	50									1	dred	jewl	helm	ring	bowq	xboq								0	0	0
Ruby	100	1	1	80		80				1	105	dmg%		50	60									1	dred	jewl	helm	ring	bowq	xboq								0	0	0
Vulpine	100		1	10		1				3	107	dmg-to-mana		40	60									1	cblu	shld	amul	orb	staf									0	0	0
Dun	100		1	25		15				3	107	dmg-to-mana		10	20											jewl												0	0	0
Tireless	100		1	5	20	5				4	108	regen-stam		30	30	rep-dur	3									boot												0	0	0
Tireless	100		1	15	40	15				4	108	regen-stam		60	60	rep-dur	3									boot												0	0	0
Brown	100		1	10	40	10				2	108	regen-stam		15	30											jewl												0	0	0
Rugged	100		1	1	5	1				4	109	stam		12	24											lcha	bowq	xboq										0	0	0
Rugged	100		1	5	10	5				4	109	stam		25	36											lcha	bowq	xboq										0	0	0
Rugged	100		1	10	30	10				4	109	stam		37	50											lcha	bowq	xboq										0	0	0
Rugged	100		1	1	5	1				4	109	stam		8	16											mcha												0	0	0
Rugged	100		1	5	10	5				4	109	stam		17	25											mcha												0	0	0
Rugged	100		1	10	30	10				4	109	stam		26	32											mcha												0	0	0
Rugged	100		1	1	5	1				4	109	stam		4	8											scha												0	0	0
Rugged	100		1	5	10	5				4	109	stam		9	16											scha												0	0	0
Rugged	100		1	1	10	1				2	109	stam		5	10											boot	glov	belt	ring	amul	circ							0	0	0
Rugged	100		1	10	20	10				2	109	stam		11	20											boot	belt											0	0	0
Rugged	100		1	10	20	10				2	109	stam		11	20											ring	amul	circ										0	0	0
Vigorous	100		1	20	30	20				2	109	stam		21	30											boot	belt											0	0	0
Chestnut	100		1	1	10	1				2	109	stam		10	15											jewl												0	0	0
Maroon	100		1	10	30	10				2	109	stam		16	25											jewl												0	0	0
Bronze	100	1	1	1	20	1				6	110	att		18	24	ac		18	24							lcha												0	0	0
Bronze	100	1	1	10	30	10				6	110	att		24	32	ac		24	32							lcha												0	0	0
Bronze	100	1	1	20	40	20				6	110	att		32	50	ac		32	50							lcha												0	0	0
Iron	100	1	1	30	50	30				6	110	att		50	68	ac		50	68							lcha												0	0	0
Iron	100	1	1	40	60	40				6	110	att		68	81	ac		68	81							lcha												0	0	0
Iron	100	1	1	50	70	50				6	110	att		86	99	ac		86	91							lcha												0	0	0
Steel	100	1	1	60	80	60				6	110	att		99	117	ac		99	117							lcha												0	0	0
Steel	100	1	1	70		70				6	110	att		117	135	ac		117	135							lcha												0	0	0
Steel	100	1	1	80		80				6	110	att		135	240	ac		135	240							lcha												0	0	0
Bronze	100	1	1	1	30	1				4	110	att		12	22	ac		12	22							mcha												0	0	0
Bronze	100	1	1	15	45	15				4	110	att		16	33	ac		16	33							mcha												0	0	0
Bronze	100	1	1	30	60	30				4	110	att		24	44	ac		24	44							mcha												0	0	0
Iron	100	1	1	45	75	45				4	110	att		32	55	ac		32	55							mcha												0	0	0
Iron	100	1	1	60		60				4	110	att		48	66	ac		48	66							mcha												0	0	0
Steel	100	1	1	75		75				4	110	att		60	77	ac		60	77							mcha												0	0	0
Steel	100	1	1	90		90				4	110	att		72	99	ac		72	99							mcha												0	0	0
Bronze	100	1	1	1	60	1				4	110	att		6	12	ac		6	12							scha												0	0	0
Bronze	100	1	1	30	90	30				4	110	att		12	24	ac		12	24							scha												0	0	0
Iron	100	1	1	60		60				4	110	att		24	36	ac		24	36							scha												0	0	0
Steel	100	1	1	90		90				4	110	att		36	48	ac		36	48							scha												0	0	0
Bronze	100	1	1	1	24	1				4	110	att		15	30											weap	ring	glov	amul	circ			staf	wand	orb			0	0	0
Iron	100	1	1	12	36	6				4	110	att		31	60											weap	ring	circ					staf	wand	orb			0	0	0
Steel	100	1	1	24	48	14				4	110	att		61	90											weap	ring	circ					staf	wand	orb			0	0	0
Silver	100	1	1	36	60	26				4	110	att		91	120											weap	ring	circ					staf	wand	orb			0	0	0
Gold	100	1	1	48	72	38				4	110	att		121	160									1	lgld	weap	ring	circ					staf	wand	orb			0	0	0
Platinum	100	1	1	60	84	50				4	110	att		161	200									1	lgld	weap	circ						staf	wand	orb			0	0	0
Meteoric	100	1	1	72	96	62				4	110	att		201	300									1	lgld	weap	circ						staf	wand	orb			0	0	0
Strange	100	1	1	84		74				4	110	att		301	400									1	lgld	weap	circ						staf	wand	orb			0	0	0
Weird	100	1	1	85		85				4	110	att		401	500									1	lgld	weap	circ						staf	wand	orb			0	0	0
Nickel	100	1	1	1	25	1				4	110	att		15	30											jewl												0	0	0
Tin	100	1	1	8	44	1				4	110	att		31	60											jewl												0	0	0
Silver	100	1	1	25		18				4	110	att		61	90											jewl												0	0	0
Argent	100	1	1	44		36				4	110	att		91	120											jewl												0	0	0
Fine	100	1	1	15	30	15				6	111	att		10	20	dmg-max		1	3							lcha	bowq	xboq										0	0	0
Fine	100	1	1	30	45	30				6	111	att		21	48	dmg-max		4	6							lcha	bowq	xboq										0	0	0
Sharp	100	1	1	45		45				6	111	att		49	76	dmg-max		6	9							lcha	bowq	xboq										0	0	0
Fine	100	1	1	18	36	18				4	111	att		10	20	dmg-max		1	2							mcha												0	0	0
Sharp	100	1	1	36		36				4	111	att		40	60	dmg-max		3	5							mcha												0	0	0
Fine	100	1	1	48		48				4	111	att		20	35	dmg-max		3	4							scha												0	0	0
Sharp	100	1	1	20	40	10				4	111	att		40	60	dmg%		20	30							weap							staf	wand	orb			0	0	0
Sharp	100	1	1	20	40	10				4	111	att		40	60	dmg%		30	35							mele							staf	wand	orb	comb		0	0	0
Fine	100	1	1	30	50	20				4	111	att		60	80	dmg%		35	40							weap							staf	wand	orb			0	0	0
Fine	100	1	1	30	50	20				4	111	att		60	80	dmg%		40	50							mele							staf	wand	orb	comb		0	0	0
Warrior's	100	1	1	40	60	30				4	111	att		80	100	dmg%		70	120							weap							staf	wand	orb			0	0	0
Warrior's	100	1	1	40	60	30				4	111	att		80	100	dmg%		70	120							mele							staf	wand	orb	comb		0	0	0
Soldier's	100	1	1	50	70	40				4	111	att		100	120	dmg%		90	140							weap							staf	wand	orb			0	0	0
Soldier's	100	1	1	50	70	40				4	111	att		100	120	dmg%		90	140							mele							staf	wand	orb	comb		0	0	0
Knight's	100	1	1	60	80	50				4	111	att		130	150	dmg%		110	160					1	dgld	weap							staf	wand	orb			0	0	0
Knight's	100	1	1	60	80	50				4	111	att		130	150	dmg%		110	160					1	dgld	mele							staf	wand	orb	comb		0	0	0
Lord's	100	1	1	70	90	60				4	111	att		160	180	dmg%		130	180					1	dgld	weap							staf	wand	orb			0	0	0
Lord's	100	1	1	70	90	60				4	111	att		160	180	dmg%		130	180					1	dgld	mele							staf	wand	orb	comb		0	0	0
King's	100	1	1	80	95	70				4	111	att		190	210	dmg%		150	200					1	dgld	weap							staf	wand	orb			0	0	0
King's	100	1	1	80	95	70				4	111	att		190	210	dmg%		150	200					1	dgld	mele							staf	wand	orb	comb		0	0	0
Master's	100	1	1	80		80				4	111	att		240	260	dmg%		180	230					1	dgld	weap							staf	wand	orb			0	0	0
Master's	100	1	1	80		80				4	111	att		240	260	dmg%		180	230					1	dgld	mele							staf	wand	orb	comb		0	0	0
Grandmaster's	100	1	1	85		85				4	111	att		300	400	dmg%		210	260					1	dgld	weap							staf	wand	orb			0	0	0
Grandmaster's	100	1	1	85		85				4	111	att		300	400	dmg%		210	260					1	dgld	mele							staf	wand	orb	comb		0	0	0
Glimmering	100		1	1	20	1				1	112	light		1	1											armo	wand	staf	ring	amul	orb							0	0	0
Glowing	100		1	6	20	1				1	112	light		2	2									1	lyel	armo	wand	staf	ring	amul	orb							0	0	0
Bright	100			1	20	1				1	112	light		1	1	att		30	40							jewl												0	0	0
Screaming	100		1	10		5				1	113	howl		32	32									1	oran	weap							miss	swor	axe	pole	spea	0	0	0
Howling	100		1	16		12				1	113	howl		64	64									1	oran	weap							miss	swor	axe	pole	spea	0	0	0
Wailing	100		1	20		13				1	113	howl		128	128									1	oran	weap							miss	swor	axe	pole	spea	0	0	0
Screaming	100		1	10		7				1	113	howl		16	16									1	oran	miss												0	0	0
Howling	100		1	16		12				1	113	howl		24	24									1	oran	miss												0	0	0
Wailing	100		1	24		18				1	113	howl		32	32									1	oran	miss												0	0	0
Lucky	100	1	1	21	60	21				4	114	mag%		12	25											lcha	bowq	xboq										0	0	0
Lucky	100	1	1	58		58				4	114	mag%		25	37											lcha	bowq	xboq										0	0	0
Lucky	100	1	1	88		88				4	114	mag%		37	50											lcha	bowq	xboq										0	0	0
Lucky	100	1	1	34	60	34				4	114	mag%		8	18											mcha												0	0	0
Lucky	100	1	1	53		53				4	114	mag%		18	25											mcha												0	0	0
Lucky	100	1	1	81		81				4	114	mag%		25	36											mcha												0	0	0
Felicitous	100	1	1	42	64	32				2	114	mag%		20	30	gold%		40	80							ring	amul	circ										0	0	0
Fortuitous	100	1	1	64		54				2	114	mag%		30	50	gold%		60	120							ring	amul	circ										0	0	0
Emerald	100	1	1	44		44				2	114	mag%		10	15	gold%		20	30							jewl												0	0	0
Lizard's	100	1	1	1	20	1				2	115	mana		5	10											lcha												0	0	0
Lizard's	100	1	1	10	30	10				2	115	mana		8	16											lcha												0	0	0
Lizard's	100	1	1	20	40	20				2	115	mana		12	24											lcha												0	0	0
Snake's	100	1	1	30	50	30				2	115	mana		16	32											lcha												0	0	0
Snake's	100	1	1	40	60	40				2	115	mana		24	48											lcha												0	0	0
Snake's	100	1	1	50	70	50				2	115	mana		30	60											lcha												0	0	0
Serpent's	100	1	1	60		60				2	115	mana		36	72											lcha												0	0	0
Serpent's	100	1	1	70		70				2	115	mana		48	84											lcha												0	0	0
Serpent's	100	1	1	80		80				2	115	mana		60	90											lcha												0	0	0
Lizard's	100	1	1	1	30	1				4	115	mana		4	6											mcha												0	0	0
Lizard's	100	1	1	15	45	15				4	115	mana		6	14											mcha												0	0	0
Lizard's	100	1	1	30	60	30				4	115	mana		10	20											mcha												0	0	0
Snake's	100	1	1	45	75	45				4	115	mana		18	36											mcha												0	0	0
Snake's	100	1	1	60		60				4	115	mana		24	48											mcha												0	0	0
Serpent's	100	1	1	75		75				4	115	mana		36	55											mcha												0	0	0
Serpent's	100	1	1	90		90				4	115	mana		50	60											mcha												0	0	0
Lizard's	100	1	1	1	16	1				4	115	mana		1	2											scha												0	0	0
Lizard's	100	1	1	20	50	20				4	115	mana		5	10											scha												0	0	0
Snake's	100	1	1	50		50				4	115	mana		10	20											scha												0	0	0
Serpent's	100	1	1	80		80				4	115	mana		20	30											scha												0	0	0
Lizard's	100	1	1	3	18	1				1	115	mana		8	16											armo	ring	amul	rod	orb			boot	glov				0	0	0
Snake's	100	1	1	9	27	1				1	115	mana		16	24											rod	ring	amul	orb	circ								0	0	0
Serpent's	100	1	1	18	36	10				1	115	mana		24	36											rod	ring	amul	orb	circ								0	0	0
Serpent's	100	1	1	27	48	17				1	115	mana		36	48											tors	boot	glov	weap	orb			rod					0	0	0
Drake's	100	1	1	36	60	15				1	115	mana		48	60									1	cblu	rod	ring	amul	orb	circ								0	0	0
