Hireling	SubType	Version	Id	Class	Act	Difficulty	Level	Seller	NameFirst	NameLast	Gold	Exp/Lvl	HP	HP/Lvl	Defense	Def/Lvl	Str	Str/Lvl	Dex	Dex/Lvl	AR	AR/Lvl	Share	Dmg-Min	Dmg-Max	Dmg/Lvl	Resist	Resist/Lvl	WType1	WType2	HireDesc	DefaultChance	Skill1	Mode1	Chance1	ChancePerLvl1	Level1	LvlPerLvl1	Skill2	Mode2	Chance2	ChancePerLvl2	Level2	LvlPerLvl2	Skill3	Mode3	Chance3	ChancePerLvl3	Level3	LvlPerLvl3	Skill4	Mode4	Chance4	ChancePerLvl4	Level4	LvlPerLvl4	Skill5	Mode5	Chance5	ChancePerLvl5	Level5	LvlPerLvl5	Skill6	Mode6	Chance6	ChancePerLvl6	Level6	LvlPerLvl6	Head	Torso	Weapon	Shield
Rogue Scout	Fire - Normal	100	0	271	1	1	85	150	merc01	merc41	150	30	4523	75	225	3	90	8	175	16	750	10	2	5	10	0	20	0	bow	xbow	fire	1	Fire Arrow	4	75	1	20	0	Critical Strike	10	0	0	16	1	Pierce	10	0	0	3	1	Exploding Arrow	4	5	1	20	0	Immolation Arrow	4	300	2	20	0	MercHeal	10	0	0	8	16	2	1	2	0
Rogue Scout	Ice - Normal	100	1	271	1	1	10	150	merc01	merc41	150	30	480	50	30	3	25	8	45	16	100	10		1	2	0	0	0	bow	xbow	cold	1	Ice Arrow	4	40	1	1	8	Critical Strike	10	0	0	4	1	Pierce	10	0	0	1	1	Cold Arrow	4	40	1	1	8	Freezing Arrow	4	300	4	1	8	MercHeal	10	0	0	8	16	2	1	2	0
Rogue Scout	Ice - Normal	100	1	271	1	1	55	150	merc01	merc41	150	30	2794	60	165	3	70	8	135	16	550	10	1	4	7	0	10	0	bow	xbow	cold	1	Ice Arrow	4	40	1	12	6	Critical Strike	10	0	0	8	1	Pierce	10	0	0	2	1	Cold Arrow	4	40	1	12	6	Freezing Arrow	4	300	4	12	6	MercHeal	10	0	0	8	16	2	1	2	0
Rogue Scout	Ice - Normal	100	1	271	1	1	85	150	merc01	merc41	150	30	4523	75	225	3	90	8	175	16	750	10	2	5	10	0	20	0	bow	xbow	cold	1	Ice Arrow	4	40	1	20	0	Critical Strike	10	0	0	16	1	Pierce	10	0	0	3	1	Cold Arrow	4	40	1	20	0	Freezing Arrow	4	300	4	20	0	MercHeal	10	0	0	8	16	2	1	2	0
Rogue Scout	Fire - Nightmare	100	2	271	1	2	55	150	merc01	merc41	6000	30	2794	50	165	3	70	8	135	16	550	10	1	4	7	0	10	0	bow	xbow	fire	1	Fire Arrow	4	75	1	12	6	Critical Strike	10	0	0	8	1	Pierce	10	0	0	2	1	Exploding Arrow	4	5	1	12	6	Immolation Arrow	4	300	2	12	6	MercHeal	10	0	0	8	16	2	1	2	0
Rogue Scout	Fire - Nightmare	100	2	271	1	2	85	150	merc01	merc41	6000	30	4523	75	225	3	90	8	175	16	750	10	2	5	10	0	20	0	bow	xbow	fire	1	Fire Arrow	4	75	1	20	0	Critical Strike	10	0	0	16	1	Pierce	10	0	0	3	1	Exploding Arrow	4	5	1	20	0	Immolation Arrow	4	300	2	20	0	MercHeal	10	0	0	8	16	2	1	2	0
Rogue Scout	Ice - Nightmare	100	3	271	1	2	55	150	merc01	merc41	7500	30	2794	75	165	3	70	8	135	16	550	10	1	4	7	0	10	0	bow	xbow	cold	1	Ice Arrow	4	40	1	12	6	Critical Strike	10	0	0	8	1	Pierce	10	0	0	2	1	Cold Arrow	4	40	1	12	6	Freezing Arrow	4	300	4	12	6	MercHeal	10	0	0	8	16	2	1	2	0
Rogue Scout	Ice - Nightmare	100	3	271	1	2	85	150	merc01	merc41	7500	30	4523	75	225	3	90	8	175	16	750	10	2	5	10	0	20	0	bow	xbow	cold	1	Ice Arrow	4	66	1	20	0	Critical Strike	10	0	0	16	1	Pierce	10	0	0	3	1	Cold Arrow	4	40	1	20	0	Freezing Arrow	4	300	4	20	0	MercHeal	10	0	0	8	16	2	1	2	0
Rogue Scout	Fire - Hell	100	4	271	1	3	85	150	merc01	merc41	12500	30	4523	75	225	3	90	8	175	16	750	10	2	5	10	0	20	0	bow	xbow	fire	1	Fire Arrow	4	75	1	20	0	Critical Strike	10	0	0	16	1	Pierce	10	0	0	3	1	Exploding Arrow	4	5	1	20	0	Immolation Arrow	4	300	2	20	0	MercHeal	10	0	0	8	16	2	1	2	0
Rogue Scout	Ice - Hell	100	5	271	1	3	85	150	merc01	merc41	14000	30	4523	75	225	3	90	8	175	16	750	10	2	5	10	0	20	0	bow	xbow	cold	1	Ice Arrow	4	40	1	20	0	Critical Strike	10	0	0	16	1	Pierce	10	0	0	3	1	Cold Arrow	4	40	1	20	0	Freezing Arrow	4	300	4	20	0	MercHeal	10	0	0	8	16	2	1	2	0
Desert Mercenary	Comb-Normal	0	6	338	2	1	13	198	merca201	merca221	350	30	156	30	45	8	57	8	40	6	130	10	1	7	14	4	0	0	pole	spea	comb	30	Jab	14	70	4	3	10	Prayer	1	10	0	1	0	MercHeal	10	0	0	8	16																			2	2	2	0
Desert Mercenary	Comb-Normal	0	6	338	2	1	31	198	merca201	merca221	350	30	442	50	243	8	96	8	73	6	310	10	3	18	25	6	0	0	pole	spea	comb	30	Jab	14	92	4	10	10	Prayer	1	10	0	1	0	MercHeal	10	0	0	8	16																			2	2	2	0
Desert Mercenary	Comb-Normal	0	6	338	2	1	55	198	merca201	merca221	350	30	1066	75	627	12	138	8	109	6	550	10	4	36	43	8	0	0	pole	spea	comb	30	Jab	14	116	4	18	10	Prayer	1	10	0	1	0	MercHeal	10	0	0	8	16																			2	2	2	0
Desert Mercenary	Def-Normal	0	7	338	2	1	13	198	merca201	merca221	350	30	156	30	45	5	57	8	40	6	130	10	1	7	14	4	0	0	pole	spea	def	30	Jab	14	70	4	3	10	Defiance	1	10	0	4	10	MercHeal	10	0	0	8	16																			2	2	2	0
Desert Mercenary	Def-Normal	0	7	338	2	1	31	198	merca201	merca221	350	30	442	50	243	8	96	8	73	6	310	10	3	18	25	6	0	0	pole	spea	def	30	Jab	14	92	4	10	10	Defiance	1	10	0	10	10	MercHeal	10	0	0	8	16																			2	2	2	0
Desert Mercenary	Def-Normal	0	7	338	2	1	55	198	merca201	merca221	350	30	1066	75	627	12	138	8	109	6	550	10	4	36	43	8	0	0	pole	spea	def	30	Jab	14	116	4	18	0	Defiance	1	10	0	18	0	MercHeal	10	0	0	8	16																			2	2	2	0
Desert Mercenary	Off-Normal	0	8	338	2	1	13	198	merca201	merca221	350	30	156	30	45	5	57	8	40	6	130	10	1	7	14	4	0	0	pole	spea	off	30	Jab	14	70	4	3	10	Blessed Aim	1	10	0	4	10	MercHeal	10	0	0	8	16																			2	2	2	0
Desert Mercenary	Off-Normal	0	8	338	2	1	31	198	merca201	merca221	350	30	442	50	243	8	96	8	73	6	310	10	3	18	25	6	0	0	pole	spea	off	30	Jab	14	92	4	10	10	Blessed Aim	1	10	0	10	10	MercHeal	10	0	0	8	16																			2	2	2	0
Desert Mercenary	Off-Normal	0	8	338	2	1	55	198	merca201	merca221	350	30	1066	75	627	12	138	8	109	6	550	10	4	36	43	8	0	0	pole	spea	off	30	Jab	14	116	4	18	0	Blessed Aim	1	10	0	18	0	MercHeal	10	0	0	8	16																			2	2	2	0
Desert Mercenary	Comb-Nightmare	0	9	338	2	2	31	198	merca201	merca221	7900	30	398	50	219	8	92	8	69	6	310	10	3	16	23	6	0	0	pole	spea	comb	30	Jab	14	120	4	9	10	Blessed Aim	1	10	0	6	10	MercHeal	10	0	0	8	16																			2	2	2	0
Desert Mercenary	Comb-Nightmare	0	9	338	2	2	55	198	merca201	merca221	7900	30	1022	75	603	12	134	8	105	6	550	10	4	34	41	8	0	0	pole	spea	comb	30	Jab	14	144	4	17	10	Blessed Aim	1	10	0	13	0	MercHeal	10	0	0	8	16																			2	2	2	0
Desert Mercenary	Def-Nightmare	0	10	338	2	2	31	198	merca201	merca221	7900	30	398	50	219	8	92	8	69	6	310	10	3	16	23	6	0	0	pole	spea	def	30	Jab	14	120	4	9	10	Holy Freeze	1	10	0	6	10	MercHeal	10	0	0	8	16																			2	2	2	0
Desert Mercenary	Def-Nightmare	0	10	338	2	2	55	198	merca201	merca221	7900	30	1022	75	603	12	134	8	105	6	550	10	4	34	41	8	0	0	pole	spea	def	30	Jab	14	144	4	17	0	Holy Freeze	1	10	0	14	0	MercHeal	10	0	0	8	16																			2	2	2	0
Desert Mercenary	Off-Nightmare	0	11	338	2	2	31	198	merca201	merca221	7900	30	398	50	219	8	92	8	69	6	310	10	3	16	23	6	0	0	pole	spea	off	30	Jab	14	120	4	9	10	Might	1	10	0	7	10	MercHeal	10	0	0	8	16																			2	2	2	0
Desert Mercenary	Off-Nightmare	0	11	338	2	2	55	198	merca201	merca221	7900	30	1022	75	603	12	134	8	105	6	550	10	4	34	41	8	0	0	pole	spea	off	30	Jab	14	144	4	17	0	Might	1	10	0	13	10	MercHeal	10	0	0	8	16																			2	2	2	0
Desert Mercenary	Comb-Hell	0	12	338	2	3	55	198	merca201	merca221	15000	30	919	75	543	12	130	8	101	6	550	10	4	32	39	8	0	0	pole	spea	comb	30	Jab	14	104	4	16	10	Prayer	1	10	0	1	0	MercHeal	10	0	0	8	16																			2	2	2	0
Desert Mercenary	Def-Hell	0	13	338	2	3	55	198	merca201	merca221	15000	30	919	75	543	12	130	8	101	6	550	10	4	32	39	8	0	0	pole	spea	def	30	Jab	14	104	4	16	0	Defiance	1	10	0	16	0	MercHeal	10	0	0	8	16																			2	2	2	0
Desert Mercenary	Off-Hell	0	14	338	2	3	55	198	merca201	merca221	15000	30	919	75	543	12	130	8	101	6	550	10	4	32	39	8	0	0	pole	spea	off	30	Jab	14	104	4	16	0	Blessed Aim	1	10	0	16	0	MercHeal	10	0	0	8	16																			2	2	2	0
Desert Mercenary	Comb-Normal	100	6	338	2	1	20	198	merca201	merca221	350	30	1162	75	60	3	55	16	20	8	200	10	1	10	15	0	0	0	pole	spea	comb	1	Jab	14	60	0	10	4	MercBlessed Aim	1	10	0	8	0	Vengeance	4	40	0	1	4	MercHeal	10	0	0	8	16													2	2	2	0
Desert Mercenary	Comb-Normal	100	6	338	2	1	60	198	merca201	merca221	350	30	3988	95	180	3	135	16	60	8	600	10	3	10	15	0	10	0	pole	spea	comb	1	Jab	14	60	0	15	8	MercBlessed Aim	1	10	0	8	0	Vengeance	4	40	0	10	16	MercHeal	10	0	0	8	16													2	2	2	0
Desert Mercenary	Comb-Normal	100	6	338	2	1	85	198	merca201	merca221	350	30	6306	95	240	3	175	16	80	8	800	10	4	10	15	0	20	0	pole	spea	comb	1	Jab	14	60	0	20	0	MercBlessed Aim	1	10	0	8	0	Vengeance	4	40	0	20	0	MercHeal	10	0	0	8	16													2	2	2	0
Desert Mercenary	Def-Normal	100	7	338	2	1	20	198	merca201	merca221	350	30	1162	75	60	3	55	16	20	8	200	10	1	10	15	0	0	0	pole	spea	def	1	Jab	14	60	0	10	4	MercDefiance	1	10	0	10	4	Vengeance	4	40	0	1	4	MercHeal	10	0	0	8	16													2	2	2	0
Desert Mercenary	Def-Normal	100	7	338	2	1	60	198	merca201	merca221	350	30	3988	75	180	3	135	16	60	8	600	10	3	10	15	0	10	0	pole	spea	def	1	Jab	14	60	0	15	8	MercDefiance	1	10	0	15	8	Vengeance	4	40	0	10	16	MercHeal	10	0	0	8	16													2	2	2	0
Desert Mercenary	Def-Normal	100	7	338	2	1	85	198	merca201	merca221	350	30	6306	95	240	3	175	16	80	8	800	10	4	10	15	0	20	0	pole	spea	def	1	Jab	14	60	0	20	0	MercDefiance	1	10	0	20	0	Vengeance	4	40	0	20	0	MercHeal	10	0	0	8	16													2	2	2	0
Desert Mercenary	Off-Normal	100	8	338	2	1	20	198	merca201	merca221	350	30	1162	75	60	3	55	16	20	8	200	10	1	10	15	0	0	0	pole	spea	off	1	Jab	14	60	0	10	4	MercMight	1	10	0	5	0	Vengeance	4	40	0	1	4	MercHeal	10	0	0	8	16													2	2	2	0
Desert Mercenary	Off-Normal	100	8	338	2	1	60	198	merca201	merca221	350	30	3988	75	180	3	135	16	60	8	600	10	3	10	15	0	10	0	pole	spea	off	1	Jab	14	60	0	15	8	MercMight	1	10	0	7	0	Vengeance	4	40	0	10	16	MercHeal	10	0	0	8	16													2	2	2	0
Desert Mercenary	Off-Normal	100	8	338	2	1	85	198	merca201	merca221	350	30	6306	95	240	3	175	16	80	8	800	10	4	10	15	0	20	0	pole	spea	off	1	Jab	14	60	0	20	0	MercMight	1	10	0	10	0	Vengeance	4	40	0	20	0	MercHeal	10	0	0	8	16													2	2	2	0
Desert Mercenary	Comb-Nightmare	100	9	338	2	2	60	198	merca201	merca221	7900	30	3988	75	180	3	135	16	60	8	600	10	3	10	15	0	10	0	pole	spea	comb	1	Jab	14	60	0	15	8	MercFatigue	1	10	0	8	0	Vengeance	4	40	0	10	16	MercHeal	10	0	0	8	16													2	2	2	0
Desert Mercenary	Comb-Nightmare	100	9	338	2	2	85	198	merca201	merca221	7900	30	6306	95	240	3	175	16	80	8	800	10	4	10	15	0	20	0	pole	spea	comb	1	Jab	14	60	0	15	8	MercFatigue	1	10	0	8	0	Vengeance	4	40	0	20	0	MercHeal	10	0	0	8	16													2	2	2	0
Desert Mercenary	Def-Nightmare	100	10	338	2	2	60	198	merca201	merca221	7900	30	3988	75	180	3	135	16	60	8	600	10	3	10	15	0	10	0	pole	spea	def	1	Jab	14	60	0	15	8	MercDefiance	1	10	0	15	8	Vengeance	4	40	0	10	16	MercHeal	10	0	0	8	16													2	2	2	0
Desert Mercenary	Def-Nightmare	100	10	338	2	2	85	198	merca201	merca221	7900	30	6306	95	240	3	175	16	80	8	800	10	4	10	15	0	20	0	pole	spea	def	1	Jab	14	60	0	20	0	MercDefiance	1	10	0	20	0	Vengeance	4	40	0	20	0	MercHeal	10	0	0	8	16													2	2	2	0
Desert Mercenary	Off-Nightmare	100	11	338	2	2	60	198	merca201	merca221	7900	30	3988	75	180	3	135	16	60	8	600	10	3	10	15	0	10	0	pole	spea	off	1	Jab	14	60	0	15	8	MercConviction	1	10	0	7	0	Vengeance	4	40	0	10	16	MercHeal	10	0	0	8	16													2	2	2	0
Desert Mercenary	Off-Nightmare	100	11	338	2	2	85	198	merca201	merca221	7900	30	6306	95	240	3	175	16	80	8	800	10	4	10	15	0	20	0	pole	spea	off	1	Jab	14	60	0	20	0	MercConviction	1	10	0	10	0	Vengeance	4	40	0	20	0	MercHeal	10	0	0	8	16													2	2	2	0
Desert Mercenary	Comb-Hell	100	12	338	2	3	85	198	merca201	merca221	15000	30	6306	95	240	3	175	16	80	8	800	10	4	10	15	0	20	0	pole	spea	comb	1	Jab	14	60	0	20	0	MercBlessed Aim	1	10	0	8	0	Vengeance	4	40	0	20	0	MercHeal	10	0	0	8	16													2	2	2	0
Desert Mercenary	Def-Hell	100	13	338	2	3	85	198	merca201	merca221	15000	30	6306	95	240	3	175	16	80	8	800	10	4	10	15	0	20	0	pole	spea	def	1	Jab	14	60	0	20	0	MercDefiance	1	10	0	20	0	Vengeance	4	40	0	20	0	MercHeal	10	0	0	8	16													2	2	2	0
Desert Mercenary	Off-Hell	100	14	338	2	3	85	198	merca201	merca221	15000	30	6306	95	240	3	175	16	80	8	800	10	4	10	15	0	20	0	pole	spea	off	1	Jab	14	60	0	20	0	MercMight	1	10	0	10	0	Vengeance	4	40	0	20	0	MercHeal	10	0	0	8	16													2	2	2	0
Eastern Sorceror	Fire-Normal	0	15	359	3	1	22	252	merca222	merca241	1000	30	208	12	80	2	49	7	40	7	220	10		1	7	4	0	0	swor	shie	fire	10	Firestorm	7	60	0	9	4	Fire Ball	7	80	0	10	4	Fire Bolt	7	20	0	7	4	Fire Mastery	1	10	0	30	0	MercHeal	10	0	0	8	16							2	2	2	1
Eastern Sorceror	Fire-Normal	0	15	359	3	1	37	252	merca222	merca241	1000	30	437	18	168	5	77	7	62	7	370	10	3	12	18	4	0	0	swor	shie	fire	10	Firestorm	7	60	0	17	4	Fire Ball	7	80	0	18	4	Fire Bolt	7	20	0	14	4	Fire Mastery	1	10	0	30	0	MercHeal	10	0	0	8	16							2	2	2	1
Eastern Sorceror	Fire-Normal	0	15	359	3	1	61	252	merca222	merca241	1000	30	874	26	408	9	107	7	86	7	610	10	5	24	30	4	0	0	swor	shie	fire	10	Firestorm	7	60	0	25	4	Fire Ball	7	80	0	26	4	Fire Bolt	7	20	0	22	4	Fire Mastery	1	10	0	30	0	MercHeal	10	0	0	8	16							2	2	2	1
Eastern Sorceror	Cold-Normal	0	16	359	3	1	22	252	merca222	merca241	1000	30	208	12	80	2	49	7	40	7	220	10		1	7	4	0	0	swor	shie	cold	10	Glacial Spike	7	80	0	5	4	Shiver Armor	7	3	0	5	4	Ice Blast	7	60	0	7	4	Cold Mastery	1	10	0	30	0	MercHeal	10	0	0	8	16							2	2	2	1
Eastern Sorceror	Cold-Normal	0	16	359	3	1	37	252	merca222	merca241	1000	30	437	18	168	5	77	7	62	7	370	10	3	12	18	4	0	0	swor	shie	cold	10	Glacial Spike	7	80	0	11	4	Shiver Armor	7	3	0	11	4	Ice Blast	7	60	0	14	4	Cold Mastery	1	10	0	30	0	MercHeal	10	0	0	8	16							2	2	2	1
Eastern Sorceror	Cold-Normal	0	16	359	3	1	61	252	merca222	merca241	1000	30	874	26	408	8	107	7	86	7	610	10	5	24	30	4	0	0	swor	shie	cold	10	Glacial Spike	7	80	0	19	4	Shiver Armor	7	3	0	19	4	Ice Blast	7	60	0	22	4	Cold Mastery	1	10	0	30	0	MercHeal	10	0	0	8	16							2	2	2	1
Eastern Sorceror	Ltng-Normal	0	17	359	3	1	22	252	merca222	merca241	1000	30	208	12	80	2	49	7	40	7	220	10		1	7	4	0	0	swor	shie	ltng	10	Charged Bolt	7	60	0	7	4	Lightning	7	80	0	8	4	Nova	7	30	0	7	4	Lightning Mastery	1	10	0	30	0	MercHeal	10	0	0	8	16							2	2	2	1
Eastern Sorceror	Ltng-Normal	0	17	359	3	1	37	252	merca222	merca241	1000	30	437	18	168	5	77	7	62	7	370	10	3	12	18	4	0	0	swor	shie	ltng	10	Charged Bolt	7	60	0	14	4	Lightning	7	80	0	15	4	Nova	7	30	0	14	4	Lightning Mastery	1	10	0	30	0	MercHeal	10	0	0	8	16							2	2	2	1
Eastern Sorceror	Ltng-Normal	0	17	359	3	1	61	252	merca222	merca241	1000	30	874	26	408	8	107	7	86	7	610	10	5	24	30	4	0	0	swor	shie	ltng	10	Charged Bolt	7	60	0	22	4	Lightning	7	80	0	25	4	Nova	7	30	0	22	4	Lightning Mastery	1	10	0	30	0	MercHeal	10	0	0	8	16							2	2	2	1
Eastern Sorceror	Fire-Nightmare	0	18	359	3	2	37	252	merca222	merca241	9500	30	393	18	151	5	73	7	58	7	370	10	3	10	16	4	0	0	swor	shie	fire	10	Firestorm	7	60	0	15	4	Fire Ball	7	80	0	16	4	Fire Bolt	7	40	0	13	4	Fire Mastery	1	10	0	30	0	MercHeal	10	0	0	8	16							2	2	2	1
Eastern Sorceror	Fire-Nightmare	0	18	359	3	2	61	252	merca222	merca241	9500	30	829	26	391	8	103	7	82	7	610	10	5	22	28	4	0	0	swor	shie	fire	10	Firestorm	7	60	0	23	4	Fire Ball	7	80	0	25	4	Fire Bolt	7	20	0	21	4	Fire Mastery	1	10	0	30	0	MercHeal	10	0	0	8	16							2	2	2	1
Eastern Sorceror	Cold-Nightmare	0	19	359	3	2	37	252	merca222	merca241	12000	30	393	18	151	5	73	7	58	7	370	10	3	10	16	4	0	0	swor	shie	cold	10	Glacial Spike	7	80	0	11	4	Shiver Armor	7	3	0	9	4	Ice Blast	7	60	0	13	4	Cold Mastery	1	10	0	30	0	MercHeal	10	0	0	8	16							2	2	2	1
Eastern Sorceror	Cold-Nightmare	0	19	359	3	2	61	252	merca222	merca241	12000	30	829	26	391	8	103	7	82	7	610	10	5	22	28	4	0	0	swor	shie	cold	10	Glacial Spike	7	80	0	19	4	Shiver Armor	7	3	0	17	4	Ice Blast	7	60	0	21	4	Cold Mastery	1	10	0	30	0	MercHeal	10	0	0	8	16							2	2	2	1
Eastern Sorceror	Ltng-Nightmare	0	20	359	3	2	37	252	merca222	merca241	10000	30	393	18	151	5	73	7	58	7	370	10	3	10	16	4	0	0	swor	shie	ltng	10	Charged Bolt	7	60	0	13	4	Lightning	7	80	0	15	4	Nova	7	30	0	13	4	Lightning Mastery	1	10	0	30	0	MercHeal	10	0	0	8	16							2	2	2	1
Eastern Sorceror	Ltng-Nightmare	0	20	359	3	2	61	252	merca222	merca241	10000	30	829	26	391	8	103	7	82	7	610	10	5	22	28	4	0	0	swor	shie	ltng	10	Charged Bolt	7	60	0	21	4	Lightning	7	80	0	25	4	Nova	7	30	0	21	4	Lightning Mastery	1	10	0	30	0	MercHeal	10	0	0	8	16							2	2	2	1
Eastern Sorceror	Fire-Hell	0	21	359	3	3	61	252	merca222	merca241	21000	30	746	26	352	8	99	7	78	7	610	10	5	20	26	4	0	0	swor	shie	fire	10	Firestorm	7	60	0	22	4	Fire Ball	7	80	0	25	4	Fire Bolt	7	20	0	19	4	Fire Mastery	1	10	0	30	0	MercHeal	10	0	0	8	16							2	2	2	1
Eastern Sorceror	Cold-Hell	0	22	359	3	3	61	252	merca222	merca241	27000	30	746	26	352	8	99	7	78	7	610	10	5	20	26	4	0	0	swor	shie	cold	10	Glacial Spike	7	80	0	18	4	Shiver Armor	7	3	0	16	4	Ice Blast	7	60	0	20	4	Cold Mastery	1	10	0	30	0	MercHeal	10	0	0	8	16							2	2	2	1
Eastern Sorceror	Ltng-Hell	0	23	359	3	3	61	252	merca222	merca241	21000	30	746	26	352	8	99	7	78	7	610	10	5	20	27	4	0	0	swor	shie	ltng	10	Charged Bolt	7	60	0	19	4	Lightning	7	80	0	22	4	Nova	7	30	0	19	4	Lightning Mastery	1	10	0	30	0	MercHeal	10	0	0	8	16							2	2	2	1
