skill	Id	charclass	skilldesc	srvstfunc	srvdofunc	prgstack	srvprgfunc1	srvprgfunc2	srvprgfunc3	prgcalc1	prgcalc2	prgcalc3	prgdam	srvmissile	decquant	lob	srvmissilea	srvmissileb	srvmissilec	srvoverlay	aurafilter	aurastate	auratargetstate	auralencalc	aurarangecalc	aurastat1	aurastatcalc1	aurastat2	aurastatcalc2	aurastat3	aurastatcalc3	aurastat4	aurastatcalc4	aurastat5	aurastatcalc5	aurastat6	aurastatcalc6	auraevent1	auraeventfunc1	auraevent2	auraeventfunc2	auraevent3	auraeventfunc3	auratgtevent	auratgteventfunc	passivestate	passiveitype	passivestat1	passivecalc1	passivestat2	passivecalc2	passivestat3	passivecalc3	passivestat4	passivecalc4	passivestat5	passivecalc5	passiveevent	passiveeventfunc	summon	pettype	petmax	summode	sumskill1	sumsk1calc	sumskill2	sumsk2calc	sumskill3	sumsk3calc	sumskill4	sumsk4calc	sumskill5	sumsk5calc	sumumod	sumoverlay	stsuccessonly	stsound	stsoundclass	stsounddelay	weaponsnd	dosound	dosound a	dosound b	tgtoverlay	tgtsound	prgoverlay	prgsound	castoverlay	cltoverlaya	cltoverlayb	cltstfunc	cltdofunc	cltprgfunc1	cltprgfunc2	cltprgfunc3	cltmissile	cltmissilea	cltmissileb	cltmissilec	cltmissiled	cltcalc1	*cltcalc1 desc	cltcalc2	*cltcalc2 desc	cltcalc3	*cltcalc3 desc	warp	immediate	enhanceable	attackrank	noammo	range	weapsel	itypea1	itypea2	itypea3	etypea1	etypea2	itypeb1	itypeb2	itypeb3	etypeb1	etypeb2	anim	seqtrans	monanim	seqnum	seqinput	durability	UseAttackRate	LineOfSight	TargetableOnly	SearchEnemyXY	SearchEnemyNear	SearchOpenXY	SelectProc	TargetCorpse	TargetPet	TargetAlly	TargetItem	AttackNoMana	TgtPlaceCheck	ItemEffect	ItemCltEffect	ItemTgtDo	ItemTarget	ItemCheckStart	ItemCltCheckStart	ItemCastSound	ItemCastOverlay	skpoints	reqlevel	maxlvl	reqstr	reqdex	reqint	reqvit	reqskill1	reqskill2	reqskill3	restrict	State1	State2	State3	delay	leftskill	repeat	checkfunc	nocostinstate	usemanaondo	startmana	minmana	manashift	mana	lvlmana	interrupt	InTown	aura	periodic	perdelay	finishing	passive	progressive	general	scroll	calc1	*calc1 desc	calc2	*calc2 desc	calc3	*calc3 desc	calc4	*calc4 desc	Param1	*Param1 Description	Param2	*Param2 Description	Param3	*Param3 Description	Param4	*Param4 Description	Param5	*Param5 Description	Param6	*Param6 Description	Param7	*Param7 Description	Param8	*Param8 Description	InGame	ToHit	LevToHit	ToHitCalc	ResultFlags	HitFlags	HitClass	Kick	HitShift	SrcDam	MinDam	MinLevDam1	MinLevDam2	MinLevDam3	MinLevDam4	MinLevDam5	MaxDam	MaxLevDam1	MaxLevDam2	MaxLevDam3	MaxLevDam4	MaxLevDam5	DmgSymPerCalc	EType	EMin	EMinLev1	EMinLev2	EMinLev3	EMinLev4	EMinLev5	EMax	EMaxLev1	EMaxLev2	EMaxLev3	EMaxLev4	EMaxLev5	EDmgSymPerCalc	ELen	ELevLen1	ELevLen2	ELevLen3	ELenSymPerCalc	aitype	aibonus	cost mult	cost add
Jab	10	ama	jab	5	7																																																																									amazon_jab_1				weapon_1ht_1	weapon_2ht_1								12	16																	1	3		h2h		spea	knif									SQ	A1	xx	1		1	1		1	1								1										((ulvl-1)<(blvl*3)) ? (stat('newskills'.accr)+1) : 1	1	20								1					1						0	8	3	0											(100+(blvl*25))+(lvl*10)	+%Damage											25	Percent damage base	20	Percent damage per level								damage synergy	1	50	25						8	128																																			5	0
Cold Arrow	11	ama	cold arrow	4	8												coldarrow	coldarrow																																																																									11	17					coldarrow	coldarrow											1	4	1	rng		miss										A1	A1	xx				1											1		1								((ulvl-1)<(blvl*3)) ? (stat('newskills'.accr)+1) : 1	1	20													1		1				1	5	8	1	1										min(par1+blvl/par2+skill('Multiple Shot'.blvl)/par3,par4)	# missiles	1	activation frame (missiles appear after this)	2	triggered			2	number of arrows to fire	3	levels per additional arrow	4	multipleshotsyn	9	max arrows							14	damage synergy	1								8	84														cold	4	3	5	8	10	15	8	3	5	9	13	18	(skill('Ice Arrow'.blvl)+skill('Freezing Arrow'.blvl))*par8 + (stat('energy'.accr)/4) + (blvl*5*skill('Kick'.clc1)/100)	25	3	3	3				5	10
Multiple Shot	12	ama	multiple shot	4	8												multipleshotarrow	multipleshotbolt																																																																									11	17					multipleshotarrow	multipleshotbolt											1	7		rng		miss										A1	A1	xx				1											1		1								((ulvl-1)<(blvl*3)) ? (stat('newskills'.accr)+1) : 1	5	10													1		1				0	5	24	1	1										par1+(blvl*3/5)+stat('extra_msarrow'.accr)	# missiles	par3	activation frame (missiles appear after this)	2	triggered			3	number of arrows to fire	2	levels per additional arrow	1	Acivation frame of arrows. Missiles.txt set to remove arrows after 10+lvl frames.	5	?	15	max arrows					0	damage synergy	1	50	25						8	84																																			5	10
Dodge	13	ama	dodge																																											dodge		passive_dodge	clc1	passive_avoid	skill('Avoid'.pst1)																										amazon_dodge_1																																1	0		h2h												NU	NU	xx				1																					((ulvl-1)<(blvl*3)) ? (stat('newskills'.accr)+1) : 1	5	10																			0	3	0	0	1						1				5+min(blvl*2,20)								1	base % dodge melee while still base	15	% dodge max													1								8																																		10		102	10
Disease Spray	14	ama	power strike	6	11												poisonspraybolt	poisonspraybolt	poisonspraybolt																																																																									19					poisonspraybolt	poisonspraybolt	poisonspraybolt										1	5		h2h		spea										A1	A1	xx				1		1	1								1		1								((ulvl-1)<(blvl*3)) ? (stat('newskills'.accr)+1) : 1	5	20								1					1						1	8	6	0	1										min(par1 + lvl/par2,par3)	# bolts							3	Minimum pois bolts	2	Levels per extra bolt.	14	max bolts									14	damage synergy	1	50	25						1															pois	65	65	86	129	215	370	99	65	86	129	215	370	((skill('Poison Javelin'.blvl)+skill('Plague Javelin'.blvl))*par8) + (stat('energy'.accr)/4) + (blvl*5*skill('Kick'.clc1)/100)	75							5	10
Poison Javelin	15	ama	poison javelin	4										poisonjav																																																															amazon_cast_poison		1												11					poisonjav													1	2		rng		jave										TH	TH	xx				1																					((ulvl-1)<(blvl*3)) ? (stat('newskills'.accr)+1) : 1	10	20													1						1	8	6	0	1																																14	damage synergy	1	50	25						1	128														pois	49	49	65	96	161	280	75	49	65	96	161	280	((skill('Disease Spray'.blvl)+skill('Plague Javelin'.blvl))*par8) + (stat('energy'.accr)/4) + (blvl*5*skill('Kick'.clc1)/100)	50							5	10
Exploding Arrow	16	ama	exploding arrow	4										explodingarrow																																																																													11					explodingarrow													1	5		rng		miss										A1	A1	xx				1											1		1								((ulvl-1)<(blvl*3)) ? (stat('newskills'.accr)+1) : 1	10	20													1		1				1	8	6	0	1																		6	Explosion Radius (Changed in Missiles.txt)													14	damage synergy	1								8	128														fire	6	6	10	15	20	29	13	8	11	16	23	36	((skill('Fire Arrow'.blvl)+skill('Immolation Arrow'.blvl))*par8) + (stat('energy'.accr)/4) + (blvl*5*skill('Kick'.clc1)/100)								5	20
Slow Missiles	17	ama	slow missiles		30																34179		slowmissiles	ln34 * (100 + stat('item_skill_duration_increased'.accr)) / 100	ln56	skill_handofathena	max(ln12, par7)	fireresist	clc4	lightresist	clc4	coldresist	clc4	poisonresist	clc4																																										amazon_handofathena											cast_slowmissiles			18	30					curseinnersight												1	8		none												SC	SC	xx					4												1						amazon_handofathena	cast_slowmissiles	((ulvl-1)<(blvl*3)) ? (stat('newskills'.accr)+1) : 1	10	5								1					1						1	7	10	1	1																-3-((blvl>0)?((blvl-1)/2):0)	%LowerResistances	75	% velocity for missiles	-1	% velocity per level, min par7	250	duration	25	duration per level	12	radius of effect	1	radius per level	75	Min missile velocity	2	levels per -1%AllRes	1								8																																				51	20
Avoid	18	ama	avoid																																													passive_avoid	clc1																												amazon_dodge_1																																1	0		none												S1	S1	xx																									((ulvl-1)<(blvl*3)) ? (stat('newskills'.accr)+1) : 1	10	20					Dodge														0	3	0	0	1						1				5+min(blvl,20)								1	min % avoid missiles while still base	15	% avoid per level max		** PassiveState removed, see hidden skill “Dodge¡Åfor stats		** 27 States on char crashes game		** 19 States on char drops in Miultiplayer							1								8																																				102	20
Impale	19	ama	impale	39	2																	impale		100		armor_override_percent	blvl*par7-100	passive_mag_pierce	blvl/4																																																amazon_impale_1		1	1																													1	6		h2h		spea	knif									A1	A1	xx			1	1		1	1								1										((ulvl-1)<(blvl*3)) ? (stat('newskills'.accr)+1) : 1	10	20								1					1						1	8	2	0											(20+(blvl*25))+(lvl*10)	+%Damage	par5	dur loss chance	par5	dur loss	100	convert %	0	Percent damage	0	% damage per level	0	% chance durability loss delta min	0	% chance durability loss delta max	0	durability loss	0	% max chance durability loss	5	total def per blvl		damage synergy	1	50	25						8	160														mag																					5	20
Lightning Bolt	20	ama	lightning bolt	4										lightningjavelin																																																																													11					lightningjavelin													1	6		rng		jave										TH	TH	xx																	1								((ulvl-1)<(blvl*3)) ? (stat('newskills'.accr)+1) : 1	5	20													1						1	5	8	1	1																																14	damage synergy	1								8	128														ltng	1	0	0	0	0	0	50	19	25	38	56	83	((skill('Charged Strike'.blvl)+skill('Lightning Fury'.blvl))*par8) + (stat('energy'.accr)/4) + (blvl*5*skill('Kick'.clc1)/100)								5	10
Ice Arrow	21	ama	ice arrow	4										icearrow																																																																													11					icearrow													1	6		rng		miss										A1	A1	xx				1																					((ulvl-1)<(blvl*3)) ? (stat('newskills'.accr)+1) : 1	10	20													1		1				1	8	6	0	1																														5	length synergy	14	damage synergy	1	50	25						8	128														cold	8	8	10	18	28	43	15	9	13	20	30	44	(skill('Cold Arrow'.blvl)+skill('Freezing Arrow'.blvl))*par8 + (stat('energy'.accr)/4)+ (blvl*5*skill('Kick'.clc1)/100)	35	5	5	5				640	16000
Guided Arrow	22	ama	guided arrow	4	10												guidedarrow	guidedarrow	guidedarrow																																																																								11	18					guidedarrow	guidedarrow	guidedarrow										1	4		rng		miss										A1	A1	xx				1											1		1								((ulvl-1)<(blvl*3)) ? (stat('newskills'.accr)+1) : 1	10	20													1		1				1	4	80	-1	1										((blvl*20)+(lvl*5))+skill('Strafe'.blvl)*par8+skill('Multiple Shot'.blvl)*par8	+%Damage																					25	damage synergy	1								8	128																																			5	20
Penetrate	23	ama	penetrate																																											penetrate		attackrate	blvl*2	velocitypercent	9+lvl	skill_armor_percent	clc1	lifedrainmindam	blvl/2																																																						1	1		rng		spea	miss											xx																									((ulvl-1)<(blvl*3)) ? (stat('newskills'.accr)+1) : 1	20	10																			0	3	0	0	1						1				ln12 + par8*(skill('Jab'.blvl)+skill('Impale'.blvl)+skill('Fend'.blvl))								5	%AC bonus	5	%AC bonus per level	10	%FRWalk bonus	1	%FRWalk per level	25	+%Faster Cast Rate	3	+%FCRate per level			30	%AC synergy	1								8																																				102	40
Charged Strike	24	ama	charged strike	6	11												chargedstrikebolt	chargedstrikebolt	chargedstrikebolt																																																																									19					chargedstrikebolt	chargedstrikebolt	chargedstrikebolt										1	5		h2h		spea										A1	A1	xx				1		1	1								1		1								((ulvl-1)<(blvl*3)) ? (stat('newskills'.accr)+1) : 1	10	20								1					1						1	8	6	0	1										min(par1 + lvl,par2)	# bolts							3	Bolts to send out	14	max bolts (+1 per level)											14	damage synergy	1	50	25						8															ltng	1	0	0	0	0	0	38	4	6	11	15	20	((skill('Lightning Bolt'.blvl)+skill('Lightning Fury'.blvl))*par8) + (stat('energy'.accr)/4) + (blvl*5*skill('Kick'.clc1)/100)								5	30
Plague Javelin	25	ama	plague javelin	4										amaplaguejav1																																																															amazon_cast_poison		1												11					amaplaguejav1													1	3		rng		jave										TH	TH	xx				1													1								((ulvl-1)<(blvl*3)) ? (stat('newskills'.accr)+1) : 1	20	20													1				1		1	8	6	0	1																																14	damage synergy	1	50	25						1	128														pois	36	36	49	74	120	210	58	36	49	74	120	210	((skill('Disease Spray'.blvl)+skill('Poison Javelin'.blvl))*par8) + (stat('energy'.accr)/4) + (blvl*5*skill('Kick'.clc1)/100)	75							5	30
Strafe	26	ama	strafe	8	12												strafearrow	strafebolt							par5																																																				amazon_dodge_1					paladin_charge									13	20					strafearrow	strafebolt											1	0		rng		miss										A1	A1	xx				1											1		1								((ulvl-1)<(blvl*3)) ? (stat('newskills'.accr)+1) : 1	20	20													1		1				1	6	8	1											min(4 + lvl/par3, par4)	#missiles	((blvl*20)+(lvl*5))+skill('Guided Arrow'.blvl)*par8+skill('Multiple Shot'.blvl)*par8	damage %	min(3 + lvl/par7, par4)	min # missiles							2	Levels per +1 Shots (4 shots at level 1 )	10	Max shots to take (can't move until finished!)	30	Radius to consider targets	50	% frame rollback	4	SynergyLevels per extra minimum shot	25	damage synergy	1								8	96																																			5	30
Immolation Arrow	27	ama	immolation arrow	4										immolationarrow																																																																													11					immolationarrow													1	6		rng		miss										A1	A1	xx				1											1		1								((ulvl-1)<(blvl*3)) ? (stat('newskills'.accr)+1) : 1	20	20													1		1				1	8	6	0	1										par1	fire disc radius	par2	damage radius					4	Fire disc radius	4	Radial Damage Radius											9	damage synergy	1								8	128														fire	10	1	1	1	1	1	12	1	1	1	1	1	((skill('Exploding Arrow'.blvl)+skill('Fire Arrow'.blvl))*par8) + (stat('energy'.accr)/4) + (blvl*5*skill('Kick'.clc1)/100)								5	40
Dopplezon	28	ama	dopplezon		15																	dopplezon		100 * (100-min(stat('item_cast_delay_reduced'.accr),skill('Kick'.par4)))/100		fireresist	clc4	lightresist	clc4	coldresist	clc4	poisonresist	clc4																											dopplezon	dopplezon	1	NU	PetSalvation	3*blvl										dopllezon_appear		amazon_valkyrie_cast																																1	4		none												SC	SC	xx					4																				((ulvl-1)<(blvl*3)) ? (stat('newskills'.accr)+1) : 1	15	20								1				len	1						0	3	480	10	1										ln56	bonus hp%	ln12	duration	ln34	%hp of caster	ln78	%ResAll	300	duration of decoy	10	duration per level	75	%CasterHP given to Decoy	1	%CasterHP per Level	1	%Bonus HP	1	%Bonus HP per level	0	%Res (doesn't seem to work?)	0	% Res per level	1								8																																				26	30
Evade	29	ama	evade																																											evade		item_fastergethitrate	clc2	skill_concentration	clc4																																																										1	0		none												S1	S1	xx																									((ulvl-1)<(blvl*3)) ? (stat('newskills'.accr)+1) : 1	20	1																			0	3	0	0	1						1						ln34	Faster Hit Recovery Bonus	ln56	Velocity Bonus	ln34	Uninterrupted Bonus	50	%AC bonus	10	%AC bonus per level	30	%Hit Recovery Bonus	1	%Hit Recovery Bonus per level	12	%FRWalk bonus	1	%FRWalk per level	50	%Chance attack uninterruptable	25	%AC synergy	1								8																																				102	20
Fend	30	ama	fend		18									fend			fend					dmgboost		15		damagepercent	(20+(blvl*25))+(lvl*5)																																																			amazon_jab_1	1												14	21				fend	fend												1	0		h2h		spea	knif									A1	A1	xx	9		1			1	1								1										((ulvl-1)<(blvl*3)) ? (stat('newskills'.accr)+1) : 1	20	20								1					1						1	4	80	-3											par5	max targets	(100+(blvl*25))+(lvl*10)	damage %					1	additional target/level	60	% frame rollback	25	% damage percent	10	damage % per level	1	max targets	100		10		0	damage synergy	1								8	84																																			5	40
Freezing Arrow	31	ama	freezing arrow	4										freezingarrow																																																																													11					freezingarrow													1	7		rng		miss										A1	A1	xx				1											1		1								((ulvl-1)<(blvl*3)) ? (stat('newskills'.accr)+1) : 1	25	20													1		1				1	8	6	0	1										par1	damage radius							4	Radius of impact											5	length synergy	14	damage synergy	1								8	128														cold	13	6	10	15	20	29	25	8	11	18	23	36	(skill('Ice Arrow'.blvl)+skill('Cold Arrow'.blvl))*par8 + (stat('energy'.accr)/4) + (blvl*5*skill('Kick'.clc1)/100)	35	5	3	3				5	50
Valkyrie	32	ama	valkyrie		16																			200 * (100-min(stat('item_cast_delay_reduced'.accr),skill('Kick'.par4)))/100		dexterity	ln12	strength	ln12																			tohit	toht	maxhp	clc3									valkyrie	valkyrie	1	NU	Critical Strike	max(1, skill('Critical Strike'.blvl)) + clc4	Dodge	max(1, skill('Dodge'.blvl)) + clc4	Avoid	max(1, skill('Avoid'.blvl)) + clc4	Penetrate	max(1, skill('Penetrate'.blvl)) + clc4	Evade	max(1, skill('Evade'.blvl)) + clc4				amazon_valkyrie_cast																																1	6		none												SC	SC	xx					4												1								((ulvl-1)<(blvl*3)) ? (stat('newskills'.accr)+1) : 1	25	20								1				len	1						1	8	40	2	1	1									(ulvl*5) * (blvl+20)/40	bonus hp%	min(ln56, 99)	itemlevel	edmn*256*(100+stat('passive_summlife'.acc))/100	+HP bonus	stat('item_allskills'.accr)+stat('item_addclassskills'.accr)	Evasion Passives soft bonus	200	Srength and Dex	20	Strength and Dex per level	0	%ResAll	0	%ResAll per level	30	Magic Item level	2	Magic Item level per level		!! skillDesc uses auralen field for CDelay desc !!	2	hp synergy	1			2000+40*lvl					8																600	90	90	90	90	90															26	50
Pierce	33	ama	pierce																																											pierce		skill_pierce	clc1	item_tohit_percent	clc2	hpregen	clc4																																																								1	0		rng		miss												xx																									((ulvl-1)<(blvl*3)) ? (stat('newskills'.accr)+1) : 1	1	10																			0	3	0	0	1	1					1				10+4*blvl+lvl/2	pierce	50+25*blvl+15*lvl	ar%			3*(stat('maxhp'.accr)/256)/10 + stat('vitality'.base)*5	passive regen	25	% chance pierce base	103	 % chance pierce max		**Passive State removed, stats given to CriticalStrike to reduce States **		** 27 States crashes game		** 19 States will drop other players in MultiPlayer							1	50	25						8																																				102	40
Lightning Strike	34	ama	lightning strike	10	14												lightningstrike	lightningstrike	lightningstrike						par1																																																																			22					lightningstrike	lightningstrike	lightningstrike										1	8		h2h		spea										A1	A1	xx				1		1	1								1		1								((ulvl-1)<(blvl*3)) ? (stat('newskills'.accr)+1) : 1	20	20								1					1						1	8	6	0	1										par1	radius	par3 +lvl/par4	hits					20	radius of jump to next target			5	Target hits	5	Levels of synergy per target							28	damage synergy	1	50	25						8															ltng	1	0	0	0	0	0	44	13	19	31	50	75	(skill('Jab'.blvl)*par8) + (stat('energy'.accr)/4) + (blvl*5*skill('Kick'.clc1)/100)								5	50
Lightning Fury	35	ama	lightning fury	4										lightningfury							42371				par3																																																																		11					lightningfury													1	8		rng		jave										TH	TH	xx																	1								((ulvl-1)<(blvl*3)) ? (stat('newskills'.accr)+1) : 1	20	20													1						1	8	8	0	1										2+blvl/5	# bolts							2	lightning bolts from target	0	levels per exra bolt	5	Target search radius	6	max bolts							14	damage synergy	1								8	128														ltng	1	0	0	0	0	0	38	6	13	19	25	30	((skill('Charged Strike'.blvl)+skill('Lightning Bolt'.blvl))*par8) + (stat('energy'.accr)/4) + (blvl*5*skill('Kick'.clc1)/100)								5	50
Fire Bolt	36	sor	fire bolt											firebolt																																																															sorceress_cast_fire											fire_cast_1								firebolt													1	5		none												SC	SC	xx																	1						sorceress_cast_fire		((ulvl-1)<(blvl*3)) ? (stat('newskills'.accr)+1) : 1	1	20													1						1	5	8	1	1										1						(skill('Warmth'.blvl)+skill('Energy Shield'.blvl))*par7	synergy for most sorc skills, referred to in skillDesc.txt and synCalc													1	Warmth+EShield synergy applied to all sorc skills	14	damage synergy	1								8															fire	5	5	10	15	23	33	10	8	13	18	25	41	((skill('Blaze'.blvl)+skill('Meteor'.blvl))*par8) + (stat('energy'.accr)/4) + (blvl*5*skill('Kick'.clc1)/100)								5	0
Warmth	37	sor	warmth																																											warmth		manarecoverybonus	clc3	hpregen	clc1+clc4	item_fasterblockrate	clc2	item_fastergethitrate	clc2																																																						1	0		none												SC	SC	xx																									((ulvl-1)<(blvl*3)) ? (stat('newskills'.accr)+1) : 1	1	20								1											0	3	0	0	1	1					1				50 + (blvl*10) + lvl*10	life regen	20 + (blvl*3) + lvl	FBR and FHR	20 + (blvl*3) + lvl	mana regen	3*(stat('maxhp'.accr)/256)/10 + stat('vitality'.base)*5	passive regen	24	increase in mana recovery	2	additional increase/level	24	Replenish Life Bonus	2	+RepLife per level	24	% Faster Block Rate	2	+%FBRate per level	12	+%FHRecovery	1	+%FHR per level	1								8															fire																					102	0
