name	type	code	alternateGfx	version	compactsave	rarity	spawnable	mindam	maxdam	1or2handed	2handed	2handmindam	2handmaxdam	minmisdam	maxmisdam	rangeadder	speed	StrBonus	DexBonus	reqstr	reqdex	durability	nodurability	level	levelreq	cost	gamble cost	magic lvl	auto prefix	OpenBetaGfx	normcode	ubercode	ultracode	wclass	2handedwclass	component	hit class	invwidth	invheight	stackable	minstack	maxstack	flippyfile	invfile	uniqueinvfile	setinvfile	hasinv	gemsockets	gemapplytype	special	useable	sound	unique	transparent	transtbl	quivered	lightradius	belt	quest	missiletype	durwarning	qntwarning	gemoffset	bitfield1	CharsiMin	CharsiMax	CharsiMagicMin	CharsiMagicMax	CharsiMagicLvl	GheedMin	GheedMax	GheedMagicMin	GheedMagicMax	GheedMagicLvl	AkaraMin	AkaraMax	AkaraMagicMin	AkaraMagicMax	AkaraMagicLvl	FaraMin	FaraMax	FaraMagicMin	FaraMagicMax	FaraMagicLvl	LysanderMin	LysanderMax	LysanderMagicMin	LysanderMagicMax	LysanderMagicLvl	DrognanMin	DrognanMax	DrognanMagicMin	DrognanMagicMax	DrognanMagicLvl	HraltiMin	HraltiMax	HraltiMagicMin	HraltiMagicMax	HratliMagicLvl	AlkorMin	AlkorMax	AlkorMagicMin	AlkorMagicMax	AlkorMagicLvl	OrmusMin	OrmusMax	OrmusMagicMin	OrmusMagicMax	OrmusMagicLvl	ElzixMin	ElzixMax	ElzixMagicMin	ElzixMagicMax	ElzixMagicLvl	AshearaMin	AshearaMax	AshearaMagicMin	AshearaMagicMax	AshearaMagicLvl	CainMin	CainMax	CainMagicMin	CainMagicMax	CainMagicLvl	HalbuMin	HalbuMax	HalbuMagicMin	HalbuMagicMax	HalbuMagicLvl	JamellaMin	JamellaMax	JamellaMagicMin	JamellaMagicMax	JamellaMagicLvl	LarzukMin	LarzukMax	LarzukMagicMin	LarzukMagicMax	LarzukMagicLvl	DrehyaMin	DrehyaMax	DrehyaMagicMin	DrehyaMagicMax	DrehyaMagicLvl	MalahMin	MalahMax	MalahMagicMin	MalahMagicMax	MalahMagicLvl	Source Art	Game Art	Transform	InvTrans	SkipName	NightmareUpgrade	HellUpgrade
Wand	wand	wnd	wnd	0		2	1	2	4									1				15		2	0	205	3910			wnd	wnd	9wn	7wn	1hs	1hs	5	1hss	1	2				flpwnd	invwnd	invwndu	invwndu			0	magically charged	0	30	0	0	5	0	0	0	0	0	7	0	0	5	0	0	0	0	255	0	0	0	0	255	4	6	7	9	1	0	0	0	0	255	0	0	0	0	255	0	0	1	2	1	0	0	0	0	255	0	0	0	0	255	0	0	0	0	1	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	1	0	0	0	0	1	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255			5	8	0	xxx	xxx
Yew Wand	wand	ywn	ywn	0		3	1	2	8								10	1				15		12	0	745	17440			wnd	ywn	9yw	7yw	1hs	1hs	5	1hss	1	2				flpywn	invywn					0	magically charged	0	30	0	0	5	0	0	0	0	0	7	0	0	5	0	0	0	0	255	0	0	0	0	255	1	2	1	1	1	0	0	0	0	255	0	0	0	0	255	3	5	5	9	1	0	0	0	0	255	0	0	0	0	255	2	3	2	3	1	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	1	0	0	0	1	1	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255			5	8	0	xxx	xxx
Bone Wand	wand	bwn	bwn	0		4	1	3	7								-20	1				15		18	0	1296	34828			wnd	bwn	9bw	7bw	1hs	1hs	5	1hss	1	2				flpbwn	invbwn	invbwnu	invbwnu			0	magically charged	0	30	0	0	5	0	0	0	0	0	7	0	0	5	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	1	3	1	3	1	0	0	0	0	255	0	0	0	0	255	3	5	5	7	1	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	1	3	4	2	3	1	0	0	0	0	255	0	0	0	0	255	3	4	2	3	1			1	2	0	xxx	xxx
Grim Wand	wand	gwn	bwn	0		5	1	5	11									1				15		26	0	2098	70048			wnd	gwn	9gw	7gw	1hs	1hs	5	1hss	1	2				flpgwn	invgwn					0	magically charged	0	30	0	0	5	0	0	0	0	0	7	0	0	5	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	0	0	0	0	0	255	0	0	0	0	255	1	2	0	1	1	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	1	1	3	1	2	1	0	0	0	0	255	0	0	1	2	1	1	3	1	2	1			1	2	0	xxx	xxx
Club	club	clb	clb	0		1	1	1	6								-10	1				24		1	0	32	3032			clb	clb	9cl	7cl	1hs	1hs	5	club	1	3				flpclb	invclb	invclbu	invclbu	1	2	0		0	28	0	0	5	0	0	0	0	0	7	0	0	1	0	0	0	0	255	0	1	0	1	1	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255			5	2	0	xxx	xxx
Scepter	scep	scp	mac	0		1	1	6	12									1		25		50		3	0	350	5050			mac	scp	9sc	7sc	1hs	1hs	5	club	1	3				flpscp	invscp			1	2	0	magically charged	0	29	0	0	5	0	0	0	0	0	7	0	0	3	0	0	0	0	255	0	0	0	0	255	2	4	2	4	1	0	0	0	0	255	0	0	0	0	255	2	3	3	5	1	0	0	0	0	255	0	0	0	0	255	0	1	0	1	1	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	1	0	0	0	0	1	0	0	0	1	1	0	0	0	0	255	0	0	0	0	1			2	2	0	xxx	xxx
Grand Scepter	scep	gsc	mac	0		3	1	8	16							1	10	1		37		60		15	0	1109	26635			mac	gsc	9qs	7qs	1hs	1hs	5	club	1	3				flpgsc	invgsc			1	3	0	magically charged	0	29	0	0	5	0	0	0	0	0	7	0	0	3	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	1	3	1	3	1	0	0	0	0	255	0	0	0	0	255	3	5	3	5	1	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	1	2	3	1	2	1	0	0	0	1	1	0	0	0	0	255	2	3	1	2	1			2	2	0	xxx	xxx
War Scepter	scep	wsp	whm	0		4	1	10	21							1	-10	1		55		70		21	0	2323	61783			mac	wsp	9ws	7ws	1hs	1hs	5	club	2	3				flpwsp	invwsp			1	5	0	magically charged	0	29	0	0	5	0	0	0	0	0	7	0	0	3	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	1	3	1	3	1	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	1	1	2	1	1	1	0	0	0	1	1	0	0	1	2	1	1	2	1	1	1			2	2	0	xxx	xxx
Spiked Club	club	spc	clb	0		1	1	5	6							1		1				36		4	0	225	5400			clb	spc	9sp	7sp	1hs	1hs	5	1hsl	1	3				flpspc	invspc	invspcu	invspcu	1	2	0		0	28	0	0	5	0	0	0	0	0	7	0	0	1	0	1	0	1	1	1	1	1	1	1	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	1	1	0	1	1	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255			2	2	0	xxx	xxx
Mace	mace	mac	mac	0		1	1	3	10									1		27		60		8	0	463	10204			mac	mac	9ma	7ma	1hs	1hs	5	1hsl	1	3				flpmac	invmac			1	2	0		0	29	0	0	5	0	0	0	0	0	7	0	0	3	0	1	0	1	1	1	1	1	1	1	0	0	0	0	255	0	1	0	1	1	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	1	2	1	1	1	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255			2	2	0	xxx	xxx
Morning Star	mace	mst	mac	0		1	1	5	12							1	10	1		36		72		13	0	844	19972			mac	mst	9mt	7mt	1hs	1hs	5	1hsl	1	3				flpmst	invmst	invmstu	invmstu	1	3	0		0	29	0	0	5	0	0	0	0	0	7	0	0	3	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	1	1	0	1	1	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255			1	2	0	xxx	xxx
Flail	mace	fla	fla	0		1	1	1	15							2	-10	1		41	35	30		19	0	1412	38828			mac	fla	9fl	7fl	1hs	1hs	5	1hsl	2	3				flpfla	invfla			1	5	0		0	29	0	0	5	0	0	0	0	0	7	0	0	3	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	1	1	0	1	1	0	0	0	0	255	0	0	0	0	255	1	1	1	1	1	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	1	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255			2	2	0	xxx	xxx
War Hammer	hamm	whm	whm	0		4	1	11	20								20	1		53		55		25	0	2081	67025			mac	whm	9wh	7wh	1hs	1hs	5	1hsl	2	3				flpwhm	invwhm			1	4	0		0	29	0	0	5	0	0	0	0	178	7	0	0	3	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	1	1	0	1	1	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	1	1	1	1	255	0	0	0	0	255	1	1	1	1	1	0	0	0	0	255	0	0	0	0	255			2	2	0	xxx	xxx
Maul	hamm	mau	mau	0		1	1				1	30	40			1	10	1		69		60		21	0	1670	48070			mau	mau	9m9	7m7	stf	stf	5	2hsl	2	4				flpmau	invmau	invmauu	invmauu	1	6	0		0	16	0	0	5	0	0	0	0	0	7	0	0	3	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	1	1	1	1	1	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	1	1	1	1	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255			2	2	0	xxx	xxx
Great Maul	hamm	gma	mau	0		1	1				1	35	55			2	20	1		99		60		32	0	3215	121380			mau	gma	9gm	7gm	stf	stf	5	2hsl	2	3				flpgma	invgma	invgma	invgma	1	6	0		0	16	0	0	5	0	0	0	0	0	7	0	0	3	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255			2	2	0	xxx	xxx
Short Sword	swor	ssd	ssd	0		1	1	2	7									1				24		1	0	72	3072			ssd	ssd	9ss	7ss	1hs	1hs	5	1hsl	1	3				flpssd	invssd			1	2	0		0	29	0	0	5	0	0	0	0	0	7	0	0	3	1	1	0	1	1	0	1	0	1	1	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	1	1	0	1	1	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255			1	2	0	xxx	xxx
Scimitar	swor	scm	scm	0		1	1	2	6								-20	1			21	22		5	0	274	6370			scm	scm	9sm	7sm	1hs	1hs	5	1hsl	1	3				flpscm	invscm	invscmu	invscmu	1	2	0		0	29	0	0	5	0	0	0	0	0	7	0	0	3	1	1	1	1	1	1	1	1	1	1	0	0	0	0	255	0	1	0	1	1	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	1	1	0	1	1	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255			1	2	0	xxx	xxx
Saber	swor	sbr	scm	0		1	1	3	8								-10	1		25	25	32		8	0	466	10228			scm	sbr	9sb	7sb	1hs	1hs	5	1hsl	1	3				flpsbr	invsbr	inv9sbu	inv9sbu	1	2	0		0	29	0	0	5	0	0	0	0	0	7	0	0	3	1	1	1	1	1	0	0	0	0	255	0	0	0	0	255	0	1	0	1	1	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	1	1	1	1	1	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255			1	2	0	xxx	xxx
Falchion	swor	flc	flc	0		2	1	7	15								20	1		33		32		11	0	683	15513			scm	flc	9fc	7fc	1hs	1hs	5	1hsl	1	3				flpflc	invflc	invflcu	invflcu	1	2	0		0	29	0	0	5	0	0	0	0	0	7	0	0	3	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	1	1	0	1	1	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	1	1	0	1	1	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255			1	2	0	xxx	xxx
Crystal Sword	swor	crs	crs	0		4	1	5	15							1		1		43		20		11	0	2127	31397			ssd	crs	9cr	7cr	1hs	1hs	5	1hsl	2	3				flpcrs	invcrs	invcrsu	invcrsu	1	6	0		0	29	0	0	5	0	5	0	0	0	7	0	0	1	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	1	1	0	0	0	0	255	0	0	0	0	255	0	0	0	1	1	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	1	0	0	0	1	1	0	0	0	1	1	0	0	0	0	1	0	0	0	1	1			1	8	0	xxx	xxx
Broad Sword	swor	bsd	bsd	0		1	1	7	14									1		48		32		15	0	1029	25435			ssd	bsd	9bs	7bs	1hs	1hs	5	1hsl	2	3				flpbsd	invbsd	invbsdu	invbsdu	1	4	0		0	29	0	0	5	0	0	0	0	0	7	0	0	3	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	1	1	1	1	1	0	0	0	0	255	0	0	0	0	255	0	0	0	1	1	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	1	1	1	1	1	1	1	1	1	1	0	0	0	1	1	0	0	0	0	255	0	0	0	0	255	0	0	0	1	1	0	0	0	0	255			1	2	0	xxx	xxx
Long Sword 	swor	lsd	lsd	0		1	1	3	19							1	-10	1		55	39	44		20	0	1520	42900			ssd	lsd	9ls	7ls	1hs	1hs	5	1hsl	2	3				flplsd	invlsd	invlsdu	invlsdu	1	4	0		0	29	0	0	5	0	0	0	0	0	7	0	0	3	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	1	1	1	1	1	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	1	1	1	1	1	0	0	0	0	255	0	0	0	0	0	1	1	1	1	1	0	0	0	0	255			1	2	0	xxx	xxx
War Sword	swor	wsd	flc	0		1	1	8	20							1		1		71	45	44		27	0	1997	69919			ssd	wsd	9wd	7wd	1hs	1hs	5	1hsl	1	3				flpwsd	invwsd			1	3	0		0	29	0	0	5	0	0	0	0	0	7	0	0	3	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	1	1	0	0	1	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255			1	2	0	xxx	xxx
Two-Handed Sword	swor	2hs	clm	0		1	1	2	9	1	1	8	17			2		1		35	27	44		10	0	644	13940			clm	2hs	92h	72h	1hs	2hs	5	2hss	1	4				flp2hs	inv2hs	inv2hsu	inv2hsu	1	3	0		0	16	0	0	5	0	0	0	0	0	7	0	0	3	1	1	1	1	1	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	1	1	0	1	1	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255			1	2	0	xxx	xxx
Claymore	swor	clm	clm	0		2	1	5	12	1	1	13	30			2	10	1		47		50		17	0	1262	32454			clm	clm	9cm	7cm	1hs	2hs	5	2hss	1	4				flpclm	invclm			1	4	0		0	29	0	0	5	0	0	0	0	0	7	0	0	3	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	1	1	0	1	1	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	1	1	1	1	1	1	1	1	1	1	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255			1	2	0	xxx	xxx
Giant Sword	swor	gis	gsd	0		2	1	3	16	1	1	9	28			2		1		56	34	50		21	0	1459	43639			clm	gis	9gs	7gs	1hs	2hs	5	2hss	1	4				flpgis	invgis	invgisu	invgisu	1	4	0		0	29	0	0	5	0	0	0	0	0	7	0	0	3	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	1	0	1	1	0	0	0	0	255	0	0	0	0	255	1	1	0	1	1	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255			1	2	0	xxx	xxx
Bastard Sword	swor	bsw	clm	0		1	1	6	18	1	1	20	28			1	10	1		62		40		24	0	1971	61804			clm	bsw	9b9	7b7	1hs	2hs	5	2hss	1	4				flpbsw	invbsw	invbswu	invbswu	1	4	0		0	29	0	0	5	0	0	0	0	0	7	0	0	3	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	1	1	1	1	1	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	1	0	1	255	0	0	0	0	255	0	1	0	1	1	0	0	0	0	255	0	0	0	0	255			1	2	0	xxx	xxx
