name	version	compactsave	rarity	spawnable	minac	maxac	absorbs	speed	reqstr	block	durability	nodurability	level	levelreq	cost	gamble cost	code	namestr	magic lvl	auto prefix	alternategfx	OpenBetaGfx	normcode	ubercode	ultracode	spelloffset	component	invwidth	invheight	hasinv	gemsockets	gemapplytype	flippyfile	invfile	uniqueinvfile	setinvfile	rArm	lArm	Torso	Legs	rSPad	lSPad	useable	throwable	stackable	minstack	maxstack	type	type2	dropsound	dropsfxframe	usesound	unique	transparent	transtbl	quivered	lightradius	belt	quest	missiletype	durwarning	qntwarning	mindam	maxdam	StrBonus	DexBonus	gemoffset	bitfield1	CharsiMin	CharsiMax	CharsiMagicMin	CharsiMagicMax	CharsiMagicLvl	GheedMin	GheedMax	GheedMagicMin	GheedMagicMax	GheedMagicLvl	AkaraMin	AkaraMax	AkaraMagicMin	AkaraMagicMax	AkaraMagicLvl	FaraMin	FaraMax	FaraMagicMin	FaraMagicMax	FaraMagicLvl	LysanderMin	LysanderMax	LysanderMagicMin	LysanderMagicMax	LysanderMagicLvl	DrognanMin	DrognanMax	DrognanMagicMin	DrognanMagicMax	DrognanMagicLvl	HraltiMin	HraltiMax	HraltiMagicMin	HraltiMagicMax	HratliMagicLvl	AlkorMin	AlkorMax	AlkorMagicMin	AlkorMagicMax	AlkorMagicLvl	OrmusMin	OrmusMax	OrmusMagicMin	OrmusMagicMax	OrmusMagicLvl	ElzixMin	ElzixMax	ElzixMagicMin	ElzixMagicMax	ElzixMagicLvl	AshearaMin	AshearaMax	AshearaMagicMin	AshearaMagicMax	AshearaMagicLvl	CainMin	CainMax	CainMagicMin	CainMagicMax	CainMagicLvl	HalbuMin	HalbuMax	HalbuMagicMin	HalbuMagicMax	HalbuMagicLvl	JamellaMin	JamellaMax	JamellaMagicMin	JamellaMagicMax	JamellaMagicLvl	LarzukMin	LarzukMax	LarzukMagicMin	LarzukMagicMax	LarzukMagicLvl	MalahMin	MalahMax	MalahMagicMin	MalahMagicMax	MalahMagicLvl	DrehyaMin	DrehyaMax	DrehyaMagicMin	DrehyaMagicMax	DrehyaMagicLvl	Source Art	Game Art	Transform	InvTrans	SkipName	NightmareUpgrade	HellUpgrade	mindam	maxdam	nameable
Studded Leather 	0	0	1	1	32	35	0	0	28	0	250	0	10	10	2385	9270	stu	stu			stu	stu	stu	xtu	utu	0	1	2	3	1	4	1	flpstu	invstu			1	0	0	1	1	1	0	0	0	0	0	tors		item_lightarmor	12	item_lightarmor	0	0	5	0	0	0	0	0	2	0	0	0			0	1	1	1	1	1	1					1					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255			1	8	0	xtu	utu	0	0	1
Ring Mail	0	0	1	1	45	48	0	0	36	0	250	0	11	11	4428	15177	rng	rng			rng	rng	rng	xng	ung	0	1	2	3	1	4	1	flprng	invrng			0	0	1	1	1	1	0	0	0	0	0	tors		item_chainarmor	12	item_chainarmor	0	0	5	0	0	0	0	0	2	0	0	0			0	3					255					255					255	1	1	1	1	1					255					255					255					255					255	1	1	1	1	1					255					255					255					255					255					255					255			1	8	0	xng	ung	0	0	1
Scale Mail	0	0	1	1	57	60	0	0	44	0	250	0	16	16	6508	20151	scl	scl			scl	scl	scl	xcl	ucl	0	1	2	3	1	4	1	flpscl	invscl			1	1	1	1	1	1	0	0	0	0	0	tors		item_chainarmor	12	item_chainarmor	0	0	5	0	0	0	0	0	2	0	0	0			0	3					255					255					255	1	1	1	1	1					255					255					255					255					255	1	1	1	1	1					255				1	1					255					255					255					255					255			1	8	0	xcl	ucl	0	0	1
Chain Mail	0	0	1	1	72	75	0	0	48	0	250	0	22	22	9360	35100	chn	chn			chn	chn	chn	xhn	uhn	0	1	2	3	1	4	1	flpchn	invchn			1	1	1	1	2	2	0	0	0	0	0	tors		item_chainarmor	12	item_chainarmor	0	0	5	0	0	0	0	0	2	0	0	0			0	3					255					255					255	1	1	1	1	1					255					255					255					255					255	1	1	1	1	1					255	1	1	1	1	1					255					255					255					255					255			1	8	0	xhn	uhn	0	0	1
Breast Plate	0	0	1	1	65	68	1	0	32	0	250	0	18	18	10078	36851	brs	brs			brs	brs	brs	xrs	urs	0	1	2	3	1	4	1	flpbrs	invbrs			0	0	2	0	2	2	0	0	0	0	0	tors		item_platearmor	12	item_platearmor	0	0	5	0	0	0	0	0	2	0	0	0			0	3					255					255					255	1	1	1	1	1					255					255			1	1	1					255					255					255	1	1	1	1	1	1	1	1	1	1					255					255					255					255					255			1	8	0	xrs	urs	0	0	1
Splint Mail	0	0	1	1	90	95	1	0	52	0	250	0	22	22	15000	40000	spl	spl			spl	spl	spl	xpl	upl	0	1	2	3	1	4	1	flpspl	invspl			1	1	2	1	1	1	0	0	0	0	0	tors		item_platearmor	12	item_platearmor	0	0	5	0	0	0	0	0	2	0	0	0			0	3					255					255					255					255					255					255	1	1	1	1	1					255					255					255	1	1	1	1	1	1	1		1	1					255					255					255					255					255			8	8	0	xpl	upl	0	0	1
Plate Mail	0	0	1	1	108	116	2	0	64	0	250	0	28	28	20000	45000	plt	plt			plt	plt	plt	xlt	ult	0	1	2	3	1	4	1	flpplt	invplt			2	2	2	2	1	1	0	0	0	0	0	tors		item_platearmor	12	item_platearmor	0	0	5	0	0	0	0	0	2	0	0	0			0	3					255					255					255					255					255					255	1	1	1	1	1					255					255					255					255					255					255	1	1	1	1	1					255					255					255			8	8	0	xlt	ult	0	0	1
Field Plate	0	0	1	1	101	105	2	0	56	0	250	0	28	28	25000	50000	fld	fld			fld	fld	fld	xld	uld	0	1	2	3	1	4	1	flpfld	invfld			1	1	2	2	2	2	0	0	0	0	0	tors		item_platearmor	12	item_platearmor	0	0	5	0	0	0	0	0	2	0	0	0			0	3					255					255					255					255					255					255					255					255					255					255					255					255	1	1	1	1	20	1	1	1	1	1					255					255					255			8	8	0	xld	uld	0	0	1
Gothic Plate	0	0	1	1	128	135	3	0	72	0	250	0	32	32	30000	55000	gth	gth			gth	gth	gth	xth	uth	0	1	2	3	1	4	1	flpgth	invgth			2	2	1	2	2	2	0	0	0	0	0	tors		item_platearmor	12	item_platearmor	0	0	5	0	0	0	0	0	2	0	0	0			0	3					255					255					255					255					255					255					255					255					255					255					255					255	1	1	1	1	20		1		1	1					255					255					255			8	8	0	xth	uth	0	0	1
Full Plate Mail	0	0	1	1	150	161	4	0	80	0	250	0	40	40	35000	60000	ful	ful			ful	ful	ful	xul	uul	0	1	2	3	1	4	1	flpful	invful	invfulu	invfulu	2	2	2	2	2	2	0	0	0	0	0	tors		item_platearmor	12	item_platearmor	0	0	5	0	0	0	0	0	2	0	0	0			0	3					255					255					255					255					255					255					255					255					255					255					255					255					20					1	1	1	1	1	20					255					255			8	8	0	xul	uul	0	0	1
Ancient Armor	0	0	1	1	190	210	6	0	100	0	250	0	46	46	40000	65000	aar	aar			aar	aar	aar	xar	uar	0	1	2	3	1	6	1	flpaar	invaar	invaaru	invaaru	1	2	2	2	2	0	0	0	0	0	0	tors		item_platearmor	12	item_platearmor	0	0	5	0	0	0	0	0	2	0	0	0			0	3					255					255					255					255					255					255					255					255					255					255					255					255					255					255	1	1	1	1	20					255					20			8	8	0	xar	uar	0	0	1
Light Plate	0	0	1	1	90	107	3	0	40	0	250	0	35	35	35000	60000	ltp	ltp			ltp	ltp	ltp	xtp	utp	0	1	2	3	1	4	1	flpltp	invltp			2	0	1	1	2	2	0	0	0	0	0	tors		item_platearmor	12	item_platearmor	0	0	5	0	0	0	0	0	2	0	0	0			0	3					255					255					255					255					255					255					255					255					255					255					255					255	1	1	1	1	20		1		1	1	1	1	1	1	20					255					20			1	8	0	xtp	utp	0	0	1
Buckler	0	0	1	1	4	6	0	0	12	8	250	0	1	0	68	3017	buc	buc			buc	buc	buc	xuc	uuc	0	7	2	2	1	4	2	flpbuc	invbuc	invbucu	invbucu							0	0	0	0	0	shie		item_woodshield	12	item_woodshield	0	0	5	0	0	0	0	0	1	0	2	3	300		0	3			1	1	1	1	1	1	1	1					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255			8	8	0	xuc	uuc	0	0	1
Small Shield	0	0	1	1	8	10	0	0	24	10	250	0	5	5	410	5512	sml	sml			buc	buc	sml	xml	uml	0	7	2	2	1	4	2	flpsml	invsml	invsmlu	invsmlu							0	0	0	0	0	shie		item_woodshield	12	item_woodshield	0	0	5	0	0	0	0	0	1	0	4	6	300		0	3	1	1	1	1	1					255					255					255					255					255					255					255					255					255					255				1	1					255					255					255					255					255			8	5	0	xml	uml	0	0	1
Large Shield	0	0	1	1	12	14	0	0	32	12	250	0	11	11	1214	11338	lrg	lrg			lrg	buc	lrg	xrg	urg	0	7	2	3	1	4	2	flplrg	invlrg	invlrgu	invlrgu							0	0	0	0	0	shie		item_metalshield	12	item_metalshield	0	0	5	0	0	0	0	0	1	0	7	9	300		0	3					255					255					255	1	1	1	1	1					255					255					255					255					255	1	1	1	1	1					255	1	1	1	1	1					255					255					255					255					255			8	2	0	xrg	urg	0	0	1
Kite Shield	0	0	1	1	16	18	0	0	48	10	250	0	16	16	2129	17983	kit	kit			kit	buc	kit	xit	uit	0	7	2	3	1	4	2	flpkit	invkit	invkitu	invkitu							0	0	0	0	0	shie		item_metalshield	12	item_metalshield	0	0	5	0	0	0	0	0	1	0	8	9	300		0	3					255					255					255	1	1	1	1	1					255					255					1					255					255					255	1	1	1	1	1	1	1		1	1					255					255					255					255					255			8	2	0	xit	uit	0	0	1
Tower Shield	0	0	1	1	22	25	1	0	76	20	250	0	25	25	4249	36869	tow	tow			tow	buc	tow	xow	uow	0	7	2	3	1	4	2	flptow	invtow	invtowu	invtowu							0	0	0	0	0	shie		item_metalshield	12	item_metalshield	0	0	5	0	0	0	0	0	1	0	13	16	300		0	3					255					255					255					255					255					255	1	1	1	1	1					255					255					255					255					255					255	1	1	1	1	1					255					255					20			8	2	0	xow	uow	0	0	1
Gothic Shield	0	0	1	1	30	35	1	0	60	16	250	0	31	31	9000	77500	gts	gts			kit	buc	gts	xts	uts	0	7	2	4	1	4	2	flpgts	invgts	invgtsu	invgtsu							0	0	0	0	0	shie		item_metalshield	12	item_metalshield	0	0	5	0	0	0	0	0	1	0	16	23	300		0	3					255					255					255					255					255					255					255					255					255					255					255					255	1	1	1	1	20		1		1	1	1	1	1	1	20					255					20			8	2	0	xts	uts	0	0	1
Gloves(L)	0	0	1	1	2	3	0	0	0	0	250	0	3	0	80	4000	lgl	lgl			lgl	lgl	lgl	xlg	ulg	0	16	2	2	0	0	0	flplgl	invlgl									0	0	0	0	0	glov		item_gloves	12	item_gloves	0	0	5	0	0	0	0	0	5	0	0	0			0	1			1	1	1	1	1	1	1	1					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255			0	8	0	xlg	ulg	0	0	1
Heavy Gloves	0	0	1	1	5	6	0	0	0	0	250	0	6	6	352	6616	vgl	vgl			vgl	vgl	vgl	xvg	uvg	0	16	2	2	0	0	0	flpvgl	invvgl									0	0	0	0	0	glov		item_gloves	12	item_gloves	0	0	5	0	0	0	0	0	5	0	0	0			0	1	1	1	1	1	1					255					255					255					255					255					255					255					255	1	1	1	1	1					255					255					255					255					255					255					255			0	8	0	xvg	uvg	0	0	1
Bracers(M)	0	0	1	1	8	9	0	0	24	0	250	0	12	12	859	11077	mgl	mgl			mgl	mgl	mgl	xmg	umg	0	16	2	2	0	0	0	flpmgl	invmgl									0	0	0	0	0	glov		item_gloveschain	12	item_gloveschain	0	0	5	0	0	0	0	0	5	0	0	0			0	3					255					255					255	1	1	1	1	1					255					255					255					255					255					255	1	1	1	1	1	1	1		1	1					255					255					255					255					255			0	8	0	xmg	umg	0	0	1
Light Gauntlets	0	0	1	1	9	11	0	0	44	0	250	0	20	20	1635	20675	tgl	tgl			mgl	mgl	tgl	xtg	utg	0	16	2	2	0	0	0	flptgl	invtgl									0	0	0	0	0	glov		item_glovesmetal	12	item_glovesmetal	0	0	5	0	0	0	0	0	5	0	0	0			0	3					255					255					255					255					255					255	1	1	1	1	1					255					255					255					255	1	2	1	1	1					255	1	1	1	1	1					255					255					255			0	8	0	xtg	utg	0	0	1
Gaunlets(H)	0	0	1	1	12	15	0	0	60	0	250	0	27	27	3200	36007	hgl	hgl			hgl	hgl	hgl	xhg	uhg	0	16	2	2	0	0	0	flphgl	invhgl									0	0	0	0	0	glov		item_glovesmetal	12	item_glovesmetal	0	0	5	0	0	0	0	0	5	0	0	0			0	3					255					255					255					255					255					255					255					255					255					255					255	1	1		1	1	1	1	1	1	20	1	1	1	1	1	1	1	1	1	20					255					20			0	8	0	xhg	uhg	0	0	1
Leather Boots	0	0	1	1	2	3	0	0	0	0	250	0	3	0	80	4060	lbt	lbt			lbt	lbt	lbt	xlb	ulb	0	16	2	2	0	0	0	flplbt	invlbt									0	0	0	0	0	boot		item_boots	12	item_boots	0	0	5	0	0	0	0	0	6	0	7	8	150	150	0	1			1	1	1	1	1	1	1	1					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255			0	8	0	xlb	ulb	0	0	1
Heavy Boots	0	0	1	1	5	6	0	0	16	0	250	0	6	6	334	6584	vbt	vbt			vbt	vbt	vbt	xvb	uvb	0	16	2	2	0	0	0	flpvbt	invvbt									0	0	0	0	0	boot		item_boots	12	item_boots	0	0	5	0	0	0	0	0	6	0	9	12	150	150	0	1	1	1	1	1	1					255					255					255					255					255					255					255					255	1	1	1	1	1					255					255					255					255					255					255					255			0	8	0	xvb	uvb	0	0	1
Chain Boots	0	0	1	1	8	9	0	0	32	0	250	0	12	12	854	11062	mbt	mbt			mbt	mbt	mbt	xmb	umb	0	16	2	2	0	0	0	flpmbt	invmbt									0	0	0	0	0	boot		item_bootschain	12	item_bootschain	0	0	5	0	0	0	0	0	6	0	16	20	150	150	0	3					255					255					255	1	1	1	1	1					255					255					255					255					255					255	1	1	1	1	1	1	1		1	1					255					255					255					255					255			0	8	0	xmb	umb	0	0	1
Light Plate Boots	0	0	1	1	9	11	0	0	48	0	250	0	21	21	1630	20650	tbt	tbt			mbt	mbt	tbt	xtb	utb	0	16	2	2	0	0	0	flptbt	invtbt									0	0	0	0	0	boot		item_bootsmetal	12	item_bootsmetal	0	0	5	0	0	0	0	0	6	0	20	31	150	150	0	3					255					255					255					255					255					255	1	1	1	1	1					255					255					255					255	1	2	1	1	1					255	1	1	1	1	1					255					255					255			0	8	0	xtb	utb	0	0	1
Plate Boots	0	0	1	1	12	15	0	0	72	0	250	0	27	27	3200	35939	hbt	hbt			hbt	hbt	hbt	xhb	uhb	0	16	2	2	0	0	0	flphbt	invhbt									0	0	0	0	0	boot		item_bootsmetal	12	item_bootsmetal	0	0	5	0	0	0	0	0	6	0	28	36	150	150	0	3					255					255					255					255					255					255					255					255					255					255					255	1	1		1	1	1	1	1	1	20	1	1	1	1	1	1	1	1	1	20					255					20			0	8	0	xhb	uhb	0	0	1
Sash(L)	0	0	1	1	2	2	0	0	0	0	250	0	3	0	80	4048	lbl	lbl			lbl	lbl	lbl	zlb	ulc	0	16	2	1	0	0	0	flplbl	invlbl									0	0	0	0	0	belt		item_lightarmor	12	item_lightarmor	0	0	5	0	0	6	0	0	4	0	0	0			0	1			1	1	1	1	1	1	1	1					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255			0	8	0	zlb	ulc	0	0	1
Light Belt	0	0	1	1	3	3	0	0	0	0	250	0	6	6	334	6336	vbl	vbl			vbl	vbl	vbl	zvb	uvc	0	16	2	1	0	0	0	flpvbl	invvbl									0	0	0	0	0	belt		item_belt	12	item_belt	0	0	5	0	0	6	0	0	4	0	0	0			0	1	1	1	1	1	1					255					255					255					255					255					255					255					255	1	1	1	1	1					255					255					255					255					255					255					255			0	8	0	zvb	uvc	0	0	1
Belt(M)	0	0	1	1	5	5	0	0	24	0	250	0	12	12	854	9985	mbl	mbl			mbl	mbl	mbl	zmb	umc	0	16	2	1	0	0	0	flpmbl	invmbl									0	0	0	0	0	belt		item_belt	12	item_belt	0	0	5	0	0	6	0	0	4	0	0	0			0	1					255					255					255	1	1	1	1	1					255					255					255					255					255					255	1	1	1	1	1	1	1		1	1					255					255					255					255					255			0	8	0	zmb	umc	0	0	1
Heavy Belt	0	0	1	1	6	6	0	0	44	0	250	0	18	18	1630	17315	tbl	tbl			mbl	mbl	tbl	ztb	utc	0	16	2	1	0	0	0	flptbl	invtbl									0	0	0	0	0	belt		item_belt	12	item_belt	0	0	5	0	0	6	0	0	4	0	0	0			0	1					255					255					255					255					255					255	1	1	1	1	1					255					255					255					255	1	2	1	1	1					255	1	1	1	1	1					255					255					20			0	8	0	ztb	utc	0	0	1
Girdle(H)	0	0	1	1	8	11	0	0	60	0	250	0	24	24	3200	29959	hbl	hbl			hbl	hbl	hbl	zhb	uhc	0	16	2	1	0	0	0	flphbl	invhbl									0	0	0	0	0	belt		item_belt	12	item_belt	0	0	5	0	0	6	0	0	4	0	0	0			0	3					255					255					255					255					255					255					255					255					255					255					255	1	1		1	1	1	1	1	1	20	1	1	1	1	1	1	1	1	1	20					255					20			0	8	0	zhb	uhc	0	0	1
Bone Helm	0	0	1	1	33	36	0	0	24	0	250	0	28	28	6323	48276	bhm	bhm			bhm	hlm	bhm	xh9	uh9	0	0	2	2	1	4	1	flpbhm	invbhm	invbhmu	invbhmu							0	0	0	0	0	helm		item_helm	12	item_helm	0	0	5	0	2	0	0	0	3	0	0	0			0	1					255					255					255					255					255					255	1	1	1	1	1					255					255					255					255					255	1	1	1	1	20					255					255					255					20			8	8	0	xh9	uh9	0	0	1
Bone Shield	0	0	1	1	25	30	0	0	24	20	250	0	22	22	4175	27081	bsh	bsh			bsh	buc	bsh	xsh	ush	0	7	2	3	1	4	2	flpbsh	invbsh	invbshu	invbshu							0	0	0	0	0	shie		item_metalshield	12	item_metalshield	0	0	5	0	0	0	0	0	1	0	15	17	300		0	1					255					255					255					255					255					255	1	1	1	1	1					255					255					255					255					255	1	1	1	1	20					255					255					255					20			8	8	0	xsh	ush	0	0	1
Spiked Shield	0	0	1	1	25	30	0	0	24	20	250	0	19	19	1890	13197	spk	spk			spk	buc	spk	xpk	upk	0	7	2	3	1	4	2	flpspk	invspk	invspku	invspku							0	0	0	0	0	shie		item_metalshield	12	item_metalshield	0	0	5	0	0	0	0	0	1	0	11	13	300		0	1					255					255					255					255					255					255					255					255					255	1	1	1	1	1	1	1	1	1	1					255					255					255					255					255					255			8	8	0	xpk	upk	0	0	1
War Hat	0	0	1	1	25	25	1	0	20	0	250	0	34	34	13560	82061	xap	xap			cap	cap	cap	xap	uap	0	0	2	2	1	4	1	flpcap	invcap									0	0	0	0	0	helm		item_cap	12	item_cap	0	0	5	0	0	0	0	0	3	0	0	0			0	1					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255			8	8	0	xxx	xxx	0	0	1
Sallet	0	0	1	1	30	35	1	0	44	0	250	0	36	36	17210	113647	xkp	xkp			skp	skp	skp	xkp	ukp	0	0	2	2	1	4	1	flpskp	invskp	invxkpu	invxkpu							0	0	0	0	0	helm		item_helm	12	item_helm	0	0	5	0	0	0	0	0	3	0	0	0			0	3					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255			8	8	0	xxx	xxx	0	0	1
Casque	0	0	1	1	40	45	1	0	60	0	250	0	42	42	23075	171804	xlm	xlm			hlm	hlm	hlm	xlm	ulm	0	0	2	2	1	4	1	flphlm	invhlm	invhlmu	invhlmu							0	0	0	0	0	helm		item_helm	12	item_helm	0	0	5	0	0	0	0	0	3	0	0	0			0	3					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255			8	8	0	xxx	xxx	0	0	1
Basinet	0	0	1	1	50	55	1	0	80	0	250	0	45	45	29083	233910	xhl	xhl			fhl	fhl	fhl	xhl	uhl	0	0	2	2	1	4	1	flpfhl	invfhl	invfhlu	invfhlu							0	0	0	0	0	helm		item_helm	12	item_helm	0	0	5	0	0	0	0	0	3	0	0	0			0	3					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255			8	8	0	xxx	xxx	0	0	1
Winged Helm	0	0	1	1	60	75	1	0	80	0	250	0	51	51	40000	200000	xhm	xhm			ghm	ghm	ghm	xhm	uhm	0	0	2	2	1	4	1	flpghm	invghm									0	0	0	0	0	helm		item_helm	12	item_helm	0	0	5	0	0	0	0	0	3	0	0	0			0	3					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255			8	8	0	xxx	xxx	0	0	1
Grand Crown	0	0	1	1	75	90	1	0	104	0	250	0	60	60	42458	448816	xrn	xrn			crn	crn	crn	xrn	urn	0	0	2	2	1	4	1	flpcrn	invcrn	invxrnu	invxrnu							0	0	0	0	0	helm		item_helm	12	item_helm	0	0	5	0	0	0	0	0	3	0	0	0			0	3					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255			8	8	0	xxx	xxx	0	0	1
Death Mask	0	0	1	1	55	60	1	0	56	0	250	0	48	48	27190	241184	xsk	xsk			msk	msk	msk	xsk	usk	0	0	2	2	1	4	1	flpmsk	invmsk2									0	0	0	0	0	helm		item_helm	12	item_helm	0	0	5	0	0	0	0	0	3	0	0	0			0	3					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255			8	2	0	xxx	xxx	0	0	1
