Name	version	spawnable	rare	level	maxlevel	levelreq	classspecific	class	classlevelreq	frequency	group	mod1code	mod1param	mod1min	mod1max	mod2code	mod2param	mod2min	mod2max	mod3code	mod3param	mod3min	mod3max	transform	transformcolor	itype1	itype2	itype3	itype4	itype5	itype6	itype7	etype1	etype2	etype3	divide	multiply	add
of the Tiger	0	1	1	20	24	15					27	hp		11	15											armo	ring	amul								0	0	0
of the Mammoth	0	1	1	24		18					27	hp		16	20									1	cred	tors	helm	shld	ring	amul						0	0	0
of the Mammoth	0	1	1	60		45					27	hp		16	20									1	cred	mele	glov	belt					rod	comb		0	0	0
of the Colosuss	0	1	1	30		22					27	hp		21	30									1	cred	tors	helm	shld	belt	amul						0	0	0
of the Leech	0		1	6		1					28	lifesteal		1	2											weap	ring	amul	bowq	xboq						0	0	0
of the Locust	0		1	20		15					28	lifesteal		3	4									1	cred	mele										0	0	0
of the Bat	0		1	6		1					29	manasteal		4	5											weap	ring	amul	bowq	xboq						0	0	0
of the Vampire	0		1	20		15					29	manasteal		7	8									1	cblu	mele										0	0	0
of Defiance	0	1	1	25		18					30	res-pois-len		25	25									1	dred	tors	helm	shld	amul							0	0	0
of Amelioration	0	1	1	18		13					30	res-pois-len		15	15											tors	helm	shld	amul							0	0	0
of Remedy	0	1	1	7		1					30	res-pois-len		10	10											armo	ring	amul								0	0	0
																																				0	0	0
of Simplicity	0		1	25		18					32	ease		-20	-20											tors	helm	weap	shld				rod			0	0	0
of Ease	0		1	15		11					32	ease		-10	-10											tors	helm	weap	shld				rod			0	0	0
																																				0	0	0
of Strength	0	1	1	5		1					34	str		1	3											belt	ring	amul								0	0	0
of Might	0	1	1	10		7					34	str		4	6											mele	shld	ring	amul				wand	staf		0	0	0
of the Ox	0	1	1	18		13					34	str		7	10											mele	belt	ring	amul				wand	staf		0	0	0
of the Ox	0	1	1	47		35					34	str		7	10											shld	boot	glov								0	0	0
of the Giant	0	1	1	22		16					34	str		11	15									1	dgld	mele	belt	amul					wand	staf		0	0	0
of the Giant	0	1	1	62		46					34	str		11	15									1	dgld	boot	glov	shld								0	0	0
of the Titan	0	1	1	30		22					34	str		16	20									1	dgld	boot	belt									0	0	0
of Pacing	0	1	1	2		1					35	move1		10	10											boot										0	0	0
of Haste	0	1	1	12		9					35	move2		20	20											boot										0	0	0
of Speed	0	1	1	22		16					35	move3		30	30											boot										0	0	0
Expansion																																						
of Health	100	1	1	7	36	1				4	1	red-dmg		1	2											ring	amul	tors	shld	circ						0	0	0
of Protection	100	1	1	24	60	14				4	1	red-dmg		2	3											ring	amul	tors	shld	circ						0	0	0
of Absorption	100	1	1	36	84	26				4	1	red-dmg		4	6											amul	ring									0	0	0
of Life	100	1	1	60		51				4	1	red-dmg		5	8									1	dblu	amul	ring									0	0	0
of Life Everlasting	100	1	1	84		74				4	1	red-dmg		6	12									1	dblu	amul	ring									0	0	0
of Protection	100	1	1	48	80	38				4	1	red-dmg		8	12											tors	shld	circ								0	0	0
of Absorption	100	1	1	66	90	56				4	1	red-dmg		10	16											tors	shld	circ								0	0	0
of Life	100	1	1	80		71				4	1	red-dmg		12	20											tors	shld	circ								0	0	0
of Anima	100	1	1	80		81				4	1	red-dmg		16	24											tors	shld	circ								0	0	0
of Warding	100	1	1	7	50	1				4	2	red-mag		1	2											ring	amul	orb	tors	shld	circ					0	0	0
of the Sentinel	100	1	1	30	70	21				4	2	red-mag		2	3											ring	amul	orb	tors	shld	circ					0	0	0
of Guarding	100	1	1	50		41				4	2	red-mag		4	6											ring	amul	orb								0	0	0
of Negation	100	1	1	70		61				4	2	red-mag		5	8											ring	amul	orb								0	0	0
of the Sentinel	100	1	1	42	92	32				4	2	red-mag		8	12											tors	shld	circ								0	0	0
of Guarding	100	1	1	66		52				4	2	red-mag		12	20											tors	shld	circ								0	0	0
of Negation	100	1	1	82		82				4	2	red-mag		16	24											tors	shld	circ								0	0	0
of Coolness	100		1	10	50	1				1	3	res-fire-max		1	1											shld	tors	helm								0	0	0
of Incombustibility	100		1	50		41				1	3	res-fire-max		1	3											shld	tors	helm								0	0	0
of Amianthus	100		1	70		61				1	3	res-fire-max		2	4											shld	tors	helm								0	0	0
of Fire Quenching	100		1	30	70	21				1	3	res-fire-max		1	2											shld	tors	helm								0	0	0
of Coolness	100		1	10	50	1				1	3	res-fire-max		1	1											amul	orb	circ	ring							0	0	0
of Incombustibility	100		1	50		41				1	3	res-fire-max		1	3											amul	orb	circ	ring							0	0	0
of Amianthus	100		1	70		61				1	3	res-fire-max		2	4											amul	orb	circ	ring							0	0	0
of Fire Quenching	100		1	30	70	21				1	3	res-fire-max		1	2											amul	orb	circ	ring							0	0	0
of Faith	100		1	60		51				1	3	res-fire-max		1	2											jewl										0	0	0
of Resistance	100		1	10	50	1				1	3	res-ltng-max		1	1											shld	tors	helm								0	0	0
of Insulation	100		1	50		41				1	3	res-ltng-max		1	3											shld	tors	helm								0	0	0
of Grounding	100		1	70		61				1	3	res-ltng-max		2	4											shld	tors	helm								0	0	0
of the Dynamo	100		1	30	70	21				1	3	res-ltng-max		1	2											shld	tors	helm								0	0	0
of Resistance	100		1	10	50	1				1	3	res-ltng-max		1	1											amul	orb	circ	ring							0	0	0
of Insulation	100		1	50		41				1	3	res-ltng-max		1	3											amul	orb	circ	ring							0	0	0
of Grounding	100		1	70		61				1	3	res-ltng-max		2	4											amul	orb	circ	ring							0	0	0
of the Dynamo	100		1	30	70	21				1	3	res-ltng-max		1	2											amul	orb	circ	ring							0	0	0
of Stoicism	100		1	60		51				1	3	res-ltng-max		1	2											jewl										0	0	0
of Warming	100		1	10	50	1				1	3	res-cold-max		1	1											shld	tors	helm								0	0	0
of Thawing	100		1	50		41				1	3	res-cold-max		1	3											shld	tors	helm								0	0	0
of the Dunes	100		1	70		61				1	3	res-cold-max		2	4											shld	tors	helm								0	0	0
of the Sirocco	100		1	30	70	21				1	3	res-cold-max		1	2											shld	tors	helm								0	0	0
of Warming	100		1	10	50	1				1	3	res-cold-max		1	1											amul	orb	circ	ring							0	0	0
of Thawing	100		1	50		41				1	3	res-cold-max		1	3											amul	orb	circ	ring							0	0	0
of the Dunes	100		1	70		61				1	3	res-cold-max		2	4											amul	orb	circ	ring							0	0	0
of the Sirocco	100		1	30	70	21				1	3	res-cold-max		1	2											amul	orb	circ	ring							0	0	0
of Desire	100		1	60		51				1	3	res-cold-max		1	2											jewl										0	0	0
of Piercing	100		1	40		31				4	4	ignore-ac		1	1											rod	knif	h2h								0	0	0
of Bashing	100		1	10	30	1				4	5	dmg-ac		-30	-60											blun							wand	staf	orb	0	0	0
of Puncturing	100		1	20	50	11				4	5	dmg-ac		-15	-30											spea	knif	h2h	blun							0	0	0
of Thorns	100		1	14	50	4				4	6	thorns		1	1											tors	shld	belt	circ							0	0	0
of Spikes	100		1	21	55	11				4	6	thorns		1	1									1	oran	tors	shld	belt	circ							0	0	0
of Razors	100		1	34		24				4	6	thorns		1	1									1	oran	tors	shld	belt	circ							0	0	0
of Swords	100		1	47		37				4	6	thorns		1	1									1	oran	tors	shld	belt	circ							0	0	0
of Malice	100		1	37		27				4	6	thorns		1	1											jewl										0	0	0
of Readiness	100	1	1	1	30	1				6	7	swing1		10	10											weap							wand	orb		0	0	0
of Alacrity	100	1	1	15	50	5				6	7	swing2		20	20											weap							wand	orb		0	0	0
of Swiftness	100	1	1	30		21				6	7	swing2		30	30											weap							wand	staf	orb	0	0	0
of Quickness	100	1	1	50		41				6	7	swing3		40	40									1	dyel	weap							wand	staf	orb	0	0	0
of Alacrity	100	1	1	10		1				4	7	swing2		20	20									1	dyel	glov	helm									0	0	0
of Fervor	100	1	1	30		21				4	7	swing1		20	20											jewl										0	0	0
of Blocking	100	1	1	1	30	1				7	8	block		10	10	block2		15	15							shld										0	0	0
of Deflecting	100	1	1	20		11				7	8	block		20	20	block2		30	30							shld										0	0	0
of the Apprentice	100	1	1	1		1				6	9	cast2		10	10											rod	ring	amul	orb	circ						0	0	0
of the Magus	100	1	1	35		25				6	9	cast2		20	20											rod	orb	circ	amul	ring						0	0	0
of Frost	100		1	1	15	1				2	10	cold-min		2	3	cold-max		6	10	cold-len		25	25			weap							wand	orb		0	0	0
of the Icicle	100		1	15	30	5				2	10	cold-min		15	25	cold-max		26	35	cold-len		25	25			weap							wand	orb		0	0	0
of the Glacier	100		1	30	50	21				2	10	cold-min		70	90	cold-max		100	125	cold-len		100	100	1	dblu	weap							wand	orb		0	0	0
of Winter	100		1	50		41				2	10	cold-min		140	180	cold-max		200	250	cold-len		150	150	1	dblu	weap							wand	orb		0	0	0
of Frost	100		1	30	60	21				2	10	cold-min		48	72	cold-max		120	160	cold-len		50	50	1	dblu	belt	amul	ring								0	0	0
of Frigidity	100		1	10	25	1				2	10	cold-min		12	20	cold-max		24	36	cold-len		50	50	1	dblu	jewl										0	0	0
of Warmth	100		1	5	25	1				4	11	half-freeze		1	1											shld	boot	glov	ring	amul	circ	orb				0	0	0
of Flame	100		1	1	15	1				2	12	fire-min		2	3	fire-max		6	10							weap							wand	orb		0	0	0
of Fire	100		1	15	30	5				2	12	fire-min		15	25	fire-max		26	35							weap							wand	orb		0	0	0
of Burning	100		1	30	50	21				2	12	fire-min		70	90	fire-max		100	125					1	dred	weap							wand	orb		0	0	0
of Incineration	100		1	50		41				2	12	fire-min		140	180	fire-max		200	250					1	dred	weap							wand	orb		0	0	0
of Flame	100		1	30	60	21				2	12	fire-min		140	180	fire-max		160	200					1	dred	glov	ring	amul								0	0	0
of Passion	100		1	10	25	1				2	12	fire-min		12	20	fire-max		24	36					1	dred	jewl										0	0	0
of Shock	100		1	1	15	1				2	13	ltng-min		1	1	ltng-max		12	16							weap							wand	orb		0	0	0
of Lightning	100		1	15	30	1				2	13	ltng-min		1	1	ltng-max		45	55							weap							wand	orb		0	0	0
of Thunder	100		1	30	50	21				2	13	ltng-min		1	1	ltng-max		200	200					1	dyel	weap							wand	orb		0	0	0
of Storms	100		1	50		41				2	13	ltng-min		1	1	ltng-max		400	400					1	dyel	weap							wand	orb		0	0	0
of Shock	100		1	30	60	21				2	13	ltng-min		1	1	ltng-max		300	300					1	dyel	boot	ring	amul								0	0	0
of Ennui	100		1	10	25	1				2	13	ltng-min		1	1	ltng-max		50	50					1	dyel	jewl										0	0	0
of Craftsmanship	100	1	1	1	15	1				6	14	dmg-max		2	3											weap	ring	amul					wand	staf	orb	0	0	0
of Quality	100	1	1	10	20	1				6	14	dmg-max		3	4											weap							wand	staf	orb	0	0	0
of Maiming	100	1	1	15	30	5				6	14	dmg-max		5	6											weap							wand	staf	orb	0	0	0
of Slaying	100	1	1	20	45	11				6	14	dmg-max		8	9											weap							wand	staf	orb	0	0	0
of Gore	100	1	1	30	60	21				6	14	dmg-max		10	12											weap							wand	staf	orb	0	0	0
of Carnage	100	1	1	45	80	35				6	14	dmg-max		14	16									1	blac	weap							wand	staf	orb	0	0	0
of Slaughter	100	1	1	60	90	51				6	14	dmg-max		18	24									1	blac	weap							wand	staf	orb	0	0	0
of Butchery	100	1	1	80		71				6	14	dmg-max		24	36									1	blac	weap							wand	staf	orb	0	0	0
of Evisceration	100	1	1	81		81				6	14	dmg-max		36	50									1	blac	weap							wand	staf	orb	0	0	0
of Maiming	100	1	1	1	20	1				4	14	dmg-max		2	2											shld	ring	amul	belt							0	0	0
of Craftsmanship	100	1	1	10	40	1				4	14	dmg-max		2	3											circ	ring	amul	belt							0	0	0
of Craftsmanship	100	1	1	20	50	11				4	14	dmg-max		3	4											circ	ring	amul	belt							0	0	0
of Craftsmanship	100	1	1	40	60	31				4	14	dmg-max		4	5											circ	ring	amul	belt							0	0	0
of Quality	100	1	1	50	70	41				4	14	dmg-max		5	6											circ	ring	amul	belt							0	0	0
of Quality	100	1	1	60	80	51				4	14	dmg-max		7	8											circ	ring	amul	belt							0	0	0
of Maiming	100	1	1	70		61				4	14	dmg-max		9	10											circ	ring	amul	belt							0	0	0
of Maiming	100	1	1	80		71				4	14	dmg-max		12	16											circ	ring	amul	belt							0	0	0
of Craftsmanship	100	1	1	10	30	1				4	14	dmg-max		2	2											mcha										0	0	0
of Craftsmanship	100	1	1	20	40	11				4	14	dmg-max		1	2											mcha										0	0	0
of Quality	100	1	1	30	50	21				4	14	dmg-max		2	3											mcha										0	0	0
of Quality	100	1	1	40	60	31				4	14	dmg-max		3	4											mcha										0	0	0
of Maiming	100	1	1	50		41				4	14	dmg-max		4	5											mcha										0	0	0
of Craftsmanship	100	1	1	15	40	5				4	14	dmg-max		1	1											scha										0	0	0
of Quality	100	1	1	25		15				4	14	dmg-max		2	2											scha										0	0	0
of Maiming	100	1	1	66		56				4	14	dmg-max		3	3											scha										0	0	0
of Ire	100	1	1	30	90	21				4	14	dmg-max		4	8											jewl										0	0	0
of Wrath	100	1	1	60		51				4	14	dmg-max		8	12									1	blac	jewl										0	0	0
of Carnage	100	1	1	81		81				4	14	dmg-max		12	16									1	blac	jewl										0	0	0
of Worth	100	1	1	1	40	1				6	15	dmg-min		1	2											weap							staf	wand	orb	0	0	0
of Measure	100	1	1	20	60	11				6	15	dmg-min		5	7											weap							staf	wand	orb	0	0	0
of Excellence	100	1	1	40	80	31				6	15	dmg-min		9	13											weap							staf	wand	orb	0	0	0
of Performance	100	1	1	60		51				6	15	dmg-min		13	17									1	blac	weap							staf	wand	orb	0	0	0
of Transcendence	100	1	1	80		71				6	15	dmg-min		24	35									1	blac	weap							staf	wand	orb	0	0	0
of Worth	100	1	1	20	30	11				4	15	dmg-min		2	2											ring	amul	circ	belt							0	0	0
of Measure	100	1	1	37	59	27				4	15	dmg-min		4	4											ring	amul	circ	belt							0	0	0
of Excellence	100	1	1	59		49				4	15	dmg-min		6	6											ring	amul	circ	belt							0	0	0
of Performance	100	1	1	81		71				4	15	dmg-min		10	10											ring	amul	circ	belt							0	0	0
of Joyfulness	100	1	1	55		45				4	15	dmg-min		8	12									1	whit	jewl										0	0	0
of Bliss	100	1	1	75		65				4	15	dmg-min		12	16									1	whit	jewl										0	0	0
of Blight	100		1	5	14	1				2	16	dmg-pois	50	80	80											weap							rod	orb		0	0	0
of Venom	100		1	10	27	1				2	16	dmg-pois	50	160	160											weap							rod	orb		0	0	0
of Pestilence	100		1	25	42	15				2	16	dmg-pois	50	240	240									1	dgrn	weap							rod	orb		0	0	0
of Anthrax	100		1	30		21				2	16	dmg-pois	50	480	480									1	dgrn	weap							rod	orb		0	0	0
of Blight	100		1	40		31				2	16	dmg-pois	50	480	480									1	dgrn	ring	amul	circ								0	0	0
of Envy	100		1	15		5				2	16	dmg-pois	25	160	160									1	dgrn	jewl										0	0	0
of Dexterity	100	1	1	1	36	1				3	17	dex		5	10											amul	miss	circ								0	0	0
of Skill	100	1	1	18	60	8				3	17	dex		10	15											amul	miss	circ								0	0	0
of Accuracy	100	1	1	36	72	26				3	17	dex		15	20											amul	miss	circ								0	0	0
of Precision	100	1	1	60	86	51				3	17	dex		20	25											amul	miss	circ								0	0	0
of Perfection	100	1	1	72		62				3	17	dex		25	30									1	dgld	amul	miss	circ								0	0	0
of Nirvana	100	1	1	86		76				3	17	dex		30	40									1	dgld	amul	miss	circ								0	0	0
of Dexterity	100	1	1	1	42	1				3	17	dex		4	6											ring	glov									0	0	0
of Skill	100	1	1	21	63	11				3	17	dex		6	8											ring	glov									0	0	0
of Accuracy	100	1	1	42	84	32				3	17	dex		8	12											ring	glov									0	0	0
of Precision	100	1	1	63		53				3	17	dex		12	16											ring	glov									0	0	0
of Perfection	100	1	1	84		74				3	17	dex		16	24									1	dgld	ring	glov									0	0	0
of Dexterity	100	1	1	8	32	1				3	17	dex		4	8											tors	boot	helm					glov			0	0	0
of Skill	100	1	1	16	64	6				3	17	dex		8	12											tors	boot	helm					glov			0	0	0
of Accuracy	100	1	1	32		22				3	17	dex		12	16											tors	boot	helm					glov			0	0	0
of Precision	100	1	1	64		54				3	17	dex		16	24									1	dgld	tors	boot	helm					glov			0	0	0
of Dexterity	100	1	1	12	70	2				4	31	dex		3	6											lcha										0	0	0
of Dexterity	100	1	1	12	70	2				4	31	dex		2	4											mcha										0	0	0
of Dexterity	100	1	1	12	70	2				4	31	dex		1	2											scha										0	0	0
of Dexterity	100	1	1	60		51				4	31	dex		6	9											lcha										0	0	0
of Dexterity	100	1	1	60		51				4	31	dex		4	6											mcha										0	0	0
of Dexterity	100	1	1	60		51				4	31	dex		2	3											scha										0	0	0
of Daring	100	1	1	1		1				3	17	dex		2	6											jewl										0	0	0
of Balance	100	1	1	5	40	1				4	18	balance1		10	10											armo							glov	bowq	xboq	0	0	0
of Equilibrium	100	1	1	20		11				4	18	balance2		20	20											tors	belt	shld	helm							0	0	0
of Stability	100	1	1	40		31				4	18	balance3		30	30									1	dyel	tors	belt	helm								0	0	0
of Balance	100	1	1	6		1				4	18	balance3		12	16											lcha										0	0	0
of Balance	100	1	1	14		1				4	18	balance2		8	12											mcha										0	0	0
of Balance	100	1	1	29		19				4	18	balance1		4	6									1	dyel	scha										0	0	0
of Truth	100	1	1	36		26				4	18	balance1		10	10											jewl										0	0	0
of Regeneration	100	1	1	1	10	1				2	19	regen		10	10											armo	ring	amul								0	0	0
of Regeneration	100	1	1	10	20	1				2	19	regen		15	15											armo	ring	amul								0	0	0
of Regeneration	100	1	1	20	30	11				2	19	regen		20	20											armo	ring	amul					scep			0	0	0
of Regrowth	100	1	1	30		21				2	19	regen		33	33									1	cred	armo	ring	amul								0	0	0
of Regrowth	100			50	70	41				2	19	regen		25	29									1	cred	armo	ring	amul								0	0	0
of Revivification	100			60		51				2	19	regen		30	33									1	cred	armo	ring	amul								0	0	0
of Honor	100		1	40		31				2	19	regen		10	12											jewl										0	0	0
of Vileness	100	1	1	1		1				3	20	noheal		1	1											mele							rod	orb		0	0	0
of Greed	100	1	1	1		1				2	21	gold%		15	25											boot	glov	belt	amul	circ	ring					0	0	0
of Wealth	100	1	1	50		41				2	21	gold%		26	50									1	lgld	boot	glov	belt	amul	circ	ring					0	0	0
of Greed	100	1	1	1		1				4	21	gold%		15	25											lcha	bowq	xboq								0	0	0
of Greed	100	1	1	50		41				4	21	gold%		26	50											lcha	bowq	xboq								0	0	0
of Greed	100		1	19		9				4	21	gold%														lcha	bowq	xboq								0	0	0
of Greed	100	1	1	1		1				4	21	gold%		10	20											mcha										0	0	0
of Greed	100	1	1	50		41				4	21	gold%		21	35											mcha										0	0	0
of Greed	100	1	1	15		5				4	21	gold%		10	20											scha										0	0	0
of Avarice	100		1	1		1				4	21	gold%		10	25											jewl										0	0	0
of Chance	100	1	1	12	36	2				1	22	mag%		10	20											boot	glov	ring	amul	circ	belt					0	0	0
of Fortune	100	1	1	24	72	14				1	22	mag%		20	30									1	lgld	boot	glov	ring	amul	circ	belt					0	0	0
of Fortune	100	1	1	36		26				1	22	mag%		30	40									1	lgld	boot	glov	ring	amul	circ	belt					0	0	0
of Luck	100	1	1	72		62				1	22	mag%		40	50									1	lgld	boot	glov	ring	amul	circ	belt					0	0	0
of Fortune	100	1	1	18	60	8				3	22	mag%		2	4											scha										0	0	0
of Good Luck	100	1	1	48		38				2	22	mag%		4	6											scha										0	0	0
of Prosperity	100		1	26		16				2	22															jewl										0	0	0
of Energy	100	1	1	1	18	1				3	23	enr		4	6											amul	orb	circ	wand	staf	scep	helm				0	0	0
of the Mind	100	1	1	7	36	1				3	23	enr		8	12											amul	orb	circ	wand	staf	scep	helm				0	0	0
of Brilliance	100	1	1	18	72	8				3	23	enr		12	16											amul	orb	circ	wand	staf	scep	helm				0	0	0
of Sorcery	100	1	1	36	90	26				3	23	enr		16	20											amul	orb	circ	wand	staf	scep	helm				0	0	0
of Wizardry	100	1	1	72		62				3	23	enr		20	30									1	dgld	amul	orb	circ	wand	staf	scep	helm				0	0	0
of Enlightenment	100	1	1	81		81				3	23	enr		30	40									1	dgld	amul	orb	circ	wand	staf	scep	helm				0	0	0
of Energy	100	1	1	7	36	1				3	23	enr		4	8											ring										0	0	0
