name	type	type2	code	alternateGfx	namestr	version	compactsave	rarity	spawnable	mindam	maxdam	1or2handed	2handed	2handmindam	2handmaxdam	minmisdam	maxmisdam		rangeadder	speed	StrBonus	DexBonus	reqstr	reqdex	durability	nodurability	level	levelreq	cost	gamble cost	magic lvl	auto prefix	OpenBetaGfx	normcode	ubercode	ultracode	wclass	2handedwclass	component	hit class	invwidth	invheight	stackable	minstack	maxstack	spawnstack	flippyfile	invfile	uniqueinvfile	setinvfile	hasinv	gemsockets	gemapplytype	special	useable	dropsound	dropsfxframe	usesound	unique	transparent	transtbl	quivered	lightradius	belt	quest	questdiffcheck	missiletype	durwarning	qntwarning	gemoffset	bitfield1	CharsiMin	CharsiMax	CharsiMagicMin	CharsiMagicMax	CharsiMagicLvl	GheedMin	GheedMax	GheedMagicMin	GheedMagicMax	GheedMagicLvl	AkaraMin	AkaraMax	AkaraMagicMin	AkaraMagicMax	AkaraMagicLvl	FaraMin	FaraMax	FaraMagicMin	FaraMagicMax	FaraMagicLvl	LysanderMin	LysanderMax	LysanderMagicMin	LysanderMagicMax	LysanderMagicLvl	DrognanMin	DrognanMax	DrognanMagicMin	DrognanMagicMax	DrognanMagicLvl	HraltiMin	HraltiMax	HraltiMagicMin	HraltiMagicMax	HratliMagicLvl	AlkorMin	AlkorMax	AlkorMagicMin	AlkorMagicMax	AlkorMagicLvl	OrmusMin	OrmusMax	OrmusMagicMin	OrmusMagicMax	OrmusMagicLvl	ElzixMin	ElzixMax	ElzixMagicMin	ElzixMagicMax	ElzixMagicLvl	AshearaMin	AshearaMax	AshearaMagicMin	AshearaMagicMax	AshearaMagicLvl	CainMin	CainMax	CainMagicMin	CainMagicMax	CainMagicLvl	HalbuMin	HalbuMax	HalbuMagicMin	HalbuMagicMax	HalbuMagicLvl	JamellaMin	JamellaMax	JamellaMagicMin	JamellaMagicMax	JamellaMagicLvl	LarzukMin	LarzukMax	LarzukMagicMin	LarzukMagicMax	LarzukMagicLvl	DrehyaMin	DrehyaMax	DrehyaMagicMin	DrehyaMagicMax	DrehyaMagicLvl	MalahMin	MalahMax	MalahMagicMin	MalahMagicMax	MalahMagicLvl	Source Art	Game Art	Transform	InvTrans	SkipName	NightmareUpgrade	HellUpgrade	Nameable	PermStoreItem
Wand	wand		wnd	wnd	wnd	0		1	1	2	4								0	-10	225	225			250		2	0	400	1200	1		wnd	wnd	9wn	7wn	1hs	1hs	5	1hss	1	2					flpwnd	invwnd	invwndu	invwndu	1	2	0	magically charged	0	item_wand	12	item_wand	0	0	5	0	0	0			0	7	0	0	5					255					255	5	5	2	3	1					255					255					255					255					255					255					255					255					255					255					255					255					255					255			5	8	0	9wn	7wn	1	0
Yew Wand	wand		ywn	ywn	ywn	0		1	1	5	7								0	-5	225	225			250		13	13	1050	3150	1		wnd	ywn	9yw	7yw	1hs	1hs	5	1hss	1	2					flpywn	invywn			1	2	0	magically charged	0	item_wand	12	item_wand	0	0	5	0	0	0			0	7	0	0	5					255					255	5	5	2	3	1					255					255			2	3	1					255					255					255					255					255					255					255					255					255					255					255			5	8	0	9yw	7yw	1	0
Bone Wand	wand		bwn	bwn	bwn	0		1	1	5	8								0	-30	225	225			250		22	22	1300	3900	1		wnd	bwn	9bw	7bw	1hs	1hs	5	1hss	1	2					flpbwn	invbwn	invbwnu	invbwnu	1	2	0	magically charged	0	item_wand	12	item_wand	0	0	5	0	0	0			0	7	0	0	5					255					255					255					255					255			2	3	1					255					255			3	6	1					255					255					255					255					255					255					255					255			1	2	0	9bw	7bw	1	0
Grim Wand	wand		gwn	bwn	gwn	0		1	1	8	11								0	-20	225	225			250		28	28	1550	4650	1		wnd	gwn	9gw	7gw	1hs	1hs	5	1hss	1	2					flpgwn	invgwn			1	2	0	magically charged	0	item_wand	12	item_wand	0	0	5	0	0	0			0	7	0	0	5					255					255					255					255					255										255					255			3	6	1					255					255					255					255					255					255					255					255			1	2	0	9gw	7gw	1	0
Club	club		clb	clb	clb	0		1	1	2	7								1	-10	250		6		250		1	0	1050	3150			clb	clb	9cl	7cl	1hs	1hs	5	club	1	3					flpclb	invclb	invclbu	invclbu	1	3	0		0	item_staff	12	item_staff	0	0	5	0	0	0			0	7	0	0	1					255	1	1	1	1	5					1					255					255					255					255					255					255					255					255					255					255					255					255					255					255			1	2	0	9cl	7cl	1	0
Scepter	scep		scp	mac	scp	0		1	1	5	8								1		250		10		250		4	4	1800	5400			mac	scp	9sc	7sc	1hs	1hs	5	club	1	3					flpscp	invscp			1	3	0	magically charged	0	item_sword	12	item_sword	0	0	5	0	0	0			0	7	0	0	3					255					255	5	5	2	3	1					255					255			2	3	1					255					255					255					255					255					255					255					255					255					255					255			1	2	0	9sc	7sc	1	0
Grand Scepter	scep		gsc	mac	gsc	0		1	1	7	10								1	10	250		36		250		15	15	2550	7650			mac	gsc	9qs	7qs	1hs	1hs	5	club	1	3					flpgsc	invgsc			1	3	0	magically charged	0	item_sword	12	item_sword	0	0	5	0	0	0			0	7	0	0	3					255					255					255					255					255			2	3	1					255					255			2	4	1					255					255					255					255					255					255					255			2	3	20			1	2	0	9qs	7qs	1	0
War Scepter	scep		wsp	whm	wsp	0		1	1	9	14								2	-10	250		48		250		28	28	3350	10050			mac	wsp	9ws	7ws	1hs	1hs	5	club	2	3					flpwsp	invwsp			1	5	0	magically charged	0	item_sword	12	item_sword	0	0	5	0	0	0			0	7	0	0	3					255					255					255					255					255					255					255					255			2	4	1					255					255					255					255					255					255					255			2	3	20			1	2	0	9ws	7ws	1	0
Spiked Club	club		spc	clb	spc	0		1	1	4	8								1		250		12		250		4	0	1900	5700			clb	spc	9sp	7sp	1hs	1hs	5	1hsl	1	3					flpspc	invspc	invspcu	invspcu	1	3	0		0	item_staff	12	item_staff	0	0	5	0	0	0			0	7	0	0	1			1	1	5	1	1	1	1	5					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255			1	2	0	9sp	7sp	1	0
Mace	mace		mac	mac	mac	0		1	1	5	10								1		250		20		250		10	10	2250	6750			mac	mac	9ma	7ma	1hs	1hs	5	1hsl	1	3					flpmac	invmac			1	3	0		0	item_sword	12	item_sword	0	0	5	0	0	0			0	7	0	0	3	1	1	1	1	5	1	1	1	1	5					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255			1	2	0	9ma	7ma	1	0
Morning Star	mace		mst	mac	mst	0		1	1	6	12								1	10	250		32		250		14	14	2550	7650			mac	mst	9mt	7mt	1hs	1hs	5	1hsl	1	3					flpmst	invmst	invmstu	invmstu	1	3	0		0	item_sword	12	item_sword	0	0	5	0	0	0			0	7	0	0	3					255					255					255			1	1	10					255					255					255					255					255			1	1	10					255					255					255					255					255					255					255			1	2	0	9mt	7mt	1	0
Flail	mace		fla	fla	fla	0		1	1	3	16								2	-10	250		44		250		19	19	2950	8850			mac	fla	9fl	7fl	1hs	1hs	5	1hsl	2	3					flpfla	invfla			1	5	0		0	item_sword	12	item_sword	0	0	5	0	0	0			0	7	0	0	3					255					255					255	1	1	1	1	10					255					255					255					255					255					255			1	1	20					255					255					255					255					255					255			1	2	0	9fl	7fl	1	0
War Hammer	hamm		whm	whm	whm	0		1	1	12	18								2	20	250		58		250		25	25	3350	10050			mac	whm	9wh	7wh	1hs	1hs	5	1hsl	2	3					flpwhm	invwhm			1	5	0		0	item_sword	12	item_sword	0	0	5	0	0	0			178	7	0	0	3					255					255					255					255					255					255			1	2	20					255					255					255					255					255					255					255					255					255					255			1	2	0	9wh	7wh	1	0
Maul	2Ham		mau	mau	mau	0		1	1				1	14	26				3	20	350		60		250		22	22	3430	10290		326	mau	mau	9m9	7m7	stf	stf	5	2hsl	2	4					flpmau	invmau	invmauu	invmauu	1	6	0		0	item_largemetalweapon	12	item_largemetalweapon	0	0	5	0	0	0			0	7	0	0	3					255					255					255					255					255					255			1	1	20					255					255					255					255					255					255					255					255					255					255			1	2	0	9m9	7m7	1	0
Great Maul	2Ham		gma	mau	gma	0		1	1				1	17	31				3	30	350		84		250		30	30	4210	12630		326	mau	gma	9gm	7gm	stf	stf	5	2hsl	2	3					flpgma	invgma	invgma	invgma	1	6	0		0	item_largemetalweapon	12	item_largemetalweapon	0	0	5	0	0	0			0	7	0	0	3					255					255					255					255					255					255					255					255					255					255					255					255			1	1	20					255					255					255					255			1	2	0	9gm	7gm	1	0
Short Sword	swor		ssd	ssd	ssd	0		1	1	3	6								1		250		6		250		1	0	1050	3150			ssd	ssd	9ss	7ss	1hs	1hs	5	1hsl	1	3					flpssd	invssd			1	3	0		0	item_sword	12	item_sword	0	0	5	0	0	0			0	7	0	0	3			1	1	5	1	1	1	1	5					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255			1	2	0	9ss	7ss	1	0
Scimitar	swor		scm	scm	scm	0		1	1	2	7								1	-20	250		14		250		5	5	1800	5400			scm	scm	9sm	7sm	1hs	1hs	5	1hsl	1	3					flpscm	invscm	invscmu	invscmu	1	3	0		0	item_sword	12	item_sword	0	0	5	0	0	0			0	7	0	0	3	1	1	1	1	5	1	1	1	1	5					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255			1	2	0	9sm	7sm	1	0
Saber	swor		sbr	scm	sbr	0		1	1	4	9								1	-10	250		20		250		8	8	2050	6150			scm	sbr	9sb	7sb	1hs	1hs	5	1hsl	1	3					flpsbr	invsbr	inv9sbu	inv9sbu	1	3	0		0	item_sword	12	item_sword	0	0	5	0	0	0			0	7	0	0	3	1	1	1	1	5					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255			1	2	0	9sb	7sb	1	0
Falchion	swor		flc	flc	flc	0		1	1	8	12								1	15	250		28		250		11	11	2300	6900			scm	flc	9fc	7fc	1hs	1hs	5	1hsl	1	3					flpflc	invflc	invflcu	invflcu	1	3	0		0	item_sword	12	item_sword	0	0	5	0	0	0			0	7	0	0	3					255					255					255			1	1	10					255					255					255					255					255			1	1	10					255					255					255					255					255					255					255			1	2	0	9fc	7fc	1	0
Crystal Sword	swor		crs	crs	crs	0		1	1	7	12								2		250		32		250		13	13	2550	7650			ssd	crs	9cr	7cr	1hs	1hs	5	1hsl	2	3					flpcrs	invcrs	invcrsu	invcrsu	1	5	0		0	item_sword	12	item_sword	0	0	5	0	5	0			0	7	0	0	1					255					255					255	1	1	1	1	10					255					255					255					255					255			1	1	10					255					255					255					255					255					255					255			5	8	0	9cr	7cr	1	0
Broad Sword	swor		bsd	bsd	bsd	0		1	1	8	12								2	5	250		36		250		15	15	2800	8400			ssd	bsd	9bs	7bs	1hs	1hs	5	1hsl	2	3					flpbsd	invbsd	invbsdu	invbsdu	1	5	0		0	item_sword	12	item_sword	0	0	5	0	0	0			0	7	0	0	3					255					255					255	1	1	1	1	10					255					255					255					255					255					255					255	1	1	1	1	1					255					255					255					255					255			1	2	0	9bs	7bs	1	0
Long Sword 	swor		lsd	lsd	lsd	0		1	1	7	14								2	-10	250		52		250		21	21	3050	9150			ssd	lsd	9ls	7ls	1hs	1hs	5	1hsl	2	3					flplsd	invlsd	invlsdu	invlsdu	1	5	0		0	item_sword	12	item_sword	0	0	5	0	0	0			0	7	0	0	3					255					255					255					255					255					255			1	2	20					255					255					255			1	1	20					255					255					255					255					255					255			1	2	0	9ls	7ls	1	0
War Sword	swor		wsd	flc	wsd	0		1	1	8	15								2	-5	250		62		250		24	24	3400	10200			ssd	wsd	9wd	7wd	1hs	1hs	5	1hsl	1	3					flpwsd	invwsd			1	3	0		0	item_sword	12	item_sword	0	0	5	0	0	0			0	7	0	0	3					255					255					255					255					255					255			1	2	20					255					255					255					255					255					255					255					255					255					255			1	2	0	9wd	7wd	1	0
Two-Handed Sword	2Swo		2hs	clm	2hs	0		1	1	3	7	1	1	7	10				3		300		20		250		15	15	2130	6390			clm	2hs	92h	72h	1hs	2hs	5	2hss	1	4					flp2hs	inv2hs	inv2hsu	inv2hsu	1	4	0		0	item_largemetalweapon	12	item_largemetalweapon	0	0	5	0	0	0			0	7	0	0	3			1	1	5	1	1	1	1	5					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255			1	2	0	92h	72h	1	0
Claymore	2Swo		clm	clm	clm	0		1	1	5	10	1	1	8	12				3	10	300		32		250		16	16	2585	7755			clm	clm	9cm	7cm	1hs	2hs	5	2hss	1	4					flpclm	invclm			1	4	0		0	item_largemetalweapon	12	item_largemetalweapon	0	0	5	0	0	0			0	7	0	0	3	1	1	1	1	5					255					255					255					255					255					255					255					255					255					255	1	1	1	1	1					255					255					255					255					255			1	2	0	9cm	7cm	1	0
Giant Sword	2Swo		gis	gsd	gis	0		1	1	6	12	1	1	8	16				3		300		44		250		19	16	3105	9315			clm	gis	9gs	7gs	1hs	2hs	5	2hss	1	4					flpgis	invgis	invgisu	invgisu	1	4	0		0	item_largemetalweapon	12	item_largemetalweapon	0	0	5	0	0	0			0	7	0	0	3					255					255					255	1	1	1	1	10					255					255					255					255					255			1	1	10					255					255					255					255					255					255					255			1	2	0	9gs	7gs	1	0
Bastard Sword	2Swo		bsw	clm	bsw	0		1	1	8	13	1	1	12	17				3	10	300		56		250		22	22	3625	10875			clm	bsw	9b9	7b7	1hs	2hs	5	2hss	1	4					flpbsw	invbsw	invbswu	invbswu	1	4	0		0	item_largemetalweapon	12	item_largemetalweapon	0	0	5	0	0	0			0	7	0	0	3					255					255					255	1	1	1	1	10					255					255					255					255					255					255					255					255					255					255					255					255					255			1	2	0	9b9	7b7	1	0
Flamberge	2Swo		flb	clm	flb	0		1	1	9	14	1	1	13	20				3	-15	300		72		250		27	27	3950	11850			clm	flb	9fb	7fb	1hs	2hs	5	2hss	2	4					flpflb	invflb			1	6	0		0	item_largemetalweapon	12	item_largemetalweapon	0	0	5	0	0	0			0	7	0	0	3					255					255					255					255					255					255			1	2	20					255					255					255			1	1	20					255					255					255					255					255					255			1	2	0	9fb	7fb	1	0
Great Sword	2Swo		gsd	gsd	gsd	0		1	1	9	15	1	1	16	24				3	5	300		84		250		30	30	4275	12825			clm	gsd	9gd	7gd	1hs	2hs	5	2hss	2	4					flpgsd	invgsd	invgsdu	invgsdu	1	6	0		0	item_largemetalweapon	12	item_largemetalweapon	0	0	5	0	0	0			0	7	0	0	3					255					255					255					255					255					255					255					255					255					255					255					255			1	2	20					255					255					255					255			1	2	0	9gd	7gd	1	0
Dagger	knif		dgr	dgr	dgr	0		1	1	2	4								0	-30	225	225			250		3	0	400	1200			dgr	dgr	9dg	7dg	1ht	1ht	5	1ht	1	2					flpdgr	invdgr			1	2	0		0	item_smallmetalweapon	12	item_smallmetalweapon	0	0	5	0	0	0			0	7	0	0	3			1	1	5	1	1	1	1	5					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255			1	2	0	9dg	7dg	1	0
Dirk	knif		dir	dir	dir	0		1	1	4	7								0	-10	225	225			250		9	9	1050	3150			dgr	dir	9di	7di	1ht	1ht	5	1ht	1	2					flpdir	invdir			1	2	0		0	item_smallmetalweapon	12	item_smallmetalweapon	0	0	5	0	0	0			0	7	0	0	3	1	1	1	1	5					255					255					255					255					255					255					255					255			1	1	10					255	1	1	1	1	1					255					255					255					255					255			1	2	0	9di	7di	1	0
Kriss	knif		kri	dir	kri	0		1	1	4	10								0	-30	225	225			250		17	17	1300	3900			dgr	kri	9kr	7kr	1ht	1ht	5	1ht	1	3					flpkrs	invkrs	invkrsu	invkrsu	1	3	0		0	item_smallmetalweapon	12	item_smallmetalweapon	0	0	5	0	0	0			0	7	0	0	3					255					255					255	1	1	1	1	10					255					255					255					255					255					255					255					255					255					255					255					255					255			1	2	0	9kr	7kr	1	0
Blade	knif		bld	dgr	bld	0		1	1	4	12								0	-20	225	225			250		23	23	1550	4650			dgr	bld	9bl	7bl	1ht	1ht	5	1ht	1	3					flpbld	invbld			1	3	0		0	item_smallmetalweapon	12	item_smallmetalweapon	0	0	5	0	0	0			0	7	0	0	3					255					255					255					255					255					255			1	2	20					255					255					255					255					255					255					255					255					255					255			1	2	0	9bl	7bl	1	0
Throwing Knife	tkni		tkf	dgr	tkf	0		1	1	3	4					3	4		1		225	225	4	4	250		4	0	3	9		320	dgr	tkf	9tk	7tk	1ht	1ht	5	1ht	1	2	1	500	500	500	flptkn	invtkn			1	2	0	primarily thrown	0	item_smallmetalweapon	12	item_smallmetalweapon	0	0	5	0	0	0			36	7	4	0	3					255	1	1	1	1	5					255					255					255					255					255					255					255			1	1	10					255					255					255					255					255					255					255			1	2	0	9tk	7tk	1	0
Throwing Axe	taxe		tax	hax	tax	0		1	1	4	7					5	7		1	10	225	225	9	9	250		7	7	3	9		320	hax	tax	9ta	7ta	1hs	1hs	5	1hsl	1	2	1	500	500	500	flptax	invtax			1	2	0	primarily thrown	0	item_smallmetalweapon	12	item_smallmetalweapon	0	0	5	0	0	0			35	7	5	0	3					255	1	1	1	1	5					255					255					255					255					255					255					255			1	1	10					255					255					255					255					255					255					255			1	2	0	9ta	7ta	1	0
Balanced Knife	tkni		bkf	dgr	bkf	0		1	1	4	8					3	8		1	-20	225	225	16	16	250		12	12	7	21		320	dgr	bkf	9bk	7bk	1ht	1ht	5	1ht	1	2	1	500	500	500	flpbkf	invbkf			1	2	0	primarily thrown	0	item_smallmetalweapon	12	item_smallmetalweapon	0	0	5	0	0	0			36	7	4	0	3					255					255					255			1	1	10					255					255					255					255					255					255			1	1	20	2	3			1					255					255					255					255					255			1	2	0	9bk	7bk	1	0
Balanced Axe	taxe		bal	hax	bal	0		1	1	5	8					7	9		1	-10	225	225	19	19	250		15	15	7	21		320	hax	bal	9b8	7b8	1hs	1hs	5	1hsl	2	3	1	500	500	500	flpbal	invbal			1	5	0	primarily thrown	0	item_sword	12	item_sword	0	0	5	0	0	0			35	7	5	0	3					255					255					255	1	1	1	1	10					255					255					255					255					255					255			1	1	20	2	3			1					255					255					255					255					255			1	2	0	9b8	7b8	1	0
Javelin	jave		jav	jav	jav	0		1	1	3	5					3	5	15	2	-10	225	225	4	4	250		1	0	3	9		320	jav	jav	9ja	7ja	1ht	1ht	5	1ht	1	3	1	500	500	500	flpjav	invjav			1	3	0	primarily thrown	0	item_javelins	12	item_javelins	0	0	5	0	0	0			1	7	2	0	3			1	1	5	1	1	1	1	5					255					255					255					255					255					255					255					255					255					255					255					255					255			1	1	20					255			5	8	0	9ja	7ja	1	0
Pilum	jave		pil	pil	pil	0		1	1	4	8					4	9	15	2		225	225	13	13	250		9	9	4	12		320	jav	pil	9pi	7pi	1ht	1ht	5	1ht	1	3	1	500	500	500	flppil	invpil			1	3	0	primarily thrown	0	item_javelins	12	item_javelins	0	0	5	0	0	0			371	7	2	0	3	1	1	1	1	5					255					255					255					255					255					255					255					255					255					255	1	1			255					255					255					255			1	1	20					255			5	8	0	9pi	7pi	1	0
Short Spear	jave		ssp	jav	ssp	0		1	1	5	9					7	9	15	2	10	225	225	18	18	250		15	15	5	15		320	jav	ssp	9s9	7s7	1ht	1ht	5	1ht	1	3	1	500	500	500	flpssp	invssp			1	3	0	primarily thrown	0	item_javelins	12	item_javelins	0	0	5	0	0	0			1	7	2	0	3					255					255					255			1	1	10					255					255					255					255					255	1	1	1	1	10					255	1	2			255					255					255					255			1	1	20					255			5	8	0	9s9	7s7	1	0
Glaive	jave		glv	glv	glv	0		1	1	7	12					8	10	15	2	10	225	225	27	27	250		21	21	6	18		320	jav	glv	9gl	7gl	1ht	1ht	5	1ht	1	4	1	500	500	500	flpglv	invglv			1	4	0	primarily thrown	0	item_javelins	12	item_javelins	0	0	5	0	0	0			37	7	2	0	3					255					255					255	1	1	1	1	10					255					255					255					255					255					255					255	1	2			255					255					255					255			2	3	20					255			1	2	0	9gl	7gl	1	0
Throwing Spear	jave		tsp	pil	tsp	0		1	1	7	13					12	16	15	2	-10	225	225	33	33	250		27	27	7	21		320	jav	tsp	9ts	7ts	1ht	1ht	5	1ht	1	4	1	500	500	500	flptsp	invtsp			1	4	0	primarily thrown	0	item_javelins	12	item_javelins	0	0	5	0	0	0			371	7	2	0	3					255					255					255					255					255					255					255					255					255					255			2	2	20					255					255					255					255			2	3	20					255			1	2	0	9ts	7ts	1	0
Spear	2Spe		spr	spr	spr	0		1	1				1	3	9			15	2	-10	275	275	9	9	250		3	0	1545	4635		326	spr	spr	9sr	7sr	2ht	2ht	5	2ht	2	4					flpspr	invspr			1	5	0	2 square reach	0	item_staff	12	item_staff	0	0	5	0	0	0			0	7	0	0	3			1	1	5	1	1	1	1	5					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255			1	8	0	9sr	7sr	1	0
Trident	2Spe		tri	tri	tri	0		1	1				1	7	11			15	4		275	275	13	13	250		9	9	2195	6585		326	spr	tri	9tr	7tr	2ht	2ht	5	2ht	2	4					flptri	invtri	invtriu	invtriu	1	5	0	2 square reach	0	item_staff	12	item_staff	0	0	5	0	0	0			0	7	0	0	3	1	1	1	1	5					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255			1	8	0	9tr	7tr	1	0
Brandistock	2Spe		brn	brn	brn	0		1	1				1	6	13			15	4	-20	275	275	22	22	250		16	16	2585	7755		326	spr	brn	9br	7br	2ht	2ht	5	2ht	2	4					flpbrn	invbrn			1	5	0	2 square reach	0	item_staff	12	item_staff	0	0	5	0	0	0			0	7	0	0	3					255					255					255			1	1	10					255					255					255					255					255	1	1	1	1	10					255	1	1		1	1					255					255					255					255					255			1	2	0	9br	7br	1	0
