description	enabled	ladder	min diff	version	op	param	value	class	numinputs	input 1	input 2	input 3	input 4	input 5	input 6	input 7	output	lvl	plvl	ilvl	mod 1	mod 1 chance	mod 1 param	mod 1 min	mod 1 max	mod 2	mod 2 chance	mod 2 param	mod 2 min	mod 2 max	mod 3	mod 3 chance	mod 3 param	mod 3 min	mod 3 max	mod 4	mod 4 chance	mod 4 param	mod 4 min	mod 4 max	mod 5	mod 5 chance	mod 5 param	mod 5 min	mod 5 max	output b	b lvl	b plvl	b ilvl	b mod 1	b mod 1 chance	b mod 1 param	b mod 1 min	b mod 1 max	b mod 2	b mod 2 chance	b mod 2 param	b mod 2 min	b mod 2 max	b mod 3	b mod 3 chance	b mod 3 param	b mod 3 min	b mod 3 max	b mod 4	b mod 4 chance	b mod 4 param	b mod 4 min	b mod 4 max	b mod 5	b mod 5 chance	b mod 5 param	b mod 5 min	b mod 5 max	output c	c lvl	c plvl	c ilvl	c mod 1	c mod 1 chance	c mod 1 param	c mod 1 min	c mod 1 max	c mod 2	c mod 2 chance	c mod 2 param	c mod 2 min	c mod 2 max	c mod 3	c mod 3 chance	c mod 3 param	c mod 3 min	c mod 3 max	c mod 4	c mod 4 chance	c mod 4 param	c mod 4 min	c mod 4 max	c mod 5	c mod 5 chance	c mod 5 param	c mod 5 min	c mod 5 max	*eol
3 Socket + 1 normal weapon -> socketed, eth weapon	1			0					2	weap,eth,nor	3as,qty=1						useitem				sock			3	3																																																																															0
3 Socket + 1 normal armor -> socketed, eth armor	1			0					2	armo,eth,nor	3as,qty=1						useitem				sock			3	3																																																																															0
4 Socket + 1 normal weapon -> socketed, eth weapon	1			0					2	weap,eth,nor	4as,qty=1						useitem				sock			4	4																																																																															0
4 Socket + 1 normal armor -> socketed, eth armor	1			0					2	armo,eth,nor	4as,qty=1						useitem				sock			4	4																																																																															0
X Socket + 1 normal weapon -> socketed, eth weapon	1			0					2	weap,eth,nor	5as,qty=1						useitem				sock			5	5																																																																															0
X Socket + 1 normal armor -> socketed, eth armor	1			0					2	armo,eth,nor	5as,qty=1						useitem				sock			5	5																																																																															0
1 Socket + 1 normal weapon -> socketed, low weapon	1			0					2	weap,low	1as,qty=1						useitem				sock			1	1																																																																															0
1 Socket + 1 normal armor -> socketed, low armor	1			0					2	armo,low	1as,qty=1						useitem				sock			1	1																																																																															0
2 Socket + 1 normal weapon -> socketed, low weapon	1			0					2	weap,low	2as,qty=1						useitem				sock			2	2																																																																															0
2 Socket + 1 normal armor -> socketed, low armor	1			0					2	armo,low	2as,qty=1						useitem				sock			2	2																																																																															0
3 Socket + 1 normal weapon -> socketed, low weapon	1			0					2	weap,low	3as,qty=1						useitem				sock			3	3																																																																															0
3 Socket + 1 normal armor -> socketed, low armor	1			0					2	armo,low	3as,qty=1						useitem				sock			3	3																																																																															0
4 Socket + 1 normal weapon -> socketed, low weapon	1			0					2	weap,low	4as,qty=1						useitem				sock			4	4																																																																															0
4 Socket + 1 normal armor -> socketed, low armor	1			0					2	armo,low	4as,qty=1						useitem				sock			4	4																																																																															0
X Socket + 1 normal weapon -> socketed, low weapon	1			0					2	weap,low	5as,qty=1						useitem				sock			5	5																																																																															0
X Socket + 1 normal armor -> socketed, low armor	1			0					2	armo,low	5as,qty=1						useitem				sock			5	5																																																																															0
1 Socket + 1 normal weapon -> socketed, eth weapon	1			0					2	weap,eth,hiq	1as,qty=1						useitem				sock			1	1																																																																															0
1 Socket + 1 normal armor -> socketed, eth armor	1			0					2	armo,eth,hiq	1as,qty=1						useitem				sock			1	1																																																																															0
2 Socket + 1 normal weapon -> socketed, eth weapon	1			0					2	weap,eth,hiq	2as,qty=1						useitem				sock			2	2																																																																															0
2 Socket + 1 normal armor -> socketed, eth armor	1			0					2	armo,eth,hiq	2as,qty=1						useitem				sock			2	2																																																																															0
3 Socket + 1 normal weapon -> socketed, eth weapon	1			0					2	weap,eth,hiq	3as,qty=1						useitem				sock			3	3																																																																															0
3 Socket + 1 normal armor -> socketed, eth armor	1			0					2	armo,eth,hiq	3as,qty=1						useitem				sock			3	3																																																																															0
4 Socket + 1 normal weapon -> socketed, eth weapon	1			0					2	weap,eth,hiq	4as,qty=1						useitem				sock			4	4																																																																															0
4 Socket + 1 normal armor -> socketed, eth armor	1			0					2	armo,eth,hiq	4as,qty=1						useitem				sock			4	4																																																																															0
X Socket + 1 normal weapon -> socketed, eth weapon	1			0					2	weap,eth,hiq	5as,qty=1						useitem				sock			5	5																																																																															0
X Socket + 1 normal armor -> socketed, eth armor	1			0					2	armo,eth,hiq	5as,qty=1						useitem				sock			5	5																																																																															0
1 Socket + 1 normal weapon -> socketed, eth weapon	1			0					2	weap,eth,low	1as,qty=1						useitem				sock			1	1																																																																															0
1 Socket + 1 normal armor -> socketed, eth armor	1			0					2	armo,eth,low	1as,qty=1						useitem				sock			1	1																																																																															0
2 Socket + 1 normal weapon -> socketed, eth weapon	1			0					2	weap,eth,low	2as,qty=1						useitem				sock			2	2																																																																															0
2 Socket + 1 normal armor -> socketed, eth armor	1			0					2	armo,eth,low	2as,qty=1						useitem				sock			2	2																																																																															0
3 Socket + 1 normal weapon -> socketed, eth weapon	1			0					2	weap,eth,low	3as,qty=1						useitem				sock			3	3																																																																															0
3 Socket + 1 normal armor -> socketed, eth armor	1			0					2	armo,eth,low	3as,qty=1						useitem				sock			3	3																																																																															0
4 Socket + 1 normal weapon -> socketed, eth weapon	1			0					2	weap,eth,low	4as,qty=1						useitem				sock			4	4																																																																															0
4 Socket + 1 normal armor -> socketed, eth armor	1			0					2	armo,eth,low	4as,qty=1						useitem				sock			4	4																																																																															0
X Socket + 1 normal weapon -> socketed, eth weapon	1			0					2	weap,eth,low	5as,qty=1						useitem				sock			5	5																																																																															0
X Socket + 1 normal armor -> socketed, eth armor	1			0					2	armo,eth,low	5as,qty=1						useitem				sock			5	5																																																																															0
1 Socket + 1 crafted weapon -> socketed, crafted weapon	1			0					3	weap,crf	1as,qty=2						useitem				sock			1	1																																																																															0
1 Socket + 1 crafted armor -> socketed, crafted armor	1			0					3	armo,crf	1as,qty=2						useitem				sock			1	1																																																																															0
2 Socket + 1crafted weapon -> socketed, crafted weapon	1			0					3	weap,crf	2as,qty=2						useitem				sock			2	2																																																																															0
2 Socket + 1 crafted armor -> socketed, crafted armor	1			0					3	armo,crf	2as,qty=2						useitem				sock			2	2																																																																															0
3 Socket + 1 crafted weapon -> socketed, crafted weapon	1			0					3	weap,crf	3as,qty=2						useitem				sock			3	3																																																																															0
3 Socket + 1 crafted armor -> socketed, crafted armor	1			0					3	armo,crf	3as,qty=2						useitem				sock			3	3																																																																															0
4 Socket + 1 crafted weapon -> socketed, crafted weapon	1			0					3	weap,crf	4as,qty=2						useitem				sock			4	4																																																																															0
4 Socket + 1 crafted armor -> socketed, crafted armor	1			0					3	armo,crf	4as,qty=2						useitem				sock			4	4																																																																															0
1 Mith Hammer + 1 Mith Glyph + Low Weapon -> Normal Weapon	1			0					3	weap,low,noe	9as,qty=1	6as,qty=1					usetype,nor			100																																																																																				0
1 Mith Hammer + 1 Mith Glyph+ Low Armor -> Normal Armor	1			0					3	armo,low,noe	9as,qty=1	6as,qty=1					usetype,nor			100																																																																																				0
1 Mith Hammer + 1 Mith Glyph+ Low Eth Weapon -> Normal Eth Weapon	1			0					3	weap,low,eth	9as,qty=1	6as,qty=1					usetype,nor,eth			100																																																																																				0
1 Mith Hammer + 1 Mith Glyph+ Low Eth Armor -> Normal Eth Armor	1			0					3	armo,low,eth	9as,qty=1	6as,qty=1					usetype,nor,eth			100																																																																																				0
1 Adam Hammer + 1 Adam Glyph + Normal Weapon -> Hiq Weapon	1			0					3	weap,nor,noe	zas,qty=1	7as,qty=1					usetype,hiq			100																																																																																				0
1 Adam Hammer + 1 Adam Glyph + Normal Armor -> Hiq Armor	1			0					3	armo,nor,noe	zas,qty=1	7as,qty=1					usetype,hiq			100																																																																																				0
1 Adan Hammer + 1 Adam Glyph+ Normal Eth Weapon -> Hiq Eth Weapon	1			0					3	weap,nor,eth	zas,qty=1	7as,qty=1					usetype,hiq,eth			100																																																																																				0
1 Adam Hammer + 1 Adam Glyph + Normal Eth Armor -> Hiq Eth Armor	1			0					3	armo,nor,eth	zas,qty=1	7as,qty=1					usetype,hiq,eth			100																																																																																				0
r08 + r12 + basic crafted weapon -> exceptional crafted weapon	1			100					4	weap,bas,crf	r08	r12	zas				useitem,mod,exc				levelreq			6	6																																																																															0
r08 + r12 +  basic crafted armor -> exceptional crafted armor	1			100					4	armo,bas,crf	r08	r12	zas				useitem,mod,exc				levelreq			6	6																																																																															0
r07 + r13 + basic crafted weapon -> exceptional crafted weapon	1			100					4	weap,bas,crf	r07	r13	zas				useitem,mod,exc				levelreq			6	6																																																																															0
r07 + r13 +  basic crafted armor -> exceptional crafted armor	1			100					4	armo,bas,crf	r07	r13	zas				useitem,mod,exc				levelreq			6	6																																																																															0
r07 + r13 + basic crafted weapon -> exceptional crafted weapon	1			100					4	weap,bas,crf	r09	r11	zas				useitem,mod,exc				levelreq			6	6																																																																															0
r07 + r13 +  basic crafted armor -> exceptional crafted armor	1			100					4	armo,bas,crf	r09	r11	zas				useitem,mod,exc				levelreq			6	6																																																																															0
r06 + r14 + basic crafted weapon -> exceptional crafted weapon	1			100					4	weap,bas,crf	r06	r14	zas				useitem,mod,exc				levelreq			6	6																																																																															0
r06 + r14 +  basic crafted armor -> exceptional crafted armor	1			100					4	armo,bas,crf	r06	r14	zas				useitem,mod,exc				levelreq			6	6																																																																															0
r18 + r22 + exceptional crafted weapon -> elite crafted weapon	1			100					4	weap,exc,crf	r18	r22	zas				useitem,mod,eli				levelreq			2	2																																																																															0
