name	letter	transform	code	nummods	weaponMod1Code	weaponMod1Param	weaponMod1Min	weaponMod1Max	weaponMod2Code	weaponMod2Param	weaponMod2Min	weaponMod2Max	weaponMod3Code	weaponMod3Param	weaponMod3Min	weaponMod3Max	helmMod1Code	helmMod1Param	helmMod1Min	helmMod1Max	helmMod2Code	helmMod2Param	helmMod2Min	helmMod2Max	helmMod3Code	helmMod3Param	helmMod3Min	helmMod3Max	shieldMod1Code	shieldMod1Param	shieldMod1Min	shieldMod1Max	shieldMod2Code	shieldMod2Param	shieldMod2Min	shieldMod2Max	shieldMod3Code	shieldMod3Param	shieldMod3Min	shieldMod3Max
Flawed Skull		2	skf	3	manasteal	0	2	2	lifesteal		2	2	deadly		4	4	res-mag		6	6	regen		50	50	regen-mana		22	22	openwounds		11	11	red-dmg%		4	4		0	0	0
Skull		2	sku	3	manasteal	0	2	2	lifesteal		2	2	deadly		5	5	res-mag		7	7	regen		75	75	regen-mana		25	25	openwounds		12	12	red-dmg%		5	5		0	0	0
Flawless Skull		2	skl	3	manasteal	0	3	3	lifesteal		3	3	deadly		6	6	res-mag		8	8	regen		100	100	regen-mana		28	28	openwounds		13	13	red-dmg%		6	6		0	0	0
Perfect Skull		3	skz	3	manasteal	0	4	4	lifesteal		4	4	deadly		7	7	res-mag		9	9	regen		125	125	regen-mana		31	31	openwounds		14	14	red-dmg%		7	7		0	0	0
StarSkull		3	sk6	3	manasteal	0	5	5	lifesteal		5	5	deadly		8	8	res-mag		10	10	regen		150	150	regen-mana		35	35	openwounds		15	15	red-dmg%		8	8		0	0	0
ArchSkull		3	sk7	3	manasteal	0	6	6	lifesteal		6	6	deadly		9	9	res-mag		12	12	regen		175	175	regen-mana		40	40	openwounds		16	16	red-dmg%		9	9		0	0	0
XSkull		3	sk8	3	manasteal	0	7	7	lifesteal		7	7	deadly		10	10	res-mag		15	15	regen		200	200	regen-mana		50	50	openwounds		18	18	red-dmg%		10	10		0	0	0
Expansion																																								
El Rune	El	18	r01	1	light		1	1	att		50	50					light		1	1	ac%		20	20					light		1	1	ac%		20	20				0
Eld Rune	Eld	18	r02	1	att-undead		100	100	dmg-undead		100	100					dmg-undead		50	50									block		15	15	dmg-undead		50	50				0
Tir Rune	Tir	18	r03	1	mana-kill		12	12	cast2		10	10					mana-kill		8	8	cast2		10	10					mana-kill		8	8	cast2		10	10				0
Nef Rune	Nef	18	r04	1	knock		1	1	dmg-norm		1	2					dmg-norm		1	2									dmg-norm		1	2								0
Eth Rune	Eth	18	r05	1	reduce-ac		25	25	dmg-norm		1	2					regen-mana		30	30									regen-mana		30	30								0
Ith Rune	Ith	18	r06	1	heal-hit		2	2	dmg-norm		1	2					dmg-to-mana		20	20									dmg-to-mana		20	20								0
Tal Rune	Tal	18	r07	1	dmg-pois	100	300	300	extra-pois		1	1					res-pois		20	20	extra-pois		1	1					res-pois		20	20	extra-pois		1	1				
Ral Rune	Ral	18	r08	1	dmg-fire		20	40	extra-fire		1	1					res-fire		20	20	extra-fire		1	1					res-fire		20	20	extra-fire		1	1				
Ort Rune	Ort	18	r09	1	dmg-ltng		1	60	extra-ltng		1	1					res-ltng		20	20	extra-ltng		1	1					res-ltng		20	20	extra-ltng		1	1				
Thul Rune	Thul	18	r10	1	dmg-cold	75	20	40	extra-cold		1	1					res-cold		20	20	extra-cold		1	1					res-cold		20	20	extra-cold		1	1				
Amn Rune	Amn	18	r11	1	lifesteal		2	2	extra-mag		1	1					res-mag		5	5	extra-mag		1	1					res-mag		5	5	extra-mag		1	1				
Sol Rune	Sol	18	r12	1	dmg-norm		3	6	red-dmg		6	6					red-dmg		6	6	dmg-norm		3	6					red-dmg		6	6	dmg-norm		3	6				0
Shael Rune	Shael	18	r13	1	swing2		20	20	move2		20	20					balance2		20	20	move2		20	20					block2		30	30	move2		10	10				0
Dol Rune	Dol	18	r14	1	heal-kill/lvl		3	3	cast2		20	20					heal-kill/lvl		2	2	cast2		20	20					heal-kill/lvl		2	2	cast2		20	20				0
Hel Rune	Hel	18	r15	1	ease		-15	-15	dmg-norm		4	8					ease		-15	-15	ac		50	50					ease		-15	-15	ac		50	50				0
Io Rune	Io	18	r16	1	vit		20	20	regen		50	50					vit		16	16	balance2		20	20					vit		16	16	block		20	20				0
Lum Rune	Lum	18	r17	1	enr		10	10	mana%		10	10					enr		10	10	extra-all		1	1					enr		10	10	extra-all		1	1				0
Ko Rune	Ko	18	r18	1	dex		20	20	dmg-norm		4	8					dex		16	16	dmg-norm		4	8					dex		16	16	dmg-norm		4	8				
Fal Rune	Fal	18	r19	1	str		20	20	dmg-norm		4	8					str		16	16	dmg-norm		4	8					str		16	16	dmg-norm		4	8				
Lem Rune	Lem	18	r20	1	gold%		50	50	regen		50	50					gold%		50	50	regen		50	50					gold%		50	50	regen		50	50				0
Pul Rune	Pul	18	r21	1	dmg-demon		200	200	dmg-undead		200	200					regen		100	100	dmg-demon		150	150	dmg-undead		150	150	dmg-demon		150	150	dmg-undead		150	150	regen		100	100
Um Rune	Um	18	r22	1	openwounds		25	25	dmg-norm		5	10					res-all		18	18									res-all		18	18								0
Mal Rune	Mal	18	r23	1	red-mag		10	10	res-mag		6	6					red-mag		10	10	res-mag		6	6					red-mag		10	10	res-mag		6	6				0
Ist Rune	Ist	18	r24	1	mag%		25	25									mag%		25	25									mag%		50	50								0
Gul Rune	Gul	18	r25	1	ignore-ac		1	1	dmg-pois	50	1000	1000	extra-pois		3	3	extra-pois		2	2	dmg-pois	50	800	1200					extra-pois		2	2	dmg-pois	50	800	1200				
Vex Rune	Vex	18	r26	1	manasteal		5	5	dmg-fire		80	120	extra-fire		3	3	extra-fire		2	2	dmg-fire		200	400					extra-fire		2	2	dmg-fire		200	400				
Ohm Rune	Ohm	18	r27	1	dmg%		30	30	dmg-ltng		1	200	extra-ltng		3	3	extra-ltng		2	2	dmg-ltng		1	800					extra-ltng		2	2	dmg-ltng		1	800				
Lo Rune	Lo	18	r28	1	deadly		15	15	dmg-cold	150	60	100	extra-cold		3	3	extra-cold		2	2	dmg-cold	150	160	340					extra-cold		2	2	dmg-cold	150	160	340				
Sur Rune	Sur	18	r29	1	lifesteal		5	5	dmg-mag		40	60	extra-mag		3	3	extra-mag		2	2	dmg-mag		120	280					extra-mag		2	2	dmg-mag		120	280				
Ber Rune	Ber	18	r30	1	red-dmg%		4	4	extra-phys		3	3					red-dmg%		8	8	extra-phys		2	2					resistcurse		6	6	extra-phys		2	2				0
Jah Rune	Jah	18	r31	1	hp		50	50	regen		200	200					hp		100	100	regen		200	200					hp		100	100	regen		200	200				
Cham Rune	Cham	18	r32	1	slow		4	4	res-mag		10	10					nofreeze		1	1	res-mag		10	10					nofreeze		1	1	res-mag		10	10				
Zod Rune	Zod	18	r33	1	indestruct		1	1									indestruct		1	1									indestruct		1	1								0
