code	*done	set1	val1	func1	stat1	set2	val2	func2	stat2	set3	val3	func3	stat3	set4	val4	func4	stat4	set5	val5	func5	stat5	set6	val6	func6	stat6	set7	val7	func7	stat7	*desc	*param	*min	*max	*notes	*eol
res-pois-max	1			1	maxpoisonresist																									+min-max to Max % Resist Poison				none	0
res-all	1			1	fireresist			3	lightresist			3	coldresist			3	poisonresist													+min-max% Resist All				none	0
res-all-max	1			1	maxfireresist			3	maxlightresist			3	maxcoldresist			3	maxpoisonresist													+min-max to Max % Resist All				none	0
abs-fire%	1			1	item_absorbfire_percent																									+min-max% Absorb Fire				none	0
abs-fire	1			1	item_absorbfire																									+min-max  Absorb Fire				none	0
abs-ltng%	1			1	item_absorblight_percent																									+min-max% Absorb Lightning				none	0
abs-ltng	1			1	item_absorblight																									+min-max Absorb Lightning				none	0
abs-mag%	1			1	item_absorbmagic_percent																									+min-max% Absorb Magic				none	0
abs-mag	1			1	item_absorbmagic																									+min-max Absorb Magic				none	0
abs-cold%	1			1	item_absorbcold_percent																									+min-max% Absorb Cold				none	0
abs-cold	1			1	item_absorbcold																									+min-max Absorb Cold				none	0
dur	1			1	maxdurability																									+min-max Durability				none	0
dur%	1			13	item_maxdurability_percent																									+min-max% Durability				none	0
regen	1			1	hpregen																									+min-max Replenish HP				none	0
thorns	1			1	thorns_percent																									min-max% HP Lost Damages Attacker				none	0
swing1	1			8	item_fasterattackrate																									+min-max% IASpeed				none	0
swing2	1			8	item_fasterattackrate																									+min-max% IASpeed				none	0
swing3	1			8	item_fasterattackrate																									+min-max% IASpeed				none	0
gold%	1			1	item_goldbonus																									+min-max% Gold Find				none	0
mag%	1			1	item_magicbonus																									+min-max% Magic Find				none	0
knock	1			1	item_knockback																									Knockback				none	0
regen-stam	1			1	staminarecoverybonus																									+min-max% Regen Stamina				none	0
regen-mana	1			1	manarecoverybonus																									+min-max% Regen MP				none	0
stam	1			1	maxstamina																									+min-max Stamina				none	0
time	1			1	item_timeduration																													none	0
manasteal	1			1	manadrainmindam																									+min-max% Mana Steal				none	0
lifesteal	1			1	lifedrainmindam																									+min-max% Life Steal				none	0
ama	1		0	21	item_addclassskills																									+min-max to Amazon Skills				none	0
pal	1		3	21	item_addclassskills																									+min-max to Paladin Skills				none	0
nec	1		2	21	item_addclassskills																									+min-max to Necromancer Skills				none	0
sor	1		1	21	item_addclassskills																									+min-max to Sorceress Skills				none	0
bar	1		4	21	item_addclassskills																									+min-max to Barbarian Skills				none	0
herb	1			1	item_doubleherbduration																													none	0
light	1			1	item_lightradius																									+min-max Light Radius				none	0
color	1	1		1	item_lightcolor																													none	0
ease	1			1	item_req_percent																									+min-max% Stats Required				none	0
move1	1			8	item_fastermovevelocity																									+min-max% FR/Walk				none	0
move2	1			8	item_fastermovevelocity																									+min-max% FR/Walk				none	0
move3	1			8	item_fastermovevelocity																									+min-max% FR/Walk				none	0
balance1	1			8	item_fastergethitrate																									+min-max% FHRecovery				none	0
balance2	1			8	item_fastergethitrate																									+min-max% FHRecovery				none	0
balance3	1			8	item_fastergethitrate																									+min-max% FHRecovery				none	0
block1	1			8	item_fasterblockrate																									+min-max% FBRate				none	0
block2	1			8	item_fasterblockrate																									+min-max% FBRate				none	0
block3	1			8	item_fasterblockrate																									+min-max% FBRate				none	0
cast1	1			8	item_fastercastrate																									+min-max% FCRate				none	0
cast2	1			8	item_fastercastrate																									+min-max% FCRate				none	0
cast3	1			8	item_fastercastrate																									+min-max% FCRate				none	0
res-pois-len	1			1	item_poisonlengthresist																									min-max% Reduced Poison Length				none	0
dmg	1			1	item_normaldamage																									+min-max Phys Damage to melee or Smite				none	0
howl	1			1	item_howl																									min-max% chance Monsters Flee				none	0
stupidity	1			1	item_stupidity																									Blinds Monsters				none	0
ignore-ac	1			1	item_ignoretargetac																									Ignore Monster Defense				none	0
reduce-ac	1			1	item_fractionaltargetac																									min-max% Reduced Monster Defense				none	0
noheal	1			1	item_preventheal																									Prevents Monster HP Regen				none	0
half-freeze	1			1	item_halffreezeduration																									Half Freeze duration				none	0
att%	1			1	item_tohit_percent																									+min-max% ARating				none	0
dmg-ac	1			1	item_damagetargetac																									min-max Reduced Monster Defense per hit				none	0
dmg-demon	1			1	item_demondamage_percent																									+min-max% Enhanced Damage vs Demons				none	0
dmg-undead	1			1	item_undeaddamage_percent																									+min-max% Enhanced Damage vs Undead				none	0
att-demon	1			1	item_demon_tohit																									+min-max ARating vs Demons				none	0
att-undead	1			1	item_undead_tohit																									+min-max ARating vs Undead				none	0
throw	1			1	item_throwable																									Throwable				none	0
fireskill	1		1	21	item_elemskill			3	item_elemskill_fire_desc																					+min-max to Fire Skills				none	0
allskills	1			1	item_allskills																									+min-max to All Skills				none	0
light-thorns	1			1	item_attackertakeslightdamage																									min-max Lightning Damage to Attacker				none	0
freeze	1			1	item_freeze																									Freeze Target +min				Freeze% =50+(AttackerLvl+(this*4)-DefenderLvl)*5. 1/3 for ranged	0
openwounds	1			1	item_openwounds																									min-max% chance to Open Wounds				none	0
crush	1			1	item_crushingblow																									min-max% chance for Crushing Blow				none	0
kick	1			1	item_kickdamage																									+min-max Kick Damage				none	0
mana-kill	1			1	item_manaafterkill																									+min-max MP per Kill				none	0
demon-heal	1			1	item_healafterdemonkill																									+min-max HP per Demon Kill				none	0
bloody	1			1	item_extrablood																									Extra Blood Graphics				none	0
deadly	1			1	item_deadlystrike																									+min-max% chance for Deadly Strike				none	0
slow	1			1	item_slow																									+min-max% Slows Target				none	0
nofreeze	1			1	item_cannotbefrozen																									Cannot Be Frozen				none	0
stamdrain	1			1	item_staminadrainpct																									min-max% Reduced Stamina Drain				none	0
reanimate	1			24	item_reanimate																									min-max% Slain Reanimate as param				none	0
pierce	1			1	item_pierce																									+min-max% Missiles Pierce Targets				none	0
magicarrow	1			1	item_magicarrow																									Shoots level min-max Magic Arrow				none	0
explosivearrow	1			1	item_explosivearrow																									Shoots level min-max Explosive Arrow				none	0
Expansion																																			0
dru	1		5	21	item_addclassskills																									+min-max to Druid Skills				none	0
ass	1		6	21	item_addclassskills																									+min-max to Assassin Skills				none	0
skill	1			22	item_singleskill																									+min-max to param (Class Only)				none	0
skilltab	1			10	item_addskill_tab																									+min-max to param				none	0
aura	1			22	item_aura			22	item_auradesc																					Level min-max param on Equip				none	0
att-skill	1			11	item_skillonattack																									+min% Cast Level max param on Attack	Skill #	% Chance	Level	none	0
hit-skill	1			11	item_skillonhit																									+min% Cast Level max param on Strike	Skill #	% Chance	Level	none	0
gethit-skill	1			11	item_skillongethit																									+min% Cast Level max param on Struck	Skill #	% Chance	Level	none	0
gembonus																														Increase chance of finding Gems				none	0
regen-dur																																		none	0
fire-fx																																		none	0
ltng-fx																																		none	0
sock	1			14	item_numsockets																									min-max Sockets				none	0
dmg-fire	1			15	firemindam			16	firemaxdam																					+min-max Fire Damage		Min	Max	none	0
dmg-ltng	1			15	lightmindam			16	lightmaxdam																					+min-max Lightning Damage		Min	Max	none	0
dmg-mag	1			15	magicmindam			16	magicmaxdam																					+min-max Magic Damage		Min	Max	none	0
dmg-cold	1			15	coldmindam			16	coldmaxdam			17	coldlength																	+min-max Cold Damage, Chills param/25 seconds	Length (Frames)	Min	Max	none	0
dmg-pois	1			15	poisonmindam			16	poisonmaxdam			17	poisonlength																	+min-max/10 Poison DPS for param/25 seconds	Length (Frames)	Min (256ths)	Max (256ths)	none	0
dmg-throw	1			15	item_throw_mindamage			16	item_throw_maxdamage																					+min-max Throw Damage		Min	Max	none	0
dmg-norm	1			15	mindamage			16	maxdamage																					+min-max Phys Damage		Min	Max	none	0
ac/lvl	1			17	item_armor_perlevel																									+param/8 Defense per Player level	ac/lvl (8ths)			none	0
ac%/lvl	1			17	item_armorpercent_perlevel																									+param/8% Defense per Player Level	ac%/lvl (8ths)			none	0
hp/lvl	1			17	item_hp_perlevel																									+param/8 HP per Player Level	hp/lvl (8ths)			none	0
mana/lvl	1			17	item_mana_perlevel																									+param/8 MP per Player Level	(8ths)			none	0
dmg/lvl	1			17	item_maxdamage_perlevel																									+param/8 Max PhysDamage per Player Level	(8ths)			none	0
dmg%/lvl	1			17	item_maxdamage_percent_perlevel																									+param/8% Max PhysDamage per Player Level	(8ths)			none	0
str/lvl	1			17	item_strength_perlevel																									+param/8 Strength per Player Level	(8ths)			none	0
dex/lvl	1			17	item_dexterity_perlevel																									+param/8 Dexterity per Player Level	(8ths)			none	0
enr/lvl	1			17	item_energy_perlevel																									+param/8 Energy per Player Level	(8ths)			none	0
vit/lvl	1			17	item_vitality_perlevel																									+param/8 Vitality per Player Level	(8ths)			none	0
att/lvl	1			17	item_tohit_perlevel																									+param/2 ARating per Player Level	(halves)			none	0
att%/lvl	1			17	item_tohitpercent_perlevel																									+param/2% ARating per Player Level	att%/lvl (halves)			none	0
dmg-cold-max/lvl	1			17	item_cold_damagemax_perlevel																									+param/8 Max Cold Damage per Player Level	(8ths)			none	0
dmg-fire-max/lvl	1			17	item_fire_damagemax_perlevel																									+param/8 Max Fire Damage per Player Level	(8ths)			none	0
dmg-ltng-max/lvl	1			17	item_ltng_damagemax_perlevel																									+param/8 Max Lightning Dmg per Player Level	(8ths)			none	0
dmg-pois-max/lvl	1			17	item_pois_damagemax_perlevel																									+param/8 Max Poison Dmg per Player Level	(8ths)			none	0
res-cold/lvl	1			17	item_resist_cold_perlevel																									+param/8% Resist Cold per Player Level	(8ths)			none	0
res-fire/lvl	1			17	item_resist_fire_perlevel																									+param/8% Resist Fire per Player Level	(8ths)			none	0
res-ltng/lvl	1			17	item_resist_ltng_perlevel																									+param/8% Resist Lightning per Player Level	(8ths)			none	0
res-pois/lvl	1			17	item_resist_pois_perlevel																									+param/8% Resist Poison per Player Level	(8ths)			none	0
abs-cold/lvl	1			17	item_absorb_cold_perlevel																									+param/8 Absorb Cold per Player Level	(8ths)			none	0
abs-fire/lvl	1			17	item_absorb_fire_perlevel																									+param/8 Absorb Fire per Player Level	(8ths)			none	0
abs-ltng/lvl	1			17	item_absorb_ltng_perlevel																									+param/8 Absorb Lightning per Player Lvl	(8ths)			none	0
abs-pois/lvl	1			17	item_absorb_pois_perlevel																										(8ths)			none	0
thorns/lvl	1			17	item_thorns_perlevel																									+param/8 Damage to Attacker per Player Lvl	(8ths)			none	0
gold%/lvl	1			17	item_find_gold_perlevel																									+param/8% Gold Dropped per Player Lvl	(8ths)			none	0
mag%/lvl	1			17	item_find_magic_perlevel																									+param/8% Magic Find per Player Lvl	(8ths)			none	0
regen-stam/lvl	1			17	item_regenstamina_perlevel																									+param/8% Regen Stamina per Player Lvl	(8ths)			none	0
stam/lvl	1			17	item_stamina_perlevel																									+param/8 Stamina per Player Level	(8ths)			none	0
dmg-dem/lvl	1			17	item_damage_demon_perlevel																									+param/8% Damage vs Demons per Player Level	(8ths)			none	0
dmg-und/lvl	1			17	item_damage_undead_perlevel																									+param/8% Damage vs Undead per Player Level	(8ths)			none	0
att-dem/lvl	1			17	item_tohit_demon_perlevel																									+param/2 ARating vs Demons per Player Level	(halves)			none	0
att-und/lvl	1			17	item_tohit_undead_perlevel																									+param/2 ARating vs Undead per Player Level	(halves)			none	0
crush/lvl	1			17	item_crushingblow_perlevel																									+param/8% Chance of Crushing Blow per Player Level	(8ths)			none	0
wounds/lvl	1			17	item_openwounds_perlevel																									+param/8% Chance to Open Wounds per Player Level	(8ths)			none	0
kick/lvl	1			17	item_kick_damage_perlevel																									+param/8 Kick Damage per Player Level	(8ths)			none	0
deadly/lvl	1			17	item_deadlystrike_perlevel																									+param/8% Chance of Deadly Strike per Player Level	(8ths)			none	0
gems%/lvl																														+% Chance of finding Gems per Player Level	(8ths)			none	0
rep-dur	1			17	item_replenish_durability																									100/param Seconds per +1 Durability	speed (see note)			regenerates 1 durability point per 100/lvl seconds	0
rep-quant	1			17	item_replenish_quantity																									100/param Seconds per +1 Quantity	speed (see note)			regenerates 1 quantity per 100/lvl seconds	0
stack	1			1	item_extra_stack																									+min-max Stack Size		min count	max count	none	0
item%																														+% Chance of finding item	item type	min chance	max chance	random chance from min to max is assigned to item	0
dmg-slash																														Slashing Damage		min	max	random amount from min to max is assigned to item	0
dmg-slash%																														Slashing Damage %		min %	max %	random amount from min to max is assigned to item	0
dmg-crush																														Crush Damage		min	max	random amount from min to max is assigned to item	0
dmg-crush%																														Crush Damage %		min %	max %	random amount from min to max is assigned to item	0
dmg-thrust																														Thrust Damage		min	max	random amount from min to max is assigned to item	0
dmg-thrust%																														Thrust Damage %		min %	max %	random amount from min to max is assigned to item	0
abs-slash																														Absorb Slashing Damage		min amt	max amt	random amount from min to max is assigned to item	0
abs-crush																														Absorb Crushing Damage		min amt	max amt	random amount from min to max is assigned to item	0
abs-thrust																														Absorb Thrusting Damage		min amt	max amt	random amount from min to max is assigned to item	0
abs-slash%																														Absorb Slashing Damage %		min %	max %	random amount from min to max is assigned to item	0
abs-crush%																														Absorb Crushing Damage %		min %	max %	random amount from min to max is assigned to item	0
abs-thrust%																														Absorb Thrusting Damage %		min %	max %	random amount from min to max is assigned to item	0
ac/time	1			18	item_armor_bytime																									AC / time increment (0=day, 1=dusk, 2=night, 3=dawn)	center period	min	max	max at center period, min at opposite period, linear progression	0
ac%/time	1			18	item_armorpercent_bytime																									AC% / time increment (8 periods)	center period	min	max	CenterPeriod=0 (Daytime), 1 (Dusk), 2 (NightTime), >=3 (Dawn)	0
hp/time	1			18	item_hp_bytime																									HP / time increment	center period	min	max	12 progressions per day, about 90 seconds per progression	0
mana/time	1			18	item_mana_bytime																									Mana / time increment	center period	min	max	max at center period, min at opposite period, linear progression	0
dmg/time	1			18	item_maxdamage_bytime																									Max Damage / time increment	center period	min	max	max at center period, min at opposite period, linear progression	0
dmg%/time	1			18	item_maxdamage_percent_bytime																									Max Damage % / time increment	center period	min	max	max at center period, min at opposite period, linear progression	0
str/time	1			18	item_strength_bytime																									Strength / time increment	center period	min	max	max at center period, min at opposite period, linear progression	0
dex/time	1			18	item_dexterity_bytime																									Dexterity / time increment	center period	min	max	max at center period, min at opposite period, linear progression	0
enr/time	1			18	item_energy_bytime																									Energy / time increment	center period	min	max	max at center period, min at opposite period, linear progression	0
vit/time	1			18	item_vitality_bytime																									Vitality / time increment	center period	min	max	max at center period, min at opposite period, linear progression	0
att/time	1			18	item_tohit_bytime																									To hit / time increment	center period	min	max	max at center period, min at opposite period, linear progression	0
att%/time	1			18	item_tohitpercent_bytime																									To Hit % / time increment	center period	min	max	max at center period, min at opposite period, linear progression	0
dmg-cold/time	1			18	item_cold_damagemax_bytime																									Cold Damage Max / time inc.	center period	min	max	max at center period, min at opposite period, linear progression	0
dmg-fire/time	1			18	item_fire_damagemax_bytime																									Fire Damage Max / time inc.	center period	min	max	max at center period, min at opposite period, linear progression	0
dmg-ltng/time	1			18	item_ltng_damagemax_bytime																									Lightning Damage Max / time inc.	center period	min	max	max at center period, min at opposite period, linear progression	0
dmg-pois/time	1			18	item_pois_damagemax_bytime																									Poison Damage Max / time inc.	center period	min	max	max at center period, min at opposite period, linear progression	0
res-cold/time	1			18	item_resist_cold_bytime																									Resist Cold / time inc.	center period	min	max	max at center period, min at opposite period, linear progression	0
res-fire/time	1			18	item_resist_fire_bytime																									Resist Fire / time inc.	center period	min	max	max at center period, min at opposite period, linear progression	0
res-ltng/time	1			18	item_resist_ltng_bytime																									Resist Lightning / time inc	center period	min	max	max at center period, min at opposite period, linear progression	0
res-pois/time	1			18	item_resist_pois_bytime																									Resist Poison / time inc	center period	min	max	max at center period, min at opposite period, linear progression	0
abs-cold/time	1			18	item_absorb_cold_bytime																									Absorb Cold / time inc.	center period	min	max	max at center period, min at opposite period, linear progression	0
abs-fire/time	1			18	item_absorb_fire_bytime																									Absorb Fire / time inc.	center period	min	max	max at center period, min at opposite period, linear progression	0
abs-ltng/time	1			18	item_absorb_ltng_bytime																									Absorb Lightning / time inc.	center period	min	max	max at center period, min at opposite period, linear progression	0
abs-pois/time	1			18	item_absorb_pois_bytime																									Absorb Poison / time inc.	center period	min	max	max at center period, min at opposite period, linear progression	0
gold%/time	1			18	item_find_gold_bytime																									Find Gold Amt % / time inc.	center period	min	max	max at center period, min at opposite period, linear progression	0
mag%/time	1			18	item_find_magic_bytime																									Find Magic % / time inc.	center period	min	max	max at center period, min at opposite period, linear progression	0
regen-stam/time	1			18	item_regenstamina_bytime																									% / time inc.	center period	min	max	max at center period, min at opposite period, linear progression	0
stam/time	1			18	item_stamina_bytime																									Stamina / time inc.	center period	min	max	max at center period, min at opposite period, linear progression	0
dmg-dem/time	1			18	item_damage_demon_bytime																									Damage to Demons % / time inc.	center period	min	max	max at center period, min at opposite period, linear progression	0
dmg-und/time	1			18	item_damage_undead_bytime																									Damage to Undead % / time inc.	center period	min	max	max at center period, min at opposite period, linear progression	0
att-dem/time	1			18	item_tohit_demon_bytime																									To Hit Demons % / time inc.	center period	min	max	max at center period, min at opposite period, linear progression	0
att-und/time	1			18	item_tohit_undead_bytime																									To Hit Undead % / time inc.	center period	min	max	max at center period, min at opposite period, linear progression	0
crush/time	1			18	item_crushingblow_bytime																									% chance of Crushing Blow / time inc.	center period	min	max	max at center period, min at opposite period, linear progression	0
wounds/time	1			18	item_openwounds_bytime																									+% chance of Open Wounds / time inc.	center period	min	max	max at center period, min at opposite period, linear progression	0
kick/time	1			18	item_kick_damage_bytime																									Kick Damage / time inc.	center period	min	max	max at center period, min at opposite period, linear progression	0
deadly/time	1			18	item_deadlystrike_bytime																									+% chance of Deadly Strike / time inc.	center period	min	max	max at center period, min at opposite period, linear progression	0
gems%/time																														+% chance of finding Gems / time inc.	center period	min	max	max at center period, min at opposite period, linear progression	0
pierce-fire	1			1	passive_fire_pierce																									min-max% Pierce Enemy Fire Resistance		min	max	none	0
pierce-ltng	1			1	passive_ltng_pierce																									min-max% Pierce Enemy Lightning Resistance		min	max	none	0
pierce-cold	1			1	passive_cold_pierce																									min-max% Pierce Enemy Cold Resistance		min	max	none	0
pierce-pois	1			1	passive_pois_pierce																									min-max% Pierce Enemy Poison Resistance		min	max	none	0
dmg-mon																														Damage vs. specific Monster Type	monster	min	max	none	0
dmg%-mon																														Damage % vs. specific Monster Type	monster	min	max	none	0
att-mon																														To Hit vs. specific Monster Type	monster	min	max	none	0
att%-mon																														To Hit % vs. specific Monster Type	monster	min	max	none	0
ac-mon																														AC vs. specific Monster Type	monster	min	max	none	0
ac%-mon																														AC% vs. specific Monster Type	monster	min	max	none	0
indestruct	1			20																										Indestructible				none	0
charged	1			19	item_charged_skill																									min Charges of level max param	skill	charges	level	none	0
extra-fire	1			1	passive_fire_mastery																									+min-max% Fire Damage					0
extra-ltng	1			1	passive_ltng_mastery																									+min-max% Lightning Damage					0
extra-cold	1			1	passive_cold_mastery																									+min-max% Cold Damage					0
extra-pois	1			1	passive_pois_mastery																									+min-max% Poison Damage					0
dmg-elem	1			15	firemindam			16	firemaxdam			15	lightmindam			16	lightmaxdam			15	coldmindam			16	coldmaxdam			17	coldlength	+min-max Fire, Cold, Lightning Damage, Chills param/25 sec					0
dmg-elem-min	1			1	firemindam			3	lightmindam			3	coldmindam																	+min-max Min Fire, Cold, Lightning Damage					0
dmg-elem-max	1			1	firemaxdam			3	lightmaxdam			3	coldmaxdam			17	coldlength													+min-max Max Fire, Cold, Lightning Damage					0
all-stats	1			1	strength			3	energy			3	dexterity			3	vitality													+min-max to Strength, Dexterity, Vitality, and Energy					0
addxp	1			1	item_addexperience																									+min-max% Experience					0
heal-kill	1			1	item_healafterkill																									+min-max HP per kill					0
cheap	1			1	item_reducedprices																									min-max% Reduced Vendor Prices		min	max	none	0
rip	1			1	item_restinpeace																									Rest in Peace		1	1	none	0
att-mon%	1			24	attack_vs_montype																									attack% vs. monster type	mon type	min	max	types read from monType.txt, as well	0
dmg-mon%	1			24	damage_vs_montype																									+min-max% Enhanced Damage vs param	mon type	min	max	  as monstats.txt demon, lUndead, and hUndead flags	0
kill-skill	1			11	item_skillonkill																									+min% Cast Level max param on Kill	Skill #	% Chance	Level		0
death-skill	1			11	item_skillondeath																									+min% Cast Level max param on Death	Skill #	% Chance	Level		0
levelup-skill	1			11	item_skillonlevelup																									+min% Cast Level max param on Level Up	Skill #	% Chance	Level		0
skill-rand	1			12	item_singleskill																									+param to random skill between min and max	Level	min Skill #	max Skill #		0
fade	1			17	fade																									Fades Character	fade type				0
levelreq	1			1	item_levelreq																									+min-max to Required Level					0
ethereal	1			23																										Ethereal					0
oskill	1			22	item_nonclassskill			22	item_nonclassskill_description																					+min-max to oSkill param	Skill	min level	max level	none	0
state	1			24	state																									State param	state	1	1		0
gethit-hurt	1			11	boss_skillongethit																									+min% Cast Level max param on Hit-Hurt	Skill #	% Chance	Level	none	0
resistcurse	1			1	curse_resistance																									min-max% Reduced Cursed Duration				none	0
randclassskill	1		3	36	item_addclassskills																														0
pierce-mag	1			1	passive_mag_pierce																									min-max% Pierce Enemy Magic Resistance					0
extra-mag	1			1	passive_mag_mastery																									+min-max% Magic Skill Damage					0
MonThorns	1			1	item_attackertakesdamage																									min-max Physical Damage to Attacker				none	0
extra-all	1			1	passive_fire_mastery			3	passive_ltng_mastery			3	passive_cold_mastery			3	passive_pois_mastery			3	passive_phys_mastery			3	passive_mag_mastery					+min-max% Elemental and Non-Elemental Damage				none	0
pierce-all	1			1	passive_fire_pierce			3	passive_ltng_pierce			3	passive_cold_pierce			3	passive_pois_pierce			3	passive_mag_pierce									min-max% Pierce Enemy Elemental, Poison and Magic Resistance				none	0
abs-elem%	1			1	item_absorbfire_percent			3	item_absorblight_percent			3	item_absorbcold_percent																	+min-max% Absorb Elemental				none	0
spear-automod	1			2	item_armor_percent			17	item_fastergethitrate			3	item_tohit_percent																	+min-max% Enhanced Defense and ARating, +param% FHRecovery					0
dr-mdr	1			1	normal_damage_reduction			3	magic_damage_reduction																					Phys, Mag, and Elemental Damage Reduced by min-max					0
ashd-automod	1			7				17	tohit																					+min-max% Enhanced Damage, +param ARating				none	0
att-dmg-demon	1			1	item_demondamage_percent			17	item_demon_tohit																					+min-max% Enhanced Damage  and +param ARating vs Demons				none	0
att-dmg-undead	1			1	item_undeaddamage_percent			17	item_undead_tohit																					+min-max% Enhanced Damage  and +param ARating vs Undead				none	0
big-swd-automod	1			17	item_fasterattackrate			17	maxdurability		3	21	item_addclassskills		5	21	item_addclassskills													+param% IASpeed and Dur, +min-max to Pal and Dru Skills				Used on swords only Barbs use 1-Handed	0
oskill-rand	1			12	item_nonclassskill																									+param to random skill between min and max	Level	min Skill #	max Skill #		0
hiddenaura	1			22	item_aura			1	akaraaurastatdesc																					Level min-max param on Equip				none	0
akarabonus	1			1	akarabonus																									+min-max% Power Level					0
block-fbr	1			1	toblock			17	item_fasterblockrate																					+min-max% ICBlocking, +param% FBRate				none	0
heal-hit	1			1	item_healonstrike																									+min-max HP on Strike				none	0
mana-hit	1			1	item_manaonstrike																									+min-max MP on Strike				none	0
castDelayRed%	1			1	item_cast_delay_reduced																									Casting Delays Reduced by min-max%				none	0
skillDurInc%	1			1	item_skill_duration_increased																									Skills Last +min-max% Longer				none	0
extra-phys	1			1	passive_phys_mastery																									+min-max% Physical Skill Damage					0
extra-elem	1			1	passive_fire_mastery			3	passive_ltng_mastery			3	passive_cold_mastery																	+min-max% Fire, Cold, and Lightning Damage				none	0
extra-non-elem	1			1	passive_pois_mastery			3	passive_phys_mastery			3	passive_mag_mastery																	+min-max% Phys, Magic, and Poison Damage				none	0
dmg-elem-max/lvl	1			17	item_cold_damagemax_perlevel			17	item_fire_damagemax_perlevel			17	item_ltng_damagemax_perlevel			1	coldlength													+param/8 Max Elem Damage per Level, min-max/25 sec Chill				none	0
res-all/lvl	1			17	item_resist_cold_perlevel			17	item_resist_fire_perlevel			17	item_resist_ltng_perlevel			17	item_resist_pois_perlevel													+param/8% Resist All per Player Level	(8ths)			none	0
ormus_norm	1			1	cha																									Norm Challenge Prerequisite					0
ormus_nm	1			1	chb																									NM Challenge Prerequisite					0
ormus_hell	1			1	chc																									Hell Challenge Prerequisite					0
trial1_done	1			1	cha_complete																									Proves the First Trial Complete					0
trial2_done	1			1	chb_complete																									Proves the Second Trial Complete					0
trial3_done	1			1	chc_complete																									Proves the Third Trial Complete					0
dagger-automod	1			8	item_fastercastrate			17	item_manaafterkill			17	item_healafterkill																	+min-max% FCRate, +param HP&MP per Kill				none	0
pierce-phys	1			1	passive_phys_pierce																									min-max% Pierce Enemy Physical Resistance		min	max	none	0
pierce-plr	1			1	passive_plr_pierce																									min-max% Pierce Enemy Poison Length Reduction		min	max	none	0
eth-indestruct	1			23				20																						Ethereal and Indestructible					0
