index	set	item	*item	rarity	lvl	lvl req	chrtransform	invtransform	invfile	flippyfile	dropsound	dropsfxframe	usesound	cost mult	cost add	add func	prop1	par1	min1	max1	prop2	par2	min2	max2	prop3	par3	min3	max3	prop4	par4	min4	max4	prop5	par5	min5	max5	prop6	par6	min6	max6	prop7	par7	min7	max7	prop8	par8	min8	max8	prop9	par9	min9	max9	aprop1a	apar1a	amin1a	amax1a	aprop1b	apar1b	amin1b	amax1b	aprop2a	apar2a	amin2a	amax2a	aprop2b	apar2b	amin2b	amax2b	aprop3a	apar3a	amin3a	amax3a	aprop3b	apar3b	amin3b	amax3b	aprop4a	apar4a	amin4a	amax4a	aprop4b	apar4b	amin4b	amax4b	aprop5a	apar5a	amin5a	amax5a	aprop5b	apar5b	amin5b	amax5b	*eol
Milabrega's Robe	Milabrega's Regalia	ung	Diamond Mail	7	75	83	lblu	lblu						5	2500	2	ac%		300	400	red-dmg		50	50	ease		-50	-50	red-dmg%		15	15	res-all		30	30	sock		3	3	pal		2	2	hp%		10	15	skill-rand	2	96	125																																									0
Cathan's Rule	Cathan's Traps	gsc	Grand Scepter	7	11	19	dgrn	dgrn						5	2500	2	allskills		1	1	extra-all		8	8	dmg/lvl	2			swing2		40	40	dmg%		200	300	cast2		15	15	sock		2	2									mana		100	100					res-pois		15	15																													0
Cathan's Mesh	Cathan's Traps	chn	Chain Mail	7	11	19	dgrn	dgrn						5	2500	2	ac%		150	200	ease		-50	-50	mana%		20	20	res-pois		20	20	sock		2	2	cast2		15	15													ac/lvl	16							res-fire		15	15																													0
Cathan's Visage	Cathan's Traps	msk	Mask	7	11	19	dgrn	dgrn						5	2500	2	ac%		150	200	res-cold		20	20	res-fire		20	20	sock		2	2	regen		15	15	regen-mana		15	15	cast2		10	10	extra-all		3	3					ac/lvl	8							res-cold		15	15																													0
Cathan's Sigil	Cathan's Traps	amu	Amulet	7	11	19								5	2500	2	balance1		30	30	allskills		1	1	res-ltng		20	20	cast2		5	5	regen		15	15	regen-mana		15	15													att		200	200					res-ltng		15	15																													0
Cathan's Seal	Cathan's Traps	rin	Ring	7	11	19			cathrin					5	2500	2	lifesteal		1	1	red-dmg		3	3	cast2		5	5	regen		15	15	res-all		7	8	regen-mana		15	15													str		10	10					vit		10	10	dex		10	10																									0
Berserker's Headgear	Berserker's Garb	crn	Crown	7	17	27	dred	dred						5	2500	2	ac%		200	250	res-fire		25	25	dmg%		50	50	sock		2	2	res-cold		25	25	lifesteal		2	2													att/lvl	16																																							0
Berserker's Hauberk	Berserker's Garb	spl	Splint Mail	7	17	24	dred	dred						5	2500	2	red-mag		10	15	dmg%		50	50	sock		2	2	res-ltng		25	25	res-pois		25	25	ac%		200	250													ac/lvl	24																																							0
Death's Hand	Death's Disguise	lgl	Leather Gloves	7	3	8	lred	lred						5	2500	2	res-pois		50	50	res-pois-len		50	50	balance2		20	20																									swing3		25	25																																					0
Death's Guard	Death's Disguise	lbl	Sash	7	3	8	lred	lred						5	2500	2	ac		25	25	nofreeze		1	1	cast2		5	5																									res-all		15	15																																					0
Death's Touch	Death's Disguise	kri	Kriss	7	11	17	lred	lred						5	2500	2	dmg%		150	200	lifesteal		2	2	deadly		20	20	att		100	100	swing2		80	80	indestruct		1	1													dmg-cold	75	25	75	dmg-fire		25	75																																	0
Angelic Sickle	Angelical Raiment	crs	Crystal Sword	7	11	17	lgry	lgry						5	2500	2	att		100	100	dmg-undead		200	200	swing2		80	80	dmg%		100	100	dmg-demon		100	100					dmg/lvl	2											dmg-norm		2	2					swing3		20	20																													0
Angelic Mantle	Angelical Raiment	rng	Ring Mail	7	11	17	lgry	lgry						5	2500	2	red-dmg		6	6	ac%		200	300	res-all		15	15																									ac		150	150					res-fire		50	50																													0
Angelic Halo	Angelical Raiment	rin	Ring	7	11	17			angelrin					5	2500	2	regen		20	20	regen-mana		20	20	hp		40	40	mana		40	40	cast2		5	5																	att/lvl	24							mag%		25	25																													0
Angelic Wings	Angelical Raiment	amu	Amulet	7	11	17								5	2500	2	light		6	6	dmg-to-mana		25	25	dmg-demon		100	100																									hp		75	75					allskills		1	1																													0
Expansion																																																																																													0
Natalya's Totem	Natalya's Odium	uap	Shako	7	75	83	dgry	dgry						5	5000	2	ac		400	400	dex		25	25	str		25	25	res-all		30	30	red-mag		25	25	ass		2	2	sock		3	3	ease		-50	-50																																													0
Natalya's Mark	Natalya's Odium	7lw	Feral Claws	7	75	83	dgry	dgry						5	5000	2	swing2		80	80	dmg%		400	500	dmg/lvl	3							extra-all		8	8	ease		-50	-50	crush		4	4	sock		3	3																																													0
Natalya's Shadow	Natalya's Odium	uui	Dusk Shroud	7	75	88	dgry	dgry						5	5000	2	ac%		400	500	hp%		15	15	ass		2	2	res-pois-len		50	50	res-pois		50	60	sock		3	3					extra-all		3	3	skill-rand	2	186	215																																									0
Natalya's Soul	Natalya's Odium	utb	Mirrored Boots	7	75	83	dgry	dgry						5	5000	2	ac%		400	500	move2		50	50	str		20	30	res-fire		20	30	res-cold		20	30	res-ltng		20	30	skilltab	20	3	3	extra-all		4	5	ease		-50	-50	dmg%		50	50																																					0
Aldur's Stony Gaze	Aldur's Watchtower	drb	Blood Spirit	7	75	80	oran	oran						5	5000	2	ac%		400	500	noheal		1	1	balance3		33	33	res-cold		30	30	sock		3	3	skilltab	16	2	2	red-dmg%		10	15	hp		100	100	dru		2	2																																									0
Aldur's Deception	Aldur's Watchtower	uul	Shadow Plate	7	75	88	oran	oran						5	5000	2	ac%		400	500	skilltab	16	3	3					red-dmg%		20	20	res-ltng		30	40	extra-all		3	3	hp%		15	15	sock		3	3	skill-rand	2	156	185																																									0
Aldur's Gauntlet	Aldur's Watchtower	umg	Vambraces	7	75	80	oran	oran						5	5000	2	ac%		400	500	skilltab	16	2	2	lifesteal		4	4	hp		100	100	dmg-demon		100	100	manasteal		10	10	res-pois		30	40	mana		100	200	heal-kill		50	50	extra-all		5	5					crush		1	1																													0
Aldur's Advance	Aldur's Watchtower	uvb	Scarabshell Boots	7	75	80	oran	oran						5	5000	2	ac%		400	500	hp		100	100	dmg-to-mana		25	25	move3		50	50	block2		33	33	res-fire		30	30	balance2		33	33	red-dmg%		5	5	str		15	15	extra-all		5	5																																					0
Immortal King's Will	Immortal King	bae	Conquerer Crown	7	75	86	lgry	lgry						5	5000	2	ac%		400	500	bar		2	2	att		100	200	res-fire		40	50	sock		3	3	res-ltng		40	50	dmg%		75	75	red-dmg%		10	10					swing2		30	30																																					0
Immortal King's Soul Cage	Immortal King	uar	Sacred Armor	7	75	88	lgry	lgry						5	5000	2	ac%		400	500	bar		2	2	res-pois		20	30	hp%		15	15	res-all		30	30	red-dmg%		20	20	sock		3	3					skill-rand	2	131	155	balance2		55	55																																					0
Immortal King's Forge	Immortal King	uhg	Ogre Gauntlets	7	75	78	lgry	lgry						5	5000	2	ac%		400	500	res-cold		30	30	dex		15	25	swing2		40	40	lifesteal		2	2	skilltab	14	3	3	vit		15	25					extra-mag		5	5	cast2		25	25	manasteal		5	5																																	0
Immortal King's Pillar	Immortal King	uhb	Myrmidon Greaves	7	75	78	lgry	lgry						5	5000	2	ac%		400	500	move2		50	50	att%		100	100	hp		100	100	skilltab	12	3	3	dex		15	25	nofreeze		1	1					extra-mag		5	5	cast2		25	25																																					0
Tal Rasha's Fire-Spun Cloth	Tal Rasha's Wrappings	umc	Mithril Coil	7	75	75	dpur	dpur						5	5000	2	sor		1	1	mana		200	200	res-pois		40	50	ease		-60	-60	extra-fire		4	5	extra-cold		4	5	extra-ltng		4	5	cast2		15	25	res-all		5	10																																									0
Tal Rasha's Lidless Eye	Tal Rasha's Wrappings	obf	Dimensional Shard	7	75	88	dpur	dpur						5	5000	2	hp		100	100	mana		100	100	enr		30	30	cast2		30	40	sor		6	6					sock		3	3	extra-elem		4	4	heal-kill		40	40																																									0
Tal Rasha's Howling Wind	Tal Rasha's Wrappings	uth	Lacquered Plate	7	75	82	dpur	dpur						5	5000	2	ease		-60	-60					sor		1	1	res-all		25	35	res-pois-len		25	35	skill-rand	2	36	65	ac		400	500					sock		3	3	red-mag		30	30																																					0
Tal Rasha's Horadric Crest	Tal Rasha's Wrappings	usk	Demonhead	7	75	75	dpur	dpur						5	5000	2	mana		50	100	hp		50	100	ac		100	200	res-all		15	25	heal-kill		30	40	sor		2	2	sock		3	3	cast2		15	25	ease		-60	-60																																									0
Griswold's Valor	Griswold's Legacy	urn	Corona	7	75	84	dgld	dgld						5	5000	2	ac%		300	400	red-mag		15	25	sock		3	3	pal		2	2	mag%		75	75	res-all		25	25	manasteal		12	12	red-dmg%		10	10	lifesteal		2	2																																									0
Griswold's Heart	Griswold's Legacy	utp	Archon Plate	7	75	85	dgld	dgld						5	5000	2	ac%		400	500	skilltab	11	2	2	sock		3	3					balance2		50	50	pal		2	2	red-dmg%		20	20	hp%		15	15	skill-rand	2	96	125	red-mag		30	30																																					0
Griswolds's Redemption	Griswold's Legacy	7ws	Caduceus	7	75	88	dgld	dgld						5	5000	2	dmg%		400	500	swing2		60	60	dmg-undead		400	500	pal		3	3	sock		4	4	deadly		25	25	lifesteal		3	3	dmg-norm		30	60	crush		4	4																																									0
Griswold's Honor	Griswold's Legacy	pac	Sacred Rondache	7	75	80	dgld	dgld						5	5000	2	ac%		300	400	sock		3	3	block2		100	100	block		50	50	res-all		45	45	pal		3	3	red-mag		15	25	dmg-norm		10	15	red-dmg%		10	10																																									0
Trang-Oul's Guise	Trang-Oul's Avatar	uh9	Bone Visage	7	75	82	dgld	dgld						5	5000	2	ac%		300	400	balance2		33	33					mana		100	100	regen		100	100	ease		-40	-40	nec		2	2	sock		3	3	res-fire		30	40																																									0
Trang-Oul's Scales	Trang-Oul's Avatar	uhn	Boneweave	7	75	80	dyel	dyel						5	5000	2	ease		-60	-60	res-all		25	35	res-pois-len		25	35	skilltab	8	3	3	move3		40	40	ac%		300	400	skill-rand	2	66	95					sock		3	3	hp		100	100					cast2		30	30																													0
Trang-Oul's Wing	Trang-Oul's Avatar	nee	Succubae Skull	7	75	88	dyel	dyel						5	5000	2	ac%		300	400	nec		3	3	ease		-60	-60	block		40	50	extra-all		3	3	block2		40	50	skilltab	7	3	3	sock		3	3	res-all		30	40																																									0
Trang-Oul's Claws	Trang-Oul's Avatar	uvg	Vampirebone Gloves	7	75	75	dyel	dyel						5	5000	2	ac%		300	400	cast2		15	25	res-ltng		40	50	skilltab	6	3	3	swing2		30	30	heal-kill		20	20	extra-all		4	5	regen		100	100	skill-rand	2	66	95																																									0
M'avina's True Sight	M'avina's Battle Hymn	ci3	Diadem	7	75	80	whit	whit						5	5000	2	res-all		25	25	move2		30	30	swing2		30	30	mana		140	180	ama		2	2	hp		140	180	sock		3	3	dex		40	40	balance2		50	50	dex		15	15																																					0
M'avina's Embrace	M'avina's Battle Hymn	utu	Wire Fleece	7	75	80	whit	whit						5	5000	2	ease		-60	-60	res-all		30	30	skill-rand	2	6	35	ama		2	2	dmg%		75	100	ac%		300	400	sock		3	3	hp%		10	10					hp		200	200					res-mag		20	20																													0
M'avina's Tenet	M'avina's Battle Hymn	uvc	Vampirefang Belt	7	75	80	whit	whit						5	5000	2	res-all		20	20	move2		30	30	manasteal		5	5	hp		80	100	extra-all		4	5	ama		1	1	ac%		300	400	nofreeze		1	1	pierce		30	30	dex		15	15																																					0
M'avina's Caster	M'avina's Battle Hymn	amc	Grand Matron Bow	7	75	88	whit	whit						5	5000	2	dmg%		400	500	swing3		60	60	res-all		15	15	cast2		40	40	dmg-max		30	50					dex		30	40	sock		4	4	ama		4	4																																									0
Telling of Beads	The Disciple	amu	Amulet	7	57	65								5	5000	2	res-pois		30	30	allskills		2	2	res-cold		30	30	regen		50	50	vit		15	25	mana		50	100	cast2		15	25	mana%		10	10	extra-phys		4	5																																									0
Laying of Hands	The Disciple	ulg	Bramble Mitts	7	57	70	lblu	lblu						5	5000	2	ac		50	100	cast2		15	25	res-fire		60	60	heal-kill		30	40	extra-cold		4	5	res-ltng		30	30	skill	Holy Bolt	2	4	mana%		10	10	hp%		5	5																																									0
Rite of Passage	The Disciple	xlb	Demonhide Boots	7	47	55	lblu	lblu						5	5000	2	ac		50	100	move3		40	40	nofreeze		1	1	res-fire		30	30	res-ltng		30	30	mana-kill		20	20	allskills		1	1	extra-pois		4	5	extra-mag		4	5	mana%		10	10																																					0
Spiritual Custodian	The Disciple	uui	Dusk Shroud	7	57	70	lblu	lblu						5	5000	2	ac		420	420	res-pois		30	30	allskills		2	2	gethit-skill	608	10	1	sock		4	4	hp%		10	10	cast2		30	30					mana%		25	25																																									0
Credendum	The Disciple	zmb	Mesh Belt	7	47	55	lblu	lblu						5	5000	2	ac		50	100	str		15	15	dex		15	15	res-all		15	15	extra-ltng		4	5	dmg-demon		200	200	balance2		50	50	mana%		10	10	extra-fire		4	5																																									0
Heaven's Taebaek	Heaven's Brethren	9b8	Hurlbat	7	43	50	dred	dred						5	5000	2	dmg%		400	450	dmg/lvl	2			swing2		60	60	sock		3	3	rep-quant	100			bar		1	1	dmg-undead		200	300	dmg-norm		10	20	pierce		40	50																																									0
Haemosu's Adament	Heaven's Brethren	9bk	War Dart	7	43	50	dred	dred						5	5000	2	dmg%		400	450	dmg/lvl	2			swing2		40	40	sock		2	2	rep-quant	100			skill	140	3	4	dmg-demon		200	300	dmg-norm		10	20	pierce		40	50																																									0
Ondal's Almighty	Heaven's Brethren	ba6	Jawbone Visor	7	43	50	dred	dred						5	5000	2	ac		100	200	bar		2	2	str		10	15	dex		10	15	balance3		30	30	sock		3	3	res-all		15	25	hp		50	100																																													0
Guillaume's Face	Orphan's Call	xh9	Grim Helm	7	50	58	lgry	lgry						5	5000	2	ac		100	200	balance3		30	30	allskills		1	1	deadly		15	15	str		15	15	crush		1	1	hp		100	100	sock		3	3	red-dmg%		10	10																																									0
Wilhelm's Pride	Orphan's Call	ztb	Battle Belt	7	50	58	lgry	lgry						5	5000	2	ac		100	200	manasteal		5	5	res-mag		20	20	lifesteal		5	5	allskills		1	1	res-pois-len		40	40	red-dmg%		10	10	dmg-norm		4	8	deadly		10	10																																									0
Wihtstan's Guard	Orphan's Call	xpk	Barbed Shield	7	50	58	lgry	lgry						5	5000	2	ac		100	200	block2		40	40	block		40	40	nofreeze		1	1	red-mag		10	15	sock		3	3	red-dmg%		15	15	dmg-norm		4	8	deadly		10	10																																									0
Hwanin's Splendor	gobo	xrn	Grand Crown	7	52	60	dyel	dyel						5	5000	2	regen		50	50	red-mag		25	25	res-cold		40	40	ac%		100	100	sock		3	3	allskills		1	1	red-dmg%		5	5	res-ltng		40	40	str		15	15	hp		50	50	hp		50	50	hp		50	50																													0
Hwanin's Refuge	gobo	xcl	Tigulated Mail	7	52	60	dyel	dyel						5	5000	2	ac%		250	250					hp		100	100	red-dmg%		10	10	gethit-skill	601	10	35	allskills		1	1	sock		3	3	res-all		20	30	hp%		15	15	hp		50	50					hp		50	50																													0
Hwanin's Seal	gobo	zhb	War Belt	7	52	60	dyel	dyel						5	5000	2	dmg-fire		200	400	noheal		1	1	ac/lvl	12			dmg-to-mana		25	25	res-all		15	15	dmg-cold	200	200	400	hp%		5	5									hp		50	50					hp		50	50																													0
Sazabi's Cobalt Redeemer	Sazabi's Grand Tribute	7ls	Cryptic Sword	7	70	82	dblu	dblu						5	5000	2	dmg%		400	500	dmg-cold	200	250	500	swing3		100	100	dmg-fire		250	500	dex		30	30	str		5	5	sock		4	4									crush		4	4																																					0
