Name	Id	Pal	Act	QuestFlag	QuestFlagEx	Layer	SizeX	SizeY	SizeX(N)	SizeY(N)	SizeX(H)	SizeY(H)	OffsetX	OffsetY	Depend	Teleport	Rain	Mud	NoPer	LOSDraw	FloorFilter	BlankScreen	DrawEdges	IsInside	DrlgType	LevelType	SubType	SubTheme	SubWaypoint	SubShrine	Vis0	Vis1	Vis2	Vis3	Vis4	Vis5	Vis6	Vis7	Warp0	Warp1	Warp2	Warp3	Warp4	Warp5	Warp6	Warp7	Intensity	Red	Green	Blue	Portal	Position	SaveMonsters	Quest	WarpDist	MonLvl1	MonLvl2	MonLvl3	MonLvl1Ex	MonLvl2Ex	MonLvl3Ex	MonDen	MonDen(N)	MonDen(H)	MonUMin	MonUMax	MonUMin(N)	MonUMax(N)	MonUMin(H)	MonUMax(H)	MonWndr	MonSpcWalk	NumMon	mon1	mon2	mon3	mon4	mon5	mon6	mon7	mon8	mon9	mon10	rangedspawn	nmon1	nmon2	nmon3	nmon4	nmon5	nmon6	nmon7	nmon8	nmon9	nmon10	umon1	umon2	umon3	umon4	umon5	umon6	umon7	umon8	umon9	umon10	cmon1	cmon2	cmon3	cmon4	cpct1	cpct2	cpct3	cpct4	camt1	camt2	camt3	camt4	Themes	SoundEnv	Waypoint	LevelName	LevelWarp	EntryFile	ObjGrp0	ObjGrp1	ObjGrp2	ObjGrp3	ObjGrp4	ObjGrp5	ObjGrp6	ObjGrp7	ObjPrb0	ObjPrb1	ObjPrb2	ObjPrb3	ObjPrb4	ObjPrb5	ObjPrb6	ObjPrb7	Beta
Act 1 - Cave 3	10	0	0			3	200	200	200	200	200	200	1500	1600	0	1	0	0	0	1	1	1	0	1	1	3	-1	-1	-1	-1	4	5	0	0	14	0	0	0	4	4	-1	-1	5	-1	-1	-1	0	255	255	255	0	0	1	0	2025	4	57	85	4	42	71	1000	1250	1500	7	7	9	9	12	12	1	0	7	bighead3	fallen2	corruptrogue2	sk_archer1	goatman1	D1Scavenger1	D1HornedDemon2					bighead3	fallen2	corruptrogue2	sk_archer1	goatman1	D1Scavenger1	D1HornedDemon2				bighead3	fallen2	corruptrogue2	sk_archer1	goatman1	D1Scavenger1	D1HornedDemon2				rat	bat			30	30							0	4	255	Underground Passage Level 1	To Underground Passage Level 1	A1L10	6	4	0	0	0	0	0	0	30	3	0	0	0	0	0	0	1
Act 1 - Cave 4	11	0	0			4	200	200	200	200	200	200	1500	1900	0	1	0	0	0	1	1	1	0	1	1	3	-1	-1	-1	-1	6	0	0	0	15	0	0	0	4	-1	-1	-1	5	-1	-1	-1	0	255	255	255	0	0	1	0	2025	6	57	85	6	43	72	1000	1250	1500	3	3	4	4	6	6	1	0	8	bighead3	fallen2	brute2	cr_archer2	D1Scavenger1	D1Arachnon2	D1HornedDemon2	D1Shredded2				bighead3	fallen2	brute2	cr_archer2	D1Scavenger1	D1Arachnon2	D1HornedDemon2	D1Shredded2			bighead3	fallen2	brute2	cr_archer2	D1Scavenger1	D1Arachnon2	D1HornedDemon2	D1Shredded2			rat	bat			30	30							0	4	255	Hole Level 1	To The Hole Level 1	A1L11	6	4	0	0	0	0	0	0	30	3	0	0	0	0	0	0	1
Act 1 - Cave 5	12	0	0			5	200	200	200	200	200	200	1500	2200	0	1	0	0	0	1	1	1	0	1	1	3	-1	-1	-1	-1	7	0	0	0	16	0	0	0	4	-1	-1	-1	5	-1	-1	-1	0	255	255	255	0	0	1	0	2025	7	57	90	7	43	72	2000	2200	2500	6	6	9	9	12	12	1	0	7	skeleton3	fallen3	corruptrogue3	cr_archer4	skmage_ltng1	D1HornedDemon2	D1SkeletonBow3					skeleton3	fallen3	corruptrogue3	cr_archer3	skmage_ltng1	D1HornedDemon2	D1SkeletonBow3				skeleton3	fallen3	corruptrogue3	cr_archer3	skmage_ltng1	D1HornedDemon2	D1SkeletonBow3				rat	bat			30	30							0	4	255	Pit Level 1	To The Pit Level 1	A1L12	6	4	0	0	0	0	0	0	30	6	0	0	0	0	0	0	1
Act 1 - Cave 2 Treasure	13	0	0			6	47	47	47	47	47	47	1500	2500	0	1	0	0	0	1	1	1	0	1	2	3	-1	-1	-1	-1	0	9	0	0	0	0	0	0	-1	4	-1	-1	-1	-1	-1	-1	0	255	255	255	0	0	1	0	200	7	57	85	4	42	71	3500	3500	3500	5	5	8	8	10	10	1	0	6	Forgotten Miner	D1SkeletonBow1	Warp Mage1	D1Scavenger1	D1Hidden1	Gilded Vampire						Forgotten Miner	Warp Mage1	D1SkeletonBow1	D1Scavenger1	D1Hidden1	Gilded Vampire					Forgotten Miner	Warp Mage1	D1SkeletonBow1	D1Scavenger1	D1Hidden1	Gilded Vampire					rat	bat			30	30							0	4	255	Cave Level 2	To The Cave Level 2	A1L14	6	133	0	0	0	0	0	0	25	1	0	0	0	0	0	0	1
Act 1 - Cave 3 Treasure	14	0	0			7	24	24	24	24	24	24	1500	2624	0	1	0	0	0	1	1	1	0	1	2	3	-1	-1	-1	-1	0	10	0	0	0	0	0	0	-1	4	-1	-1	-1	-1	-1	-1	0	255	255	255	0	0	1	0	200	7	56	85	4	42	71	2000	2000	2000	0	0	1	1	2	2	1	0	6	bighead3	goatman2	corruptrogue2	sk_archer1	D1Scavenger1	D1HornedDemon2						bighead3	goatman1	corruptrogue2	sk_archer1	D1Scavenger1	D1HornedDemon2					bighead3	corruptrogue2	sk_archer1	D1Scavenger1	D1HornedDemon2						rat	bat			30	30							0	4	255	Underground Passage Level 2	To Underground Passage Level 2	A1L15	6	0	0	0	0	0	0	0	25	0	0	0	0	0	0	0	1
Act 1 - Cave 4 Treasure	15	0	0			8	24	24	24	24	24	24	1500	2748	0	1	0	0	0	1	1	1	0	1	2	3	-1	-1	-1	-1	0	11	0	0	0	0	0	0	-1	4	-1	-1	-1	-1	-1	-1	0	255	255	255	0	0	1	0	200	8	57	85	7	43	72	2000	2000	2000	0	0	1	1	2	2	1	0	8	bighead4	fallen3	brute2	cr_archer2	D1Scavenger2	D1Arachnon2	D1HornedDemon2	D1Shredded2				bighead3	fallen2	brute2	cr_archer2	D1Scavenger2	D1Arachnon2	D1HornedDemon2	D1Shredded2			bighead3	fallen2	brute2	cr_archer2	D1Scavenger2	D1Arachnon2	D1HornedDemon2	D1Shredded2			rat	bat			30	30							0	4	255	Hole Level 2	To The Hole Level 2	A1L16	6	0	0	0	0	0	0	0	25	0	0	0	0	0	0	0	1
Act 1 - Cave 5 Treasure	16	0	0			9	24	24	24	24	24	24	1500	2872	0	1	0	0	0	1	1	1	0	1	2	3	-1	-1	-1	-1	0	12	0	0	0	0	0	0	-1	4	-1	-1	-1	-1	-1	-1	0	255	255	255	0	0	1	0	200	16	57	85	8	43	72	2200	2500	2500	0	0	1	1	2	2	1	0	6	skeleton3	corruptrogue3	cr_archer4	skmage_ltng1	D1HornedDemon2	D1SkeletonBow3						skeleton3	corruptrogue3	cr_archer3	skmage_ltng1	D1HornedDemon2	D1SkeletonBow3					skeleton3	corruptrogue3	cr_archer3	skmage_ltng1	D1HornedDemon2	D1SkeletonBow3					rat	bat			30	30							0	4	255	Pit Level 2	To The Pit Level 2	A1L17	6	4	0	0	0	0	0	0	25	6	0	0	0	0	0	0	1
Act 1 - Graveyard	17	0	0			0	40	48	40	48	40	48	-1	-1	0	1	1	0	0	0	1	1	1	0	3	2	-1	-1	-1	-1	18	19	167	0	0	0	0	0	6	6	7	-1	-1	-1	-1	-1	0	0	0	0	0	0	1	0	400	4	56	85	2	41	71	2500	2500	2500	1	1	2	2	4	4	1	0	3	skeleton2	zombie2	D1SkeletonBow2									skeleton2	zombie6	D1SkeletonBow2								skeleton2	zombie2	D1SkeletonBow2																				0	5	255	Graveyard	ToTheGraveyard	A1L43	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
Act 1 - Crypt 1 A	18	0	0			10	200	200	200	200	200	200	2000	1000	0	1	0	0	0	1	1	1	0	1	1	4	-1	-1	-1	-1	17	0	0	0	0	0	0	0	8	-1	-1	-1	-1	-1	-1	-1	0	255	255	255	0	0	1	0	600	4	56	85	2	41	71	1200	1600	1800	0	0	1	1	2	2	1	0	4	skeleton2	zombie6	skmage_ltng1	D1SkeletonBow2								skeleton2	zombie6	skeleton2	D1SkeletonBow2							skeleton2	D1SkeletonBow2									rat	bat			30	30							8	5	255	Crypt	To The Crypt	A1L19	7	8	9	10	0	0	0	0	75	4	50	75	0	0	0	0	1
Act 1 - Crypt 2 A	19	0	0			11	200	200	200	200	200	200	2000	1300	0	1	0	0	0	1	1	1	0	1	1	4	-1	-1	-1	-1	17	0	0	0	0	0	0	0	8	-1	-1	-1	-1	-1	-1	-1	0	255	255	255	0	0	1	0	600	4	56	85	2	41	71	1200	1600	1800	1	1	2	2	3	3	1	0	4	skeleton2	zombie6	zombie6	D1SkeletonBow2								skeleton2	zombie6	zombie6	D1SkeletonBow2							zombie6	D1SkeletonBow2									rat	bat			30	30							8	5	255	Mausoleum	To The Mausoleum	A1L20	7	8	9	10	0	0	0	0	75	4	50	75	0	0	0	0	1
Act 1 - Tower 2	20	0	0			12	14	14	14	14	14	14	2000	1600	0	1	0	0	1	1	1	1	0	1	2	2	-1	-1	-1	-1	6	21	0	0	0	0	0	0	83	84	-1	-1	-1	-1	-1	-1	0	0	0	0	0	0	1	0	200	10	57	86	6	43	72	1024	1024	1024	0	0	0	0	0	0	1	0	0	fallen3											fallen3										fallen3										rat	bat			30	30							0	5	255	Forgotten Tower	To The Forgotten Tower	A1L21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
Act 1 - Crypt 3 A	21	0	0			13	200	200	200	200	200	200	2500	1000	0	1	0	0	0	1	1	1	0	1	1	4	-1	-1	-1	-1	20	22	0	0	0	0	0	0	8	9	-1	-1	-1	-1	-1	-1	0	255	255	255	0	0	1	0	800	10	57	86	6	43	72	1200	1600	2000	2	2	5	5	8	8	1	0	4	fallen3	goatman3	cr_archer3	D1Advocate1								fallen3	goatman3	cr_archer3	D1SkeletonBow3	D1Advocate1						goatman3										rat	bat			30	30							8	5	255	Tower Cellar Level 1	To The Tower Cellar Level 1	A1L22	15	0	0	0	0	0	0	0	25	0	0	0	0	0	0	0	1
Act 1 - Crypt 3 B	22	0	0			14	200	200	200	200	200	200	2500	1300	0	1	0	0	0	1	1	1	0	1	1	4	-1	-1	-1	-1	21	23	0	0	0	0	0	0	8	9	-1	-1	-1	-1	-1	-1	0	255	255	255	0	0	1	0	800	10	57	86	6	43	72	1200	1600	2000	2	2	5	5	8	8	1	0	5	skeleton3	cr_archer3	goatman3	D1Advocate1	D1SkeletonBow3							skeleton3	cr_archer3	goatman3	D1SkeletonBow3	D1Advocate1						cr_archer3	D1SkeletonBow3	D1Advocate1								rat	bat			30	30							8	5	255	Tower Cellar Level 2	To The Tower Cellar Level 2	A1L23	15	0	0	0	0	0	0	0	25	0	0	0	0	0	0	0	1
Act 1 - Crypt 3 C	23	0	0			15	200	200	200	200	200	200	2500	1600	0	1	0	0	0	1	1	1	0	1	1	4	-1	-1	-1	-1	22	24	0	0	0	0	0	0	8	9	-1	-1	-1	-1	-1	-1	0	255	255	255	0	0	1	0	800	10	57	86	7	43	72	1200	1600	2000	2	2	5	5	8	8	1	0	6	wraith1	goatman3	cr_archer3	skeleton3	D1Advocate1	D1SkeletonBow3						wraith1	goatman3	cr_archer3	skeleton3	D1SkeletonBow3	D1Advocate1					skeleton3	D1SkeletonBow3	D1Advocate1								rat	bat			30	30							8	5	255	Tower Cellar Level 3	To The Tower Cellar Level 3	A1L24	15	0	0	0	0	0	0	0	25	0	0	0	0	0	0	0	1
Act 1 - Crypt 3 D	24	0	0			16	200	200	200	200	200	200	2500	1900	0	1	0	0	0	1	1	1	0	1	1	4	-1	-1	-1	-1	23	25	0	0	0	0	0	0	8	9	-1	-1	-1	-1	-1	-1	0	255	255	255	0	0	1	0	800	10	57	86	7	43	72	1200	1600	2000	2	2	5	5	8	8	1	0	6	wraith1	wraith1	skeleton3	skeleton3	D1Advocate1	D1SkeletonBow3						wraith1	wraith1	skeleton3	skeleton3	D1SkeletonBow3	D1Advocate1					wraith1	D1SkeletonBow3	D1Advocate1								rat	bat			30	30							8	5	255	Tower Cellar Level 4	To The Tower Cellar Level 4	A1L25	15	0	0	0	0	0	0	0	25	0	0	0	0	0	0	0	1
Act 1 - Crypt 3 E	25	0	0			17	30	30	30	30	30	30	2500	2200	0	1	0	0	0	1	1	1	0	1	2	4	-1	-1	-1	-1	24	0	0	0	0	0	0	0	8	-1	-1	-1	-1	-1	-1	-1	0	255	255	255	0	0	1	0	200	10	57	86	8	44	73	0	0	0	0	0	0	0	0	0	0	0	6	wraith1	sk_archer2	D1Advocate1									wraith1	sk_archer2	brute3	bugbear	D1Arachnon3	D1Shredded3					wraith1	sk_archer2									rat	bat			30	30							8	45	255	Tower Cellar Level 5	To The Tower Cellar Level 5	A1L26	15	0	0	0	0	0	0	0	25	0	0	0	0	0	0	0	1
Act 1 - Monastery	26	0	0			0	64	18	64	18	64	18	3000	1000	0	1	0	0	0	1	1	1	0	0	2	5	-1	-1	-1	-1	0	27	0	0	0	0	0	0	-1	-1	-1	-1	-1	-1	-1	-1	0	0	0	0	0	0	1	0	800	12	57	86	7	44	73	1500	1750	2000	0	0	2	2	4	4	1	0	5	corruptrogue4	sk_archer2	brute3	D1Arachnon3	D1Shredded3							corruptrogue4	sk_archer2	brute3	bugbear	D1Arachnon3	D1Shredded3					corruptrogue4	sk_archer2	brute3	D1Arachnon3	D1Shredded3																		48	2	255	Monastery Gate	To The Monastery Gate	A1L27	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
Act 1 - Courtyard 1	27	0	0			0	56	40	56	40	56	40	0	-40	26	1	0	0	0	1	1	1	0	0	2	6	-1	-1	-1	-1	26	28	0	0	0	0	0	0	-1	-1	-1	-1	-1	-1	-1	-1	0	0	0	0	1	0	1	0	2025	12	57	86	8	44	73	1500	1750	2000	3	3	4	4	6	6	1	0	8	brute3	corruptrogue4	D1BatDemon4	quillbear4	bugbear	D1StormDemon1	D1Arachnon3	D1Shredded3				brute3	corruptrogue4	D1BatDemon4	quillbear4	bugbear	D1Arachnon3	D1StormDemon1	D1Shredded3			brute3	corruptrogue4	fallenshaman3	quillrat4	D1Arachnon3	D1BatDemon4	D1StormDemon1	D1Shredded3															0	2	4	Outer Cloister	To The Outer Cloister	A1L28	14	15	0	0	0	0	0	0	7	33	0	0	0	0	0	0	1
Act 1 - Barracks	28	0	0			0	200	200	200	200	200	200	-1	-1	0	1	0	0	0	1	1	1	0	1	1	7	-1	-1	-1	-1	27	29	169	0	0	0	0	0	-1	14	14	-1	-1	-1	-1	-1	0	255	255	255	0	0	1	0	2025	12	57	86	8	44	73	1000	1250	1500	5	5	7	7	9	9	1	0	9	cr_lancer4	goatman5	bighead4	D1Hidden4	fallenshaman3	bugbear	D1StormDemon1	D1Scavenger3	D1Shredded3			corruptrogue4	goatman5	fallenshaman3	D1Hidden4	bighead4	D1Scavenger3	D1StormDemon1	D1Shredded3			corruptrogue4	goatman5	fallenshaman3	D1Hidden4	bighead4	D1Scavenger3	D1StormDemon1	D1Shredded3			rat	bat			30	30							8	10	255	Barracks	To The Barracks	A1L29	51	3	17	0	0	0	0	0	9	35	25	0	0	0	0	0	1
Act 1 - Jail 1	29	0	0			18	200	200	200	200	200	200	3500	1000	0	1	0	0	0	1	1	1	0	1	1	8	-1	-1	-1	-1	28	30	0	0	0	0	0	0	13	14	-1	-1	-1	-1	-1	-1	0	255	255	255	1	0	1	0	2025	13	58	86	9	44	73	1000	1250	1500	5	5	7	7	9	9	1	1	6	corruptrogue4	goatman5	sk_archer3	skmage_fire2	bugbear	D1StormDemon1						fallen4	goatman5	sk_archer3	skmage_fire2	bugbear	D1StormDemon1					fallen4	goatman5	sk_archer3	skmage_fire2	D1StormDemon1						rat	bat			30	30							8	10	5	Jail Level 1	To The Jail Level 1	A1L30	51	15	3	0	0	0	0	0	11	50	35	0	0	0	0	0	1
Act 1 - Jail 2	30	0	0			19	200	200	200	200	200	200	3500	1300	0	1	0	0	0	1	1	1	0	1	1	8	-1	-1	-1	-1	29	31	0	0	0	0	0	0	13	14	-1	-1	-1	-1	-1	-1	0	255	255	255	0	0	1	0	2025	13	58	86	9	44	73	1000	1250	1500	5	5	7	7	9	9	1	1	7	cr_lancer4	wraith2	goatman5	D1Hidden4	skmage_fire2	bugbear	D1StormDemon1					cr_lancer4	wraith2	goatman5	D1Hidden4	skmage_fire2	bugbear	D1StormDemon1				cr_lancer4	wraith2	goatman5	D1Hidden4	skmage_fire2	D1StormDemon1					rat	bat			30	30							8	10	255	Jail Level 2	To The Jail Level 2	A1L31	51	15	3	0	0	0	0	0	13	50	45	0	0	0	0	0	1
Act 1 - Jail 3	31	0	0			20	200	200	200	200	200	200	3500	1600	0	1	0	0	0	1	1	1	0	1	1	8	-1	-1	-1	-1	30	32	0	0	0	0	0	0	13	13	-1	-1	-1	-1	-1	-1	0	255	255	255	0	0	1	0	2025	13	58	86	10	45	74	1000	1250	1500	5	5	7	7	9	9	1	1	8	wraith2	goatman5	sk_archer3	skmage_ltng2	cr_lancer4	bugbear	D1Hidden4	D1StormDemon1				wraith2	goatman5	sk_archer3	skmage_ltng2	cr_lancer4	bugbear	D1Hidden4	D1StormDemon1			wraith2	goatman5	sk_archer3	skmage_ltng2	cr_lancer4	D1StormDemon1	D1Hidden4				rat	bat			30	30							0	10	255	Jail Level 3	To The Jail Level 3	A1L32	51	15	3	0	0	0	0	0	15	50	55	0	0	0	0	0	1
Act 1 - Courtyard 2	32	0	0			0	18	20	18	20	18	20	4000	1000	0	1	0	0	0	1	1	1	0	0	2	6	-1	-1	-1	-1	31	33	0	0	0	0	0	0	14	-1	-1	-1	-1	-1	-1	-1	0	0	0	0	0	0	1	0	2025	14	58	86	10	45	74	1500	1750	2000	2	2	2	2	2	2	0	0	5	skmage_fire2	skmage_cold2	skmage_ltng2	skmage_pois2	D1StormDemon1							skmage_fire2	skmage_cold2	skmage_ltng2	skmage_pois2	D1StormDemon1																												0	10	6	Inner Cloister	To The Inner Cloister	A1L33	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
Act 1 - Cathedral	33	0	0			0	28	34	28	34	28	34	-4	-34	32	1	0	0	0	1	1	1	0	1	2	9	-1	-1	-1	-1	32	34	134	0	0	0	0	0	-1	15	15	-1	-1	-1	-1	-1	0	255	255	255	1	0	1	0	2025	14	58	86	10	45	74	1200	1600	2000	0	0	2	2	4	4	0	0	5	skmage_fire2	skmage_cold2	skmage_ltng2	skmage_pois2	D1StormDemon1							skmage_fire2	skmage_cold2	skmage_ltng2	skmage_pois2	D1StormDemon1						skmage_fire2	skmage_cold2	skmage_ltng2	skmage_pois2	D1StormDemon1						rat	bat			30	30							0	8	255	Cathedral	To The Cathedral	A1L34	16	3	50	17	0	0	0	0	35	45	3	3	0	0	0	0	1
