Act	Place
4	Grand Vizier of Chaos
4	trappedsoul1
4	trappedsoul2
4	regurgitator3
4	cain4
4	malachai
4	The Feature Creep
4	Deathsend
4	Soulrift
4	Portal4
4	Belial
4	Azmodan
4	Samhain
4	Portal5
4	ShadowMan4
4	place_unique_pack
4	amazon
4	sorceress
4	barbarian
4	paladin
4	necromancer
4	druid
4	assassin
4	Lazarus
4	SkullChamp
4	Exploder2
4	DoomFiend
4	SoulmancerA4
4	Legion
4	SoulmancerA2
4	SoulmancerA1
4	SoulmancerA3
4	LegionTPBoss
4	Pious
4	Alexius
4	Martel
4	Kannli
4	Asteroth
4	CoolPlayer
4	FuryCury
4	DrRodriguez
4	Nazgul
4	arimythportal
4	BlackJade
4	Red Vex
5	larzuk
5	drehya
5	malah
5	nihlathak
5	qual-kehk
5	place_impgroup
5	Siege Boss
5	tyrael3
5	cain6
5	place_imp
5	place_minion
5	place_miniongroup
5	catapult2
5	catapult1
5	place_bloodlord
5	catapultspotter2
5	catapultspotter1
5	act5barb1
5	place_deadbarb
5	place_deadminion
5	place_deadimp
5	cain6
5	act5barb3
5	place_reanimateddead
5	ancientstatue1
5	ancientstatue2
5	ancientstatue3
5	Dac Farren
5	baalthrone
5	baaltaunt
5	injuredbarb1
5	injuredbarb2
5	injuredbarb3
5	baalcrab
5	Axe Dweller
5	Bonesaw Breaker
5	Megaflow Rectifier
5	Eyeback Unleashed
5	Threash Socket
5	Pindleskin
5	Snapchip Shatter
5	Anodized Elite
5	Vinvear Molech
5	Sharp Tooth Sayer
5	Magma Torquer
5	Blaze Ripper
5	Frozenstein
5	worldstoneeffect
5	chicken
5	place_champion
5	evilhut
5	TitanGolem
5	Portal5
5	Frostreborn
5	Firereborn
5	Litreborn
5	Plaguereborn
5	SuperBugbear
5	SuperWyrm
5	SuperCurst
5	SuperMarilith
5	BaalTentay
5	BaalTentax
5	SuperClay
5	SuperBlood
5	SuperIron
5	SuperFire
5	ShenkCatapult
5	SuperSuc
5	ShadowMan5
5	place_unique_pack
5	soulmancer
5	SorrowLord
5	Scarlet
5	orbofcrystals
5	orbofheroes2
5	Yelsne
5	Abholos
5	Ignis
5	Sadun
5	Muxog
5	The Omicron Sentinel
