state	id	group	remhit	nosend	transform	aura	curable	curse	active	immed	restrict	disguise	blue	attblue	damblue	armblue	rfblue	rlblue	rcblue	stambarblue	rpblue	attred	damred	armred	rfred	rlred	rcred	rpred	exp	plrstaydeath	monstaydeath	bossstaydeath	hide	shatter	udead	life	green	pgsv	nooverlays	noclear	bossinv	meleeonly	notondead	overlay1	overlay2	overlay3	overlay4	pgsvoverlay	castoverlay	removerlay	stat	setfunc	remfunc	missile	skill	itemtype	itemtrans	colorpri	colorshift	light-r	light-g	light-b	onsound	offsound	gfxtype	gfxclass	cltevent	clteventfunc	cltactivefunc	srvactivefunc	eol
progressive_cold	126																																					1										progressive_cold_1			progressive_cold	1	1																		0
progressive_lightning	127																																					1										progressive_lightning_1			progressive_lightning	1	1																		0
shrine_armor	128															1																												shrine_armor	shrine_shimmer00						armorclass																				0
shrine_combat	129													1	1																													shrine_combat	shrine_shimmer00						tohit																				0
shrine_resist_lightning	130																	1																										shrine_resist_lightning	shrine_shimmer01						lightresist																				0
shrine_resist_fire	131																1																											shrine_resist_fire	shrine_shimmer00						fireresist																				0
shrine_resist_cold	132																		1																									shrine_resist_cold	shrine_shimmer01						coldresist																				0
shrine_resist_poison	133																				1																							shrine_resist_poison	shrine_shimmer01						poisonresist																				0
shrine_skill	134																																											shrine_skill	shrine_shimmer00							9	6																		0
shrine_mana_regen	135																																											shrine_mana_regen	shrine_shimmer01																										0
shrine_stamina	136																			1																								shrine_stamina	shrine_shimmer01						stamina																				0
shrine_experience	137																																											shrine_experience	shrine_shimmer00																										0
fenris_rage	138																																											direwolfcharged	direwolfcharged																										0
wolf	139	3			1						1	1		1		1																										1										14											druid_morph	druid_morph	1	430					0
bear	140	3			1						1	1		1		1																										1										14											druid_morph	druid_morph	1	431					0
bloodlust	141							1																																				bloodlust_state	bloodlust_state																										0
changeclass	142																																																			5																			0
attached	143								1																						1	1			1																	13	9																88	147	0
hurricane	144								1																																											7	4																90	145	0
armageddon	145																																																																					146	0
invis	146																																																			12	8																		0
barbs	147					1																																							spirit_of_barbs																										0
wolverine	148					1								1	1																														heart_of_wolverine						item_tohit_percent																				0
oaksage	149					1										1																													oak_sage																										0
vine_beast	150								1																																											11																	89		0
cyclonearmor	151															1																							1	1				cyclonearmor1front	cyclonearmor2front	cyclonearmor3front						8	5																		0
clawmastery	152																																																																						0
cloak_of_shadows	153		1																																																												assassin_cloakofdarkness								0
recycled	154																														1	1	1		1																																				0
weaponblock	155																																																																						0
cloaked	156							1																1																				cloaked							skill_armor_percent																				0
quickness	157					1																																						quickness							attackrate																				0
bladeshield	158																																											bladeshield																											0
fade	159																1	1	1		1																							fade							poisonresist																				0
summonresist	160			1																																																																			0
oaksagecontrol	161					1																																																																	0
wolverinecontrol	162					1																																																																	0
barbscontrol	163					1																																																																	0
debugcontrol	164																																																																						0
itemset1	165																																																																						0
itemset2	166																																																																						0
itemset3	167																																																																						0
itemset4	168																																																																						0
itemset5	169																																																																						0
itemset6	170			1																																																																			0
runeword	171			1																																																																			0
restinpeace	172																														1	1			1								1									17		redemption									paladin_redeemed_soul								0
corpseexp	173																														1	1	1		1								1									18		corpseexplosion									necromancer_corpseexp_1								0
whirlwind	174																																											whirlwind																											0
fullsetgeneric	175																																											aura_fanatic																											0
monsterset	176	3			1							1																																					fire_cast_2																1	135					0
delerium	177	3			1						1	1																																					teleport	teleport															1	212					0
antidote	178																				1																																																		0
thawing	179																		1																																																				0
staminapot	180																			1																																																			0
passive_resistfire	181																																																																						0
passive_resistcold	182																																																																						0
passive_resistltng	183																																																																						0
monheal	184					1																																																																	0
monhurt	185																																											defense_curse																											0
resistallblank	186	2								1						1	1	1	1																																lightresist																				0
reddye2	187																																																							tors	cred	100		255	255	255									0
bluedye	188																																																							weap	cblu	100		255	255	255									0
bluedye2	189																																																							tors	cblu	100		255	255	255									0
greendye	190																																																							weap	cgrn	100		255	255	255									0
greendye2	191																																																							tors	cgrn	100		255	255	255									0
yellowdye	192																																																							weap	dyel	100		255	255	255									0
yellowdye2	193																																																							tors	dyel	100		255	255	255									0
purpledye	194																																																							weap	dpur	100		255	255	255									0
purpledue2	195																																																							tors	dpur	100		255	255	255									0
orandye	196																																																							weap	oran	100		255	255	255									0
fixedsanc	197					1			1																																			sanctuaryfront	sanctuaryback						skill_staminapercent												paladin_aura_sanctuary						86		0
blackdye	198																																																							weap	blac	100		255	255	255									0
blackdye2	199																																																							tors	blac	100		255	255	255									0
whitedye	200																																																							weap	whit	100		255	255	255									0
whitedye2	201																																																							tors	whit	100		255	255	255									0
reddye3	202																																																							shld	cred	100		255	255	255									0
reddye4	203																																																							helm	cred	100		255	255	255									0
bluedye3	204																																																							shld	cblu	100		255	255	255									0
bluedye4	205																																																							helm	cblu	100		255	255	255									0
greendye3	206																																																							shld	cgrn	100		255	255	255									0
greendye4	207																																																							helm	cgrn	100		255	255	255									0
yellowdye3	208																																																							shld	dyel	100		255	255	255									0
yellowdye4	209																																																							helm	dyel	100		255	255	255									0
purpledye3	210																																																							shld	dpur	100		255	255	255									0
purpledye4	211																																																							helm	dpur	100		255	255	255									0
blackdye3	214																																																							shld	blac	100		255	255	255									0
blackdye4	215																																																							helm	blac	100		255	255	255									0
whitedye3	216																																																							shld	whit	100		255	255	255									0
whitedye4	217																																																							helm	whit	100		255	255	255									0
bloodaura	218					1																																						spirit_of_barbs																			necromancer_dimvision								0
concentration2	219					1				1				1	1																													concentrationfront	concentrationback						damagepercent												paladin_aura_concentration								0
enchantcontrol	220					1																																																																	0
javelinmastery	221																																																																						0
bowmastery	222																																																																						0
passive_resistpois	223																																																		poisonresist																				0
stone	224						1	1																																				curseattract					curse_hit									100	73	105	105	105	necromancer_attract								0
wandmastery	225																																																																						0
smite	226																																											aura_fanatic							fireresist																				0
impale	227																							1																				berserkfront	berserkback																										0
wardaura	228					1																		1																				wardaurafront	wardauraback																										0
golden	229					1																																																				100	102	255	255	255									0
ardentdefender	230					1																																						wardaurafront	wardauraback																										0
mancer	231																																											mephisto	wardaurafront	wardauraback												100	102	255	255	255									0
penetrateaim	232																																																																						0
holyfireb	233					1																			1																																														0
holyshockb	234					1																				1																																													0
holywindb	235					1																					1																																												0
monblaze	236																																																			3																			0
PoisonAuraTarget	237																											1																																											0
FireAuraTarget	238																								1																																														0
FreezeAuraTarget	239																										1																																												0
ShockAuraTarget	240																									1																																													0
dmgboost	241																																																																						0
PoisonMastery	242																																																																						0
unholyblight	243					1																																						wardaurafront	wardauraback																										0
unholyblightb	244					1																						1																																											0
magicmastery	245																																																																						0
chilltouch	246	4												1	1																																		ice_explode		skill_enchant					weap	cblu														0
shockinggrasp	247	4												1																																			thunderstormcast		skill_enchant					weap	lyel														0
vampirictouch	248	4												1																																			steallife		skill_enchant					weap	blac														0
arimyth_state	249					1																																						bloodlust_state														100	73	255	255	255									0
SpellMasteries	250																																																																						0
holyfire2	251					1																																						aura_holyfire_front	aura_holyfire_back																		paladin_aura_holyfire								0
holywind2	252					1																																						holyfreeze																			paladin_aura_holywind								0
holyshock2	253					1																																						holyshockfront	holyshockback						lightmaxdam												paladin_aura_holylight								0
gold	254												1																1																													125	102	150	215	255									0
