missile	Id	pCltDoFunc	pCltHitFunc	pSrvDoFunc	pSrvHitFunc	pSrvDmgFunc	SrvCalc1	*srv calc 1 desc	Param1	*param1 desc	Param2	*param2 desc	Param3	*param3 desc	Param4	*param4 desc	Param5	*param5 desc	CltCalc1	*client calc 1 desc	CltParam1	*client param1 desc	CltParam2	*client param2 desc	CltParam3	*client param3 desc	CltParam4	*client param4 desc	CltParam5	*client param5 desc	SHitCalc1	*server hit calc 1 desc	sHitPar1	*server hit param1 desc	sHitPar2	*server hit param2 desc	sHitPar3	*server hit param3 desc	CHitCalc1	*client hit calc1 desc	cHitPar1	*client hit param1 desc	cHitPar2	*client hit param2 desc	cHitPar3	*client hit param3 desc	DmgCalc1	*damage calc 1	dParam1	*damage param1 desc	dParam2	*damage param2 desc	Vel	MaxVel	VelLev	Accel	Range	LevRange	Light	Flicker	Red	Green	Blue	InitSteps	Activate	LoopAnim	CelFile	animrate	AnimLen	AnimSpeed	RandStart	SubLoop	SubStart	SubStop	CollideType	CollideKill	CollideFriend	LastCollide	Collision	ClientCol	ClientSend	NextHit	NextDelay	xoffset	yoffset	zoffset	Size	SrcTown	CltSrcTown	CanDestroy	ToHit	AlwaysExplode	Explosion	Town	NoUniqueMod	NoMultiShot	Holy	CanSlow	ReturnFire	GetHit	SoftHit	KnockBack	Trans	Qty	Pierce	SpecialSetup	MissileSkill	Skill	ResultFlags	HitFlags	HitShift	ApplyMastery	SrcDamage	Half2HSrc	SrcMissDmg	MinDamage	MinLevDam1	MinLevDam2	MinLevDam3	MinLevDam4	MinLevDam5	MaxDamage	MaxLevDam1	MaxLevDam2	MaxLevDam3	MaxLevDam4	MaxLevDam5	DmgSymPerCalc	EType	EMin	MinELev1	MinELev2	MinELev3	MinELev4	MinELev5	Emax	MaxELev1	MaxELev2	MaxELev3	MaxELev4	MaxELev5	EDmgSymPerCalc	ELen	ELevLen1	ELevLen2	ELevLen3	HitClass	NumDirections	LocalBlood	DamageRate	TravelSound	HitSound	ProgSound	ProgOverlay	ExplosionMissile	SubMissile1	SubMissile2	SubMissile3	HitSubMissile1	HitSubMissile2	HitSubMissile3	HitSubMissile4	CltSubMissile1	CltSubMissile2	CltSubMissile3	CltHitSubMissile1	CltHitSubMissile2	CltHitSubMissile3	CltHitSubMissile4	EOL
firearrow	12	1		1		1																																									dl12	convert to elemental%	50	base conversion	0	conversion/lvl	24	24			38		5		255	178	64	1	0	1	FireArrow	1024	1	16					3	1		1		1		1	2				1				1							1	1	1			1		1		1	Fire Arrow	4																				fire																			32			amazon_firearrow_1	sorceress_firebolt_impact_1			fireexplode															0
cr_arrow1	13	1		1																																																	26	26			32				255	255	255	1	0	1	Arrow	1024	1	16					3	1		1		1							1				1							1	1	1					1				4		8		128																																		10	32			weapon_bow_1																			0
cr_arrow2	14	1		1																																																	26	26			32				255	255	255	1	0	1	Arrow	1024	1	16					3	1		1		1							1				1							1	1	1					1				4		8		128																																		10	32			weapon_bow_1																			0
cr_arrow3	15	1		1																																																	26	26			32				255	255	255	1	0	1	Arrow	1024	1	16					3	1		1		1							1				1							1	1	1					1				4		8		128																																		10	32			weapon_bow_1																			0
cr_arrow4	16	1		1																																																	26	26			32				255	255	255	1	0	1	Arrow	1024	1	16					3	1		1		1							1				1							1	1	1					1				4		8		128																																		10	32			weapon_bow_1																			0
cr_arrow5	17	1		1																																																	26	26			32				255	255	255	1	0	1	Arrow	1024	1	16					3	1		1		1							1				1							1	1	1					1				4		8		128																																		10	32			weapon_bow_1																			0
blood1	18	2																																																			3	3			128				255	255	255	0	0	0	BloodSmall01	1024	9	16						1		1									1						1			1															8																																					8	1																					0
blood2	19	2																																																			4	4			128				255	255	255	0	0	0	BloodSmall02	1024	9	16						1		1									1						1			1															8																																					8	1																					0
bigblood1	20	2																																																			3	3			128				255	255	255	0	0	0	BloodLarge01	1024	9	16						1		1									1						1			1															8																																					8	1																					0
bigblood2	21	2																																																			4	4			128				255	255	255	0	0	0	BloodLarge02	1024	9	16						1		1									1						1			1															8																																					8	1																					0
shafire1	22	1		1																																																	10	10			90		5		255	178	64	1	0	1	ShamanFireball	1024	3	16					3	1		1		1		1	4				1											1	1	1			1		1				4		0																		fire	128						237						skill('ShamanFire'.clc4)*100						16			monster_fireball	sorceress_firebolt_impact_1			shamanexp															0
shafire2	23	1		1																																																	12	12			72		5		255	178	64	1	0	1	ShamanFireball	1024	3	16					3	1		1		1		1	4				1											1	1	1			1		1				4		0																		fire	128						237						skill('ShamanFire'.clc4)*100						16			monster_fireball	sorceress_firebolt_impact_1			shamanexp															0
shafire3	24	1		1																																																	14	14			60		5		255	178	64	1	0	1	ShamanFireball	1024	3	16					3	1		1		1		1	4				1											1	1	1			1		1				4		0																		fire	256						475						skill('ShamanFire'.clc4)*100						16			monster_fireball	sorceress_firebolt_impact_1			shamanexp															0
shafire4	25	1		1																																																	18	18			45		5		255	178	64	1	0	1	ShamanFireball	1024	3	16					3	1		1		1		1	4				1											1	1	1			1		1				4		0																		fire	256						475						skill('ShamanFire'.clc4)*100						16			monster_fireball	sorceress_firebolt_impact_1			shamanexp															0
shafire5	26	1		1																																																	22	22			36		5		255	178	64	1	0	1	ShamanFireball	1024	3	16					3	1		1		1		1	4				1											1	1	1			1		1				4		0																		fire	256						475						skill('GargoyleTrap'.clc4)*100						16			monster_fireball	sorceress_firebolt_impact_1			shamanexp															0
magicarrow	27	1		1		1																																									dl12	convert to elemental%	50	base conversion	0	conversion/lvl	24	24			38		3		255	255	255	1	0	1	SafeArrow	1024	1	16					3	1		1		1		1	2				1				1							1	1	1			1		1			Magic Arrow	4																				mag																		10	32			amazon_magicarrow_1				teethexplode															0
icearrow	28	1		1		2																																											100	convert cold len to freeze			24	24			38		5		81	81	255	1	0	1	IceArrow	1024	8	16					3	1		1		1							1				1							1	1	1			1		1			Ice Arrow	4																				cold																			32			amazon_coldarrow_1	impact_cold_1			iceexplode															0
fireexplode	29	1																																																							12		13		255	178	64	0	0	0	FireArrowExplode2	1024	12	16	5					1		1									1						1			1				1			1						4		8																																					1																						0
iceexplode	30	1																																																							16		11		81	81	255	0	0	0	IceArrowExplode	1024	16	16						1		1									1						1			1				1			1						4		8																																					1																						0
bolt	31	1		1																																																	26	26			38				255	255	255	1	0	0	XBowBolt	1024	1	16					3	1		1		1							1				1							1	1	1					1				4		8		128																																		10	32			weapon_xbow_1																			0
andarielspray	32	1		1					193		103																																										20	20			75				255	255	255	3	0	1	AndarielSpell	1024	24	16					3	1		1		1							1											1	1	1			1		1			AndrialSpray	4		0																																100					1			andariel_cast_large																			0
bigheadexp	33	1																																																							6		8		143	143	255	0	0	0	BigheadLightningExplosion	1024	7	16						1		1									1						1			1				1			1						4		8																																					1																						0
shamanexp	34	1																																																							11		8		255	178	64	0	0	0	ShamanFireballExplodeFinal	1024	12	16						1		1									1						1			1				1			1						4		8																																					1																						0
throwaxe	35	1		1																																																	36	36			38				255	255	255	1	0	1	MissileHandAxe	1024	8	16					3	1		1		1							1				1							1	1	1					1				4		8		128																																		2	32			weapon_throw_1																			0
throwknife	36	1		1																																																	36	36			38				255	255	255	1	0	0	MissileDagger	1024	1	16					3	1		1		1							1				1							1	1	1					1				4		8		128																																		6	32			weapon_throw_1																			0
glaive	37	1		1																																																	22	22			38				255	255	255	0	0	0	Glaive	1024	1	16					3	1		1		1							1				1							1	1	1					1				4		8		128																																		6	32			weapon_throw_1																			0
poisonjav	38	3		2			0	#subloops											0	#subloops																																	24	24			38				128	255	128	0	0	0	Javelin	1024	1	16					3	1		1		1							1				1							1	1	1					1			Poison Javelin	4																																						6	32			weapon_throw_1					poisonjavcloud							poisonjavcloud							0
poisonjavcloud	39	4		3					2	Slow drift speed, fourths.	4	Fast drift speed, fourths.									24	spawn rate	1	number	6	radius																															60				128	255	128	0	0	1	PoisonSparks	1024	31	16		1	10	19	3			1		1	1						2											1					1					Poison Javelin					-1																																		6	8			object_poison_loop												poisonpuff							0
coldarrow	40	1		1		1																																									dl12	convert to elemental%	50	base conversion	0	conversion/lvl	24	24			38		5		81	81	255	1	0	1	IceArrow	1024	1	16					3	1		1		1		1	2				1				1							1	1	1			1		1		1	Cold Arrow	4																				cold																			32			amazon_coldarrow_1	impact_cold_1			iceexplode															0
explodingarrow	41	1	1	1	4																																				6	explosions radius	1	explosions density									25	25			38		5		255	178	64	1	0	1	FireArrow	1024	8	16					3	1		1		1							1				1	1						1	1	1			1		1								128																fire																			32			amazon_firearrow_1				explodingarrowexp				explodingarrowexp2							fireexplosion2				0
explodingarrowexp	42	1																																																							16		15		255	178	64	0	0	0	ExpArrowExplode	1024	16	16						1		1									1						1			1				1			1						4																																							1			explosion_medium_1																			0
plaguejavelin	43	3	2	3	2																												1	ring 2 density	2	ring 1 density	3	subloops			1	ring 2 density	2	ring 1 density	3	subloops							24	24			38		4		128	255	128	0	0	0	Javelin	1024	1	16					3	1		1		1							1				1	1						1	1	1					1			Plague Javelin	4																																						6	32			weapon_throw_1	explosion_large_1				plaguejavcloud			plaguejavcloud				plaguejavcloud							0
oilpotion	44	1	3	1	3																												6	damage radius																			16	16			30				255	128	128	0	0	0	mslops	1024	8	16					6	1		1									1					1						1	1	1						1			5	2	8																		fire	8						10												1			weapon_throw_1	explosion_small_1														fireexplode				0
explosivepotion	45	1	3	1	3																												6	damage radius																			16	16			30				255	128	128	0	0	0	mslopm	1024	8	16					6	1		1									1					1						1	1	1						1			5	2	8																		fire	39						47												1			weapon_throw_1	explosion_medium_1														explodingarrowexp				0
fulminatingpotion	46	1	3	1	3																												6	damage radius																			16	16			30				255	128	128	0	0	0	mslopl	1024	8	16					6	1		1									1					1						1	1	1						1			5	2	8																		fire	24						32												1			weapon_throw_1	explosion_large_1														explosivepotionexp	explosivepotiondebris1	explosivepotiondebris3		0
rancidgasepotion	47	1	2	1	2				30	Poison Length																							0	ring 2 density	2	ring 1 density	3	subloops			0	ring 2 density	2	ring 1 density	3	subloops							16	16			30				128	255	128	0	0	0	mslgps	1024	8	16					6	1		1									1					1						1	1	1						1			4		8																		pois	41						41							25					1			weapon_throw_1	explosion_medium_1							rancidgascloud							rancidgascloud				0
chokinggaspoition	48	1	2	1	2				60	Poison Length																							2	ring 2 density	2	ring 1 density	3	subloops			2	ring 2 density	2	ring 1 density	3	subloops							16	16			30				128	255	128	0	0	0	mslgpm	1024	8	16					6	1		1									1					1						1	1	1						1			4		8																		pois	53						53							25					1			weapon_throw_1	explosion_medium_1							chokinggascloud							chokinggascloud				0
stranglinggaspotion	49	1	2	1	2				90	Poison Length																							1	ring 2 density	2	ring 1 density	3	subloops			1	ring 2 density	2	ring 1 density	3	subloops							16	16			30				128	255	128	0	0	0	mslgpl	1024	8	16					6	1		1									1					1						1	1	1						1			4		8																		pois	67						67							25					1			weapon_throw_1	explosion_medium_1							stranglinggascloud							stranglinggascloud				0
notused50	50	1							0	acid (destroys AC or dur)																																																			255	255	255	0	0	0	null	1024	2	16					3	1		1									1											1	1	1									4																																							1			weapon_throw_1	explosion_medium_1																		0
explosivepotionexp	51	1							2																																																12		13		255	178	64	0	0	0	PotionExplode	1024	29	16								1									1						1			1				1			1						4		8																																					1																						0
explosivepotiondebris1	52	1																																																											255	255	255	0	0	0	PotionExplodeDebris01	1024	29	16								1									1						1			1				1									4		8																																					1																						0
explosivepotiondebris2	53	1																																																											255	255	255	0	0	0	PotionExplodeDebris02	1024	29	16								1									1						1			1				1									4		8																																					1																						0
explosivepotiondebris3	54	1																																																											255	255	255	0	0	0	PotionExplodeDebris03	1024	29	16								1									1						1			1				1									4		8																																					1																						0
holybolt	55	1	9	1	7																												1	heals allies?	0	0 = all, 1 = undead, 2 = demons					1	heals allies?	0	0 = all, 1 = undead, 2 = demons									30	30			15		7		222	222	255	1	0	1	HolyBoltMissile	1024	16	16					3		1	1		1							1											1	1	1			1					Holy Bolt	4																																							1			paladin_holybolt_1	paladin_holybolt_impact_1		healing												teethexplode				0
chargedbolt	56	1	10	1																																																	13	13			90		3	4	255	255	255	1	0	1	ChargedBolt	1024	10	16		1	2	8	3	1		1		1							1									1		1	1	1			1					Charged Bolt	4																																						64	16			sorceress_chargedbolt_1			lightning																0
sanctuarybolt	57	1		1																																																					14				222	222	255	0	0	1	Gleam	1024	8	16																	1										1	1					1																																													1																						0
firebolt	58	1		1																																																	28	28			35		7		255	178	64	1	0	1	Firebolt	1024	5	16					3	1		1		1							1											1	1	1			1					Fire Bolt	4																																							16			sorceress_firebolt_1	sorceress_firebolt_impact_1			fireexplode															0
icebolt	59	1		1																																																	28	28			35		7		81	81	255	1	0	1	Icebolt	1024	6	16					3			1		1							1											1	1	1			1					Ice Bolt	4																																							16			sorceress_icebolt_1	impact_cold_1			iceexplode															0
infernoflame1	60	1		1					8	Mana Use, 16ths.	7	Minimum range																																									12	12			30		5		255	178	64	1	0	0	Flamethrower	1024	15	16					3			1									1											1			1		1					Inferno	4																																						32	1		41	sorceress_inferno																			0
infernoflame2	61	1		1					8	Mana Use, 16ths.	7	Minimum range																																									12	12			30		5		255	178	64	1	0	0	Flamethrower2	1024	15	16					3			1									1											1			1		1					Inferno	4																																						32	1		41	sorceress_inferno																			0
fireball	62	1	1	1	1																												5	damage radius							5	explosions radius	1	explosions density									34	34			38		7		255	178	64	1	0	1	Fireball	1024	5	16					3	1		1		1							1											1	1	1			1					Fire Ball	5	2																			fire																			16			sorceress_fireball_1	sorceress_fireball_impact_1			explodingarrowexp											fireexplosion2				0
mummy1	63	1		1																																																	5	5			24				255	255	255	0	0	0	GreaterMummyBreath	1024	24	16					3			1		1							2											1		1			1						4		0																		pois	1						1						skill('Attack'.clc4)*256/25*100/2	100					8																						0
mummy2	64	1		1																																																	5	5			24				255	255	255	0	0	0	GreaterMummyBreath	1024	24	16					3			1		1							2											1		1			1						4		0																		pois	1						1						skill('Attack'.clc4)*256/25*100/2	100					8																						0
mummy3	65	1		1																																																	5	5			24				255	255	255	0	0	0	GreaterMummyBreath	1024	24	16					3			1		1							2											1		1			1						4		0																		pois	1						1						skill('Attack'.clc4)*256/25*100/2	100					8																						0
mummy4	66	1		1																																																	5	5			24				255	255	255	0	0	0	GreaterMummyBreath	1024	24	16					3			1		1							2											1		1			1						4		0																		pois	1						1						skill('Attack'.clc4)*256/25*100/2	100					8																						0
blaze	67	5		5	8	3																											19	softhit chance (128)															19	hit sound chance (128)							215	10	5	4	255	178	64	0	0	1	groundFireSmall	1024	37	16		1	12	36	3				1		1						1	1	12						1	1		1					1					Blaze																																							32	1		41	object_fire_loop_magic																			0
firewallmaker	68	6		6																	4	no light freq																															12	12			25		8		255	178	64	0	0	1	null	1024	2	16		1	1	2	8			1		1	1						1																1								8																																				32	1								firewall							firewall	firewall	firewall					0
firewall	69	5		5		3																											19	softhit chance (128)															19	hit sound chance (128)							75		5	4	255	178	64	0	0	1	groundFireBig	1024	37	16		1	12	36	3				1		1	1	5				1	1	12									1	1	1			1								8	1																	fire	10	8	10	13	19	25	28	9	11	14	20	31	skill('Inferno'.blvl)*28 + skill('Kick'.clc3)+ (skill('Fire Wall'.blvl)*5*(skill('Kick'.clc1)/100))					32	1		41	object_fire_loop_magic																			0
goospit1	70	1		1																																																	10	10			24				255	255	255	3	0	0	SandMaggotGooSpit	1024	24	16					3	1		1		1							1											1	1	1									4		0																		pois	1						1						skill('Attack'.clc4)*256/25*100/2	100				176	16			tentaclehead_missile_1				goosplat															0
goospit2	71	1		1																																																	10	10			24				255	255	255	3	0	0	SandMaggotGooSpit	1024	24	16					3	1		1		1							1											1	1	1									4		0																		pois	1						1						skill('Attack'.clc4)*256/25*100/2	100				176	16			tentaclehead_missile_1				goosplat															0
goospit3	72	1		1																																																	10	10			24				255	255	255	3	0	0	SandMaggotGooSpit	1024	24	16					3	1		1		1							1											1	1	1									4		0																		pois	1						1						skill('Attack'.clc4)*256/25*100/2	100				176	16			tentaclehead_missile_1				goosplat															0
goospit4	73	1		1																																																	10	10			24				255	255	255	3	0	0	SandMaggotGooSpit	1024	24	16					3	1		1		1							1											1	1	1									4		0																		pois	1						1						skill('Attack'.clc4)*256/25*100/2	100				176	16			tentaclehead_missile_1				goosplat															0
goospit5	74	1		1																																																	10	10			24				255	255	255	3	0	0	SandMaggotGooSpit	1024	24	16					3	1		1		1							1											1	1	1									4		0																		pois	1						1						skill('Attack'.clc4)*256/25*100/2	100				176	16			tentaclehead_missile_1				goosplat															0
goosplat	75	1																																																							15				255	255	255	0	0	0	GooHit	1024	15	16						1		1									1											1	1	1									4		8																																					1																						0
sand pile	76	2																																																							128				255	255	255	0	0	0	SandMaggotSandPile	1024	1	16								1									1											1													8																																					8																						0
unholybolt1	77	1		1																																																	14	14			52		5		0	0	0	1	0	1	UnholyBolt	1024	16	16					3			1		1		1	4				1											1	1	1			2						4		0																		mag	256						320						skill('UnHolyBolt'.clc4)*70						1			greatermummy_unholybolt_1																			0
unholybolt2	78	1		1																																																	15	15			48		5		0	0	0	1	0	1	UnholyBolt	1024	16	16					3			1		1		1	4				1											1	1	1			2						4		0																		mag	256						320						skill('UnHolyBolt'.clc4)*70						1			greatermummy_unholybolt_1																			0
unholybolt3	79	1		1																																																	16	16			45		5		0	0	0	1	0	1	UnholyBolt	1024	16	16					3			1		1		1	4				1											1	1	1			2						4		0																		mag	256						320						skill('UnHolyBolt'.clc4)*70						1			greatermummy_unholybolt_1																			0
unholybolt4	80	1		1																																																	17	17			42		5		0	0	0	1	0	1	UnholyBolt	1024	16	16					3			1		1		1	4				1											1	1	1			2						4		0																		mag	256						320						skill('UnHolyBolt'.clc4)*70						1			greatermummy_unholybolt_1																			0
sanctuarycenter	81	1		1																																																					125				0	0	0	0	0	1	sanctuary	1024	40	16		1	10	30				1			1						1						1			1																																																				1																						0
fireexplosion	82	1		1																																																					15				255	178	64	0	0	0	FireArrowExplode2	1024	12	16					3			1									1						2			2				1			1						4		0																		fire	256						475						skill('Attack'.clc4)*300						1				explosion_medium_1																		0
stuckarrow	83																																																				1	1			128				0	0	0	0	0	0	ArrowInGround	1024	1	16								1									1						1			1															8																																					32																						0
footprint	84																																																								128				0	0	0	0	0	0	Footsteps01	1024	2	16								1									1						1			1															8																																					32																						0
immolationarrow	85	1	12	1	9				3	??? Radius																					53	fire duration	0	disc radius (0 = skill)	0	damage radius (0 = skill)			53	fire duration	0	disc radius (0 = skill)	75	disc density									25	25			38		9		255	178	64	1	0	1	FireArrow	1024	8	16					3	1		1		1							1				1	1						1	1	1			1					Immolation Arrow	5	2																			fire																		10	32			amazon_firearrow_1	explosion_medium_1							immolationfire							firewall	firesmall			0
guidedarrow	86	7	13	7	10				5	retarget frame	15	retarget radius									5	Retarget Frame																															24	24			38		3		255	255	255	1	0	1	SafeArrow	1024	1	16					3	1				1							1				1	1						1	1	1			1		1			Guided Arrow	4																																						10	32			amazon_magicarrow_1																			0
freezingarrow	87	1	14	1	4																												0	damage radius (0 = skill)																			25	25			38		5		81	81	255	1	0	1	IceArrow	1024	8	16					3	1		1		1							1				1	1						1	1	1			1		1				4	5	8																																					32			amazon_coldarrow_1	sorceress_iceblast_impact_1							freezingarrowexp3							freezingarrowexp1	freezingarrowexp2			0
freezingarrowexp1	88	1		1																																																					16		11		81	81	255	0	0	0	FreezeExplodeCenter	1024	15	16						1		1									1						1			1				1			1						4		8																																					1																						0
freezingarrowexp2	89	1		1																																																					16				81	81	255	0	0	0	FreezeExplodeEjecta	1024	15	16						1		1									1						1			1				1			1						4		8																																					8																						0
nova	90	1	10	1																																																	26	26		-1000	13				255	255	255	0	0	0	ElectricNova	1024	13	16					3			1				1	4				1									1			1	1			1					Nova	4																																						64	16			sorceress_nova			lightning																0
iceblast	91	1		1		4			4	Radius																																											12	12			42		7		81	81	255	1	0	1	IceBlast	1024	5	16					3	1		1		1							1											1	1	1			1					Ice Blast	4																																							16			sorceress_icebolt_1	sorceress_iceblast_impact_1			freezingarrowexp1															0
blessedhammer	92	1		1		5			3	Radius																							3	Radius	3	Dmg Radius					3	Radius							0	bonus dmg% undead	0	bonus dmg% demon	44	50		250	90		5		222	222	255	6	0	1	blessedhammer	1024	6	16					3			1				1	3				3												1	1			1		1			Blessed Hammer	4																				mag																			16			paladin_blessedhammer_1	paladin_holybolt_impact_1																		0
chainlightning	93	8	16	1	12																3	Subloops											0	range (0 = skill)							0	range (0 = skill)											30	30			40		4		255	255	255	0	0	1	LightningStrike	1024	8	16					3	1		1		1		1	3				2											1	1	1			1					Chain Lightning	4																																						64	32			sorceress_lightning_1			lightning									lightninghit							0
fistofares	94	1		1																																																	12	12			128		3		255	255	255	0	0	1	FOAorbiter	1024	9	16								1									1											1					1								8																																					1																						0
chillblood	95	1		1																																																	8	8			128		4		81	81	255	1	0	1	ChillBlood	1024	16	16					3	1		1		1							1											1		1			1						4		8																																				48	1																						0
glacialspike	96	1	14	1	13																												0	damage radius (0 = skill)	0	freeze length (0 = skill)																	24	24			40		5		81	81	255	1	0	1	GlacialSpike	1024	6	16					3	1		1		1							1											1	1	1			1					Glacial Spike	5	2																			frze																			16			sorceress_glacialspike_1	sorceress_iceblast_impact_1														freezingarrowexp1	freezingarrowexp2			0
teleport	97	1		1																																																					18		6		255	255	255	0	0	0	Teleport	1024	18	16								1									1						1			1							1								8																																					1																						0
lightningbolt	98	8		1																	3	Subloops																															30	30			32		4		255	255	255	0	0	2	null	1024	2	16					3			1		1							2											1	1	1			1					Lightning	4																																						64	1			sorceress_lightning_1												lightninghit							0
lightninghit	99	1	10	1																			16	Z Range																																	12		3	4	255	255	255	0	0	1	LightningStrike	1024	8	16		1		7													1											1					1								8																		ltng	2	2	2	2	2	2	5	2	2	2	2	2						64	32						lightning																0
meteor	100	1																																																							60				0	0	0	0	0	1	Meteor	1024	12	16						1		1			1																																																																			1																						0
meteorcenter	101	9	18	1	14																59	frames	25	fallrate	15	sliderate							0	range (0 = skill)	1	flames increment					5	# submissile1	3	# submissile3	15	# submissile4											60		4		255	64	64	0	0	1	MeteorTargetIndicator	1024	17	16								1			1						1					1								1			1					Meteor	5	2	8																																					1					sorceress_meteor_impact						meteorfire				meteor	meteortail		meteorexplode	whitelightmissile		firesmall	0
meteortail	102	1																																																							60				0	0	0	0	0	1	MeteorTail	1024	12	16						1		1																									1								8																																					1																						0
meteorexplode	103	1		1					2	none																																															16		13		255	178	64	0	0	0	ExpArrowExplode	1024	16	16								1									1						1			1			1	1			1						4		8																																					1																						0
firesmall	104	5		1																																																					5	15	2	2	255	178	64	0	0	1	groundFireSmall	1024	37	16		1	12	36	3						1						1	1	12														1																										fire	1	1	1	1	1	1	1	1	1	1	1	1						32	1			object_fire_loop_magic																			0
firemedium	105	5		1																																																					20	15	3	2	255	178	64	0	0	1	groundFireMedium	1024	37	16		1	12	36	3						1						1	1	12														1																										fire	2	2	2	2	2	2	2	2	2	2	2	2						32	1			object_fire_loop_magic																			0
monblizcenter	106	13		10																																																					75	2	9		81	81	255	0	0	1	null	1024	2	16								1			1						1									1							1								8																																					1			sorceress_blizzard_loop					monbliz1							monbliz1	monbliz4						0
