skilldesc	SkillPage	SkillRow	SkillColumn	ListRow	ListPool	IconCel	str name	str short	str long	str alt	str mana	descdam	ddam calc1	ddam calc2	p1dmelem	p1dmmin	p1dmmax	p2dmelem	p2dmmin	p2dmmax	p3dmelem	p3dmmin	p3dmmax	descatt	descmissile1	descmissile2	descmissile3	descline1	desctexta1	desctextb1	desccalca1	desccalcb1	descline2	desctexta2	desctextb2	desccalca2	desccalcb2	descline3	desctexta3	desctextb3	desccalca3	desccalcb3	descline4	desctexta4	desctextb4	desccalca4	desccalcb4	descline5	desctexta5	desctextb5	desccalca5	desccalcb5	descline6	desctexta6	desctextb6	desccalca6	desccalcb6	dsc2line1	dsc2texta1	dsc2textb1	dsc2calca1	dsc2calcb1	dsc2line2	dsc2texta2	dsc2textb2	dsc2calca2	dsc2calcb2	dsc2line3	dsc2texta3	dsc2textb3	dsc2calca3	dsc2calcb3	dsc2line4	dsc2texta4	dsc2textb4	dsc2calca4	dsc2calcb4	dsc3line1	dsc3texta1	dsc3textb1	dsc3calca1	dsc3calcb1	dsc3line2	dsc3texta2	dsc3textb2	dsc3calca2	dsc3calcb2	dsc3line3	dsc3texta3	dsc3textb3	dsc3calca3	dsc3calcb3	dsc3line4	dsc3texta4	dsc3textb4	dsc3calca4	dsc3calcb4	dsc3line5	dsc3texta5	dsc3textb5	dsc3calca5	dsc3calcb5	dsc3line6	dsc3texta6	dsc3textb6	dsc3calca6	dsc3calcb6	dsc3line7	dsc3texta7	dsc3textb7	dsc3calca7	dsc3calcb7	eol
ice arrow	1	5	2	1	0	30	skillname21	skillsd21	skillxld21	skillan21	StrSkill3	5												1				31	StrSkill13		edln		10					9					8																														1					40	Sksyn	skillname21	2		63	skillname31	Colddplev	par8		63	skillname11	Colddplev	par8		18	energysyn																			0
guided arrow	1	5	4	1	0	32	skillname22	skillsd22	skillld22	skillan22	StrSkill3	7	clc1											1				2	StrSkill4	percent	clc1																											1					18	GApierce														40	Sksyn	skillname22	2		63	skillname12	Damplev	par8		63	skillname26	Damplev	par8		63	skillname22	Damplev	20																	0
penetrate	2	11	6	2	0	34	skillname23	skillsd23	skillld23	skillan23	StrSkill3																	2	StrSkill31	percent	clc1		2	StrSkill89	percent	pst2		2	StrSkill106	space	pst1		63	EskillLifeSteal	space	pst4												18	10levels																			40	Sksyn	skillname23	2		63	skillname10	Defplev	par8		63	skillname19	Defplev	par8		63	skillname30	Defplev	par8		63	skillname23	AttSpeedplev	2												0
charged strike	3	5	2	3	0	36	skillname24	skillsd24	skillld24	skillan24	StrSkill3	17												1				1					2	StrSkill22	percent	toht		10					9					3	StrSkill72	StrSkill73	((par1 + (lvl-1)) >= par2) ? 0 : clc1																	3	StrSkill72	StrSkill73	((par1 + (lvl-2)) >= par2) ? clc1 : 0							40	Sksyn	skillname24	2		63	skillname20	Ltngdplev	par8		63	skillname35	Ltngdplev	par8		18	energysyn																			0
plague javelin	3	9	6	3	0	38	skillname25	skillsd25	skillld25	skillan25	StrSkill3	22												1				1					2	StrSkill22	percent	toht		14																																								40	Sksyn	skillname25	2		63	skillname15	Poisdplev	par8		63	skillname14	Poisdplev	par8		18	energysyn																			0
strafe	1	9	4	1	0	40	skillname26	skillsd26	skillld26	skillan26	StrSkill3	7	clc2											1				1					2	StrSkill4	percent	clc2		3	StrSkill86	StrSkill87	((3 + (lvl-1)/par3) >= par4) ? 0 : clc1		72	WeapDamsk		3	4											3	StrSkill86	StrSkill87	((3 + (lvl-2)/par3) >= par4) ? clc1 : 0		59	space	MinMissiles	clc3	clc3											40	Sksyn	skillname26	2		63	skillname12	Damplev	par8		63	skillname22	Damplev	par8		63	skillname26	Damplev	20																	0
immolation arrow	1	9	6	1	0	42	skillname27	skillsd27	skillxld27	skillan27	StrSkill3	6												1	immolationfire			1					23	StrSkill82				35	DOTdesc		miss('immolationfire'.edmn)*75*(100+stat('passive_fire_mastery'.accr))/100	miss('immolationfire'.edmx)*75*(100+stat('passive_fire_mastery'.accr))/100	24	StrSkill83														19	StrSkill18		par1		18	cantpierce														40	Sksyn	skillname27	2		63	skillname16	Firedplev	par8		63	skillname7	Firedplev	par8		18	energysyn																			0
dopplezon	2	7	2	2	0	44	skillname28	skillsd28	skillld28	skillan28	StrSkill3																	1					12	StrSkill20		clc2		3	StrSkill54	percent	clc4		3	StrSkill42	skilldesc2	clc3																						66	CastDelayDesc		len																																										0
evade	2	9	6	2	0	46	skillname29	skillsd29	skillld29	skillan29	StrSkill3																	63	ModStr4p	space	pst1							3	StrSkill76	percent	pst2																	18	1level																																																						0
fend	3	9	4	3	0	48	skillname30	skillsd30	skillld30	skillan30	StrSkill3	7	clc2											1				1					2	StrSkill30	percent	toht		2	StrSkill4	percent	ast1		72	WeapDamsk		2	3											18	fendaoe																			40	Sksyn	skillname30	2		63	skillname30	Damplev	25																											0
freezing arrow	1	11	2	1	0	50	skillname31	skillsd31	skillxld31	skillan31	StrSkill3	6												1				1					31	StrSkill62		edln		10																				19	StrSkill18		par1																	40	Sksyn	skillname31	2		63	skillname21	Colddplev	par8		63	skillname11	Colddplev	par8		18	energysyn																			0
valkyrie	2	11	2	2	0	52	skillname32	skillsd32	skillld32	skillan32	StrSkill3																	1					5	StrMag		clc2		4	StrSkill22		toht							13			clc1	clc3*(100+clc1)/25600																66	CastDelayDesc		len							40	Sksyn	skillname32	2		69	skillname9	strchrlvl	max(1, skill('Critical Strike'.blvl)) + clc4		69	skillname13	strchrlvl	max(1, skill('Dodge'.blvl)) + clc4		69	skillname18	strchrlvl	max(1, skill('Avoid'.blvl)) + clc4		69	skillname23	strchrlvl	max(1, skill('Penetrate'.blvl)) + clc4		69	skillname29	strchrlvl	max(1, skill('Evade'.blvl)) + clc4							0
pierce	2	1	6	2	0	54	skillname33	skillsd33	skillld33	skillan33	StrSkill3																	2	StrSkill22	percent	pst2		7	StrSkill24		pst1		67	hppotdesc	space	clc4*25/256							13										18	10levels																			40	Sksyn	skillname33	2		63	skillname33	AttRateplev	25		63	skillname33	piercepl	4																						0
lightning strike	3	11	2	3	0	56	skillname34	skillsd34	skillld34	skillan34	StrSkill3	17												1				1					2	StrSkill22	percent	toht		10																				67	Targets	space	clc2		66	NextHitDelayDesc		4												40	Sksyn	skillname34	2		63	skillname10	Ltngdplev	par8		18	energysyn																								0
lightning fury	3	9	2	3	0	58	skillname35	skillsd35	skillld35	skillan35	StrSkill3	22																1					10					3	StrSkill72	StrSkill27	((par1 + (lvl-2)*par2) >= par4) ? 0 : clc1																											3	StrSkill72	StrSkill27	((par1 + (lvl-3)*par2) >= par4) ? clc1 : 0							40	Sksyn	skillname35	2		63	skillname24	Ltngdplev	par8		63	skillname20	Ltngdplev	par8		67	skillname35	ancfurybolt	1		18	energysyn														0
fire bolt	1	1	4	1	0	0	skillname36	skillsd36	skillld36	skillan36	StrSkill3	5																1					11					10					9					8																														40	Sksyn	skillname36	2		63	skillname46	Firedplev	par8		63	skillname56	Firedplev	par8		18	energysyn																			0
warmth	1	1	6	1	0	2	skillname37	skillsd37	skillld37	skillan37	StrSkill3																	63	ModStr4p	space	clc2		63	ModStr4y	space	clc2		63	ModStr4g	space	clc3		67	ModStr2l	space	clc1		67	hppotdesc	space	clc4*25/256																																																														0
charged bolt	2	1	6	2	0	4	skillname38	skillsd38	skillld38	skillan38	StrSkill3	5																1					7	StrSkill27		((par1 +(lvl-2)*par2) >= par3) ? 0 : clc1		10																														7	StrSkill27		((par1 +(lvl-3)*par2) >= par3) ? clc1 : 0							40	Sksyn	skillname38	2		63	skillname58	Ltngdplev	par8		18	energysyn																								0
ice bolt	3	1	2	3	0	6	skillname39	skillsd39	skillld39	skillan39	StrSkill3	5																1					31	StrSkill13		edln		10					9					8																														40	Sksyn	skillname39	2		63	skillname64	Colddplev	par8		18	energysyn																								0
frozen armor	3	1	6	3	0	8	skillname40	skillsd40	skillld40	skillan40	StrSkill3																	1					12	StrSkill20		len		3	StrSkill31	percent	ast1																																																																								0
inferno	1	3	6	1	0	10	skillname41	skillsd41	skillld41	skillan41	StrSkill3	5																1					10																																													40	Sksyn	skillname41	2		63	skillname51	Firedplev	par8		18	energysyn																								0
static field	2	9	4	2	0	12	skillname42	skillsd42	skillld42	skillan42	StrSkill3	5																1					10																									66	PulseDelayDesc		clc1																	40	Sksyn	skillname42	2		63	skillname48	Ltngdplev	par8		63	skillname49	Ltngdplev	par8		18	energysyn																			0
telekinesis	2	3	2	2	0	14	skillname43	skillsd43	skillld43	skillan43	StrSkill3	5																1					10																																													40	Sksyn	skillname43	2		63	skillname57	Ltngdplev	par8		63	skillname53	Ltngdplev	par8		18	energysyn																			0
frost nova	3	3	6	3	0	16	skillname44	skillsd44	skillld44	skillan44	StrSkill3	5																1					31	StrSkill13		edln		10																																								40	Sksyn	skillname44	2		63	skillname50	Colddplev	par8		63	skillname60	Colddplev	par8		18	energysyn																			0
ice blast	3	3	4	3	0	18	skillname45	skillsd45	skillld45	skillan45	StrSkill3	5																1										10																				18	iceblastdesc																			40	Sksyn	skillname45	2		63	skillname55	Colddplev	par8		63	skillname59	Colddplev	par8		18	energysyn																			0
blaze	1	5	4	1	0	20	skillname46	skillsd46	skillld46	skillan46	StrSkill3	5																1					7	StrSkill27		((par1 +(lvl-2)*par2) >= par3) ? 0 : clc1		10																														7	StrSkill27		((par1 +(lvl-3)*par2) >= par3) ? clc1 : 0							40	Sksyn	skillname46	2		63	skillname36	Firedplev	par8		63	skillname56	Firedplev	par8		18	energysyn																			0
fire ball	1	3	2	1	0	22	skillname47	skillsd47	skillld47	skillan47	StrSkill3	5													fireball			1					11					10					9					8										19	StrSkill18		par1																	40	Sksyn	skillname47	2		63	skillname52	Firedplev	par8		63	skillname62	Firedplev	par8		18	energysyn																			0
nova	2	3	4	2	0	24	skillname48	skillsd48	skillld48	skillan48	StrSkill3	5																1					10																																													40	Sksyn	skillname48	2		63	skillname49	Ltngdplev	par8		63	skillname42	Ltngdplev	par8		18	energysyn																			0
lightning	2	5	4	2	0	26	skillname49	skillsd49	skillld49	skillan49	StrSkill3	5																1					11					10					9					8																														40	Sksyn	skillname49	2		63	skillname48	Ltngdplev	par8		63	skillname42	Ltngdplev	par8		18	energysyn																			0
shiver armor	3	7	6	3	0	28	skillname50	skillsd50	skillld50	skillan50	StrSkill3	5																1					12	StrSkill20		len		31	StrSkill13		edln		10															63	PhysRes	space	ast1																	40	Sksyn	skillname50	2		63	skillname44	Colddplev	par8		63	skillname60	Colddplev	par8		18	energysyn																			0
fire wall	1	7	6	1	0	30	skillname51	skillsd51	skillld51	skillan51	StrSkill3														firewall			1					35	DOTdesc		miss('firewall'.edmn)*5*(100+stat('passive_fire_mastery'.accr))/100	miss('firewall'.edmx)*5*(100+stat('passive_fire_mastery'.accr))/100																					29					30	StrSkill82				66	CastDelayDesc		clc4							40	Sksyn	skillname51	2		63	skillname41	Firedplev	par8		18	energysyn																								0
enchant	1	11	2	1	0	32	skillname52	skillsd52	skillld52	skillan52	StrSkill3	 																1					19	StrSkill18		rng							52	StrSkill5	strEskilllighttoattack	ast1	ast2	2	StrSkill22	percent	ln34																											40	Sksyn	skillname52	2		63	skillname47	Firedplev	par8		63	skillname62	Firedplev	par8		18	energysyn																			0
chain lightning	2	7	2	2	0	34	skillname53	skillsd53	skillld53	skillan53	StrSkill3	5																1					10					7	StrSkill11		clc1																						66	NextHitDelayDesc		3												40	Sksyn	skillname53	2		63	skillname43	Ltngdplev	par8		63	skillname57	Ltngdplev	par8		18	energysyn																			0
teleport	2	7	6	2	0	36	skillname54	skillsd54	skillld54	skillan54	StrSkill3																	1																																								66	CastDelayDesc		clc1																																										0
glacial spike	3	7	4	3	0	38	skillname55	skillsd55	skillld55	skillan55	StrSkill3	5																1					31	StrSkill62		len		10																				19	StrSkill18		rng																	40	Sksyn	skillname55	2		63	skillname45	Colddplev	par8		63	skillname59	Colddplev	par8		18	energysyn																			0
meteor	1	9	4	1	0	40	skillname56	skillsd56	skillld56	skillan56	StrSkill3	5													meteorfire			1					31	StrSkill82		200		35	DOTdesc		miss('meteorfire'.edmn)*75*(100+stat('passive_fire_mastery'.accr))/100	miss('meteorfire'.edmx)*75*(100+stat('passive_fire_mastery'.accr))/100	10															19	StrSkill18		rng							66	CastDelayDesc		clc3							40	Sksyn	skillname56	2		63	skillname46	Firedplev	par8		63	skillname36	Firedplev	par8		18	energysyn																			0
thunder storm	2	11	2	2	0	42	skillname57	skillsd57	skillld57	skillan57	StrSkill3	5																1					12	StrSkill20		len		10																														66	CastDelayDesc		clc4							40	Sksyn	skillname57	2		63	skillname43	Ltngdplev	par8		63	skillname53	Ltngdplev	par8		18	energysyn																			0
energy shield	2	3	6	2	0	44	skillname58	skillsd58	skillld58	skillan58	StrSkill3																	1					12	StrSkill20		len		3	EPoisR	percent	pst1							73	ModStr2x		(sklvl('energy shield'.clc3.clc2) > par6) ? clc2 : 0	(sklvl('energy shield'.clc3.clc2) > par6) ? 16 : 0	3	StrSkill40	percent	(sklvl('energy shield'.clc3.clc1) < 66) ? clc1 : 0												73	ModStr2x		(sklvl('energy shield'.clc4.clc2) > par6) ? 0 : clc2	(sklvl('energy shield'.clc4.clc2) > par6) ? 0 : 16	3	StrSkill40	percent	(sklvl('energy shield'.clc4.clc1) < 66) ? 0 : clc1		40	Sksyn	skillname58	2		65	skillname58	ESsyndesc																												0
blizzard	3	9	4	3	0	46	skillname59	skillsd59	skillld59	skillan59	StrSkill3	5													blizzardcenter			1					23	StrSkill20				31	StrSkill13		edln		10																									66	CastDelayDesc		clc4							40	Sksyn	skillname59	2		63	skillname45	Colddplev	par8		63	skillname55	Colddplev	par8		18	energysyn																			0
chilling armor	3	5	2	3	0	48	skillname60	skillsd60	skillld60	skillan60	StrSkill3	5																1					12	StrSkill20		len		31	StrSkill13		edln		10															63	PhysRes	space	ast1																	40	Sksyn	skillname60	2		63	skillname44	Colddplev	par8		63	skillname50	Colddplev	par8		18	energysyn																			0
fire mastery	1	11	6	1	0	50	skillsname61	skillsd61	skillld61	skillan61	StrSkill3																	63	firedmg	space	pst1		63	EPoisR	space	pst2																																										40	Sksyn	skillsname61	2		18	firemastsyn																													0
hydra	1	7	2	1	0	52	skillname62	skillsd62	skillld62	skillan62	StrSkill3	5																1					24	StrSkill113				12	StrSkill20		ln12																											66	CastDelayDesc		clc4							40	Sksyn	skillname62	2		63	skillname47	Firedplev	par8		63	skillname52	Firedplev	par8		18	energysyn																			0
lightning mastery	2	11	6	2	0	54	skillname63	skillxsd63	skillld63	skillan63	StrSkill3																	63	ltngdmg	space	pst1		63	magrespurify	space	pst2																																										40	Sksyn	skillname63	2		18	litmastsyn																													0
frozen orb	3	11	2	3	0	56	skillname64	skillsd64	skillld64	skillan64	StrSkill3	5																1					31	StrSkill13		edln		10					9					8																				66	CastDelayDesc		clc4							40	Sksyn	skillname64	2		63	skillname39	Colddplev	par8		18	energysyn																								0
cold mastery	3	11	6	3	0	58	skillname65	skillsd65	skillld65	skillan65	StrSkill3																	63	colddmg	space	pst1		63	PhysRes	space	pst2																																										40	Sksyn	skillname65	2		18	coldmastsyn																													0
amplify damage	1	1	4	1	0	0	skillname66	skillsd66	skillld66	skillan66	StrSkill3																	1					12	StrSkill20		len		19	StrSkill18		rng		63	PhysRes	space	clc4												18	5levelmax																			40	Sksyn	skillname66	2		18	skillname66																													0
teeth	2	1	6	2	0	2	skillname67	skillsd67	skillld67	skillan67	StrSkill3	5																1					10					7	StrSkill28		((par1+(lvl-2)*par2) >= par7) ? 0 : clc1																											7	StrSkill28		((par1+(lvl-3)*par2) >= par7) ? clc1 : 0							40	Sksyn	skillname67	2		63	skillname93	Magdplev	par8		63	skillname84	Magdplev	par8		18	energysyn																			0
bone armor	2	1	4	2	0	4	skillname68	skillsd68	skillld68	skillan68	StrSkill3																	1					2	skillan482	percent	ast2		2	skillan479	percent	ast3		2	StrSkill31	percent	clc4							2	magrespurify	percent	pst5		67	hppotdesc	space	clc3*25/256							18	1level									40	Sksyn	skillname68	2		63	badefsyn	Defplev	25	2	64	bamagsyn	Magdplev	1	4	64	bapsnsyn	Poisdplev	1	4																0
skeleton mastery	3	1	2	3	0	6	skillname69	skillsd69	skillld69	skillan69	StrSkill3																	18	skmastdesc				2	StrSkill21	percent	clc2		2	StrSkill22	percent	clc3																	18	5levelmax																																																						0
raise skeleton	3	1	6	3	0	8	skillname70	skillsd70	skillld70	skillan70	StrSkill3																	1					47	StrSkill4		(100+ast1)*pst2/100	(100+ast1)*pst3/100	13			clc1	pst1/256 * (100+clc1)/100	5	StrSkill21		clc3		5	StrSkill22		clc4		36	StrSkill94	StrSkill44	((2+(lvl-1)/10) >= par6) ? 0 : pets		3					3										36	StrSkill94	StrSkill44	((2+(lvl-2)/10) >= par6) ? pets : 0		40	Sksyn	skillname70	2		18	skillname69																													0
dim vision	1	3	2	1	0	10	skillname71	skillsd71	skillld71	skillan71	StrSkill3																	1					31	StrSkill20		len		19	StrSkill18		rng																	3	StrSkill54	percent	clc4							18	1level									40	Sksyn	skillname71	2		18	skillname91																													0
weaken	1	3	6	1	0	12	skillname72	skillsd72	skillld72	skillan72	StrSkill3																	1					12	StrSkill20		len		19	StrSkill18		rng		3	StrSkill8	percent	clc4		3	StrSkill75	percent	clc4		3	StrSkill38	percent	clc4							18	5levelmax														40	Sksyn	skillname72	2		63	skillname72	Damplev	-1																											0
poison dagger	2	3	2	2	0	14	skillname73	skillsd73	skillld73	skillan73	StrSkill3	5																1					14																																			2	StrSkill106	space	ast1							40	Sksyn	skillname73	2		63	skillname83	Poisdplev	par8		63	skillname92	Poisdplev	par8		63	skillname73	AttSpeedplev	3		18	energysyn														0
corpse explosion	2	3	6	2	0	16	skillname74	skillsd74	skillld74	skillan74	StrSkill3																	1					37	StrSkill18		rng																						38	StrSkill4	StrSkill46	par1	par2																																																			0
clay golem	3	3	4	3	0	18	skillname75	skillsd75	skillld75	skillan75	StrSkill3																	1															47	StrSkill6		ast2	ast3	47	StrSkill4		(100+clc3)*ast5/100	(100+clc3)*ast6/100	13			clc1	pst4/256*(100+clc1)/100	3	Cgslow	percent	ast1		18	ModStr3l				66	CastDelayDesc		len							40	Sksyn	skillname75	2		63	skillname94	Colddplev	1		63	skillname75	AttSpeedplev	1		63	skillname85	maxhpplev2	2		63	skillname90	Damplev	1												0
iron maiden	1	5	4	1	0	20	skillname76	skillsd76	skillld76	skillan76	StrSkill3																	1					12	StrSkill20		len		19	StrSkill18		rng		63	DmgReturned	space	clc1												3	StrCast	percent	ast1		63	PhysRes	space	ast2		18	10levels									40	Sksyn	skillname76	2		63	skillname76	castrateplev	-2																											0
terror	1	5	6	1	0	22	skillname77	skillsd77	skillld77	skillan77	StrSkill3																	1					12	StrSkill20		len		19	StrSkill18		rng																	3	StrSkill54	percent	clc1							18	1level									40	Sksyn	skillname77	2		18	skillname91																													0
bone orb	2	5	4	2	0	24	skillname78	skillsd78	skillld78	skillan78	StrSkill3	5																1					11					10					9					8																				66	CastDelayDesc		clc4							40	Sksyn	skillname78	2		63	skillname67	Magdplev	par8		63	skillname93	Magdplev	par8		63	skillname84	Magdplev	par8		18	boneorbselfsyn				18	energysyn									0
golem mastery	3	5	2	3	0	26	skillname79	skillsd79	skillld79	skillan79	StrSkill3																						2	StrSkill4	percent	clc1		2	StrSkill89	percent	clc2		2	StrSkill42	percent	clc3		2	StrSkill42	space	clc4																																																														0
raise skeletal mage	3	5	6	3	0	28	skillname80	skillsd80	skillld80	skillan80	StrSkill3																	1					5	StrSkill4		clc3		5	MissileLevelColonSpace		clc2		13			clc1	pst1/256 * (100+clc1)/100						36	StrSkill43a	StrSkill44a	((2+(lvl-1)/10) >= par6) ? 0 : pets		3															36	StrSkill43a	StrSkill44a	((2+(lvl-2)/10) >= par6) ? pets : 0		40	Sksyn	skillname80	2		18	skillname69																													0
confuse	1	7	2	1	0	30	skillname81	skillsd81	skillld81	skillan81	StrSkill3																	1					31	StrSkill20		len		19	StrSkill18		rng																											18	1level																																												0
life tap	1	7	4	1	0	32	skillname82	skillsd82	skillld82	skillan82	StrSkill3																	1					12	StrSkill20		len		19	StrSkill18		rng																	3	StrSkill50	StrSkill79	clc1							18	10levels									40	Sksyn	skillname82	2		64	skillname82	lifestealplev	1	2																										0
poison explosion	2	7	2	2	0	34	skillname83	skillsd83	skillld83	skillan83	StrSkill3	5																1					14																																													40	Sksyn	skillname83	2		63	skillname73	Poisdplev	par8		63	skillname92	Poisdplev	par8		18	energysyn																			0
bone spear	2	7	6	2	0	36	skillname84	skillsd84	skillld84	skillan84	StrSkill3	5																1					11					10					9					8																				7	bonespears		clc1							40	Sksyn	skillname84	2		63	skillname67	Magdplev	par8		63	skillname93	Magdplev	par8		18	energysyn																			0
