index	version	enabled	ladder	rarity	nolimit	lvl	lvl req	code	*type	*uber	carry1	cost mult	cost add	chrtransform	invtransform	flippyfile	invfile	dropsound	dropsfxframe	usesound	prop1	par1	min1	max1	prop2	par2	min2	max2	prop3	par3	min3	max3	prop4	par4	min4	max4	prop5	par5	min5	max5	prop6	par6	min6	max6	prop7	par7	min7	max7	prop8	par8	min8	max8	prop9	par9	min9	max9	prop10	par10	min10	max10	prop11	par11	min11	max11	prop12	par12	min12	max12	*eol
Rixots Keen	0	1		1	1	1	4	ssd	Short Sword			5	5000	blac	blac						dmg%		100	100	dmg-min		5	5	light		2	2	deadly		25	25	ac		30	30	att%		20	20	swing2		60	60																					0
Blood Crescent	0	1		1	1	3	8	scm	Scimitar			5	5000	lblu			invscmu				dmg%		150	200	hp		50	50	openwounds		25	25	res-all		15	15	lifesteal		10	10	sock		2	2	swing2		40	40																					0
Krintizs Skewer	0	1		1	1	7	12	sbr	Saber			5	5000	cblu			inv9sbu				dmg%		150	200	dex		15	15	manasteal		7	7	str		10	10	sock		2	2	ignore-ac		1	1	swing2		60	60																					0
Gleamscythe	0	1		1	1	12	17	flc	Falchion			5	5000	lyel			invflcu				dmg%		150	200	swing2		60	60	ac		40	40	light		5	5	gold%		50	50	dmg-cold	25	50	120	move2		15	15	sock		2	2																	0
Azureblade	0	1		1	1	15	20	crs	Crystal Sword			5	5000	lgry			invcrsu				dmg%		150	200	swing2		60	60	cast2		20	20	mag%		50	50	indestruct		1	1	dmg-mag		24	48	ignore-ac		1	1	deadly		25	25	dmg-cold	100	24	48	sock		2	2	magskill		2	2					0
Griswolds Edge	0	1		1	1	19	24	bsd	Broad Sword			5	5000	cred							dmg%		150	200	swing2		70	70	att		100	100	dmg-fire		100	200					str		12	12	sock		2	2	fireskill		2	2																	0
Hellplague	0	1		1	1	21	26	lsd	Long Sword			5	5000	dred			invlsdu				dmg%		150	200	dmg-pois	50	128	256	manasteal		8	8	dmg-fire		80	160	poisskill		2	3	lifesteal		8	8	sock		3	3																					0
Culwens Point	0	1		1	1	27	32	wsd	War Sword			5	5000	whit	whit						dmg%		150	200	swing2		20	20	balance2		20	20	allskills		2	2	att		250	250	res-pois-len		50	50	deadly		25	25	sock		2	2																	0
Shadowfang	0	1		1	1	3	8	2hs	2-Handed Sword			5	5000	cgrn			inv2hsu				dmg%		150	200	light		-3	-3	dmg-cold	150	40	90	manasteal		9	9	lifesteal		9	9	melee-skill	605	6	1	sock		2	2	res-cold		33	33	dmg-norm		3	6													0
Soulflay	0	1		1	1	9	14	clm	Claymore			5	5000	dgrn	dgrn						dmg%		150	200	swing2		20	20	manasteal		4	10	lifesteal		4	4	openwounds		25	25	sock		2	2	res-all		15	15	dmg-norm		2	4																	0
Kinemils Awl	0	1		1	1	15	20	gis	Giant Sword			5	5000	dblu			invgisu				dmg%		150	200	swing2		80	80	dmg-fire		20	300	sock		2	2	aura	Holy Fire	8	12	res-fire		30	40	att		150	200																					0
Blacktongue	0	1		1	1	19	24	bsw	Bastard Sword			5	5000	blac			invbswu				dmg%		150	200	swing2		80	80	att		100	100	res-pois		50	50	dmg-pois	100	999	999	noheal		1	1	sock		2	2	dmg-norm		3	6																	0
Ripsaw	0	1		1	1	25	30	flb	Flamberge			5	5000	cblu	cblu						dmg%		150	200	dmg-max		15	15	manasteal		6	6	openwounds		80	80	sock		3	3	melee-skill	604	6	1	crush		2	2																					0
The Patriarch	0	1		1	1	30	35	gsd	Great Sword			5	5000	cred			invgsdu				dmg%		150	200	indestruct		1	1	hp		80	80	all-stats		10	10	att%		50	50	dmg/lvl		8	8	crush		2	2	swing2		50	50																	0
Gull	0	1		1	1	1	6	dgr	Dagger			5	5000	lgry	lgry						dmg-norm		1	15	mag%		50	50	move2		30	30	noheal		1	1	swing2		60	60																													0
The Diggler	0	1		1	1	5	10	dir	Dirk			5	5000	dgry	dgry						dmg%		150	200	swing3		60	60	res-cold		25	25	ignore-ac		1	1	move2		30	30	dex		15	15	res-fire		25	25	rep-dur	10			dmg-norm		3	5													0
The Jade Tan Do	0	1		1	1	19	24	kri	Kris			5	5000	oran			invkrsu				dmg-pois	75	666	666	res-pois		95	95	nofreeze		1	1	move2		30	30	poisskill		2	2	sock		2	2	extra-pois		8	8																					0
Irices Shard	0	1		1	1	25	30	bld	Blade			5	5000	dblu	dblu						cast2		50	50	enr		40	40	ethereal		1	1	res-all		20	20	allskills		1	1	sock		2	2																									0
The Dragon Chang	0	1		1	1	6	11	spr	Spear			5	5000	dred	dred						att		35	35	dmg-min		10	10	light		2	2	dmg-undead		100	100	dmg-fire		18	38	sock		2	2	res-fire		33	33	swing2		80	80	melee-skill	616	25	2													0
Razortine	0	1		1	1	9	14	tri	Trident			5	5000	oran			invtriu				deadly		25	25	reduce-ac		50	50	str		15	15	dex		16	16	swing2		40	40	dmg%		150	200	sock		2	2	slow		5	5																	0
Bloodthief	0	1		1	1	15	20	brn	Brandistock			5	5000	whit	whit						res-all		15	15	dmg-ltng		1	300	lifesteal		4	4	hp		50	50	dmg%		150	200	swing2		80	80	sock		2	2																					0
Lance of Yaggai	0	1		1	1	23	28	spt	Spetum			5	5000	lred	lred						skill	Charged Strike	5	5					mana		50	60	res-all		20	20	swing2		60	60	dmg%		150	200	att		100	100	knock		1	1	deadly		25	25	sock		2	2	crush		3	3					0
The Tannr Gorerod	0	1		1	1	30	35	pik	Pike			5	5000	lgry	lgry						dmg-cold	200	80	120	hp		100	100	att%		100	100	light		3	3	res-cold		33	33	dmg%		150	200	allskills		1	1	swing2		40	40	sock		3	3													0
Dimoaks Hew	0	1		1	1	3	8	bar	Bardiche			5	5000	blac	blac						dex		25	25	dmg%		120	120	swing2		80	80	mana		30	30	lifesteal		4	4	dmg-max		15	15																									0
Steelgoad	0	1		1	1	10	15	vou	Voulge			5	5000	cgrn	cgrn						deadly		25	25	att		100	100	res-all		15	15	dmg%		150	200	red-dmg		12	12	swing2		80	80	sock		2	2																					0
Soul Harvest	0	1		1	1	17	22	scy	Scythe			5	5000	dgry			invscyu				openwounds		50	50	heal-kill		10	10	res-all		20	20	dmg%		150	200	manasteal		8	8	lifesteal		8	8	heal-kill		40	40	noheal		1	1	swing2		80	80	sock		2	2	rip		1	1					0
The Battlebranch	0	1		1	1	19	30	pax	Poleaxe			5	5000	lblu	lblu						swing3		60	60	dex		30	30	dmg%		150	200	att		100	200	lifesteal		7	7	move2		20	20	crush		3	3	sock		3	3																	0
Woestave	0	1		1	1	24	34	hal	Halberd			5	5000	dblu	dblu						dmg%		150	200	openwounds		50	50	freeze		1	1	noheal		1	1	allskills		1	1	swing1		80	80	sock		3	3	slow		5	5	crush		4	4									dru		1	1	0
The Grim Reaper	0	1		1	1	30	35	wsc	War Scythe			5	5000	blac	blac						deadly		25	25	noheal		1	1	manasteal		9	9	dmg%		150	200	lifesteal		4	4	swing3		80	80	sock		3	3	reanimate	2	6	6																	0
Bane Ash	0	1		1	1	1	6	sst	Short Staff			5	5000	lgrn	lgrn						skill	Ice Blast	3	3	skill	Fire Ball	3	3	res-all		10	10	enr		10	10	skill	Charged Bolt	3	5	cast2		15	15	mana-kill		10	10																					0
Serpent Lord	0	1		1	1	7	12	lst	Long Staff			5	5000	cgrn	cgrn						dmg-pois	75	256	256	res-pois		50	50	enr		15	15	manasteal		100	100	allskills		2	2	ignore-ac		1	1	reanimate	73	15	15	sock		2	2																	0
Lazarus Spire	0	1		1	1	15	20	cst	Gnarled Staff			5	5000	lgry			invcstu				res-ltng		50	60	sock		2	2	sor		2	2	cast2		15	15	regen-mana		40	40	red-dmg		10	10	res-all		10	15	skill	Lightning	2	3	skill	Nova	2	3	skill	Telekinesis	2	3									0
The Salamander	0	1		1	1	21	26	bst	Battle Staff			5	5000	dred	dred						res-fire		33	33	fireskill		3	3	res-all		15	15	extra-fire		12	12	skill	Warmth	3	5	cast2		20	20	sock		2	2	skill	Meteor	2	3	skill	Inferno	2	3													0
The Iron Jang Bong	0	1		1	1	35	40	wst	War Staff			5	5000	dyel	dyel						regen-mana		100	100	cast2		25	25	sock		3	3	sor		3	3					res-all		33	33	skill-rand	3	36	65	skill-rand	3	36	65																	0
Pluckeye	0	1		1	1	1	4	sbw	Short Bow			5	5000	cblu	cblu						att		28	28	dmg%		100	100	hp		15	15	manasteal		3	3	mana-kill		8	8	skill	Magic Arrow	3	3	dmg-norm		2	4																					0
Witherstring	0	1		1	1	5	10	hbw	Hunter			5	5000	cred	cred						dmg%		120	120	att		50	50	swing2		30	30	sock		2	2	dmg-norm		3	6	reduce-ac		30	30																									0
Rimeraven	0	1		1	1	9	14	lbw	Long Bow			5	5000	dred	dred						att%		50	50	dex		10	10	explosivearrow		3	3	dmg%		180	180	swing2		40	40	move2		20	20	sock		2	2	str		10	10																	0
Piercerib	0	1		1	1	13	18	cbw	Composite Bow			5	5000	cred			invcbwu				res-all		10	10	deadly		25	25	att		50	50	dmg-undead		100	100	dmg%		150	200	swing2		50	50	sock		2	2																					0
Pullspite	0	1		1	1	17	22	sbb	Short Battle Bow			5	5000	lgrn			invsbbu				dmg-mag		50	75	pierce		25	25	att		128	128	sock		3	3	dmg%		150	200	swing2		40	40	extra-mag		4	4	allskills		2	2																	0
Wizendraw	0	1		1	1	21	26	lbb	Long Battle Bow			5	5000	lblu	lblu						sock		3	3	swing2		40	40	res-cold		40	50	dmg%		150	200	mana		80	80					allskills		2	2																					0
Hellclap	0	1		1	1	24	29	swb	Short War Bow			5	5000	cgrn			invswbu				swing2		40	40	dmg-fire		70	120	sock		3	3	res-fire		40	50	extra-fire		4	4	pierce		50	50	mana		40	40	fireskill		3	3																	0
Blastbark	0	1		1	1	30	35	lwb	Long War Bow			5	5000	lyel	lyel						dmg%		150	200	dex		10	15	allskills		2	2	manasteal		10	10	swing2		20	20	skill	Critical Strike	3	3	dmg/lvl	3			sock		3	3	skill	Penetrate	3	3													0
Leadcrow	0	1		1	1	5	10	lxb	Light Crossbow			5	5000	dyel			invlxbu				dex		10	10	hp		25	25	dmg-min		10	10	deadly		25	25	att		80	80																													0
Ichorsting	0	1		1	1	15	20	mxb	Crossbow			5	5000	lgld			invmxbu				dex		20	20	pierce		50	50	att		120	120	dmg%		150	200	hit-skill	607	8	1	swing2		40	40	sock		2	2																					0
Hellcast	0	1		1	1	25	30	hxb	Heavy Crossbow			5	5000	dgld			invhxbu								swing2		20	20	dmg%		150	200	extra-cold		4	4	ama		3	3	sock		3	3	extra-fire		4	4																					0
Doomspittle	0	1		1	1	30	35	rxb	Repeating Crossbow			5	5000				invrxbu				allskills		3	3	pierce		20	25	swing3		40	40	dmg%		150	200	att%		80	80	skill	Magic Arrow	3	4	openwounds		20	20	sock		3	3																	0
War Bonnet	0	1		1	1	1	4	cap	Cap			5	5000				invcapu				hp		15	15	att		30	30	dmg%		30	40	mana		15	15	ac		15	15	nofreeze		1	1																									0
Tarnhelm	0	1		1	1	7	12	skp	Skull Cap			5	5000	oran	oran						gold%		100	100	mag%		25	25	allskills		1	1	enr		15	15																																	0
Coif of Glory	0	1		1	1	15	20	hlm	Helm			5	5000	whit			invhlmu				dex		10	10	res-ltng		20	20	ac-miss		100	100	str		10	10	res-all		10	10	swing2		20	20																									0
Duskdeep	0	1		1	1	20	25	fhl	Full Helm			5	5000	lgry			invfhlu				res-all		15	15	red-dmg		8	8	ac		10	20	ac%		120	120	dmg-min		5	5	sock		1	1	red-dmg%		5	5																					0
Wormskull	0	1		1	1	23	28	bhm	Bone Helm			5	5000	lgrn			invbhmu				lifesteal		5	5	res-pois		25	25	dmg-pois	150	228	228	mana		80	80	regen-mana		15	15	extra-pois		6	6	allskills		1	1	sock		1	1																	0
Howltusk	0	1		1	1	30	35	ghm	Great Helm			5	5000	dgry	dgry						red-dmg		6	6	res-all		10	10	ac%		100	200	dmg-to-mana		35	35	red-dmg%		12	12	knock		1	1	move2		15	20	swing2		15	15	sock		1	1	allskills		1	1									0
Undead Crown	0	1		1	1	35	40	crn	Crown			5	5000	blac	blac						lifesteal		10	10	ac		125	125	res-pois		50	50	nofreeze		1	1	dmg-undead		250	250	att-undead		100	100	skill	69	3	3	sock		1	1	skilltab	8	3	3													0
The Face of Horror	0	1		1	1	22	27	msk	Mask			5	5000	lblu	lblu						str		20	20	res-all		25	25	dmg-undead		120	120	ac		45	45	hp%		15	15																													0
Greyform	0	1		1	1	1	5	qui	Quilted Armor			5	5000	lgry	lgry						red-dmg		3	3	res-cold		20	20	lifesteal		5	5	cast2		10	10	mana		35	35	res-fire		20	20																									0
Blinkbats Form	0	1		1	1	7	12	lea	Leather Armor			5	5000	dred	dred						ac-miss		50	50	move2		20	20	ac		70	80	swing2		20	20	balance2		40	40	res-pois-len		35	35																									0
The Centurion	0	1		1	1	11	16	hla	Hard Leather			5	5000	cred	cred						ac		180	200	att		50	50	red-dmg%		10	10	hp%		15	15	regen		25	25																													0
Twitchthroe	0	1		1	1	15	20	stu	Studded Leather			5	5000	lgrn	lgrn						swing2		20	20	dex		10	10	block-fbr		25	25	ac		50	50	balance2		20	20	str		10	10																									0
Darkglow	0	1		1	1	17	22	rng	Ring Mail			5	5000	dblu	dblu						att		70	70	ac-hth		50	50	res-all		15	20	red-dmg%		10	10	balance2		20	20	dex		5	5	ac%		100	100	vit		10	15																	0
Hawkmail	0	1		1	1	19	24	scl	Scale Mail			5	5000	dred	dred						ac%		100	200	res-fire		50	50	move2		10	10	dmg-fire		40	80	extra-fire		8	8	red-mag		10	10	gethit-skill	616	10	6																					0
Sparking Mail	0	1		1	1	21	26	chn	Chain Mail			5	5000	lyel	lyel						ac%		100	200	move2		10	10	res-ltng		50	50	gold%		120	120									ltngskill		3	3																					0
Venomsward	0	1		1	1	23	28	brs	Breast Plate			5	5000	cgrn	cgrn						res-pois-len		50	50	res-pois		50	50	ac%		100	200	regen		30	30	poisskill		1	1	gethit-skill	609	10	8	extra-pois		4	4	sock		2	2	res-all		10	15													0
Iceblink	0	1		1	1	25	30	spl	Splint Mail			5	5000	lgld	lgld						freeze		1	1	res-cold		50	50	red-mag		12	12	ac%		170	170	gethit-skill	Frozen Armor	5	15	allskills		1	1	sock		1	1																					0
Boneflesh	0	1		1	1	27	32	plt	Plate Mail			5	5000	dgld	dgld						lifesteal		5	5	ac%		240	240	att		120	120	hp		100	100	noheal		1	1	dmg%		75	75	sock		2	2	res-mag		15	15	res-all		15	15													0
Rockfleece	0	1		1	1	31	36	fld	Field Plate			5	5000	dgry	dgry						hp%		10	10	ac%		300	300	red-dmg%		15	15	red-dmg		10	10	sock		2	2	str		20	20	ease		10	10																					0
Rattlecage	0	1		1	1	35	40	gth	Gothic Plate			5	5000	dpur	dpur						att%		50	50	ac		200	200	res-all		15	15	dmg%		75	75	crush		3	3	sock		2	2	swing2		25	25	res-mag		10	10																	0
Goldskin	0	1		1	1	40	45	ful	Full Plate Mail			5	5000	dyel			invfulu				ac%		300	400	res-all		45	45	sock		2	2	gold%		100	100	res-mag		25	35	mag%		25	25	allskills		1	1																					0
Victors Silk	0	1		1	1	45	50	aar	AncientArmor			5	5000	dblu			invaaru				allskills		1	1	ac%		300	400	sock		3	3	manasteal		10	10	heal-kill/lvl		5	5	skill-rand	3	6	215	skill-rand	3	6	215	res-all		20	20	red-dmg%		15	15	hp%		10	10									0
Heavenly Garb	0	1		1	1	33	38	ltp	Light Plate			5	5000	cblu	cblu						ac%		100	100	res-all		20	20	regen-mana		35	35	enr		25	25	sock		2	2	red-mag		15	15	cast2		15	15	allskills		1	1																	0
Pelta Lunata	0	1		1	1	1	4	buc	Buckler			5	5000	whit			invbucu				ac		30	30	str		10	10	ac%		70	70	block		15	15	block2		25	25	dur		8	12	res-all		5	5	enr		10	10																	0
Umbral Disk	0	1		1	1	6	11	sml	Small Shield			5	5000	lgry			invsmlu				stupidity		1	1	ac		30	30	hp		35	35	ac%		90	90	block		20	20	dex		15	15																									0
Stormguild	0	1		1	1	11	16	lrg	Large Shield			5	5000	dgry			invlrgu				red-mag		8	8	res-ltng		25	25	ac		45	45	dmg-ltng		1	120	ac%		130	130	block		25	25	res-mag		15	15	sock		1	1	red-dmg%		5	5													0
Wall of the Eyeless	0	1		1	1	22	27	bsh	Bone Shield			5	5000	lgld			invbshu				mana-kill		12	12	cast2		15	15	allskills		1	1	ac		25	25	res-pois		20	20	sock		2	2																									0
Swordback Hold	0	1		1	1	15	20	spk	Spiked Shield			5	5000	lred			invspku				block		35	35	openwounds		50	50	bloody		3	5	dmg%		50	50	deadly		10	10	gethit-skill	604	10	1	sock		2	2	ac%		180	180	red-dmg%		10	10													0
Steelclash	0	1		1	1	20	25	kit	Kite Shield			5	5000	blac			invkitu				block		25	25	red-dmg		10	15	ac%		160	200	ac		30	30	res-all		25	25	block2		25	25	pal		1	1	red-dmg%		10	10	sock		2	2													0
Bverrit Keep	0	1		1	1	30	35	tow	Tower Shield			5	5000	lblu			invtowu				ac		75	75	str		10	10	red-mag		12	12	ac%		120	120	block		25	25	res-fire		75	75	red-dmg		12	12	sock		3	3	red-dmg%		15	15	str		15	15									0
The Ward	0	1		1	1	35	40	gts	Gothic Shield			5	5000	dblu			invgtsu				allskills		1	1	red-mag		8	8	sock		3	3	block		30	30	res-all		30	30	str		10	10	ac		80	80	dex		10	10																	0
The Hand of Broc	0	1		1	1	1	3	lgl	Gloves			5	5000	cblu	cblu						manasteal		3	3	lifesteal		3	3	res-pois		15	15	mana		20	20	ac		10	10	ac%		10	20	move2		20	20																					0
Bloodfist	0	1		1	1	7	12	vgl	Heavy Gloves			5	5000	oran	oran						dmg-min		5	5	hp		40	50	balance2		30	30	crush		1	1	ac		15	25	swing2		20	20																									0
Chance Guards	0	1		1	1	15	20	mgl	Bracers			5	5000	lred	lred						gold%		100	200	mag%		25	50	att		50	100	ac		50	100	ac%		100	200																													0
Magefist	0	1		1	1	27	32	tgl	Light Gauntlets			5	5000	lgry	lgry						cast2		10	10	regen-mana		25	25	allskills		1	1	enr		10	15	res-all		5	10																													0
Frostburn	0	1		1	1	35	40	hgl	Gauntlets			5	5000	dred	dred						ac		50	50	mana%		40	40	ac%		170	220	extra-cold		4	5	dmg%		40	40	dmg-cold	100	40	60	crush		2	2	hp		50	60																	0
Hotspur	0	1		1	1	1	6	lbt	Leather Boots			5	5000	cred	cred						hp		25	25	dmg-fire		8	12					res-fire		45	45	ac		6	6	gethit-skill	603	10	1																									0
Gorefoot	0	1		1	1	7	12	vbt	Heavy Boots			5	5000	dblu	dblu						bloody		3	5	move2		40	40	manasteal		4	6	dmg-min		4	4	ac		15	25	ac%		50	70	skill	137	3	3	dmg%		30	30																	0
Treads of Cthon	0	1		1	1	15	20	mbt	Chain Boots			5	5000	lgrn	lgrn						move2		30	30	ac-miss		50	50	kick		6	12	hp		30	30	ac		15	25	skill	Dragon Talon	2	4	dex		10	15	res-mag		15	15																	0
Goblin Toe	0	1		1	1	27	32	tbt	Light Plate Boots			5	5000	dgry	dgry						red-dmg		5	10	red-mag		5	10	ac		80	100	str		5	10	dex		5	10	crush		3	3	move2		30	30																					0
Tearhaunch	0	1		1	1	35	40	hbt	Plate Boots			5	5000	dgrn	dgrn						str		10	10	dex		10	10	move2		50	50	res-all		10	15	ac%		140	170	dmg%		40	60	skilltab	20	2	2	res-mag		10	15																	0
Lenyms Cord	0	1		1	1	1	6	lbl	Sash			5	5000	cgrn	cgrn						enr		5	5	regen-mana		30	30	cast2		10	10	allskills		1	1																																	0
Snakecord	0	1		1	1	7	12	vbl	Light Belt			5	5000	blac	blac						dmg-pois	75	256	256	res-pois		40	40	regen		20	30	res-pois-len		50	50	poisskill		1	1	pierce		25	25	balance2		20	20	move2		20	20	extra-pois		3	3													0
Nightsmoke	0	1		1	1	15	20	mbl	Belt			5	5000	lyel	lyel						res-all		10	10	dmg-to-mana		50	50	mana		100	120	red-dmg		5	10	ac		25	35	gethit-skill	Dim Vision	10	5	cast2		20	20	extra-all		1	3																	0
Goldwrap	0	1		1	1	27	32	tbl	Heavy Belt			5	5000	lblu	lblu						mag%		25	40	ac		25	50	swing2		20	20	gold%		40	90	res-mag		20	20	res-all		10	15	red-dmg%		8	8																					0
Bladebuckle	0	1		1	1	35	40	hbl	Girdle			5	5000	dyel	dyel						ac		40	100	red-dmg%		10	10	str		10	10	dex		20	20					balance2		30	30	dmg%		40	40																					0
Nokozan Relic	0	1		20	1	7	10	amu	Amulet			5	5000	lgld			noko				allskills		0	1	res-fire		30	40	balance2		20	20	res-cold		15	20	res-ltng		15	20	dmg-fire		18	24																									0
The Eye of Etlich	0	1		15	1	12	15	amu	Amulet			5	5000	dgld			etlich				ac-miss		10	40	light		1	5	allskills		1	1	lifesteal		5	7	dmg-cold	100	20	40	res-mag		10	15	hp		40	60																					0
The Mahim-Oak Curio	0	1		8	1	23	25	amu	Amulet			5	5000	lpur			mahim				all-stats		10	10	allskills		1	1	res-all		10	10	ac		10	10	att%		10	10	res-mag		5	5																									0
Nagelring	0	1		10	1	5	7	rin	Ring			5	5000	dpur			invngl1				red-dmg		3	6	ac		80	100	att		80	100	mag%		20	25	gold%		35	50	dmg-norm		2	4																									0
Manald Heal	0	1		9	1	15	17	rin	Ring			5	5000	oran			invmndh				manasteal		4	7	regen		20	30	hp		60	80	regen-mana		30	30	lifesteal		3	5	res-mag		10	15																									0
The Stone of Jordan	0	1		6	1	35	40	rin	Ring			5	5000	whit			invrin1u				enr		35	35	mana%		20	20	allskills		1	1	cast2		10	20	skill-rand	1	6	215																													0
Amulet of the Viper	0	1		1		0	20	vip	Amulet			5	5000	lgry							mana		20	20	res-pois		25	25	hp		20	20			0	0			0	0			0	0			0	0																					0
Staff of Kings	0	1		1		0	20	msf	Staff			5	5000	dgry							res-all		10	10	swing2		50	50	allskills		1	1	cast2		10	10			0	0			0	0			0	0																					0
