Id	prop1	chance1	par1	min1	max1	prop2	chance2	par2	min2	max2	prop3	chance3	par3	min3	max3	prop4	chance4	par4	min4	max4	prop5	chance5	par5	min5	max5	prop6	chance6	par6	min6	max6	prop1 (N)	chance1 (N)	par1 (N)	min1 (N)	max1 (N)	prop2 (N)	chance2 (N)	par2 (N)	min2 (N)	max2 (N)	prop3 (N)	chance3 (N)	par3 (N)	min3 (N)	max3 (N)	prop4 (N)	chance4 (N)	par4 (N)	min4 (N)	max4 (N)	prop5 (N)	chance5 (N)	par5 (N)	min5 (N)	max5 (N)	prop6 (N)	chance6 (N)	par6 (N)	min6 (N)	max6 (N)	prop1 (H)	chance1 (H)	par1 (H)	min1 (H)	max1 (H)	prop2 (H)	chance2 (H)	par2 (H)	min2 (H)	max2 (H)	prop3 (H)	chance3 (H)	par3 (H)	min3 (H)	max3 (H)	prop4 (H)	chance4 (H)	par4 (H)	min4 (H)	max4 (H)	prop5 (H)	chance5 (H)	par5 (H)	min5 (H)	max5 (H)	prop6 (H)	chance6 (H)	par6 (H)	min6 (H)	max6 (H)	*eol
bloodraven	pierce			100	100	hit-skill		54	8	1	swing2			33	33	move2			33	33	gethit-hurt		453	8	1	gethit-hurt		464	15	1	pierce			100	100	hit-skill		54	8	1	gethit-hurt		453	9	20	swing2			50	50	move2			50	50	gethit-hurt		464	15	20	pierce			100	100	hit-skill		54	8	1	gethit-hurt		453	10	20	swing2			80	80	move2			80	80	gethit-hurt		464	15	20	0
druidhawk	stupidity			1	1	ignore-ac			1	1																					stupidity			1	1	ignore-ac			1	1																					stupidity			1	1	ignore-ac			1	1																					0
griswold	gethit-hurt		489	15	5	gethit-hurt		456	7	20	gethit-hurt		366	7	20	aura		624	1	1	extra-mag			-75	-75						gethit-hurt		489	15	10	gethit-hurt		456	8	20	gethit-hurt		366	8	20	aura		624	1	1											gethit-hurt		489	15	10	gethit-hurt		456	9	20	gethit-hurt		366	9	20	aura		624	1	1											0
leoric	gethit-hurt		290	20	1	gethit-hurt		453	5	20	cast2			33	33	aura		407	20	20											gethit-hurt		290	20	1	gethit-hurt		453	5	20	cast2			66	66	aura		407	20	20											gethit-hurt		290	20	1	gethit-hurt		453	5	20	cast2			99	99	aura		407	20	20											0
portal1	death-skill		372	100	1																										death-skill		372	100	1																										death-skill		372	100	1																										0
countess	gethit-hurt		353	5	20	cast2			100	100																					gethit-hurt		353	5	20	gethit-hurt		489	5	5	cast2			100	100																gethit-hurt		353	5	20	gethit-hurt		489	5	5	cast2			100	100																0
countessminion	fade			3	3																										fade			3	3	gethit-hurt		489	5	5																					fade			3	3	gethit-hurt		489	5	5																					0
smith	crush			100	100	gethit-hurt		526	10	20	swing2			50	50	extra-mag			-75	-75											crush			100	100	gethit-hurt		526	10	20	swing2			50	50																crush			100	100	gethit-hurt		526	10	20	swing2			50	50																0
mortanius	gethit-hurt		54	3	1	gethit-hurt		333	5	20	gethit-hurt		455	3	20	extra-all			-33	-33											gethit-hurt		54	3	1	gethit-hurt		333	3	20	gethit-hurt		455	3	20																gethit-hurt		54	3	1	gethit-hurt		333	3	20	gethit-hurt		455	3	20																0
antidruid	death-skill		426	100	1	gethit-hurt		530	5	20	gethit-hurt		469	5	20	gethit-hurt		625	5	5											death-skill		426	100	1	gethit-hurt		530	5	20	gethit-hurt		469	5	20	gethit-hurt		625	20	20	gethit-hurt		625	5	10						death-skill		426	100	1	gethit-hurt		530	5	20	gethit-hurt		469	5	20	gethit-hurt		625	5	20											0
evilbear	crush			20	20	gethit-hurt		430	5	1																					crush			20	20	gethit-hurt		430	5	1																					crush			20	20	gethit-hurt		430	5	1																					0
andariel	hit-skill		510	10	1	gethit-hurt		504	2	1	gethit-hurt		432	5	40																gethit-hurt		653	7	1	hit-skill		510	33	1	gethit-hurt		432	5	40	gethit-hurt		504	2	1	gethit-hurt		659	100	1						gethit-hurt		653	7	1	gethit-hurt		659	100	1	gethit-hurt		432	5	40	gethit-hurt		504	2	1	hit-skill		510	40	1	gethit-hurt		255	3	40	0
radament	gethit-hurt		54	4	1	gethit-hurt		388	5	5	gethit-hurt		146	10	20	gethit-hurt		217	5	20	gethit-hurt		271	5	20	extra-mag			-85	-85	gethit-hurt		54	4	1	gethit-hurt		388	5	10	gethit-hurt		146	10	20	gethit-hurt		217	5	20	gethit-hurt		271	6	20						gethit-hurt		54	4	1	gethit-hurt		388	5	15	gethit-hurt		146	10	20	gethit-hurt		217	5	20	cast2			100	100	gethit-hurt		271	7	20	0
juggernaut	death-skill		382	100	1	gethit-hurt		458	10	20	crush			10	10	gethit-hurt		466	10	20											death-skill		382	100	1	gethit-hurt		458	10	20	crush			10	10	gethit-hurt		466	10	20											death-skill		382	100	1	gethit-hurt		458	10	20	crush			10	10	gethit-hurt		466	10	20											0
juggernaut2	gethit-hurt		369	100	1	gethit-hurt		458	10	20	crush			25	25	aura		368	3	3											gethit-hurt		369	100	1	gethit-hurt		458	10	20	crush			25	25	aura		368	3	3											gethit-hurt		369	100	1	gethit-hurt		458	10	20	crush			25	25	aura		368	3	3											0
portal2	death-skill		373	100	1																										death-skill		373	100	1																										death-skill		373	100	1																										0
maggotqueen	death-skill		444	100	1	gethit-hurt		252	8	20	gethit-hurt		308	8	20	gethit-hurt		420	8	20	gethit-hurt		358	8	20						death-skill		444	100	1	gethit-hurt		252	8	20	gethit-hurt		308	8	20	gethit-hurt		420	8	20	gethit-hurt		358	8	20						death-skill		444	100	1	gethit-hurt		252	8	20	gethit-hurt		308	8	20	gethit-hurt		420	8	20	gethit-hurt		358	8	20						0
Ardual	death-skill		383	100	1	gethit-hurt		54	6	1	gethit-hurt		408	15	20	gethit-hurt		265	3	20											death-skill		383	100	1	gethit-hurt		54	6	1	gethit-hurt		408	17	20	gethit-hurt		531	4	20	gethit-hurt		494	10	20	cast2			33	33	death-skill		383	100	1	gethit-hurt		54	6	1	gethit-hurt		408	19	20	gethit-hurt		531	5	20	gethit-hurt		494	10	20	cast2			66	66	0
ArdualFireOrb																																																																																											0
DurielKnight	gethit-hurt		360	1	1	hit-skill		54	1	1	knock			1	1																gethit-hurt		360	1	1	hit-skill		54	1	1	knock			1	1	gethit-hurt		318	7	1											gethit-hurt		360	1	1	hit-skill		54	1	1	knock			1	1	gethit-hurt		318	9	1											0
summoner	cast2			100	100	gethit-hurt		230	8	20	gethit-hurt		530	2	20	extra-phys			-50	-50											gethit-hurt		494	8	20	cast2			100	100	gethit-hurt		230	8	20	gethit-hurt		469	8	20	gethit-hurt		530	5	20						gethit-hurt		494	8	20	cast2			100	100	gethit-hurt		230	10	20	gethit-hurt		469	10	20	gethit-hurt		530	6	20	gethit-hurt		432	4	20	0
supergarg	death-skill		429	100	1	gethit-hurt		489	5	1	gethit-hurt		532	6	40																death-skill		429	100	1	gethit-hurt		489	5	1	gethit-hurt		532	7	40																death-skill		429	100	1	gethit-hurt		489	5	1	gethit-hurt		532	8	40																0
ankheg	death-skill		427	100	1	gethit-hurt		433	5	20	gethit-hurt		420	5	20																gethit-hurt		388	5	8	death-skill		427	100	1	gethit-hurt		433	5	20	crush			10	10	gethit-hurt		420	5	20						gethit-hurt		388	5	10	gethit-hurt		308	5	20	death-skill		427	100	1	gethit-hurt		433	5	20	crush			20	20	gethit-hurt		420	5	20	0
duriel	gethit-hurt		510	5	1	gethit-hurt		526	12	40	att-skill		510	5	1	att-skill		535	5	40											att-skill		535	8	40	gethit-hurt		526	12	40	att-skill		510	10	1	gethit-hurt		510	5	1	gethit-hurt		659	100	1						att-skill		535	8	40	gethit-hurt		526	14	40	gethit-hurt		510	5	1	gethit-hurt		659	100	1	gethit-hurt		489	8	40	att-skill		510	10	1	0
sszak	gethit-hurt		252	8	20	gethit-hurt		420	8	20	gethit-hurt		259	5	1	death-skill		384	100	1	gethit-hurt		494	5	10	extra-mag			-66	-66	gethit-hurt		252	9	20	gethit-hurt		420	8	20	gethit-hurt		259	8	1	death-skill		384	100	1	gethit-hurt		494	8	20	gethit-hurt		419	8	20	gethit-hurt		252	10	20	gethit-hurt		420	10	20	gethit-hurt		259	10	1	death-skill		384	100	1	gethit-hurt		494	12	30	gethit-hurt		419	8	20	0
chimera	gethit-hurt		469	5	20	gethit-hurt		467	5	20	death-skill		385	100	1	gethit-hurt		430	3	1	gethit-hurt		530	5	20						gethit-hurt		469	5	20	gethit-hurt		467	5	20	death-skill		385	100	1	gethit-hurt		430	4	1	gethit-hurt		332	10	20	gethit-hurt		530	6	20	gethit-hurt		469	5	20	gethit-hurt		467	5	20	death-skill		385	100	1	gethit-hurt		530	7	20	gethit-hurt		332	10	20	gethit-hurt		489	8	20	0
hatestorm	gethit-hurt		146	10	15	hit-skill		54	5	1	gethit-hurt		365	10	20	extra-mag			-66	-66											gethit-hurt		146	10	15	hit-skill		54	5	1	gethit-hurt		365	10	20	crush			20	20	slow			20	20						gethit-hurt		146	10	15	hit-skill		54	5	1	gethit-hurt		365	10	20	crush			25	25	slow			25	25						0
leviathan	gethit-hurt		251	6	20	gethit-hurt		360	6	20	gethit-hurt		361	6	20	gethit-hurt		420	10	20											gethit-hurt		251	7	20	gethit-hurt		360	7	20	gethit-hurt		361	7	20	gethit-hurt		420	10	20											gethit-hurt		251	8	20	gethit-hurt		360	8	20	gethit-hurt		361	8	20	gethit-hurt		420	10	20											0
sarina	gethit-hurt		623	5	20	gethit-hurt		275	8	20	gethit-hurt		464	6	20	swing2			30	30	pierce-all			20	20	gethit-hurt		364	15	20	gethit-hurt		623	6	20	gethit-hurt		275	8	20	gethit-hurt		464	10	20	swing2			40	40	gethit-hurt		364	10	20	pierce-all			30	30	gethit-hurt		623	7	20	gethit-hurt		275	10	20	gethit-hurt		464	10	20	swing2			66	66	gethit-hurt		265	10	20	gethit-hurt		364	10	20	0
madae	gethit-hurt		54	2	5	gethit-hurt		494	6	8	gethit-hurt		472	8	20	death-skill		380	100	1	gethit-hurt		414	5	20						gethit-hurt		54	2	5	gethit-hurt		494	6	12	gethit-hurt		472	8	20	death-skill		380	100	1	gethit-hurt		414	6	20						gethit-hurt		54	2	5	gethit-hurt		494	6	20	gethit-hurt		472	10	20	death-skill		380	100	1	gethit-hurt		414	7	20						0
Izual	gethit-hurt		623	5	20	gethit-hurt		490	5	20	gethit-hurt		346	5	20	gethit-hurt		353	5	20	extra-mag			-50	-50	gethit-hurt		210	10	1	gethit-hurt		623	5	20	gethit-hurt		490	5	20	gethit-hurt		346	5	20	gethit-hurt		353	5	20	gethit-hurt		430	5	5	gethit-hurt		210	10	1	gethit-hurt		623	5	20	gethit-hurt		490	5	20	gethit-hurt		346	5	20	gethit-hurt		353	5	20	gethit-hurt		430	5	1	gethit-hurt		210	10	1	0
IzualGuard	aura		621	10	10																										aura		621	20	20																										aura		621	30	30																										0
hephasto	gethit-hurt		623	5	20	gethit-hurt		530	5	20	gethit-hurt		462	10	20	gethit-hurt		423	5	20											gethit-hurt		623	5	20	gethit-hurt		530	5	20	gethit-hurt		462	10	20	gethit-hurt		466	5	20	gethit-hurt		423	5	20						gethit-hurt		623	5	20	gethit-hurt		530	5	20	gethit-hurt		462	10	20	gethit-hurt		466	5	20	gethit-hurt		423	5	20						0
lazarus	gethit-hurt		456	8	20	death-skill		428	100	1	gethit-hurt		310	6	20	gethit-hurt		442	6	20	gethit-hurt		466	8	20						gethit-hurt		456	10	20	gethit-hurt		310	8	20	death-skill		428	100	1	gethit-hurt		442	8	20	gethit-hurt		332	6	20	gethit-hurt		466	8	20	gethit-hurt		456	12	20	gethit-hurt		310	10	20	gethit-hurt		332	8	20	death-skill		428	100	1	gethit-hurt		442	10	20	gethit-hurt		466	8	20	0
amon	gethit-hurt		439	10	20	gethit-hurt		361	6	20	gethit-hurt		410	8	20	gethit-hurt		490	5	5	gethit-hurt		440	6	20						gethit-hurt		439	10	20	gethit-hurt		361	7	40	gethit-hurt		440	8	20	gethit-hurt		410	10	20	gethit-hurt		489	10	10						gethit-hurt		439	10	20	gethit-hurt		361	8	20	gethit-hurt		440	8	20	gethit-hurt		410	12	20	gethit-hurt		489	10	10						0
moloch	gethit-hurt		411	6	20	gethit-hurt		256	8	20	gethit-hurt		217	8	20	pierce-pois			10	10	gethit-hurt		489	8	8						gethit-hurt		411	6	20	gethit-hurt		256	6	20	gethit-hurt		217	8	20	pierce-pois			15	15	gethit-hurt		489	10	13	gethit-hurt		423	8	20	gethit-hurt		411	6	20	gethit-hurt		256	6	20	gethit-hurt		217	8	20	pierce-pois			20	20	gethit-hurt		489	15	18	gethit-hurt		423	10	20	0
deseis	gethit-hurt		460	5	20	slow			25	25	gethit-hurt		437	8	20	hit-skill		54	5	1	gethit-hurt		531	3	20						gethit-hurt		460	6	20	slow			33	33	gethit-hurt		437	8	20	hit-skill		54	5	1	gethit-hurt		531	4	20						gethit-hurt		460	7	20	slow			40	40	gethit-hurt		437	8	20	hit-skill		54	5	1	gethit-hurt		531	6	20						0
diablo	hit-skill		650	33	1	gethit-hurt		542	8	40	gethit-hurt		466	10	40	hit-skill		466	10	40											hit-skill		650	40	1	gethit-hurt		542	8	40	gethit-hurt		466	12	40	hit-skill		466	15	40	gethit-hurt		659	100	1						hit-skill		650	50	1	gethit-hurt		659	100	1	gethit-hurt		466	14	40	hit-skill		466	20	40	gethit-hurt		542	8	40						0
diabprison																																																																																											0
asmodeusImps	aura		391	1	1																										aura		391	1	1	gethit-hurt		494	5	5																					aura		391	1	1	gethit-hurt		494	5	5	gethit-hurt		626	5	1																0
shenk	gethit-hurt		210	5	1	gethit-hurt		430	8	20	gethit-hurt		454	10	20	gethit-hurt		456	8	20	gethit-hurt		432	8	20						gethit-hurt		210	5	1	gethit-hurt		430	8	20	gethit-hurt		454	12	20	gethit-hurt		456	10	20	gethit-hurt		432	10	20						gethit-hurt		210	5	1	gethit-hurt		430	8	20	gethit-hurt		454	12	20	gethit-hurt		456	10	20	gethit-hurt		432	10	20	death-skill		398	100	1	0
portal5	death-skill		376	100	1																										death-skill		376	100	1																										death-skill		376	100	1																										0
whitedragon	death-skill		381	100	1	gethit-hurt		265	8	20	gethit-hurt		301	8	20	gethit-hurt		459	4	20											death-skill		381	100	1	gethit-hurt		265	8	20	gethit-hurt		301	8	20	gethit-hurt		459	4	20											death-skill		381	100	1	gethit-hurt		265	8	20	gethit-hurt		301	8	20	gethit-hurt		459	4	20	aura		392	20	20						0
acaste	gethit-hurt		252	8	20	gethit-hurt		259	10	1	gethit-hurt		360	8	20	gethit-hurt		411	8	20											gethit-hurt		252	8	20	gethit-hurt		259	10	1	gethit-hurt		360	10	20	gethit-hurt		411	10	20	gethit-hurt		494	10	5						gethit-hurt		252	8	20	gethit-hurt		259	10	1	gethit-hurt		360	12	20	gethit-hurt		411	12	20	gethit-hurt		494	10	5						0
nihlathakboss	gethit-hurt		661	5	20	gethit-hurt		259	8	1	gethit-hurt		489	6	6	gethit-hurt		431	6	20						gethit-hurt		395	6	20	gethit-hurt		661	5	20	gethit-hurt		259	8	1	gethit-hurt		489	6	9	gethit-hurt		431	6	20						gethit-hurt		395	6	20	gethit-hurt		661	5	20	gethit-hurt		395	6	20	gethit-hurt		489	6	12	gethit-hurt		431	6	20	death-skill		668	100	1	gethit-hurt		542	8	20	0
nihlathak	gethit-hurt		54	3	1	gethit-hurt		271	5	20	gethit-hurt		493	10	5	aura		621	10	10											gethit-hurt		54	3	1	gethit-hurt		271	5	20	gethit-hurt		493	10	5	aura		621	20	20											gethit-hurt		517	3	1	gethit-hurt		271	5	20	gethit-hurt		493	10	5	aura		621	30	30	gethit-hurt		453	3	20						0
Talic	gethit-hurt		653	8	1	gethit-hurt		361	8	20	melee-skill		361	10	20	gethit-hurt		54	3	1	knock			1	1	att-skill		462	10	20	gethit-hurt		663	15	1	gethit-hurt		361	9	20	melee-skill		361	15	20	gethit-hurt		54	3	1	knock			1	1	att-skill		462	10	20	gethit-hurt		663	15	1	gethit-hurt		361	10	20	melee-skill		361	20	20	gethit-hurt		54	3	1	knock			1	1	att-skill		462	20	20	0
Madawc	gethit-hurt		653	8	1	gethit-hurt		526	8	20	gethit-hurt		210	10	1	knock			1	1	deadly			100	100						gethit-hurt		663	15	1	gethit-hurt		526	9	20	gethit-hurt		210	10	1	knock			1	1	deadly			100	100	dmg%			25	25	gethit-hurt		663	15	1	gethit-hurt		526	10	20	gethit-hurt		210	10	1	knock			1	1	deadly			100	100	dmg%			25	25	0
Korlic	gethit-hurt		653	8	1	gethit-hurt		423	8	20	melee-skill		458	10	20	att-skill		656	100	1	deadly			100	100						gethit-hurt		663	15	1	gethit-hurt		423	9	20	melee-skill		458	15	20	att-skill		656	100	1	deadly			100	100						gethit-hurt		663	15	1	gethit-hurt		423	10	20	melee-skill		458	20	20	att-skill		656	100	1	deadly			100	100						0
WSKLich	gethit-hurt		252	5	20	gethit-hurt		54	5	1	gethit-hurt		231	5	20	gethit-hurt		360	5	20	aura		621	1	1						gethit-hurt		252	6	20	gethit-hurt		54	5	1	gethit-hurt		231	6	20	gethit-hurt		360	6	20	aura		621	1	1						gethit-hurt		252	7	20	gethit-hurt		54	5	1	gethit-hurt		231	7	20	gethit-hurt		360	7	20	aura		621	1	1	death-skill		518	100	1	0
WSKGuardian	death-skill		377	100	1	gethit-hurt		542	5	20	gethit-hurt		494	8	5	gethit-hurt		460	5	20	gethit-hurt		459	10	20						death-skill		377	100	1	gethit-hurt		542	5	20	gethit-hurt		494	8	10	gethit-hurt		460	6	20	gethit-hurt		459	10	20						death-skill		377	100	1	gethit-hurt		542	5	20	gethit-hurt		494	8	15	gethit-hurt		460	7	20	gethit-hurt		459	10	20						0
titanlord	gethit-hurt		494	5	14	gethit-hurt		301	5	20	gethit-hurt		346	5	20	gethit-hurt		457	5	20	crush			20	20	death-skill		301	100	40	gethit-hurt		494	5	14	gethit-hurt		301	5	20	gethit-hurt		346	5	20	gethit-hurt		457	5	20	crush			20	20	death-skill		301	100	40	gethit-hurt		494	5	14	gethit-hurt		301	5	20	gethit-hurt		346	5	20	gethit-hurt		457	5	20	crush			20	20	death-skill		301	100	40	0
baphomet	gethit-hurt		468	10	20	gethit-hurt		531	10	40	gethit-hurt		437	5	40	gethit-hurt		457	8	40	gethit-hurt		464	10	40						gethit-hurt		468	10	20	gethit-hurt		531	10	40	gethit-hurt		437	5	40	gethit-hurt		457	8	40	gethit-hurt		464	10	40						gethit-hurt		468	10	20	gethit-hurt		531	10	40	gethit-hurt		437	5	40	gethit-hurt		457	8	40	gethit-hurt		464	10	40						0
boneking	gethit-hurt		259	10	1	gethit-hurt		359	8	40	gethit-hurt		308	8	1	gethit-hurt		434	5	20	gethit-hurt		252	5	20	extra-mag			-20	-20	gethit-hurt		259	10	1	gethit-hurt		359	8	40	gethit-hurt		308	8	1	gethit-hurt		434	5	20	gethit-hurt		252	5	20						gethit-hurt		259	10	1	gethit-hurt		359	8	40	gethit-hurt		308	8	1	gethit-hurt		434	5	20	gethit-hurt		252	5	20						0
asmodeus	gethit-hurt		494	8	12	gethit-hurt		458	8	20	gethit-hurt		530	10	40	gethit-hurt		210	2	1	gethit-hurt		466	8	20						gethit-hurt		494	8	12	gethit-hurt		458	8	20	gethit-hurt		530	10	40	gethit-hurt		210	2	1	gethit-hurt		466	8	20						gethit-hurt		494	8	12	gethit-hurt		458	8	20	gethit-hurt		530	10	40	gethit-hurt		210	2	1	gethit-hurt		466	8	20						0
glasya	gethit-hurt		210	3	20	gethit-hurt		542	10	40	gethit-hurt		464	15	40	gethit-hurt		435	4	20	gethit-hurt		489	8	12						gethit-hurt		210	3	20	gethit-hurt		542	10	40	gethit-hurt		464	15	40	gethit-hurt		435	4	20	gethit-hurt		489	8	12						gethit-hurt		210	3	20	gethit-hurt		542	10	40	gethit-hurt		464	15	40	gethit-hurt		435	4	20	gethit-hurt		489	8	12						0
shadow	gethit-hurt		54	5	5	gethit-hurt		361	10	20	gethit-hurt		459	10	40	gethit-hurt		345	10	20	gethit-hurt		210	3	1						gethit-hurt		54	5	5	gethit-hurt		361	10	20	gethit-hurt		459	10	40	gethit-hurt		345	10	20	gethit-hurt		210	3	1						gethit-hurt		54	5	5	gethit-hurt		361	10	20	gethit-hurt		459	10	40	gethit-hurt		345	10	20	gethit-hurt		210	3	1						0
blade	gethit-hurt		210	3	10	gethit-hurt		464	15	20	gethit-hurt		363	15	20	gethit-hurt		489	20	1	hit-skill		54	25	1	death-skill		489	100	40	gethit-hurt		210	3	10	gethit-hurt		464	15	20	gethit-hurt		363	15	20	gethit-hurt		489	20	1	hit-skill		54	25	1	death-skill		489	100	40	gethit-hurt		210	3	10	gethit-hurt		464	15	20	gethit-hurt		363	15	20	gethit-hurt		489	20	1	hit-skill		54	25	1	death-skill		489	100	40	0
baal	gethit-hurt		265	10	40	gethit-hurt		662	10	40	gethit-hurt		231	10	40	gethit-hurt		420	8	40						hit-skill		510	100	1	gethit-hurt		265	10	40	gethit-hurt		662	10	40	gethit-hurt		231	10	40	gethit-hurt		420	10	40	gethit-hurt		659	100	1	hit-skill		510	100	1	gethit-hurt		265	10	40	gethit-hurt		662	10	40	gethit-hurt		231	10	40	gethit-hurt		420	10	40	gethit-hurt		659	100	1	hit-skill		510	100	1	0
belial	gethit-hurt		530	8	20	gethit-hurt		489	8	8	gethit-hurt		346	8	20	gethit-hurt		332	8	20	cast2			100	100	gethit-hurt		420	8	20	gethit-hurt		530	10	20	gethit-hurt		489	10	10	gethit-hurt		346	10	20	gethit-hurt		332	10	20	cast2			100	100	gethit-hurt		420	10	20	gethit-hurt		530	10	30	gethit-hurt		539	10	20	gethit-hurt		346	10	30	gethit-hurt		332	10	20	death-skill		669	100	1	cast2			100	100	0
azmodan	gethit-hurt		265	8	20	gethit-hurt		489	8	8	gethit-hurt		353	8	20	gethit-hurt		249	8	20	cast2			100	100	gethit-hurt		420	8	20	gethit-hurt		265	10	20	gethit-hurt		489	10	10	gethit-hurt		353	10	20	gethit-hurt		249	10	20	cast2			100	100	gethit-hurt		420	10	20	gethit-hurt		265	10	30	gethit-hurt		489	10	15	gethit-hurt		353	10	30	gethit-hurt		249	10	20	gethit-hurt		420	10	20	cast2			100	100	0
OblivionLich	gethit-hurt		270	10	20	gethit-hurt		54	2	1	cast2			50	50																gethit-hurt		270	10	20	gethit-hurt		54	2	1	cast2			50	50																gethit-hurt		420	10	20	gethit-hurt		54	2	1	cast2			50	50																0
skullspire	death-skill		375	100	1	gethit-hurt		353	5	20	gethit-hurt		489	5	5	gethit-hurt		358	5	20	gethit-hurt		442	5	20	aura		407	40	40	death-skill		375	100	1	gethit-hurt		353	5	20	gethit-hurt		489	5	5	gethit-hurt		358	5	20	gethit-hurt		442	5	20	aura		407	40	40	death-skill		375	100	1	gethit-hurt		353	5	20	gethit-hurt		489	5	5	gethit-hurt		358	5	20	gethit-hurt		442	5	20	aura		407	40	40	0
samhain	gethit-hurt		255	10	40	gethit-hurt		363	10	40	gethit-hurt		663	10	40	gethit-hurt		466	10	40											gethit-hurt		255	10	40	gethit-hurt		363	10	40	gethit-hurt		663	10	40	gethit-hurt		466	10	40											gethit-hurt		255	10	40	gethit-hurt		363	10	40	gethit-hurt		663	10	40	gethit-hurt		466	10	40	gethit-hurt		361	5	40	pierce-all			100	100	0
baalthrone	aura		621	1	1																										aura		621	1	1																										aura		621	1	1																										0
FrozenHorror	gethit-hurt		464	20	1																										gethit-hurt		464	20	1	gethit-hurt		463	20	1																					gethit-hurt		464	20	1	gethit-hurt		463	20	1	aura	5	392	1	1																0
BloodLord	gethit-hurt		492	10	5																										gethit-hurt		492	10	5																										gethit-hurt		492	10	5	gethit-hurt		8	5	24																					0
Succubus	gethit-hurt		465	10	1																										gethit-hurt		465	10	1	death-skill		271	20	1																					gethit-hurt		465	10	1	death-skill		265	20	1																					0
BaalMinion	gethit-hurt		310	5	5																										gethit-hurt		310	5	5																										gethit-hurt		310	5	5																										0
defiler	gethit-hurt		252	8	1	gethit-hurt		540	15	20	aura		621	10	10																gethit-hurt		252	8	1	gethit-hurt		540	15	30	aura		621	20	20																gethit-hurt		252	8	1	gethit-hurt		540	15	40	aura		621	30	30																0
