monster	oninit	level	item1	loc1	mod1	item2	loc2	mod2	item3	loc3	mod3	eol
sorrowlord	1	1	bx8	head	7							0
pious	1	1	bx8	head	7							0
alexius	1	1	bx8	head	7							0
martel	1	1	bx8	head	7							0
kannli	1	1	bx8	head	7							0
asteroth	1	1	bx8	head	7							0
coolplayer	1	1	bx8	head	7							0
furycury	1	1	bx8	head	7							0
drrodriguez	1	1	bx8	head	7							0
nazgul	1	1	bx8	head	7							0
Alp	1	1	by8	head	7							0
Anzu	1	1	bz2	head	7							0
Bartuc1	1	1	by8	head	7							0
BlackJade	1	1	bx1	head	7							0
Red Vex	1	1	bx1	head	7							0
vampire9	1	1	by9	head	7							0
skmage_pois7	1	1	by9	head	7							0
blunderbore6	1	1	by9	head	7							0
doomknight7	1	1	by9	head	7							0
marilithgg	1	1	by9	head	7							0
Catman1	1	1	by9	head	7							0
D1SkeletonBow7	1	1	by9	head	7							0
frogdemon4	1	1	by9	head	7							0
oblivionwyrm	1	1	by9	head	7							0
D1MagmaDemon3	1	1	by9	head	7							0
D1MagmaDemon2	1	1	by9	head	7							0
Eyemonster2	1	1	by9	head	7							0
Catman2	1	1	by9	head	7							0
GodsmanGuard1	1	1	by9	head	7							0
D1StormDemon3	1	1	by9	head	7							0
Blademaster1	1	1	by9	head	7							0
D1BlackSpider6	1	1	by9	head	7							0
D1Succubus6	1	1	by9	head	7							0
bugbearWL	1	1	by9	head	7							0
skmage_pois8	1	1	by9	head	7							0
suicideminion9	1	1	by9	head	7							0
PitFiend1	1	1	by9	head	7							0
lindwyrm	1	1	bx1	head	7							0
hod	1	1	bx1	head	7							0
chekka	1	1	bx1	head	7							0
yelsne	1	1	bx1	head	7							0
tentacle3	1	1	bx8	head	7							0
tentaclehead3	1	1	bx8	head	7							0
Ignis, Echo of Mordred	1	1	bx9	head	7							0
Sadun the Tormented	1	1	by3	head	7							0
Muxog, Naburite Drinker	1	1	by1	head	7							0
The Omicron Sentinel	1	1	by2	head	7							0
Abholos, the Eldritch Horror	1	1	bx7	head	7							0
doomknightx	1	1	bx8	head	7							0
ancientbarb1	1	1	bz1	head	7							0
ancientbarb2	1	1	bz1	head	7							0
ancientbarb3	1	1	bz1	head	7							0
coldcrow	1	1	by2	head	7							0
legionguardnecro	1	1	bx7	head	7							0
*end, do not remove*												0
