Level	AC	AC(N)	AC(H)	L-AC	L-AC(N)	L-AC(H)	TH	TH(N)	TH(H)	L-TH	L-TH(N)	L-TH(H)	HP	HP(N)	HP(H)	L-HP	L-HP(N)	L-HP(H)	DM	DM(N)	DM(H)	L-DM	L-DM(N)	L-DM(H)	XP	XP(N)	XP(H)	L-XP	L-XP(N)	L-XP(H)
34	158	454	771	158	454	771	639	899	2205	639	809	2205	680	1200	6950	680	1200	6950	29	40	100	29	40	100	1031	2059	3089	1031	2059	3089
35	163	464	789	163	464	789	657	923	2262	657	831	2262	720	1200	6950	720	1200	6950	30	40	100	30	40	100	1088	2204	3307	1088	2204	3307
36	168	475	806	168	475	806	674	948	2319	674	853	2319	800	1200	6950	800	1200	6950	32	40	100	32	40	100	1144	2358	3537	1144	2358	3537
37	173	486	824	173	486	824	691	972	2376	691	875	2376	860	1200	6950	860	1200	6950	34	40	100	34	40	100	1200	2524	3786	1200	2524	3786
38	178	497	842	178	497	842	708	996	2433	708	897	2433	940	1200	6950	940	1200	6950	36	40	100	36	40	100	1275	2700	4050	1275	2700	4050
39	182	508	859	182	508	859	726	1021	2490	726	919	2490	1000	1200	6950	1000	1200	6950	38	40	100	38	40	100	1350	2889	4334	1350	2889	4334
40	187	518	877	187	518	877	743	1045	2547	743	940	2547	1100	1200	6950	1100	1200	6950	40	40	100	40	40	100	1425	3091	4637	1425	3091	4637
41	192	529	894	192	529	894	760	1069	2604	760	962	2604	1200	1200	6950	1200	1200	6950	40	42	100	40	42	100	1500	3307	4961	1500	3307	4961
42	197	540	912	197	540	912	778	1094	2661	778	984	2661	1350	1350	6950	1350	1350	6950	40	44	100	40	44	100	1594	3539	5308	1594	3539	5308
43	202	551	930	202	551	930	795	1118	2718	795	1006	2718	1500	1500	6950	1500	1500	6950	40	46	100	40	46	100	1688	3788	5683	1688	3788	5683
44	206	562	947	206	562	947	812	1142	2775	812	1028	2775	1700	1700	6950	1700	1700	6950	40	48	100	40	48	100	1781	4052	6077	1781	4052	6077
45	211	572	965	211	572	965	829	1166	2832	829	1050	2832	1900	1900	6950	1900	1900	6950	40	50	100	40	50	100	1875	4337	6506	1875	4337	6506
46	216	583	982	216	583	982	847	1191	2889	847	1072	2889	2000	2100	6950	2000	2100	6950	40	52	100	40	52	100	1969	4640	6959	1969	4640	6959
47	221	594	1000	221	594	1000	864	1215	2946	864	1094	2946	2000	2300	6950	2000	2300	6950	40	54	100	40	54	100	2063	4964	7445	2063	4964	7445
48	226	605	1018	226	605	1018	881	1239	3003	881	1115	3003	2000	2500	6950	2000	2500	6950	40	56	100	40	56	100	2156	5630	7965	2156	5630	7965
49	230	616	1035	230	616	1035	899	1264	3060	899	1137	3060	2000	2700	6950	2000	2700	6950	40	58	100	40	58	100	2250	5967	8444	2250	5967	8444
50	235	626	1053	235	626	1053	916	1288	3117	916	1159	3117	2000	2900	6950	2000	2900	6950	40	60	100	40	60	100	2344	6326	8951	2344	6326	8951
51	240	637	1070	240	637	1070	933	1312	3174	933	1181	3174	2000	3100	6950	2000	3100	6950	40	62	100	40	62	100	2438	6707	9490	2438	6707	9490
52	245	648	1088	245	648	1088	1123	1580	3231	1123	1422	3231	2000	3300	6950	2000	3300	6950	40	64	100	40	64	100	2531	7108	10060	2531	7108	10060
53	250	659	1106	250	659	1106	1140	1604	3288	1140	1443	3288	2000	3500	6950	2000	3500	6950	40	66	100	40	66	100	2625	7533	10662	2625	7533	10662
54	254	670	1123	254	670	1123	1158	1628	3345	1158	1465	3345	2000	3700	6950	2000	3700	6950	40	68	100	40	68	100	2719	7985	11300	2719	7985	11300
55	259	680	1141	259	680	1141	1175	1652	3402	1175	1487	3402	2000	3900	6950	2000	3900	6950	40	70	100	40	70	100	2813	8465	11978	2813	8465	11978
56	264	691	1158	264	691	1158	1192	1677	3459	1192	1509	3459	2000	4100	6950	2000	4100	6950	40	72	100	40	72	100	2906	8973	12697	2906	8973	12697
57	269	702	1176	269	702	1176	1210	1701	3516	1210	1531	3516	2000	4300	6950	2000	4300	6950	40	74	100	40	74	100	3000	9510	13460	3000	9510	13460
58	274	713	1194	274	713	1194	1227	1725	3573	1227	1553	3573	2000	4500	6950	2000	4500	6950	40	76	100	40	76	100	3113	10082	14265	3113	10082	14265
59	278	724	1211	278	724	1211	1244	1750	3630	1244	1575	3630	2000	4700	6950	2000	4700	6950	40	78	100	40	78	100	3225	10687	15122	3225	10687	15122
60	283	734	1229	283	734	1229	1261	1774	3687	1261	1597	3687	2000	4900	6950	2000	4900	6950	40	80	100	40	80	100	3375	11328	23108	3375	11328	23108
61	288	745	1246	288	745	1246	1279	1798	3744	1279	1618	3744	2000	5100	6950	2000	5100	6950	40	82	100	40	82	100	2908	12008	24127	2908	12008	24127
62	293	756	1264	293	756	1264	1296	1823	3801	1296	1640	3801	2000	5300	6950	2000	5300	6950	40	84	100	40	84	100	2986	12687	25146	2986	12687	25146
63	298	767	1282	298	767	1282	1313	1847	3858	1313	1662	3858	2000	5500	6950	2000	5500	6950	40	86	100	40	86	100	3064	13367	26165	3064	13367	26165
64	302	778	1299	302	778	1299	1331	1871	3915	1331	1684	3915	2000	5700	6950	2000	5700	6950	40	88	100	40	88	100	3142	14046	27185	3142	14046	27185
65	307	788	1317	307	788	1317	1348	1895	3972	1348	1706	3972	2000	5900	6950	2000	5900	6950	40	90	100	40	90	100	3220	14726	28204	3220	14726	28204
66	312	799	1334	312	799	1334	1365	1920	4029	1365	1728	4029	2000	6100	6950	2000	6100	6950	40	92	100	40	92	100	3298	15405	29223	3298	15405	29223
67	317	810	1352	317	810	1352	1382	1944	4086	1382	1750	4086	2000	6300	6950	2000	6300	6950	40	94	100	40	94	100	3376	16085	30242	3376	16085	30242
68	322	821	1370	322	821	1370	1400	1968	4143	1400	1771	4143	2000	6500	6950	2000	6500	6950	40	96	100	40	96	100	3454	16764	31262	3454	16764	31262
69	326	832	1387	326	832	1387	1417	1993	4200	1417	1793	4200	2000	6700	6950	2000	6700	6950	40	98	100	40	98	100	3532	17444	32281	3532	17444	32281
70	331	842	1405	331	842	1405	1434	2017	4542	1434	1815	4542	2000	6950	6950	2000	6950	6950	40	100	100	40	100	100	3610	18123	33300	3610	18123	33300
71	336	853	1422	336	853	1422	1452	2041	4599	1452	1837	4599	2000	7200	7200	2000	7200	7200	40	100	103	40	100	103	3688	18803	34319	3688	18803	34319
72	341	864	1440	341	864	1440	1469	2066	4656	1469	1859	4656	2000	7450	7450	2000	7450	7450	40	100	106	40	100	106	3766	19482	35339	3766	19482	35339
73	346	875	1458	346	875	1458	1486	2090	4713	1486	1881	4713	2000	7700	7700	2000	7700	7700	40	100	109	40	100	109	3844	20162	36358	3844	20162	36358
74	350	886	1475	350	886	1475	1503	2114	4770	1503	1903	4770	2000	7950	7950	2000	7950	7950	40	100	112	40	100	112	3922	20841	37377	3922	20841	37377
75	355	896	1493	355	896	1493	1521	2138	4827	1521	1925	4827	2000	8200	8200	2000	8200	8200	40	100	115	40	100	115	4000	21521	38396	4000	21521	38396
76	360	907	1510	360	907	1510	1538	2163	4884	1538	1946	4884	2000	8200	8450	2000	8200	8450	40	100	118	40	100	118	4078	22200	39416	4078	22200	39416
77	365	918	1528	365	918	1528	1555	2187	4941	1555	1968	4941	2000	8200	8700	2000	8200	8700	40	100	121	40	100	121	4156	22880	40435	4156	22880	40435
78	370	929	1546	370	929	1546	1572	2211	4998	1572	1990	4998	2000	8200	8950	2000	8200	8950	40	100	124	40	100	124	4234	23559	41454	4234	23559	41454
79	374	940	1563	374	940	1563	1590	2236	5055	1590	2012	5055	2000	8200	9200	2000	8200	9200	40	100	127	40	100	127	4312	24239	42473	4312	24239	42473
80	379	950	1581	379	950	1581	1607	2260	5112	1607	2034	5112	2000	8200	9450	2000	8200	9450	40	100	130	40	100	130	4390	24918	43493	4390	24918	43493
81	384	961	1598	384	961	1598	1624	2284	5169	1624	2056	5169	2000	8200	9700	2000	8200	9700	40	100	133	40	100	133	4468	25598	44512	4468	25598	44512
82	389	972	1616	389	972	1616	1642	2309	5226	1642	2078	5226	2000	8200	9950	2000	8200	9950	40	100	136	40	100	136	4546	26277	45531	4546	26277	45531
83	394	983	1634	394	983	1634	1659	2333	5283	1659	2100	5283	2000	8200	10200	2000	8200	10200	40	100	139	40	100	139	4624	26957	46550	4624	26957	46550
84	398	994	1651	398	994	1651	1676	2357	5340	1676	2121	5340	2000	8200	10450	2000	8200	10450	40	100	142	40	100	142	4702	27636	47570	4702	27636	47570
85	403	1004	1669	403	1004	1669	1693	2381	5397	1693	2143	5397	2000	8200	10700	2000	8200	10700	40	100	145	40	100	145	4780	28316	48589	4780	28316	48589
86	408	1015	1686	408	1015	1686	1711	2406	5454	1711	2165	5454	2000	8200	10950	2000	8200	10950	40	100	148	40	100	148	4858	28995	49608	4858	28995	49608
87	413	1026	1704	413	1026	1704	1728	2430	5511	1728	2187	5511	2000	8200	11200	2000	8200	11200	40	100	151	40	100	151	4936	29675	50627	4936	29675	50627
88	418	1037	1722	418	1037	1722	1745	2454	5568	1745	2209	5568	2000	8200	11450	2000	8200	11450	40	100	154	40	100	154	5014	30354	51647	5014	30354	51647
89	422	1048	1739	422	1048	1739	1763	2479	5625	1763	2231	5625	2000	8200	11700	2000	8200	11700	40	100	157	40	100	157	5092	31034	52666	5092	31034	52666
90	427	1058	1757	427	1058	1757	1780	2503	5682	1780	2253	5682	2000	8200	11950	2000	8200	11950	40	100	160	40	100	160	5170	31713	53685	5170	31713	53685
91	432	1069	1774	432	1069	1774	1797	2527	5739	1797	2274	5739	2000	8200	12200	2000	8200	12200	40	100	163	40	100	163	5248	32393	54704	5248	32393	54704
92	437	1080	1792	437	1080	1792	1814	2552	5796	1814	2296	5796	2000	8200	12450	2000	8200	12450	40	100	166	40	100	166	5326	33072	55724	5326	33072	55724
93	442	1091	1810	442	1091	1810	1832	2576	5853	1832	2318	5853	2000	8200	12700	2000	8200	12700	40	100	169	40	100	169	5404	33752	56743	5404	33752	56743
94	446	1102	1827	446	1102	1827	1849	2600	5910	1849	2340	5910	2000	8200	12950	2000	8200	12950	40	100	172	40	100	172	5482	34431	57762	5482	34431	57762
95	451	1112	1845	451	1112	1845	1866	2624	5967	1866	2362	5967	2000	8200	13200	2000	8200	13200	40	100	175	40	100	175	5560	35111	58781	5560	35111	58781
96	456	1123	1862	456	1123	1862	1884	2649	6024	1884	2384	6024	2000	8200	13450	2000	8200	13450	40	100	178	40	100	178	5638	35790	59801	5638	35790	59801
97	461	1134	1880	461	1134	1880	1901	2673	6081	1901	2406	6081	2000	8200	13700	2000	8200	13700	40	100	181	40	100	181	5716	36470	60820	5716	36470	60820
98	466	1145	1898	466	1145	1898	1918	2697	6138	1918	2428	6138	2000	8200	13800	2000	8200	13800	40	100	184	40	100	184	5794	37149	61839	5794	37149	61839
99	470	1156	1915	470	1156	1915	1935	2722	6195	1935	2449	6195	2000	8200	13800	2000	8200	13800	40	100	187	40	100	187	5872	37829	62858	5872	37829	62858
100	475	1166	1933	475	1166	1933	1953	2746	6252	1953	2471	6252	2000	8200	13800	2000	8200	13800	40	100	190	40	100	190	5950	38508	67500	5950	38508	67500
101	480	1177	1950	480	1177	1950	1970	2770	6309	1970	2493	6309	2000	8200	13800	2000	8200	13800	40	100	193	40	100	193	6028	39188	71250	6028	39188	71250
102	485	1188	1968	485	1188	1968	1901	2673	6366	1901	2406	6366	2000	8200	13800	2000	8200	13800	40	100	196	40	100	196	6106	39867	78750	6106	39867	78750
103	490	1199	1986	490	1199	1986	1918	2697	6423	1918	2428	6423	2000	8200	13800	2000	8200	13800	40	100	199	40	100	199	6184	40547	78750	6184	40547	78750
104	494	1210	2003	494	1210	2003	1935	2722	6480	1935	2449	6480	2000	8200	13800	2000	8200	13800	40	100	202	40	100	202	6262	41226	78750	6262	41226	78750
105	499	1220	2021	499	1220	2021	1953	2746	6252	1953	2471	6252	2000	8200	13800	2000	8200	13800	40	100	205	40	100	205	6340	41906	78750	6340	41906	78750
106	504	1231	2038	504	1231	2038	1970	2770	6309	1970	2493	6309	2000	8200	13800	2000	8200	13800	40	100	208	40	100	208	6340	41906	78750	6340	41906	78750
107	509	1242	2056	509	1242	2056	1901	2673	6366	1901	2406	6366	2000	8200	13800	2000	8200	13800	40	100	211	40	100	211	6340	41906	78750	6340	41906	78750
108	514	1253	2074	514	1253	2074	1918	2697	6423	1918	2428	6423	2000	8200	13800	2000	8200	13800	40	100	214	40	100	214	6340	41906	81000	6340	41906	81000
109	518	1264	2074	518	1264	2074	1935	2722	6480	1935	2449	6480	2000	8200	13800	2000	8200	13800	40	100	217	40	100	217	6340	41906	81750	6340	41906	81750
110	523	1890	2100	523	1890	2100	6271	8818	9798	6271	7936	9798	2000	8200	13800	2000	8200	13800	40	100	198	40	100	198	6340	41906	82500	6340	41906	82500
