Id	hcIdx	BaseId	NextInClass	TransLvl	NameStr	MonStatsEx	MonProp	MonType	AI	DescStr	Code	enabled	rangedtype	placespawn	spawn	spawnx	spawny	spawnmode	minion1	minion2	SetBoss	BossXfer	PartyMin	PartyMax	MinGrp	MaxGrp	sparsePopulate	Velocity	Run	Rarity	Level	Level(N)	Level(H)	MonSound	UMonSound	threat	aidel	aidel(N)	aidel(H)	aidist	aidist(N)	aidist(H)	aip1	aip1(N)	aip1(H)	aip2	aip2(N)	aip2(H)	aip3	aip3(N)	aip3(H)	aip4	aip4(N)	aip4(H)	aip5	aip5(N)	aip5(H)	aip6	aip6(N)	aip6(H)	aip7	aip7(N)	aip7(H)	aip8	aip8(N)	aip8(H)	MissA1	MissA2	MissS1	MissS2	MissS3	MissS4	MissC	MissSQ	Align	isSpawn	isMelee	npc	interact	inventory	inTown	lUndead	hUndead	demon	flying	opendoors	boss	primeevil	killable	switchai	noAura	nomultishot	neverCount	petIgnore	deathDmg	genericSpawn	zoo	SendSkills	Skill1	Sk1mode	Sk1lvl	Skill2	Sk2mode	Sk2lvl	Skill3	Sk3mode	Sk3lvl	Skill4	Sk4mode	Sk4lvl	Skill5	Sk5mode	Sk5lvl	Skill6	Sk6mode	Sk6lvl	Skill7	Sk7mode	Sk7lvl	Skill8	Sk8mode	Sk8lvl	Drain	Drain(N)	Drain(H)	coldeffect	coldeffect(N)	coldeffect(H)	ResDm	ResMa	ResFi	ResLi	ResCo	ResPo	ResDm(N)	ResMa(N)	ResFi(N)	ResLi(N)	ResCo(N)	ResPo(N)	ResDm(H)	ResMa(H)	ResFi(H)	ResLi(H)	ResCo(H)	ResPo(H)	DamageRegen	SkillDamage	noRatio	NoShldBlock	ToBlock	ToBlock(N)	ToBlock(H)	Crit	minHP	maxHP	AC	Exp	A1MinD	A1MaxD	A1TH	A2MinD	A2MaxD	A2TH	S1MinD	S1MaxD	S1TH	minHP(N)	maxHP(N)	AC(N)	Exp(N)	A1MinD(N)	A1MaxD(N)	A1TH(N)	A2MinD(N)	A2MaxD(N)	A2TH(N)	S1MinD(N)	S1MaxD(N)	S1TH(N)	minHP(H)	maxHP(H)	AC(H)	Exp(H)	A1MinD(H)	A1MaxD(H)	A1TH(H)	A2MinD(H)	A2MaxD(H)	A2TH(H)	S1MinD(H)	S1MaxD(H)	S1TH(H)	El1Mode	El1Type	El1Pct	El1MinD	El1MaxD	El1Dur	El1Pct(N)	El1MinD(N)	El1MaxD(N)	El1Dur(N)	El1Pct(H)	El1MinD(H)	El1MaxD(H)	El1Dur(H)	El2Mode	El2Type	El2Pct	El2MinD	El2MaxD	El2Dur	El2Pct(N)	El2MinD(N)	El2MaxD(N)	El2Dur(N)	El2Pct(H)	El2MinD(H)	El2MaxD(H)	El2Dur(H)	El3Mode	El3Type	El3Pct	El3MinD	El3MaxD	El3Dur	El3Pct(N)	El3MinD(N)	El3MaxD(N)	El3Dur(N)	El3Pct(H)	El3MinD(H)	El3MaxD(H)	El3Dur(H)	TreasureClass1	TreasureClass2	TreasureClass3	TreasureClass4	TreasureClass1(N)	TreasureClass2(N)	TreasureClass3(N)	TreasureClass4(N)	TreasureClass1(H)	TreasureClass2(H)	TreasureClass3(H)	TreasureClass4(H)	TCQuestId	TCQuestCP	SplEndDeath	SplGetModeChart	SplEndGeneric	SplClientEnd	*eol
bighead1	10	bighead1	bighead2	0	Afflicted	bighead1	LtngAttacks	Demon	Bighead		BH	1	1												3	4		7	7	1	15	55	75	bighead	bighead	10	15	12	9	40	40	40	88	75	75	40	30	30	60	65	70	70	75	80														bighead1								1								1		1			1	1																																	50	40	30	-25	-25	-25				33						33						33			2				11	11	11	0	160	160	63	100	86	136	106							138	138	90	160	86	136	106							135	135	90	160	86	136	106							A2	ltng	100	75	110		100	140	180		100	160	200		A1	ltng					15	15	30		35	20	40																Act 2 Cast A	Act 2 Champ A	Act 2 Unique A		Act 1 (N) Cast C	Act 1 (N) Champ C	Act 1 (N) Unique C		Act 1 (H) Cast C	Act 1 (H) Champ C	Act 1 (H) Unique C								0
bighead2	11	bighead1	bighead3	1	Tainted	bighead2	LtngAttacks	Demon	Bighead		BH	1	1												2	4		7	7	1	14	54	74	bighead	bighead	10	15	12	9	40	40	40	86	100	100	40	40	40	50	55	60	70	75	80														bighead2								1								1		1			1	1																																	50	40	30	-25	-25	-25				33						33						33			2				10	10	10	0	158	158	63	100	84	134	104							138	138	90	160	84	134	104							135	135	90	160	84	134	104							A2	ltng	100	75	110		100	140	180		100	160	200		A1	ltng					15	15	30		35	20	40																Act 2 Cast A	Act 2 Champ A	Act 2 Unique A		Act 1 (N) Cast C	Act 1 (N) Champ C	Act 1 (N) Unique C		Act 1 (H) Cast C	Act 1 (H) Champ C	Act 1 (H) Unique C								0
bighead3	12	bighead1	bighead4	2	Misshapen	bighead3	LtngAttacks	Demon	Bighead		BH	1	1												1	2		6	6	1	5	52	72	bighead	bighead	10	15	12	9	40	40	40	80	50	50	40	50	50	30	35	40	70	75	80														bighead3								1								1		1			1	1																																	50	40	30	-25	-25	-25				33						33						33			2				5	5	5	0	154	154	64	100	80	130	100							138	138	90	160	80	130	100							135	135	90	160	80	130	100							A2	ltng	100	75	110		100	140	180		100	160	200		A1	ltng					15	15	30		35	20	40																Act 1 Cast B	Act 1 Champ B	Act 1 Unique B		Act 1 (N) Cast B	Act 1 (N) Champ B	Act 1 (N) Unique B		Act 1 (H) Cast B	Act 1 (H) Champ B	Act 1 (H) Unique B								0
bighead4	13	bighead1	bighead5	3	Disfigured	bighead4	LtngAttacks	Demon	Bighead		BH	1	1												2	3		6	6	1	11	53	73	bighead	bighead	10	15	12	9	40	40	40	83	0	0	40	40	40	40	45	50	70	75	80														bighead4								1								1		1			1	1																																	50	40	30	-25	-25	-25				33						33						33			2				8	8	8	0	156	156	63	100	82	132	102							138	138	90	160	82	132	102							135	135	90	160	82	132	102							A2	ltng	100	75	110		100	140	180		100	160	200		A1	ltng					15	15	30		35	20	40																Act 1 Cast C	Act 1 Champ C	Act 1 Unique C		Act 1 (N) Cast B	Act 1 (N) Champ B	Act 1 (N) Unique B		Act 1 (H) Cast B	Act 1 (H) Champ B	Act 1 (H) Unique B								0
bighead5	14	bighead1	bighead6	4	Damned	bighead5	LtngAttacks	Demon	Bighead		BH	1	1												4	4		8	8	2	38	65	85	bighead	bighead	10	15	12	9	40	40	40	90	33	33	40	30	30	70	65	80	70	75	80														bighead5								1								1		1			1	1																																	50	40	30	-25	-25	-25	33	25		33			33	33		33			33	33		33			2				33	33	33	0	260	260	63	200	108	148	150							180	180	90	200	108	148	130							162	162	90	200	108	148	130							A2	ltng	100	140	180		100	180	240		100	240	360		A1	ltng					30	15	30		70	20	40																Act 5 Cast A	Act 5 Champ A	Act 5 Unique A		Act 4 (N) Cast A	Act 4 (N) Champ A	Act 4 (N) Unique A		Act 4 (H) Cast A	Act 4 (H) Champ A	Act 4 (H) Unique A								0
foulcrow1	15	foulcrow1	foulcrow2	0	FoulCrow	foulcrow1	strike	foulcrow	BloodHawk		BK	1													4	4		7	7	2	4	51	71	foulcrow	foulcrow	10	15	12	9	45	45	45	55	60	65	90	90	90	50	50	50	60	65	70	100	100	100																			1	1								1				1	1																																	50	40	30	-25	-25	-25	15	15					20	30				15	25	66				20	2				5	5	5	0	90	100	13	40	80	100	100							86	86	120	65	80	100	100							89	89	120	65	80	100	100							A1	pois					15	10	33	100	25	10	33	100																													Act 1 Cast A	Act 1 Champ A	Act 1 Unique A		Act 1 (N) Cast A	Act 1 (N) Champ A	Act 1 (N) Unique A		Act 1 (H) Cast A	Act 1 (H) Champ A	Act 1 (H) Unique A								0
foulcrow2	16	foulcrow1	foulcrow3	1	BloodHawk	foulcrow2	strike	foulcrow	BloodHawk		BK	1													4	4		7	7	2	9	52	72	foulcrow	foulcrow	10	15	12	9	45	45	45	55	60	65	90	90	90	50	50	50	60	65	75	100	100	100																			1	1								1				1	1																																	50	40	30	-25	-25	-25	15		15				20		30			15	25		66			20	2				7	7	7	0	92	102	14	40	82	102	102							87	87	120	65	82	102	102							90	90	120	65	82	102	102							A1	pois					15	10	33	100	25	10	33	100																													Act 1 Cast B	Act 1 Champ B	Act 1 Unique B		Act 1 (N) Cast B	Act 1 (N) Champ B	Act 1 (N) Unique B		Act 1 (H) Cast B	Act 1 (H) Champ B	Act 1 (H) Unique B								0
foulcrow3	17	foulcrow1	foulcrow4	2	BlackRaptor	foulcrow3	strike	foulcrow	BloodHawk		BK	1													4	5		9	9	2	20	57	77	foulcrow	foulcrow	10	15	12	9	45	45	45	55	60	65	90	90	90	50	50	50	60	65	75	100	100	100																			1	1								1				1	1																																	50	40	30	-25	-25	-25	15			15			20			30		15	25			66		20	2				17	17	17	0	94	104	13	40	84	104	104							88	88	120	65	84	104	104							91	91	120	65	84	104	104							A1	pois					15	10	33	100	25	10	33	100																													Act 2 Cast B	Act 2 Champ B	Act 2 Unique B		Act 2 (N) Cast B	Act 2 (N) Champ B	Act 2 (N) Unique B		Act 2 (H) Cast B	Act 2 (H) Champ B	Act 2 (H) Unique B								0
foulcrow4	18	foulcrow1	foulcrow5	3	CloudStalker	foulcrow4	strike	foulcrow	BloodHawk		BK	1													4	5		11	11	2	26	60	80	foulcrow	foulcrow	10	15	12	9	45	45	45	55	60	65	90	90	90	50	50	50	60	65	75	100	100	100																			1	1								1				1	1																																	50	40	30	-25	-25	-25	15				15		20				30	15	25				66	20	2				22	22	22	0	106	106	13	40	86	106	106							89	89	120	65	86	106	106							92	92	120	65	86	106	106							A1	pois					15	10	33	100	25	10	33	100																													Act 3 Cast A	Act 3 Champ A	Act 3 Unique A		Act 3 (N) Cast A	Act 3 (N) Champ A	Act 3 (N) Unique A		Act 3 (H) Cast A	Act 3 (H) Champ A	Act 3 (H) Unique A								0
fallen1	19	fallen1	fallen2	0	Fallen	fallen1		Demon	Fallen		FA	1							fallen1			1	2	3	2	3		5	5	2	1	50	70	fallen	fallen	10	15	12	9	40	40	40	40	45	50	10	15	20	60	65	70	20	25	30																						1	1							1		1			1	1							1																										100	75	50	-25	-25	-25			25						33						33				2				9	9	9	0	32	32	1	61	52	102	100	50	100	100				80	80	70	90	52	102	100	52	102	100				72	72	70	90	52	102	100	52	102	100				A1	fire					10	20	30		20	20	30																														Act 1 H2H A	Act 1 Champ A	Act 1 Unique A		Act 1 (N) H2H A	Act 1 (N) Champ A	Act 1 (N) Unique A		Act 1 (H) H2H A	Act 1 (H) Champ A	Act 1 (H) Unique A								0
fallen2	20	fallen1	fallen3	1	Carver	fallen2		Demon	Fallen		FA	1							fallen2			1	2	4	2	4		6	6	2	5	51	71	fallen	fallen	10	15	12	9	40	40	40	50	50	55	15	18	24	70	75	80	25	30	35																						1	1							1		1			1	1							1																										100	75	50	-25	-25	-25			25						33						33				2				16	16	16	0	32	32	84	62	54	104	100	54	104	100				81	81	70	90	54	104	100	54	104	100				72	72	70	90	54	104	100	54	104	100				A1	cold					10	15	20	150	20	15	20	200																													Act 1 H2H A	Act 1 Champ A	Act 1 Unique A		Act 1 (N) H2H B	Act 1 (N) Champ B	Act 1 (N) Unique B		Act 1 (H) H2H B	Act 1 (H) Champ B	Act 1 (H) Unique B								0
fallen3	21	fallen1	fallen4	2	Devilkin	fallen3		Demon	Fallen		FA	1							fallen3			1	3	4	3	4		7	7	2	9	52	72	fallen	fallen	10	15	12	9	40	40	40	50	60	60	20	22	30	80	85	90	30	35	40																						1	1							1		1			1	1							1																										100	75	50	-25	-25	-25			25						33						33				2				25	25	25	0	34	34	84	63	56	106	100	56	106	100				82	82	70	90	56	106	100	56	106	100				73	73	70	90	56	106	100	56	106	100				A1	ltng					10	1	50		20	1	80																														Act 1 H2H B	Act 1 Champ B	Act 1 Unique B		Act 1 (N) H2H B	Act 1 (N) Champ B	Act 1 (N) Unique B		Act 1 (H) H2H B	Act 1 (H) Champ B	Act 1 (H) Unique B								0
fallen4	22	fallen1	fallen5	3	DarkOne	fallen4		Demon	Fallen		FA	1							fallen4			1	3	5	4	5		8	8	2	12	53	73	fallen	fallen	10	15	12	9	40	40	40	65	70	70	25	26	30	85	90	95	35	40	45																						1	1							1		1			1	1							1																										100	75	50	-25	-25	-25			25						33						33				2				36	36	36	0	36	36	84	64	58	108	100	58	108	100				83	83	70	90	58	108	100	58	108	100				74	74	70	90	58	108	100	58	108	100				A1	pois					10	10	15	50	20	10	15	75																													Act 1 H2H C	Act 1 Champ C	Act 1 Unique C		Act 1 (N) H2H C	Act 1 (N) Champ C	Act 1 (N) Unique C		Act 1 (H) H2H C	Act 1 (H) Champ C	Act 1 (H) Unique C								0
fallen5	23	fallen1	fallen6	4	WarpedFallen	fallen5		Demon	Fallen		FA	1							fallen5			1	1	1	1	1		9	9	2	36	64	84	fallen	fallen	10	15	12	9	40	40	40	80	80	80	30	30	30	99	99	99	50	50	50																						1	1							1		1			1	1							1																										50	40	30	-25	-25	-25	33	33	33	33	33	33	33	33	33	33	33	33	33	33	33	33	33	33	3				36	36	36	0	160	160	84	125	68	128	100	68	128	100				120	120	70	125	68	128	100	68	128	100				113	113	70	125	68	128	100	68	128	100				A1	cold					10	20	25	175	10	20	25	225																													Act 5 H2H A	Act 5 Champ A	Act 5 Unique A		Act 4 (N) H2H A	Act 4 (N) Champ A	Act 4 (N) Unique A		Act 4 (H) H2H A	Act 4 (H) Champ A	Act 4 (H) Unique A								0
brute2	24	brute2	brute3	0	Brute	brute2	Defender	Behemoth	Brute	Behemoth	YE	1													1	2		4	4	1	5	52	72	brute	brute	10	15	12	9	40	40	40				0	0	0	85	85	90	75	75	65																						1	1									1			1	1							1																										100	75	50	-25	-25	-25	25	33					33	33	33	33	33	33	33	33	33	33	33	33	2				6	6	6	0	204	204	84	125	76	126	110	126	151	110				195	195	85	150	76	126	110	126	151	110				173	173	85	150	76	126	110	126	151	110																																														Act 1 H2H B	Act 1 Champ B	Act 1 Unique B		Act 1 (N) H2H B	Act 1 (N) Champ B	Act 1 (N) Unique B		Act 1 (H) H2H B	Act 1 (H) Champ B	Act 1 (H) Unique B								0
brute3	25	brute2	brute4	1	Yeti	brute3	Defender	Behemoth	Brute	Behemoth	YE	1													2	2		4	4	1	11	53	73	brute	brute	10	15	12	9	40	40	40				0	0	0	90	90	95	65	65	55																						1	1									1			1	1							1																										100	75	50	-25	-25	-25	25	33			25		33	33	33	33	33	33	33	33	33	33	33	33	2				10	10	10	0	225	225	84	125	78	128	120	127	152	120				210	210	85	150	78	128	120	127	152	120				188	188	85	150	78	128	120	127	152	120																																														Act 1 H2H C	Act 1 Champ C	Act 1 Unique C		Act 1 (N) H2H C	Act 1 (N) Champ C	Act 1 (N) Unique C		Act 1 (H) H2H C	Act 1 (H) Champ C	Act 1 (H) Unique C								0
brute4	26	brute2	brute5	2	Crusher	brute4	Defender	Behemoth	Brute	Behemoth	YE	1													3	3		5	5	2	24	59	79	brute	brute	10	15	12	9	40	40	40				0	0	0	90	90	95	55	55	45																						1	1									1			1	1							1																										100	75	50	-25	-25	-25	25	33					33	33	33	33	33	33	33	33	33	33	33	33	2				19	19	19	0	250	250	84	125	110	130	135	148	163	135				225	225	85	150	110	130	135	148	163	135				188	188	85	150	110	130	135	148	163	135																																														Act 3 H2H A	Act 3 Champ A	Act 3 Unique A		Act 2 (N) H2H C	Act 2 (N) Champ C	Act 2 (N) Unique C		Act 2 (H) H2H C	Act 2 (H) Champ C	Act 2 (H) Unique C								0
brute5	27	brute2	brute1	3	WailingBeast	brute5	FireAttacks	Behemoth	Brute	Behemoth	YE	1													3	4		6	6	1	30	62	82	brute	brute	10	15	12	9	40	40	40				0	0	0	90	90	95	45	45	35																						1	1									1			1	1							1																										100	75	50	-25	-25	-25	25	33	25				33	33	33	33	33	33	33	33	33	33	33	33	2				23	23	23	0	300	300	85	125	112	132	135	149	164	135				240	240	85	150	112	132	135	149	164	135				210	210	85	150	112	132	135	149	164	135				A1	fire					15	15	35		15	30	50																														Act 3 H2H C	Act 3 Champ C	Act 3 Unique C		Act 3 (N) H2H B	Act 3 (N) Champ B	Act 3 (N) Unique B		Act 3 (H) H2H B	Act 3 (H) Champ B	Act 3 (H) Unique B								0
brute1	28	brute2		4	GargantuanBeast	brute1	Defender	Behemoth	Brute	Behemoth	YE	1													1	1		3	3	1	3	51	71	brute	brute	10	15	12	9	40	40	40				0	0	0	80	80	85	85	85	75																						1	1									1			1	1							1																										100	75	50	-25	-25	-25	25	33					33	33	33	33	33	33	33	33	33	33	33	33	2				4	4	4	0	200	200	84	220	68	118	110	106	136	110				180	180	85	150	68	118	110	106	136	110				180	180	85	150	68	118	110	106	136	110																																														Act 1 H2H A	Act 1 Champ A	Act 1 Unique A		Act 1 (N) H2H A	Act 1 (N) Champ A	Act 1 (N) Unique A		Act 1 (H) H2H A	Act 1 (H) Champ A	Act 1 (H) Unique A								0
