Name	Level	Rooms	Rooms(N)	Rooms(H)	SizeX	SizeY	Merge	Beta
Act 5 - Ice Caves 1	113	20	20	20	16	16	500	0
Act 5 - Ice Caves 2	115	20	20	20	16	16	500	0
Act 5 - Ice Caves 3	118	30	30	30	16	16	500	0
Act 5 - Ice Caves 1A	114	1	1	1	64	64	500	0
Act 5 - Ice Caves 2A	116	3	3	3	32	32	500	0
Act 5 - Ice Caves 3A	119	6	6	6	32	32	500	0
Act 5 - Temple 1	122	12	12	12	40	40	500	0
Act 5 - Temple 2	123	12	12	12	40	40	500	0
Act 5 - Hell 1	125	16	16	16	24	24	500	0
Act 5 - Hell 2	126	16	16	16	24	24	500	0
Act 5 - Hell 3	127	16	16	16	24	24	500	0
Act 5 - Baal 1	128	28	28	28	16	16	500	0
Act 5 - Baal 1	129	28	28	28	16	16	500	0
Act 5 - Baal 1	130	28	28	28	16	16	500	0
Act 5 - Baal 1	132	9	9	9	16	16	500	0
Act 2 - Arcane2	133	61	61	61	12	12	1000	0
Act 1 - Crypt 4 A	0	1	1	1	1	1	0	0
Act 2 - Corrupt Harem 2	135	12	12	12	16	16	1000	0
Act 2 - Lair 2 A	136	20	20	20	10	10	500	0
Act 2 - Arcane3	137	61	61	61	12	12	1000	0
Act 3 - Spider 2 B	138	20	20	20	16	16	500	0
Act 3 - Spider 2 C	139	20	20	20	16	16	500	0
Act 3 - Chimera	140	4	4	4	14	14	500	0
Act 3 - Mithia	142	8	8	8	12	12	500	0
Act 4 - Hellhole	143	1	1	1	24	24	0	0
Act 4 - Izual	144	1	1	1	24	24	0	0
Act 4 - Dragon	145	1	1	1	24	24	500	0
Act 5 - Ice Caves 1B	146	1	1	1	64	64	500	0
Act 5 - Ice Dragon	147	1	1	1	64	64	500	0
Act 5 - Ice Caves 3B	148	6	6	6	32	32	500	0
Act 5 - Ice Caves 3C	149	6	6	6	32	32	500	0
Act 5 - Ice Caves 3D	150	6	6	6	32	32	500	0
Act 5 -Abyss 1	151	4	4	4	14	14	500	0
Act 5 -Abyss 2	152	4	4	4	14	14	500	0
Act 5 -Abyss 3	153	4	4	4	14	14	500	0
Act 5 -Abyss 4	154	1	1	1	24	24	500	0
Act 5 - Ice Caves 3D	155	6	6	6	32	32	500	0
Act 5 -Chaos	156	61	61	61	12	12	1000	0
Act 5 -Chaos2	157	61	61	61	12	12	1000	0
Act 5 -Abyss 6	160	1	1	1	24	24	500	0
Act 5 -Abyss 5	161	1	1	1	24	24	500	0
Act 2 - Tomb 2 Cube	162	4	4	4	16	16	500	0
Act 2 - Tomb 3 Ardual	163	4	4	4	16	16	500	0
Act 3 - Eye	164	20	20	20	16	16	500	0
Act 3 - Brain	165	4	4	4	14	14	500	0
Act 1 - Crypt Pass	167	20	20	20	8	8	500	1
Act 1 - Smith	169	8	8	8	10	14	500	1
Act 4 - Cave 2	178	10	10	10	24	24	500	1
Act 5 - Tower	179	12	12	12	40	40	500	0
Act 5 - Tower Crypt	181	20	20	20	8	8	500	1
Act 5 - Temple 3	192	12	12	12	40	40	500	0
Act 1 - TristCath2	206	16	16	16	12	12	500	1
Act 1 - TristCath3	208	16	16	16	12	12	500	1
Act 3 - Heart	209	4	4	4	14	14	500	0
